カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号
0001,七,0,,,,00004,001
0002,乏,0,,,,00093,004
0003,了,0,,,,00125,006
0004,井,0,,,,00136,007
0005,倍,0,,,,00368,009
0006,偈,0,,,,00406,009
0007,似,0,,,,00235,009
0008,倒,0,,,,00373,009
0009,償,0,,,,00539,009
0010,依,0,,,,00301,009
0011,仙,0,,,,00186,009
0012,健,0,,,,00421,009
0013,挽,0,,,,03808,064
0014,光,0,,,,00567,010
0015,兩,0,,,,00591,011
0016,入,0,,,,00582,011
0017,典,0,,,,00608,012
0018,共,0,,,,00599,012
0019,出,0,,,,00723,017
0020,刺,0,,,,00782,018
0021,劇,0,,,,00838,018
0022,勅,0,,,,00879,019
0023,加,0,,,,00858,019
0024,劣,0,,,,00859,019
0025,勿,0,,,,00919,020
0026,卅,0,,,,00989,024
0027,厭,0,,,,01088,027
0028,單,0,,,,01427,030
0029,古,0,,,,01142,030
0030,喩,0,,,,01421,030
0031,味,0,,,,01242,030
0032,和,0,,,,01263,030
0033,呪,0,,,,01236,030
0034,告,0,,,,01219,030
0036,國,0,,,,01639,031
0037,園,0,,,,01644,031
0038,固,0,,,,01627,031
0039,塔,0,,,,01816,032
0040,土,0,,,,01654,032
0041,垢,0,,,,01726,032
0042,塵,0,,,,01831,032
0043,塗,0,,,,01818,032
0044,01752,0,,,,01752,032
0045,坑,0,,,,01683,032
0046,女,0,,,,02022,038
0047,姉,0,,,,02068,038
0048,嫉,0,,,,02201,038
0049,安,0,,,,02309,040
0050,宿,0,,,,02355,040
0051,導,0,,,,02436,041
0052,尊,0,,,,02429,041
0053,尼,0,,,,02473,044
0054,差,0,,,,02780,048
0055,幾,0,,,,02915,052
0056,廣,0,,,,02993,053
0057,弱,0,,,,03064,057
0058,強,0,,,,03066,057
0059,弟,1,2,,,03052,057
0060,彰,0,,,,03115,059
0061,待,0,,,,03132,060
0062,悶,0,,,,03339,061
0063,懈,0,,,,03549,061
0064,怠,0,,,,03240,061
0065,忘,0,,,,03196,061
0066,憶,0,,,,03534,061
0067,愚,0,,,,03404,061
0068,愍,0,,,,03402,061
0069,憐,0,,,,03499,061
0070,急,0,,,,03243,061
0071,懃,0,,,,03544,061
0072,憎,0,,,,03497,061
0073,房,0,,,,03646,063
0074,掌,0,,,,03858,064
0075,打,0,,,,03666,064
0076,變,0,,,,04319,066
0077,文,0,,,,04321,067
0078,方,0,,,,04385,070
0079,晝,1,2,,,04542,072
0080,曇,0,,,,04621,072
0081,會,0,,,,04667,073
0082,月,0,,,,04673,074
0083,某,0,,,,04845,075
0084,檀,0,,,,05391,075
0085,林,0,,,,04803,075
0086,本,0,,,,04713,075
0087,梁,0,,,,04967,075
0088,橋,0,,,,05348,075
0089,歡,0,,,,05639,076
0090,正,0,,,,05643,077
0091,毀,0,,,,05812,079
0092,毘,0,,,,05845,081
0093,泣,0,,,,06087,085
0094,淺,0,,,,06292,085
0095,波,0,,,,06086,085
0096,浴,0,,,,06179,085
0097,消,0,,,,06192,085
0098,漸,0,,,,06517,085
0099,沒,0,,,,06023,085
