統合ID,文字,P2179,字体数,用例数,部首
00004,七,0001,0,1,001
00093,乏,0002,0,1,004
00125,了,0003,0,1,006
00136,井,0004,0,1,007
00368,倍,0005,0,1,009
00406,偈,0006,0,1,009
00235,似,0007,0,1,009
00373,倒,0008,0,1,009
00539,償,0009,0,1,009
00301,依,0010,0,1,009
00186,仙,0011,0,1,009
00421,健,0012,0,1,009
03808,挽,0013,0,1,064
00567,光,0014,0,1,010
00591,兩,0015,0,1,011
00582,入,0016,0,1,011
00608,典,0017,0,1,012
00599,共,0018,0,1,012
00723,出,0019,0,1,017
00782,刺,0020,0,1,018
00838,劇,0021,0,1,018
00879,勅,0022,0,1,019
00858,加,0023,0,1,019
00859,劣,0024,0,1,019
00919,勿,0025,0,1,020
00989,卅,0026,0,1,024
01088,厭,0027,0,1,027
01427,單,0028,0,1,030
01142,古,0029,0,1,030
01421,喩,0030,0,1,030
01242,味,0031,0,1,030
01263,和,0032,0,1,030
01236,呪,0033,0,1,030
01219,告,0034,0,1,030
01639,國,0036,0,1,031
01644,園,0037,0,1,031
01627,固,0038,0,1,031
01816,塔,0039,0,1,032
01654,土,0040,0,1,032
01726,垢,0041,0,1,032
01831,塵,0042,0,1,032
01818,塗,0043,0,1,032
01752,埳,0044,0,1,032
01683,坑,0045,0,1,032
02022,女,0046,0,1,038
02068,姉,0047,0,1,038
02201,嫉,0048,0,1,038
02309,安,0049,0,1,040
02355,宿,0050,0,1,040
02436,導,0051,0,1,041
02429,尊,0052,0,1,041
02473,尼,0053,0,1,044
02780,差,0054,0,1,048
02915,幾,0055,0,1,052
02993,廣,0056,0,1,053
03064,弱,0057,0,1,057
03066,強,0058,0,1,057
03052,弟,0059,1,2,057
03115,彰,0060,0,1,059
03132,待,0061,0,1,060
03339,悶,0062,0,1,061
03549,懈,0063,0,1,061
03240,怠,0064,0,1,061
03196,忘,0065,0,1,061
03534,憶,0066,0,1,061
03404,愚,0067,0,1,061
03402,愍,0068,0,1,061
03499,憐,0069,0,1,061
03243,急,0070,0,1,061
03544,懃,0071,0,1,061
03497,憎,0072,0,1,061
03646,房,0073,0,1,063
03858,掌,0074,0,1,064
03666,打,0075,0,1,064
04319,變,0076,0,1,066
04321,文,0077,0,1,067
04385,方,0078,0,1,070
04542,晝,0079,1,2,072
04621,曇,0080,0,1,072
04667,會,0081,0,1,073
04673,月,0082,0,1,074
04845,某,0083,0,1,075
05391,檀,0084,0,1,075
04803,林,0085,0,1,075
04713,本,0086,0,1,075
04967,梁,0087,0,1,075
05348,橋,0088,0,1,075
05639,歡,0089,0,1,076
05643,正,0090,0,1,077
05812,毀,0091,0,1,079
05845,毗,0092,0,1,081
06087,泣,0093,0,1,085
06292,淺,0094,0,1,085
06086,波,0095,0,1,085
06179,浴,0096,0,1,085
06192,消,0097,0,1,085
06517,漸,0098,0,1,085
06023,沒,0099,0,1,085
06052,油,0100,0,1,085
06617,濁,0101,0,1,085
05979,汙,0102,0,1,085
06408,溢,0103,0,1,085
05964,求,0104,0,1,085
06120,洗,0105,0,1,085
06218,涯,0106,0,1,085
06874,焦,0107,0,1,086
07072,牛,0108,0,1,093
07241,獲,0109,0,1,094
07248,獸,0110,0,1,094
07307,理,0111,0,1,096
07457,甚,0112,0,1,099
07469,用,0113,0,1,101
07685,癡,0115,0,1,104
07781,監,0116,0,1,108
07828,眠,0117,0,1,109
07827,眞,0118,0,1,109
07860,睡,0119,0,1,109
07790,目,0120,0,1,109
07954,石,0121,0,1,112
08077,礙,0122,0,1,112
08097,示,0123,0,1,113
08279,穢,0124,0,1,115
08231,稗,0125,0,1,115
08221,稊,0126,0,1,115
08177,禾,0127,0,1,115
08256,稻,0128,0,1,115
08329,窮,0129,0,1,116
08382,竹,0130,0,1,118
08602,籌,0131,0,1,118
08685,精,0132,0,1,119
08664,粟,0133,0,1,119
09030,繋,0134,0,1,120
08885,網,0135,0,1,120
08963,縛,0136,0,1,120
08822,給,0137,0,1,120
09064,纏,0138,0,1,120
09214,習,0139,0,1,124
09438,脅,0140,0,1,130
09611,致,0141,0,1,133
09846,草,0142,0,1,140
10231,蘇,0143,0,1,140
10251,蘭,0144,0,1,140
10191,藏,0145,0,1,140
10272,虛,0146,0,1,141
10558,蟻,0147,0,1,142
10618,術,0148,0,1,144
10775,襄,0149,0,1,145
10683,被,0150,0,1,145
10848,親,0151,0,1,147
10856,覺,0152,0,1,147
10887,觸,0153,0,1,148
11012,誘,0154,0,1,149
11035,誹,0155,0,1,149
11051,諍,0156,0,1,149
11189,譬,0157,0,1,149
11171,識,0158,0,1,149
11162,譏,0159,0,1,149
11618,蹈,0160,0,1,157
11569,踐,0161,0,1,157
11916,辯,0162,0,1,160
11982,退,0164,0,1,162
12022,進,0165,0,1,162
11947,迎,0166,0,1,162
12070,遠,0167,0,1,162
12115,邊,0168,0,1,162
11993,逐,0169,0,1,162
12134,那,0170,0,1,163
12266,酒,0171,0,1,164
12327,醜,0172,0,1,164
12724,間,0173,0,1,169
12716,開,0174,0,1,169
12757,閻,0175,0,1,169
12913,際,0176,0,1,170
12914,障,0177,0,1,170
12997,雜,0178,0,1,172
13395,顚,0179,0,1,181
13495,飛,0180,0,1,183
13667,香,0181,0,1,186
14039,鬱,0182,0,1,192
M47035,鵽,0183,0,1,196
14361,鳥,0184,0,1,196
14661,麥,0185,0,1,199
00013,不,0186,1,165,001
00001,一,0190,1,23,001
00008,上,0191,1,10,001
00025,世,0192,1,20,001
00009,下,0193,1,3,001
00007,三,0194,1,20,001
00051,中,0195,1,59,002
00070,主,0197,1,5,003
00085,久,0198,1,5,004
00078,乃,0199,1,4,004
00088,之,0200,1,12,004
00092,乎,0201,1,5,004
00109,也,0202,1,10,005
00128,事,0203,1,29,006
00129,二,0204,1,8,007
00133,云,0205,1,16,007
00135,五,0206,1,14,007
00154,亦,0207,1,86,008
00209,企,0209,1,3,009
00345,信,0210,1,3,009
00168,人,0211,1,107,009
00194,以,0214,1,97,009
00245,住,0216,1,7,009
00250,何,0217,1,59,009
00256,作,0219,1,93,009
00503,僧,0221,1,4,009
00516,儀,0222,1,2,009
00175,今,0223,1,8,009
00255,佛,0224,1,20,009
00193,令,0225,1,22,009
00183,他,0226,1,34,009
00240,但,0227,1,18,009
00282,來,0228,1,2,009
00299,供,0229,1,7,009
00321,便,0230,1,6,009
00279,使,0231,1,3,009
00566,先,0232,1,12,010
00574,兒,0233,1,3,010
00606,具,0234,1,6,012
00605,其,0235,1,6,012
00594,八,0236,1,4,012
00597,六,0237,1,8,012
00651,冥,0238,1,4,014
00701,凡,0239,1,8,016
00789,則,0240,1,39,018
00767,利,0241,1,23,018
00781,刹,0242,1,8,018
00735,切,0243,1,8,018
00769,到,0244,1,2,018
00746,刑,0245,1,3,018
00734,分,0246,1,5,018
00794,前,0247,1,4,018
00759,初,0248,1,2,018
00763,別,0249,1,14,018
00856,力,0250,1,12,019
00865,劫,0251,1,12,019
00887,動,0252,1,2,019
00893,勝,0253,1,16,019
00857,功,0254,1,5,019
00881,勇,0255,1,2,019
00938,化,0256,1,2,021
00987,千,0257,1,3,024
01004,卒,0258,1,2,024
00985,十,0259,1,4,024
01049,卽,0260,1,11,026
01068,厚,0261,1,2,027
01127,取,0262,1,4,029
01111,及,0263,1,16,029
01128,受,0264,1,38,029
01108,又,0265a,2,59,029
01108b,又,0265b,2,5,029
01412,喜,0267,1,7,030
01197,含,0268,1,4,030
01170,合,0269,1,3,030
01175,名,0270,1,77,030
01141,口,0272,1,17,030
01154,可,0273,1,19,030
01252,命,0274,1,20,030
01143,句,0275,1,3,030
01265,咎,0276,1,5,030
01395,善,0277,1,73,030
01369,問,0279,1,54,030
01296,品,0281,1,5,030
01611,因,0282,1,38,031
01607,四,0283,1,14,031
01895,壞,0284,1,5,032
01863,墮,0285,1,5,032
01796,報,0286,1,45,032
01666,地,0287,1,13,032
01767,堅,0288,1,3,032
01659,在,0289,1,13,032
01853,增,0290,1,7,032
01913,壽,0291,1,9,033
01939,夜,0292,1,3,036
01938,多,0293,1,19,036
01934,外,0294,1,3,036
01946,大,0295,1,9,037
01947,天,0296,1,22,037
01949,夫,0297,1,9,037
01957,失,0298,1,4,037
02013,奪,0299,1,11,037
02031,如,0300,1,83,038
