文字,カード番号,字体数,用例数1,用例数2,部首,大字典,,
九,0001,0,,,005,00107,,
乞,0002,0,,,005,00108,,
京,0003,0,,,008,00157,,
今,0004,0,,,009,00175,,
他,0005,0,,,009,00183,,
信,0006,0,,,009,00345,,
但,0007,0,,,009,00240,,
依,0008,0,,,009,00301,,
倫,0009,0,,,009,00391,,
偏,0010,0,,,009,00411,,
倒,0011,0,,,009,00373,,
代,0012,0,,,009,00192,,
侍,0013,0,,,009,00288,,
備,0014,0,,,009,00455,,
僮,0015,0,,,009,00506,,
組,0016,0,,,120,08797,,
八,0017,0,,,012,00594,,
兵,0018,0,,,012,00602,,
冥,0019,0,,,014,00651,,
冠,0020,0,,,014,00646,,
凡,0021,0,,,016,00701,,
前,0022,0,,,018,00794,,
動,0023,0,,,019,00887,,
勇,0024,0,,,019,00881,,
勸,0025,0,,,019,00913,,
匹,0026,0,,,023,00975,,
半,0027,0,,,024,00994,,
即,0028,0,,,026,01049,,
厚,0029,0,,,027,01068,,
口,0030,0,,,030,01141,,
告,0031,0,,,030,01219,,
句,0032,0,,,030,01143,,
嘆,0033,0,,,030,01466,,
器,0034,0,,,030,01523,,
品,0035,0,,,030,01296,,
坑,0036,0,,,032,01683,,
垢,0037,0,,,032,01726,,
塔,0038,0,,,032,01816,,
堂,0039,0,,,032,01765,,
士,0040,0,,,033,01903,,
夫,0041,0,,,037,01949,,
奉,0042,0,,,037,01974,,
太,0043,0,,,037,01948,,
孔,0044,0,,,039,02264,,
宣,0045,0,,,040,02333,,
家,0046,0,,,040,02349,,
02377,0047,0,,,040,02377,,
富,0048,0,,,040,02366,,
對,0049,0,,,041,02435,,
小,0050,0,,,042,02439,,
屠,0051,0,,,044,02502,,
山,0052,0,,,046,02528,,
幃,0053,0,,,050,02855,,
帝,0054,0,,,050,02820,,
庫,0055,0,,,053,02949,,
康,0056,0,,,053,02962,,
建,0057,0,,,054,03006,,
延,0058,0,,,054,03005,,
強,0059,0,,,057,03066,,
弘,0060,0,,,057,03047,,
形,0061,0,,,059,03101,,
後,0062,0,,,060,03138,,
御,0063,0,,,060,03153,,
快,0064,0,,,061,03208,,
愧,0065,0,,,061,03414,,
患,0066,0,,,061,03329,,
慙,0067,0,,,061,03453,,
憂,0068,0,,,061,03486,,
慈,0069,0,,,061,03439,,
惜,0070,0,,,061,03364,,
必,0071,0,,,061,03180,,
悋,0072,0,,,061,03315,,
03357,0073,0,,,061,03357,,
忘,0074,0,,,061,03196,,
忍,0075,0,,,061,03184,,
志,0076,0,,,061,03194,,
悔,0077,0,,,061,03320,,
戲,0078,0,,,062,03636,,
投,0079,0,,,064,03708,,
拜,0080,0,,,064,03761,,
承,0081,0,,,064,03690,,
擧,0082,0,,,134,09632,,
揚,0083,0,,,064,03904,,
採,0084,0,,,064,03872,,
03712y5,0085,0,,,064,03712y5,,
敢,0086,0,,,066,04277,,
政,0087,0,,,066,04235,,
族,0088,0,,,070,04412,,
04616,0089,0,,,072,04616,,
會,0091,0,,,073,04667,,
棄,0092,0,,,075,05014,,
