統合ID,文字,S2067,字体数,用例数,部首
00107,九,0001,0,1,005
00108,乞,0002,0,1,005
00157,京,0003,0,1,008
00175,今,0004,0,1,009
00183,他,0005,0,1,009
00345,信,0006,0,1,009
00240,但,0007,0,1,009
00301,依,0008,0,1,009
00391,倫,0009,0,1,009
00411,偏,0010,0,1,009
00373,倒,0011,0,1,009
00192,代,0012,0,1,009
00288,侍,0013,0,1,009
00455,備,0014,0,1,009
00506,僮,0015,0,1,009
08797,組,0016,0,1,120
00594,八,0017,0,1,012
00602,兵,0018,0,1,012
00651,冥,0019,0,1,014
00646,冠,0020,0,1,014
00701,凡,0021,0,1,016
00794,前,0022,0,1,018
00887,動,0023,0,1,019
00881,勇,0024,0,1,019
00913,勸,0025,0,1,019
00975,匹,0026,0,1,023
00994,半,0027,0,1,024
01049,卽,0028,0,1,026
01068,厚,0029,0,1,027
01141,口,0030,0,1,030
01219,告,0031,0,1,030
01143,句,0032,0,1,030
01466,嘆,0033,0,1,030
01523,器,0034,0,1,030
01296,品,0035,0,1,030
01683,坑,0036,0,1,032
01726,垢,0037,0,1,032
01816,塔,0038,0,1,032
01765,堂,0039,0,1,032
01903,士,0040,0,1,033
01949,夫,0041,0,1,037
01974,奉,0042,0,1,037
01948,太,0043,0,1,037
02264,孔,0044,0,1,039
02333,宣,0045,0,1,040
02349,家,0046,0,1,040
02377,寘,0047,0,1,040
02366,富,0048,0,1,040
02435,對,0049,0,1,041
02439,小,0050,0,1,042
02502,屠,0051,0,1,044
02528,山,0052,0,1,046
02855,幃,0053,0,1,050
02820,帝,0054,0,1,050
02949,庫,0055,0,1,053
02962,康,0056,0,1,053
03006,建,0057,0,1,054
03005,延,0058,0,1,054
03066,強,0059,0,1,057
03047,弘,0060,0,1,057
03101,形,0061,0,1,059
03138,後,0062,0,1,060
03153,御,0063,0,1,060
03208,快,0064,0,1,061
03414,愧,0065,0,1,061
03329,患,0066,0,1,061
03453,慙,0067,0,1,061
03486,憂,0068,0,1,061
03439,慈,0069,0,1,061
03364,惜,0070,0,1,061
03180,必,0071,0,1,061
03315,悋,0072,0,1,061
03357,惔,0073,0,1,061
03196,忘,0074,0,1,061
03184,忍,0075,0,1,061
03194,志,0076,0,1,061
03320,悔,0077,0,1,061
03636,戲,0078,0,1,062
03708,投,0079,0,1,064
03761,拜,0080,0,1,064
03690,承,0081,0,1,064
09632,擧,0082,0,1,134
03904,揚,0083,0,1,064
03872,採,0084,0,1,064
03712y5,扴,0085,0,1,064
04277,敢,0086,0,1,066
04235,政,0087,0,1,066
04412,族,0088,0,1,070
04616,曀,0089,0,1,072
04667,會,0091,0,1,073
05014,棄,0092,0,1,075
05161,極,0093,0,1,075
05529,權,0094,0,1,075
04712,末,0095,0,1,075
05134,楚,0096,0,1,075
11893,辛,0097,0,1,160
04743,杖,0098,0,1,075
02771,巢,0099,0,1,047
04739,村,0100,0,1,075
05558,次,0101,0,1,076
05561,欣,0102,0,1,076
05641,止,0103,0,1,077
05676,歸,0104,0,1,077
05737,殘,0105,0,1,078
05796,殺,0106,0,1,079
05935,民,0107,0,1,083
06553,潤,0108,0,1,085
06286,淳,0109,0,1,085
06532,潔,0110,0,1,085
06151,流,0111,0,1,085
06230,涼,0112,0,1,085
06098,泰,0113,0,1,085
06266,淡,0115,0,1,085
05986,池,0116,0,1,085
06192,消,0117,0,1,085
06179,浴,0118,0,1,085
06603,澤,0119,0,1,085
06801,炎,0120,0,1,086
06776,火,0122,0,1,086
06965,熾,0123,0,1,086
07063,牖,0124,0,1,091
07065,牙,0125,0,1,092
07153,狩,0126,0,1,094
07112,犯,0127,0,1,094
07180,猛,0128,0,1,094
07457,甚,0130,0,1,099
07469,用,0131,0,1,101
07513,畜,0132,0,1,102
07535,當,0133,0,1,102
07483,男,0134,0,1,102
07559,疑,0135,0,1,103
07770,盛,0136,0,1,108
07907,瞻,0137,0,1,109
07790,目,0138,0,1,109
07865,睦,0139,0,1,109
08165,禮,0140,0,1,113
08316,窓,0141,0,1,116
08354,立,0142,0,1,117
08889,綵,0143,0,1,120
08795,終,0144,0,1,120
09011,繒,0145,0,1,120
08856,經,0146,0,1,120
09064,纏,0147,0,1,120
08997,繁,0148,0,1,120
09290,耳,0149,0,1,128
09332,職,0150,0,1,128
09515,腸,0151,0,1,130
09351,肌,0152,0,1,130
09379,育,0153,0,1,130
09362,肝,0154,0,1,130
09485,腎,0155,0,1,130
09384,肺,0156,0,1,130
09636,舌,0157,0,1,135
09665,般,0158,0,1,137
09954,萬,0159,0,1,140
10139,薄,0160,0,1,140
09807,茂,0161,0,1,140
10605,血,0162,0,1,143
10822,要,0163,0,1,146
11155,證,0164,0,1,149
11095,謂,0165,0,1,149
11121,謝,0166,0,1,149
11049,請,0167,0,1,149
11189,譬,0168,0,1,149
11008,誓,0169,0,1,149
11275,象,0170,0,1,152
11373,資,0171,0,1,154
11334,財,0172,0,1,154
11355,貴,0173,0,1,154
11467,超,0174,0,1,156
11740,車,0175,0,1,159
11799,輒,0176,0,1,159
12003,速,0177,0,1,162
11983,送,0178,0,1,162
11948,近,0179,0,1,162
12004,造,0180,0,1,162
12022,進,0181,0,1,162
12054,違,0182,0,1,162
12123,邑,0183,0,1,163
12188,都,0184,0,1,163
12282,酢,0185,0,1,164
14614,鹹,0186,0,1,197
12373,重,0187,0,1,166
12451,銀,0188,0,1,167
12791,闞,0189,0,1,169
12836,陋,0190,0,1,170
12838,降,0191,0,1,170
12963,集,0192,0,1,172
13103,靜,0193,0,1,174
13304,須,0194,0,1,181
13416,顯,0195,0,1,181
13395,顚,0196,0,1,181
13346,頭,0197,0,1,181
13641,饒,0198,0,1,184
13586y2,餚,0199,0,1,184
09554,膳,0200,0,1,130
13542,飾,0201,0,1,184
13680,馬,0202,0,1,187
13933,髓,0203,0,1,188
13873,骨,0204,0,1,188
13959,髮,0205,0,1,190
14174,鮮,0206,0,1,195
14809,鼻,0207,0,1,209
14828,齊,0208,0,1,210
14833,齒,0209,0,1,211
00001,一,0212,1,316,001
00008,上,0219,1,29,001
00009,下,0220,1,4,001
00013,不,0221,1,109,001
00007,三,0224,1,31,001
00004,七,0225,1,2,001
00025,世,0226,1,69,001
00026,丘,0228,1,2,001
00051,中,0229,1,23,002
00078,乃,0230,1,4,004
00088,之,0231,1,34,004
00102,乘,0232,1,19,004
00121,亂,0233a,2,2,005
00121b,亂,0233b,2,1,005
00128,事,0234,1,2,006
00125,了,0235,1,23,006
00129,二,0236,1,7,007
00135,五,0237,1,4,007
00154,亦,0238,1,23,008
00194,以,0239,1,45,009
00250,何,0240,1,3,009
00168,人,0241,1,11,009
00282,來,0242,1,37,009
00256,作,0243,1,7,009
00255,佛,0244,1,149,009
00193,令,0247,1,72,009
00279,使,0249,1,2,009
00299,供,0250,1,10,009
00321,便,0251,1,8,009
00406,偈,0252,1,2,009
00236,伽,0253,1,2,009
00217,伏,0254,1,7,009
00503,僧,0255,1,23,009
00530,儒,0256,1,5,009
00567,光,0257,1,7,010
00562,充,0258,1,20,010
00582,入,0259,1,23,011
00585,内,0260,1,3,011
00606,具,0261,1,44,012
00597,六,0262,1,2,012
00605,其,0263,1,11,012
00723,出,0264,1,18,017
00767,利,0265,1,2,018
00735,切,0266,1,292,018
00734,分,0272,1,18,018
00781,刹,0273,1,76,018
00763,別,0275,1,17,018
00759,初,0276,1,2,018
00769,到,0277,1,2,018
00803,剛,0278,1,2,018
00856,力,0279,1,24,019
00910,勳,0280,1,11,019
00857,功,0281,1,53,019
00893,勝,0283,1,22,019
00865,劫,0284,1,7,019
00938,化,0285,1,12,021
00985,十,0286,1,20,024
01088,厭,0287,1,8,027
01101,去,0288,1,2,028
01111,及,0289,1,16,029
01108,又,0290,1,2,029
01127,取,0291,1,53,029
01128,受,0293,1,16,029
01168,各,0294,1,2,030
01175,名,0295,1,5,030
01170,合,0296,1,2,030
01154,可,0297,1,32,030
01179,向,0298,1,84,030
01263,和,0300,1,3,030
01412,喜,0301,1,10,030
01581,嚴,0302,1,70,030
01235,周,0304,1,5,030
01174,同,0305,1,3,030
01395,善,0306,1,139,030
01242,味,0309,1,16,030
01252,命,0310,1,4,030
01607,四,0311,1,6,031
01639,國,0312,1,6,031
01611,因,0313,1,9,031
01645,圓,0314,1,2,031
01644,園,0315,1,2,031
01606,囚,0316,1,2,031
01627,固,0317,1,16,031
01659,在,0318,1,17,032
01666,地,0319,1,8,032
01682,坐,0320,1,14,032
01895,壞,0321,1,20,032
01740,城,0322,1,3,032
01853,增,0323,1,2,032
01654,土,0324a,2,5,032
01654b,土,0324b,2,1,032
01839,境,0325,1,17,032
01796,報,0326a,2,8,032
01796b,報,0326b,2,1,032
01818,塗,0327,1,3,032
01913,壽,0328,1,3,033
01934,外,0329,1,2,036
01946,大,0330,1,29,037
01947,天,0331,1,6,037
02031,如,0332,1,104,038
02029,好,0335,1,2,038
02142,婆,0336,1,3,038
02061,妻,0337,1,3,038
02105,威,0338,1,3,038
02022,女,0339,1,2,038
02045,妙,0340,1,26,038
02033,妄,0341,1,19,038
02262,子,0342,1,10,039
02293,學,0343,1,2,039
02325,定,0344,1,6,040
02357,寂,0345,1,8,040
02342,宮,0346,1,3,040
02352,容,0347,1,2,040
02390,實,0348,1,8,040
02309,安,0349,1,26,040
02407,寶,0350,1,36,040
02346,害,0351,1,2,040
02383,察,0352,1,5,040
02308,守,0353,1,3,040
02429,尊,0354,1,3,041
02436,導,0355,1,2,041
08077,礙,0357,1,14,112
02440,少,0358,1,2,042
02464,就,0359,1,32,043
02473,尼,0360,1,19,044
02515,屬,0361,1,5,044
02564,岸,0362,1,3,046
02780,差,0363,1,2,048
02775,巧,0364,1,4,048
02783,已,0365,1,8,049
02782,己,0366,1,3,049
02835,師,0367,1,4,050
02881,幡,0368,1,2,050
02847,常,0369,1,15,050
02800,布,0370,1,15,050
02882,幢,0371,1,6,050
02843,帳,0372,1,2,050
02899,平,0373,1,8,051
02989,廟,0374,1,2,053
03052,弟,0375,1,7,057
03084,彌,0376,1,3,057
03145,得,0377,1,85,060
03124,彼,0379,1,14,060
03151,從,0380,1,8,060
03159,復,0381,1,12,060
03165,微,0382,1,5,060
03172,德,0383,1,54,060
03179,心,0385,1,38,061
03214,念,0386,1,21,061
03312,悉,0387,1,64,061
03362,惚,0389,1,5,061
03395,意,0390,1,5,061
03244,性,0391,1,24,061
03239,思,0392,1,12,061
03373,想,0393,1,7,061
03405,愛,0394,1,6,061
03366,惠,0395,1,21,061
03471,慳,0396,1,2,061
03297,恭,0397,1,2,061
03367,惡,0398,1,4,061
03550,應,0399,1,6,061
03335,悲,0400,1,4,061
03404,愚,0401,1,6,061
02944,度,0402,1,6,053
03245,怨,0403,1,2,061
03534,憶,0404,1,2,061
03544,懃,0405,1,2,061
03610,成,0406,1,43,062
03617,或,0407,1,11,062
03611,我,0408,1,7,062
03612,戒,0409,1,16,062
03647,所,0410,1,64,063
03646,房,0412,1,2,063
03896,提,0413,1,9,064
03835,捨,0414,1,14,064
03780,持,0415,1,15,064
03661,才,0416,1,3,064
04009,摩,0417,1,77,064
03783,指,0419,1,2,064
04192,攝,0420,1,40,064
04130,擲,0421,1,2,064
04216,支,0422,1,2,065
04261,教,0423,1,4,066
04286,敬,0424,1,2,066
04243,故,0425,1,35,066
04280,散,0426,1,3,066
04298,數,0427,1,4,066
04319,變,0428,1,5,066
04263,救,0429,1,5,066
04293,敵,0430a,2,1,066
04293b,敵,0430b,2,1,066
04381,斷,0431,1,3,069
04385,方,0432,1,24,070
04389,於,0433,1,28,070
04391,施,0434a,2,27,070
04391b,施,0434b,2,11,070
06872,無,0435,1,220,086
04512,是,0440,1,71,072
04523,時,0442,1,24,072
04505,昧,0443,1,7,072
04569,智,0444,1,39,072
04485,明,0445,1,18,072
04446,日,0446,1,3,072
04557,普,0447,1,32,072
04664,最,0448,1,9,073
04661,曾,0449,1,4,073
04650,曰,0450,1,2,073
04673,月,0451,1,2,074
04679,服,0452,1,2,074
04674,有,0453,1,33,074
04711,未,0454,1,6,075
05279,樂,0455,1,18,075
05228,槃,0456,1,4,075
05293,樓,0457,1,2,075
04849,柔,0458,1,5,075
04803,林,0459,1,2,075
04806,果,0460,1,6,075
05152,業,0461,1,34,075
04848,染,0462,1,5,075
04922,根,0463,1,106,075
05323,樹,0466,1,2,075
05154,楯,0467,1,2,075
05639,歡,0468,1,3,076
05580,欲,0469,1,4,076
05644,此,0470,1,25,077
05643,正,0471,1,12,077
05717,殊,0472,1,6,078
05686,死,0473,1,5,078
05812,毀,0474,1,2,079
05809,殿,0475,1,4,079
05839,毒,0476,1,4,080
05834,母,0477,1,2,080
05841,比,0478,1,2,081
05850,毛,0479,1,2,082
05947,氣,0480,1,2,084
06055,治,0481,1,2,085
06490,演,0482,1,2,085
06045,河,0483,1,2,085
06003,決,0484,1,5,085
06189,涅,0485,1,4,085
06285,深,0486,1,12,085
06182,海,0487,1,6,085
06476,滿,0488,1,31,085
05964,求,0489,1,6,085
06290,清,0490,1,37,085
06432,滅,0491,1,14,085
06074,法,0492,1,156,085
06381,湯,0496,0,1,085
06272,淨,0497,1,77,085
05957,永,0499,1,3,085
06885,然,0500,1,3,086
06918,照,0501,1,11,086
06971,燈,0502,1,5,086
06921,煩,0503,1,4,086
07032,爲,0504,1,30,087
07035,父,0505,1,2,088
07043,爾,0506,1,2,089
07086,特,0507,1,3,093
07203,猶,0508,1,5,094
07241,獲,0509,1,2,094
07304,現,0510,1,14,096
07262,王,0511,1,9,096
07291,珠,0512,1,2,096
07456,甘,0513,1,4,099
07461,生,0514,1,144,100
07530,異,0517,1,3,102
07503,畏,0518,1,7,102
07478,田,0519,1,4,102
07501,界,0520,1,71,102
07685,癡,0522,1,8,104
07591,疾,0523,1,2,104
07707,發,0524,1,5,105
07717,皆,0525,1,18,106
07709,白,0526,1,2,106
07739,皮,0527,1,2,107
07779,盡,0528,1,38,108
07759,益,0529,1,2,108
07844,眾,0530,1,136,109
07827,眞,0533,1,8,109
07843,眼,0534,1,4,109
07801,相,0535,1,11,109
07839,眷,0536,1,5,109
07799,直,0537,1,2,109
07941,知,0538,1,24,111
08124,神,0539,1,8,113
08097,示,0540,1,4,113
08148,福,0541,1,5,113
08269,積,0542,1,2,115
08244,種,0543,1,12,115
08248,稱,0544,1,3,115
08296,空,0545,1,15,116
08293,究,0546,1,6,116
08329,窮,0547,1,5,116
08365,竟,0548,1,6,117
08376,端,0549,1,4,117
08426,等,0550,1,45,118
08493,節,0551,1,2,118
08685,精,0552,1,2,119
08885,網,0553,1,2,120
08822,給,0554,1,3,120
08924,緣,0555,1,9,120
09144,羅,0556,1,4,122
09175,羣,0557,1,3,123
09177,義,0558,1,2,123
09155,美,0559,1,2,123
09214,習,0560,1,11,124
09255,者,0561,1,18,125
09264,而,0562,1,8,126
09315,聞,0563,1,11,128
09328,聲,0564,1,6,128
09314,聚,0565,1,2,128
09308,聖,0566,1,3,128
09429,能,0567,1,40,130
09462,脩,0568,1,27,130
09348,肉,0569,1,2,130
09539,膚,0570,1,2,130
09463,脱,0571,1,3,130
09602,自,0572,1,24,132
09610,至,0573,1,22,133
