統合ID,文字,S81,字体数,用例数,部首
00006,丈,0001,0,1,001
00068,丸,0002,0,1,003
00069,丹,0003,0,1,003
00093,乏,0004,0,1,004
00107,九,0005,0,1,005
00125,了,0006,0,1,006
00128,事,0007,0,1,006
00186,仙,0008,0,1,009
00235,似,0009,0,1,009
00240,但,0010,0,1,009
00349,俯,0011,0,1,009
00350,倶,0012,0,1,009
00473,傷,0013,0,1,009
00561,兄,0014,0,1,010
00562,充,0015,0,1,010
00589,全,0016,0,1,011
00602,兵,0017,0,1,012
00629,再,0018,0,1,013
00648,冢,0019,0,1,014
00664,冰,0020,0,1,015
00713,凰,0021,0,1,016
00805,剝,0022,0,1,018
00824,創,0023,0,1,018
00893,勝,0024,0,1,019
00898,勢,0025,0,1,019
M01913,㓟,0026,0,1,019
00941,北,0027,0,1,021
00951,匝,0028,0,1,022
01010,南,0029,0,1,024
01016,博,0030,0,1,024
01019,卜,0031,0,1,025
01022,占,0032,0,1,025
01040,卷,0033,0,1,026
01116,反,0034,0,1,029
01187,呑,0035,0,1,030
01215,吼,0036,0,1,030
01217,吾,0037,0,1,030
01235,周,0038,0,1,030
01245,呵,0039,0,1,030
01272,咠,0040,0,1,030
01295,哀,0041,0,1,030
01312,咲,0042,0,1,030
01382,啞,0043,0,1,030
01439,嗅,0044,0,1,030
01466,嘆,0045,0,1,030
01503,噉,0046,0,1,030
01523,器,0047,0,1,030
01525,噬,0048,0,1,030
01160,叵,0049,0,1,030
01641,圍,0050,0,1,031
01648,團,0051,0,1,031
01676,坊,0052,0,1,032
01683,坑,0053,0,1,032
01726,垢,0054,0,1,032
01740,城,0055,0,1,032
01755,執,0056,0,1,032
01758,基,0057,0,1,032
01816,塔,0058,0,1,032
01818,塗,0059,0,1,032
01823,塞,0060,0,1,032
01873,壁,0061,0,1,032
01908,壷,0062,0,1,033
01913,壽,0063,0,1,033
01974,奉,0064,0,1,037
02151,婢,0065,0,1,038
02332,室,0066,0,1,040
02342,宮,0067,0,1,040
02352,容,0068,0,1,040
02355,宿,0069,0,1,040
02397,寬,0070,0,1,040
02422,射,0071,0,1,041
02425,將,0072,0,1,041
02426,專,0073,0,1,041
02430,尋,0074,0,1,041
02489,屍,0075,0,1,044
02774,左,0076,0,1,048
02846,帶,0077,0,1,050
02881,幡,0078,0,1,050
02882,幢,0079,0,1,050
02949,庫,0080,0,1,053
02985,廚,0081,0,1,053
03006,建,0082,1,4,054
03079,彈,0083,0,1,057
03137,律,0084,0,1,060
03208,快,0085,0,1,061
03241,怡,0086,0,1,061
03267,恆,0087,0,1,061
03272,恐,0088,0,1,061
03329,患,0089,0,1,061
03364,惜,0090,0,1,061
03387,愁,0091,0,1,061
03414,愧,0092,0,1,061
03453,慙,0093,0,1,061
03458,慢,0094,0,1,061
03466,慮,0095,0,1,061
03471,慳,0096,0,1,061
03486,憂,0097,0,1,061
03646,房,0098,0,1,063
03661,才,0099,0,1,064
03666,打,0100,0,1,064
03706,抓,0101,0,1,064
03711,折,0102,0,1,064
03743,拍,0103,0,1,064
03750,拔,0104,0,1,064
03761,拜,0105,0,1,064
04130,擲,0106,0,1,064
04185,04185,0107,0,1,064
04339,斗,0108,0,1,068
04364,斧,0109,0,1,069
04369,斬,0110,0,1,069
04412,族,0111,0,1,070
04442,旣,0112,0,1,071
04447,旦,0113,0,1,072
04453,旬,0114,0,1,072
04499,星,0115,0,1,072
04525,晃,0116,0,1,072
04640,曠,0117,0,1,072
04654,更,0118,0,1,073
04667,會,0119,0,1,073
04673,月,0120,0,1,074
04765,東,0121,0,1,075
04803,林,0122,0,1,075
04817,枳,0123,0,1,075
04849,柔,0124,0,1,075
04918,栴,0125,0,1,075
04930,桃,0126,0,1,075
05014,棄,0127,0,1,075
05081,椎,0128,0,1,075
05123,楊,0129,0,1,075
05220,榻,0130,0,1,075
05300,樗,0131,0,1,075
05639,歡,0132,0,1,076
05666,歳,0133,0,1,077
05734,殖,0134,0,1,078
05809,殿,0135,0,1,079
05839,毒,0136,0,1,080
05841,比,0137,0,1,081
05906,05906,0138,0,1,082
05910,05910,0139,0,1,082
05947,氣,0140,0,1,084
05986,池,0141,0,1,085
06015,沈,0142,0,1,085
06063,泉,0143,0,1,085
06091,注,0144,0,1,085
06144,洹,0145,0,1,085
06145,活,0146,0,1,085
06151,流,0147,1,2,085
06192,消,0148,0,1,085
06230,涼,0149,0,1,085
06317,渠,0150,0,1,085
06326,温,0151,0,1,085
06476,滿,0152,0,1,085
06507,漬,0153,0,1,085
06517,漸,0154,0,1,085
06553,潤,0155,0,1,085
06603,澤,0156,0,1,085
06641,濟,0157,0,1,085
06801,炎,0158,0,1,086
06805,炙,0159,0,1,086
06816,炬,0160,0,1,086
06895,煮,0161,0,1,086
06900,06900,0162,0,1,086
06901,煙,0163,0,1,086
06949,熟,0164,0,1,086
06965,熾,0165,0,1,086
07076,牢,0166,0,1,093
07087,牽,0167,0,1,093
07135,狐,0168,0,1,094
07161,狸,0169,0,1,094
07193,猫,0170,0,1,094
07200,猴,0171,0,1,094
M20312,,0172,0,1,094
M20715,,0173,0,1,094
07261,玉,0174,0,1,096
07266,玖,0175,0,1,096
07284,珊,0176,0,1,096
07287,珍,0177,0,1,096
07290,珞,0178,0,1,096
07291,珠,0179,0,1,096
07327,琴,0181,0,1,096
07342,瑙,0182,0,1,096
07356,瑰,0183,0,1,096
07397,瓔,0184,0,1,096
07478,田,0185,0,1,102
07654,痩,0186,0,1,104
07668,療,0187,0,1,104
07771,盜,0188,0,1,108
07799,直,0189,0,1,109
07860,睡,0190,0,1,109
08008,碁,0191,0,1,112
08057,磨,0192,0,1,112
08107,祇,0193,0,1,113
08165,禮,0194,0,1,113
08248,稱,0195,0,1,115
08256,稻,0196,0,1,115
08258,稽,0197,0,1,115
08279,穢,0198,0,1,115
08329,窮,0199,0,1,116
08380,競,0200,0,1,117
08399,笙,0201,0,1,118
08437,答,0202,0,1,118
08479,箭,0203,0,1,118
08573,簧,0204,0,1,118
08635,米,0205,0,1,119
08664,粟,0206,0,1,119
08685,精,0207,0,1,119
08753,純,0208,0,1,120
08773,紫,0209,0,1,120
08822,給,0210,0,1,120
08879,維,0211,0,1,120
08885,網,0212,0,1,120
09012,織,0213,0,1,120
09028,繩,0214,0,1,120
09061,續,0215,0,1,120
09128,置,0216,0,1,122
09155,美,0217,0,1,123
09182,羯,0218,0,1,123
09245,翼,0219,0,1,124
09249,耀,0220,0,1,124
09336,聾,0221,0,1,128
09345,肆,0222,0,1,129
09348,肉,0223,0,1,130
09379,育,0224,0,1,130
09411,胡,0225,0,1,130
09447,脚,0226,0,1,130
09568,臂,0227,0,1,130
09584,臘,0228,0,1,130
09596,臣,0229,0,1,131
09605,臭,0230,0,1,132
09630,興,0231,0,1,134
