カード番号,文字,用例数1,用例数2,用例数3,字体数,部首番号,大字典番号,,
0001,且,,,,0,001,00020,,
0002,丸,,,,0,003,00068,,
0003,乘,,,,0,004,00102,,
0004,乏,,,,0,004,00093,,
0005,乞,,,,0,005,00108,,
0006,二,,,,0,007,00129,,
0007,休,,,,0,009,00219,,
0008,00264,,,,0,009,00264,,
0009,倫,,,,0,009,00391,,
0010,償,,,,0,009,00539,,
0011,信,,,,0,009,00345,,
0012,傳,,,,0,009,00468,,
0013,僕,,,,0,009,00493,,
0014,仍,,,,0,009,00177,,
0015,位,,,,0,009,00243,,
0016,00261,,,,0,009,00261,,
0017,俳,,,,0,009,00351,,
0018,似,,,,0,009,00235,,
0019,側,,,,0,009,00429,,
0020,倡,,,,0,009,00383,,
0021,傾,,,,0,009,00475,,
0022,侵,,,,0,009,00317,,
0023,冥,,,,0,014,00651,,
0024,別,,,,0,018,00763,,
0025,剛,,,,0,018,00803,,
0026,刑,,,,0,018,00746,,
0027,割,,,,0,018,00820,,
0028,剋,,,,0,018,00792,,
0029,分,,,,0,018,00734,,
0030,到,,,,0,018,00769,,
0031,加,,,,0,019,00858,,
0032,勇,,,,0,019,00881,,
0033,勒,,,,0,019,00885,,
0034,勢,,,,0,019,00898,,
0035,勸,,,,0,019,00913,,
0036,卒,,,,0,024,01004,,
0037,原,,,,0,027,01074,,
0038,厠,,,,0,027,01075,,
0039,友,,,,0,029,01112,,
0040,M83889,,,,0,030,,,
0041,和,,,,0,030,01263,,
0042,啓,,,,0,030,01373,,
0043,唾,,,,0,030,01359,,
0044,咨,,,,0,030,01278,,
0045,向,,,,0,030,01179,,
0046,哺,,,,0,030,01328,,
0047,周,,,,0,030,01235,,
0048,咄,,,,0,030,01256,,
0049,單,,,,0,030,01427,,
0050,啼,,,,0,030,01387,,
0051,咀,,,,0,030,01255,,
0052,嘔,,,,0,030,01476,,
0053,呼,,,,0,030,01251,,
0054,告,,,,0,030,01219,,
0055,吉,,,,0,030,01172,,
0056,哉,,,,0,030,01305,,
0057,囹,,,,0,031,01626,,
0058,圄,,,,0,031,01634,,
0059,圓,,,,0,031,01645,,
0060,土,,,,0,032,01654,,
0061,墾,,,,0,032,01872,,
0062,境,,,,0,032,01839,,
0063,塵,,,,0,032,01831,,
0064,夢,,,,0,036,01943,,
0065,奢,,,,0,037,02006,,
0066,姉,,,,0,038,02068,,
0067,妹,,,,0,038,02059,,
0068,奴,,,,0,038,02024,,
0069,婢,,,,0,038,02151,,
0070,嬉,,,,0,038,02232,,
0071,姓,,,,0,038,02077,,
0072,字,,,,0,039,02267,,
0074,宅,,,,0,040,02306,,
0075,宗,,,,0,040,02322,,
0076,室,,,,0,040,02332,,
0077,察,,,,0,040,02383,,
0078,寐,,,,0,040,02369,,
0079,對,,,,0,041,02435,,
0080,尚,,,,0,042,02446,,
0081,屋,,,,0,044,02488,,
0082,屎,,,,0,044,02490,,
0083,屈,,,,0,044,02485,,
0084,巖,,,,0,046,02757,,
0085,嶺,,,,0,046,02734,,
0086,嶮,,,,0,046,02728,,
0087,峻,,,,0,046,02598,,
0088,峯,,,,0,046,02589,,
0089,幡,,,,0,050,02881,,
0090,布,,,,0,050,02800,,
0091,希,,,,0,050,02806,,
0092,平,,,,0,051,02899,,
0093,年,,,,0,051,02900,,
0094,幽,,,,0,052,02912,,
0095,床,,,,0,053,02924,,
0096,底,,,,0,053,02932,,
0097,弄,,,,0,055,03017,,
0098,彫,,,,0,059,03111,,
0099,循,,,,0,060,03160,,
0100,愈,,,,0,061,03391,,
0101,懊,,,,0,061,03551,,
0102,懸,,,,0,061,03586,,
0103,慄,,,,0,061,03435,,
0105,怒,,,,0,061,03229,,
0106,惟,,,,0,061,03365,,
0107,志,,,,0,061,03194,,
0108,憩,,,,0,061,03521,,
0109,03255,,,,0,061,03255,,
0110,快,,,,0,061,03208,,
0111,愁,,,,0,061,03387,,
0112,惶,,,,0,061,03376,,
0113,憐,,,,0,061,03499,,
0114,怡,,,,0,061,03241,,
0115,性,,,,0,061,03244,,
0116,息,,,,0,061,03298,,
0117,慙,,,,0,061,03453,,
0118,03383,,,,0,061,03383,,
0119,愼,,,,0,061,03429,,
0120,恨,,,,0,061,03291,,
0121,感,,,,0,061,03409,,
0122,M11102,,,,0,061,,,
0123,急,,,,0,061,03243,,
0124,攝,,,,0,064,04192,,
0125,損,,,,0,064,03939,,
0126,才,,,,0,064,03661,,
0127,承,,,,0,064,03690,,
0128,捉,,,,0,064,03818,,
0129,捕,,,,0,064,03828,,
0130,掘,,,,0,064,03865,,
0131,投,,,,0,064,03708,,
0132,挽,,,,0,064,03808,,
0133,03927,,,,0,064,03927,,
0134,振,,,,0,064,03799,,
0135,拜,,,,0,064,03761,,
0136,推,,,,0,064,03880,,
0137,攀,,,,0,064,04146,,
0138,授,,,,0,064,03855,,
0139,拏,,,,0,064,03744,,
0140,變,,,,0,066,04319,,
0141,攻,,,,0,066,04231,,
0142,敷,,,,0,066,04296,,
0143,救,,,,0,066,04263,,
0144,斃,,,,0,066,04311,,
0145,新,,,,0,069,04376,,
0146,族,,,,0,070,04412,,
0147,昵,,,,0,072,04518,,
