,,mam_P2160,mam_P2160,mam_P2160,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
00020,且,0001,0,1,001
00068,丸,0002,0,1,003
00102,乘,0003,0,1,004
00093,乏,0004,0,1,004
00108,乞,0005,0,1,005
00129,二,0006,0,1,007
00219,休,0007,0,1,009
00264,佪,0008,0,1,009
00391,倫,0009,0,1,009
00539,償,0010,0,1,009
00345,信,0011,0,1,009
00468,傳,0012,0,1,009
00493,僕,0013,0,1,009
00177,仍,0014,0,1,009
00243,位,0015,0,1,009
00261,佉,0016,0,1,009
00351,俳,0017,0,1,009
00235,似,0018,0,1,009
00429,側,0019,0,1,009
00383,倡,0020,0,1,009
00475,傾,0021,0,1,009
00317,侵,0022,0,1,009
00651,冥,0023,0,1,014
00763,別,0024,0,1,018
00803,剛,0025,0,1,018
00746,刑,0026,0,1,018
00820,割,0027,0,1,018
00792,剋,0028,0,1,018
00734,分,0029,0,1,018
00769,到,0030,0,1,018
00858,加,0031,0,1,019
00881,勇,0032,0,1,019
00885,勒,0033,0,1,019
00898,勢,0034,0,1,019
00913,勸,0035,0,1,019
01004,卒,0036,0,1,024
01074,原,0037,0,1,027
01075,厠,0038,0,1,027
01112,友,0039,0,1,029
M83889,㖵,0040,0,1,030
01263,和,0041,0,1,030
01373,啓,0042,0,1,030
01359,唾,0043,0,1,030
01278,咨,0044,0,1,030
01179,向,0045,0,1,030
01328,哺,0046,0,1,030
01235,周,0047,0,1,030
01256,咄,0048,0,1,030
01427,單,0049,0,1,030
01387,啼,0050,0,1,030
01255,咀,0051,0,1,030
01476,嘔,0052,0,1,030
01251,呼,0053,0,1,030
01219,告,0054,0,1,030
01172,吉,0055,0,1,030
01305,哉,0056,0,1,030
01626,囹,0057,0,1,031
01634,圄,0058,0,1,031
01645,圓,0059,0,1,031
01654,土,0060,0,1,032
01872,墾,0061,0,1,032
01839,境,0062,0,1,032
01831,塵,0063,0,1,032
01943,夢,0064,0,1,036
02006,奢,0065,0,1,037
02068,姉,0066,0,1,038
02059,妹,0067,0,1,038
02024,奴,0068,0,1,038
02151,婢,0069,0,1,038
02232,嬉,0070,0,1,038
02077,姓,0071,0,1,038
02267,字,0072,0,1,039
02306,宅,0074,0,1,040
02322,宗,0075,0,1,040
02332,室,0076,0,1,040
02383,察,0077,0,1,040
02369,寐,0078,0,1,040
02435,對,0079,0,1,041
02446,尚,0080,0,1,042
02488,屋,0081,0,1,044
02490,屎,0082,0,1,044
02485,屈,0083,0,1,044
02757,巖,0084,0,1,046
02734,嶺,0085,0,1,046
02728,嶮,0086,0,1,046
02598,峻,0087,0,1,046
02589,峯,0088,0,1,046
02881,幡,0089,0,1,050
02800,布,0090,0,1,050
02806,希,0091,0,1,050
02899,平,0092,0,1,051
02900,年,0093,0,1,051
02912,幽,0094,0,1,052
02924,床,0095,0,1,053
02932,底,0096,0,1,053
03017,弄,0097,0,1,055
03111,彫,0098,0,1,059
03160,循,0099,0,1,060
03391,愈,0100,0,1,061
03551,懊,0101,0,1,061
03586,懸,0102,0,1,061
03435,慄,0103,0,1,061
03229,怒,0105,0,1,061
03365,惟,0106,0,1,061
03194,志,0107,0,1,061
03521,憩,0108,0,1,061
03255,怳,0109,0,1,061
03208,快,0110,0,1,061
03387,愁,0111,0,1,061
03376,惶,0112,0,1,061
03499,憐,0113,0,1,061
03241,怡,0114,0,1,061
03244,性,0115,0,1,061
03298,息,0116,0,1,061
03453,慙,0117,0,1,061
03383,惽,0118,0,1,061
03429,愼,0119,0,1,061
03291,恨,0120,0,1,061
03409,感,0121,0,1,061
M11102,慞,0122,0,1,061
03243,急,0123,0,1,061
04192,攝,0124,0,1,064
03939,損,0125,0,1,064
03661,才,0126,0,1,064
03690,承,0127,0,1,064
03818,捉,0128,0,1,064
03828,捕,0129,0,1,064
03865,掘,0130,0,1,064
03708,投,0131,0,1,064
03808,挽,0132,0,1,064
03927,揵,0133,0,1,064
03799,振,0134,0,1,064
03761,拜,0135,0,1,064
03880,推,0136,0,1,064
04146,攀,0137,0,1,064
03855,授,0138,0,1,064
03744,拏,0139,0,1,064
04319,變,0140,0,1,066
04231,攻,0141,0,1,066
04296,敷,0142,0,1,066
04263,救,0143,0,1,066
04311,斃,0144,0,1,066
04376,新,0145,0,1,069
04412,族,0146,0,1,070
04518,昵,0147,0,1,072
04636,曜,0148,0,1,072
04499,星,0149,0,1,072
04660,曼,0150,0,1,073
04651,曲,0151,0,1,073
04693,望,0152,0,1,074
04871,柱,0153,0,1,075
05323,樹,0154,0,1,075
05226,槁,0155,0,1,075
04869,柯,0156,0,1,075
05210,榮,0157,0,1,075
05001,械,0158,0,1,075
05134,楚,0159,0,1,075
04850,柏,0160,0,1,075
04772,杸,0161,0,1,075
04942,桓,0162,0,1,075
04821,枷,0163,0,1,075
04775,杻,0164,0,1,075
04984,條,0165,0,1,075
05561,欣,0166,0,1,076
05641,止,0167,0,1,077
05666,歳,0168,0,1,077
05734,殖,0169,0,1,078
05809,殿,0170,0,1,079
05947,氣,0171,0,1,084
06553,潤,0172,0,1,085
06202,涕,0173,0,1,085
06422,溺,0174,0,1,085
06480,漂,0175,0,1,085
06253,涙,0176,0,1,085
06227,涸,0177,0,1,085
06275,淪,0178,0,1,085
06532,潔,0179,0,1,085
06120,洗,0180,0,1,085
06179,浴,0181,0,1,085
06055,治,0182,0,1,085
06381,湯,0183,0,1,085
06396,源,0184,0,1,085
