カード番号,文字,用例数1,用例数2,字体数,大字典番号,部首番号
0001,丘,,,0,00026,001
0002,主,,,0,00070,003
0003,也,,,0,00109,005
0004,付,,,0,00185,009
0005,仰,,,0,00199,009
0006,侍,,,0,00288,009
0007,倒,,,0,00373,009
0008,兒,,,0,00574,010
0009,共,,,0,00599,012
0010,力,,,0,00856,019
0011,劣,,,0,00859,019
0012,勅,,,0,00879,019
0013,動,,,0,00887,019
0014,半,,,0,00994,024
0015,博,,,0,01016,024
0016,反,,,0,01116,029
0017,右,,,0,01158,030
0018,含,,,0,01197,030
0019,喪,,,0,01430,030
0020,嘆,,,0,01466,030
0021,味,,,0,01242,030
0022,困,,,0,01623,031
0023,國,,,0,01639,031
0024,埋,,,0,01738,032
0025,垂,,,0,01710,032
0026,堂,,,0,01765,032
0027,報,,,0,01796,032
0028,夜,,,0,01939,036
0029,失,,,0,01957,037
0030,奉,,,0,01974,037
0031,孔,,,0,02264,039
0032,孝,,,0,02273,039
0033,官,,,0,02323,040
0034,寸,,,0,02413,041
0035,居,,,0,02482,044
0036,左,,,0,02774,048
0037,布,,,0,02800,050
0038,平,,,0,02899,051
0039,年,,,0,02900,051
0040,弗,,,0,03046,057
0041,彈,,,0,03079,057
0042,彌,,,0,03084,057
0043,微,,,0,03165,060
0044,忌,,,0,03183,061
0045,快,,,0,03208,061
0046,慓,,,0,03448,061
0047,憂,,,0,03486,061
0048,懃,,,0,03544,061
0049,應,,,0,03550,061
0050,M10722,,,0,,061
0051,戰,,,0,03633,062
0052,承,,,0,03690,064
0053,拘,,,0,03757,064
0054,指,,,0,03783,064
0055,掉,,,0,03856,064
0056,掠,,,0,03871,064
0057,損,,,0,03939,064
0058,04144,,,0,04144,064
0059,支,,,0,04216,065
0060,敗,,,0,04268,066
0061,斧,,,0,04364,069
0062,昧,,,0,04505,072
0063,曲,,,0,04651,073
0064,更,,,0,04654,073
0065,服,,,0,04679,074
0066,本,,,0,04713,075
0067,杖,,,0,04743,075
0068,枝,,,0,04807,075
0069,根,,,0,04922,075
0070,梟,,,0,04985,075
0071,棄,,,0,05014,075
0072,殺,,,0,05796,079
0073,比,,,0,05841,081
0074,毛,,,0,05850,082
0075,民,,,0,05935,083
0076,江,,,0,05985,085
0077,治,,,0,06055,085
0078,涕,,,0,06202,085
0079,淫,,,0,06277,085
0080,清,,,0,06290,085
0081,溺,,,0,06422,085
0082,激,,,0,06616,085
0083,灑,,,0,06750,085
0084,爛,,,0,07017,086
0085,床,,,0,02924,053
0086,牢,,,0,07076,093
0087,犯,,,0,07112,094
0088,狐,,,0,07135,094
0089,猶,,,0,07203,094
