統合ID,文字,P2413,字体数,用例数,部首
00026,丘,0001,0,1,001
00070,主,0002,0,1,003
00109,也,0003,0,1,005
00185,付,0004,0,1,009
00199,仰,0005,0,1,009
00288,侍,0006,0,1,009
00373,倒,0007,0,1,009
00574,兒,0008,0,1,010
00599,共,0009,0,1,012
00856,力,0010,0,1,019
00859,劣,0011,0,1,019
00879,勅,0012,0,1,019
00887,動,0013,0,1,019
00994,半,0014,0,1,024
01016,博,0015,0,1,024
01116,反,0016,0,1,029
01158,右,0017,0,1,030
01197,含,0018,0,1,030
01430,喪,0019,0,1,030
01466,嘆,0020,0,1,030
01242,味,0021,0,1,030
01623,困,0022,0,1,031
01639,國,0023,0,1,031
01738,埋,0024,0,1,032
01710,垂,0025,0,1,032
01765,堂,0026,0,1,032
01796,報,0027,0,1,032
01939,夜,0028,0,1,036
01957,失,0029,0,1,037
01974,奉,0030,0,1,037
02264,孔,0031,0,1,039
02273,孝,0032,0,1,039
02323,官,0033,0,1,040
02413,寸,0034,0,1,041
02482,居,0035,0,1,044
02774,左,0036,0,1,048
02800,布,0037,0,1,050
02899,平,0038,0,1,051
02900,年,0039,0,1,051
03046,弗,0040,0,1,057
03079,彈,0041,0,1,057
03084,彌,0042,0,1,057
03165,微,0043,0,1,060
03183,忌,0044,0,1,061
03208,快,0045,0,1,061
03448,慓,0046,0,1,061
03486,憂,0047,0,1,061
03544,懃,0048,0,1,061
03550,應,0049,0,1,061
M10722,㤿,0050,0,1,061
03633,戰,0051,0,1,062
03690,承,0052,0,1,064
03757,拘,0053,0,1,064
03783,指,0054,0,1,064
03856,掉,0055,0,1,064
03871,掠,0056,0,1,064
03939,損,0057,0,1,064
04144,擿,0058,0,1,064
04216,支,0059,0,1,065
04268,敗,0060,0,1,066
04364,斧,0061,0,1,069
04505,昧,0062,0,1,072
04651,曲,0063,0,1,073
04654,更,0064,0,1,073
04679,服,0065,0,1,074
04713,本,0066,0,1,075
04743,杖,0067,0,1,075
04807,枝,0068,0,1,075
04922,根,0069,0,1,075
04985,梟,0070,0,1,075
05014,棄,0071,0,1,075
05796,殺,0072,0,1,079
05841,比,0073,0,1,081
05850,毛,0074,0,1,082
05935,民,0075,0,1,083
05985,江,0076,0,1,085
06055,治,0077,0,1,085
06202,涕,0078,0,1,085
06277,淫,0079,0,1,085
06290,清,0080,0,1,085
06422,溺,0081,0,1,085
06616,激,0082,0,1,085
06750,灑,0083,0,1,085
07017,爛,0084,0,1,086
02924,床,0085,0,1,053
07076,牢,0086,0,1,093
07112,犯,0087,0,1,094
07135,狐,0088,0,1,094
07203,猶,0089,0,1,094
