カード番号,文字,用例数1,用例数2,用例数3,字体数,部首番号,大字典番号
0001,且,,,,0,001,00020
0002,乞,,,,0,005,00108
0003,九,,,,0,005,00107
0004,亘,,,,0,007,00139
0005,云,,,,0,007,00133
0006,亡,,,,0,008,00150
0007,儀,,,,0,009,00516
0008,任,,,,0,009,00206
0009,侍,,,,0,009,00288
0010,倒,,,,0,009,00373
0011,僧,,,,0,009,00503
0012,偏,,,,0,009,00411
0013,位,,,,0,009,00243
0014,偈,,,,0,009,00406
0015,倍,,,,0,009,00368
0016,兜,,,,0,010,00579
0017,先,,,,0,010,00566
0018,兩,,,,0,011,00591
0019,刹,,,,0,018,00781
0020,剛,,,,0,018,00803
0021,勉,,,,0,019,00882
0022,動,,,,0,019,00887
0023,勒,,,,0,019,00885
0024,北,,,,0,021,00941
0025,匱,,,,0,022,00968
0026,00997,,,,0,024,00997
0027,卑,,,,0,024,01003
0028,博,,,,0,024,01016
0029,半,,,,0,024,00994
0030,廿,,,,0,024,00988
0031,卷,,,,0,026,01040
0032,原,,,,0,027,01074
0033,友,,,,0,029,01112
0034,01180,,,,0,030,01180
0035,嘗,,,,0,030,01479
0036,吟,,,,0,030,01188
0037,呪,,,,0,030,01236
0038,哲,,,,0,030,01326
0039,圍,,,,0,031,01641
0040,填,,,,0,032,01825
0041,境,,,,0,032,01839
0042,壁,,,,0,032,01873
0043,垂,,,,0,032,01710
0044,堪,,,,0,032,01789
0045,増,,,,0,032,01853
0046,域,,,,0,032,01745
0047,場,,,,0,032,01798
0048,執,,,,0,032,01755
0049,奧,,,,0,037,02010
0050,女,,,,0,038,02022
0051,02089,,,,0,038,02089
0052,婬,,,,0,038,02159
0053,嫉,,,,0,038,02201
0054,妄,,,,0,038,02033
0055,奴,,,,0,038,02024
0056,字,,,,0,039,02267
0057,寫,,,,0,040,02396
0058,室,,,,0,040,02332
0059,宮,,,,0,040,02342
0060,肉,,,,0,130,09348
0061,宜,,,,0,040,02327
0062,專,,,,0,041,02426
0063,小,,,,0,042,02439
0064,尼,,,,0,044,02473
0065,山,,,,0,046,02528
0066,巧,,,,0,048,02775
0067,幡,,,,0,050,02881
0068,幸,,,,0,051,02903
0069,幻,,,,0,052,02907
0070,序,,,,0,053,02928
0071,庠,,,,0,053,02939
0072,延,,,,0,054,03005
0073,強,,,,0,057,03066
0074,弟,,,,0,057,03052
0075,影,,,,0,059,03116
0076,形,,,,0,059,03101
0077,徑,,,,0,060,03142
0078,微,,,,0,060,03165
0079,m11011,,,,0,061,
0080,恚,,,,0,061,03278
0081,想,,,,0,061,03373
0082,性,,,,0,061,03244
0083,惓,,,,0,061,03356
0084,惠,,,,0,061,03366
0085,慓,,,,0,061,03448
0086,懼,,,,0,061,03589
0087,悚,,,,0,061,03323
0088,03347,,,,0,061,03347
0089,愼,,,,0,061,03429
0090,感,,,,0,061,03409
0091,怯,,,,0,061,03252
0092,慇,,,,0,061,03438
0093,悔,,,,0,061,03320
0094,快,,,,0,061,03208
0095,恃,,,,0,061,03265
0096,憶,,,,0,061,03534
0097,悟,,,,0,061,03326
0098,恆,,,,0,061,03267
0099,惟,,,,0,061,03365
0100,戲,,,,0,062,03636
0101,攀,,,,0,064,04146
0102,拘,,,,0,064,03757
0103,承,,,,0,064,03690
0104,折,,,,0,064,03711
0105,04079,,,,0,064,04079
0106,掌,,,,0,064,03858
0107,採,,,,0,064,03872
0108,振,,,,0,064,03799
0109,抱,,,,0,064,03720
0110,拔,,,,0,064,03750
0111,打,,,,0,064,03666
0112,捕,,,,0,064,03828
0113,敘,,,,0,066,04258
0114,散,,,,0,066,04280
0115,敵,,,,0,066,04293
0116,敢,,,,0,066,04277
0117,既,,,,0,071,04442
0118,昔,,,,0,072,04490
0119,旨,,,,0,072,04450
0120,曼,,,,0,073,04660
0121,更,,,,0,073,04654
0122,望,,,,0,074,04693
0123,木,,,,0,075,04707
0124,桀,,,,0,075,04927
0125,某,,,,0,075,04845
0126,榮,,,,0,075,05210
0127,朽,,,,0,075,04725
0128,東,,,,0,075,04765
0129,枝,,,,0,075,04807
0130,橋,,,,0,075,05348
0131,楊,,,,0,075,05123
0132,桓,,,,0,075,04942
0133,欣,,,,0,076,05561
0134,殃,,,,0,078,05699
0135,殖,,,,0,078,05734
0136,毀,,,,0,079,05812
0137,殿,,,,0,079,05809
0138,毒,,,,0,080,05839
0139,毛,,,,0,082,05850
0140,民,,,,0,083,05935
