,,kgk_賢劫経二,kgk_賢劫経二,kgk_賢劫経二,
統合ID,見出し文字,代表字形ID,字体数,代表字形ID,部首
00020,且,0001,0,1,001
00108,乞,0002,0,1,005
00107,九,0003,0,1,005
00139,亘,0004,0,1,007
00133,云,0005,0,1,007
00150,亡,0006,0,1,008
00516,儀,0007,0,1,009
00206,任,0008,0,1,009
00288,侍,0009,0,1,009
00373,倒,0010,0,1,009
00503,僧,0011,0,1,009
00411,偏,0012,0,1,009
00243,位,0013,0,1,009
00406,偈,0014,0,1,009
00368,倍,0015,0,1,009
00579,兜,0016,0,1,010
00566,先,0017,0,1,010
00591,兩,0018,0,1,011
00781,刹,0019,0,1,018
00803,剛,0020,0,1,018
00882,勉,0021,0,1,019
00887,動,0022,0,1,019
00885,勒,0023,0,1,019
00941,北,0024,0,1,021
00968,匱,0025,0,1,022
00997,卌,0026,0,1,024
01003,卑,0027,0,1,024
01016,博,0028,0,1,024
00994,半,0029,0,1,024
00988,廿,0030,0,1,024
01040,卷,0031,0,1,026
01074,原,0032,0,1,027
01112,友,0033,0,1,029
01180,吒,0034,0,1,030
01479,嘗,0035,0,1,030
01188,吟,0036,0,1,030
01236,呪,0037,0,1,030
01326,哲,0038,0,1,030
01641,圍,0039,0,1,031
01825,塡,0040,0,1,032
01839,境,0041,0,1,032
01873,壁,0042,0,1,032
01710,垂,0043,0,1,032
01789,堪,0044,0,1,032
01853,增,0045,0,1,032
01745,域,0046,0,1,032
01798,場,0047,0,1,032
01755,執,0048,0,1,032
02010,奧,0049,0,1,037
02022,女,0050,0,1,038
02089,姤,0051,0,1,038
02159,婬,0052,0,1,038
02201,嫉,0053,0,1,038
02033,妄,0054,0,1,038
02024,奴,0055,0,1,038
02267,字,0056,0,1,039
02396,寫,0057,0,1,040
02332,室,0058,0,1,040
02342,宮,0059,0,1,040
09348,肉,0060,0,1,130
02327,宜,0061,0,1,040
02426,專,0062,0,1,041
02439,小,0063,0,1,042
02473,尼,0064,0,1,044
02528,山,0065,0,1,046
02775,巧,0066,0,1,048
02881,幡,0067,0,1,050
02903,幸,0068,0,1,051
02907,幻,0069,0,1,052
02928,序,0070,0,1,053
02939,庠,0071,0,1,053
03005,延,0072,0,1,054
03066,強,0073,0,1,057
03052,弟,0074,0,1,057
03116,影,0075,0,1,059
03101,形,0076,0,1,059
03142,徑,0077,0,1,060
03165,微,0078,0,1,060
M11011,愵,0079,0,1,061
03278,恚,0080,0,1,061
03373,想,0081,0,1,061
03244,性,0082,0,1,061
03356,惓,0083,0,1,061
03366,惠,0084,0,1,061
03448,慓,0085,0,1,061
03589,懼,0086,0,1,061
03323,悚,0087,0,1,061
03347,惄,0088,0,1,061
03429,愼,0089,0,1,061
03409,感,0090,0,1,061
03252,怯,0091,0,1,061
03438,慇,0092,0,1,061
03320,悔,0093,0,1,061
03208,快,0094,0,1,061
03265,恃,0095,0,1,061
03534,憶,0096,0,1,061
03326,悟,0097,0,1,061
03267,恆,0098,0,1,061
03365,惟,0099,0,1,061
03636,戲,0100,0,1,062
04146,攀,0101,0,1,064
03757,拘,0102,0,1,064
03690,承,0103,0,1,064
03711,折,0104,0,1,064
04079,撾,0105,0,1,064
03858,掌,0106,0,1,064
03872,採,0107,0,1,064
03799,振,0108,0,1,064
03720,抱,0109,0,1,064
03750,拔,0110,0,1,064
03666,打,0111,0,1,064
03828,捕,0112,0,1,064
04258,敘,0113,0,1,066
04280,散,0114,0,1,066
04293,敵,0115,0,1,066
04277,敢,0116,0,1,066
04442,旣,0117,0,1,071
04490,昔,0118,0,1,072
04450,旨,0119,0,1,072
04660,曼,0120,0,1,073
04654,更,0121,0,1,073
04693,望,0122,0,1,074
04707,木,0123,0,1,075
04927,桀,0124,0,1,075
04845,某,0125,0,1,075
05210,榮,0126,0,1,075
04725,朽,0127,0,1,075
04765,東,0128,0,1,075
04807,枝,0129,0,1,075
05348,橋,0130,0,1,075
05123,楊,0131,0,1,075
04942,桓,0132,0,1,075
05561,欣,0133,0,1,076
05699,殃,0134,0,1,078
05734,殖,0135,0,1,078
05812,毀,0136,0,1,079
05809,殿,0137,0,1,079
05839,毒,0138,0,1,080
05850,毛,0139,0,1,082
05935,民,0140,0,1,083
06088,泥,0141,0,1,085
06681,瀆,0142,0,1,085
06055,治,0143,0,1,085
06144,洹,0144,0,1,085
06120,洗,0145,0,1,085
06015,沈,0146,0,1,085
06466,滲,0147,0,1,085
06045,河,0148,0,1,085
06085,泡,0149,0,1,085
06039,沫,0150,0,1,085
06776,火,0151,0,1,086
06801,炎,0152,0,1,086
06971,燈,0153,0,1,086
00736,刈,0154,0,1,018
07001,燿,0155,0,1,086
07065,牙,0156,0,1,092
07088,犀,0157,0,1,093
07198,猲,0158,0,1,094
07125,狂,0159,0,1,094
07525,畫,0160,0,1,102
07674,癈,0161,0,1,104
07613,痛,0162,0,1,104
07770,盛,0163,0,1,108
07758,盈,0164,0,1,108
07907,瞻,0165,0,1,109
07878,瞋,0166,0,1,109
07938,矣,0167,0,1,111
07986,破,0168,0,1,112
08261,穀,0169,0,1,115
08293,究,0170,0,1,116
11258,豎,0171,0,1,151
08376,端,0172,0,1,117
08408,符,0173,0,1,118
08433,筐,0174,0,1,118
08493,節,0175,0,1,118
08522,篤,0176,0,1,118
09020,繞,0177,0,1,120
08779,細,0178,0,1,120
08809,絶,0179,0,1,120
08765,素,0180,0,1,120
09011,繒,0181,0,1,120
08814,絜,0182,0,1,120
08985,縶,0183,0,1,120
09128,置,0184,0,1,122
09132,罵,0185,0,1,122
09175,羣,0186,0,1,123
09568,臂,0187,0,1,130
09441,脈,0188,0,1,130
09554,膳,0189,0,1,130
09541,膝,0190,0,1,130
09596,臣,0191,0,1,131
09632,擧,0192,0,1,134
09675,船,0193,0,1,137
09714,良,0194,0,1,138
10097,蕉,0195,0,1,140
09754,芭,0196,0,1,140
09904,菓,0197,0,1,140
09874,莖,0198,0,1,140
09846,草,0199,0,1,140
10594,蠲,0200,0,1,142
10411,蜚,0201,0,1,142
10388,蛾,0202,0,1,142
10605,血,0203,0,1,143
09286,耨,0204,0,1,127
10714,補,0205,0,1,145
11019,誡,0206,0,1,149
11024,誨,0207,0,1,149
11195,議,0208,0,1,149
10975,試,0209,0,1,149
10984,詳,0210,0,1,149
11041,諂,0211,0,1,149
11076,諮,0212,0,1,149
11077,諭,0213,0,1,149
10950,詈,0214,0,1,149
11028,誰,0215,0,1,149
11155,證,0216,0,1,149
11012,誘,0217,0,1,149
10969,詠,0218,0,1,149
11049,請,0219,0,1,149
11229,讚,0220,0,1,149
08058,磬,0221,0,1,112
11253,豈,0222,0,1,151
11282,豪,0223,0,1,152
11283,豫,0224,0,1,152
11386,賓,0225,0,1,154
11355,貴,0226,0,1,154
11374,賈,0227,0,1,154
11332,負,0228,0,1,154
11467,超,0229,0,1,156
11542,跪,0230,0,1,157
11695,躓,0231,0,1,157
11618,蹈,0232,0,1,157
11745,軍,0233,0,1,159
11799,輒,0234,0,1,159
12082,遭,0235,0,1,162
11958,迥,0236,0,1,162
12091,遵,0237,0,1,162
11999,這,0238,0,1,162
12083,遮,0239,0,1,162
11976,迹,0240,0,1,162
12137,邦,0241,0,1,163
12371,釋,0242,0,1,165
12367,采,0243,0,1,165
12372,里,0244,0,1,166
12374,野,0245,0,1,166
12440,鉢,0246,0,1,167
12742,閦,0247,0,1,169
12714,閉,0248,0,1,169
12768,闇,0249,0,1,169
12847,陛,0250,0,1,170
12876,陽,0251,0,1,170
12962,雅,0252,0,1,172
13073,露,0253,0,1,173
13020,雲,0254,0,1,173
13015,雪,0255,0,1,173
13103,靜,0256,0,1,174
13297,頃,0257,0,1,181
13327,領,0258,0,1,181
13395,顚,0259,0,1,181
M43812,颰,0260,0,1,182
13508,飢,0261,0,1,184
13541,飽,0262,0,1,184
13527,飯,0263,0,1,184
13667,香,0264,0,1,186
13680,馬,0265,0,1,187
13852,驚,0266,0,1,187
