文字,カード番号,用例数1,用例数2,字体数,大字典番号,部首番号
乘,0001,,,0,00102,004
九,0002,,,0,00107,005
云,0003,,,0,00133,007
交,0004,,,0,00152,008
偏,0005,,,0,00411,009
全,0006,,,0,00589,011
兩,0007,,,0,00591,011
冀,0008,,,0,00616,012
勇,0009,,,0,00881,019
勿,0010,,,0,00919,020
廿,0011,,,0,00988,024
却,0012,,,0,01038,026
厭,0013,,,0,01088,027
口,0014,,,0,01141,030
右,0015,,,0,01158,030
向,0016,,,0,01179,030
吾,0017,,,0,01217,030
呰,0018,,,0,01239,030
味,0019,,,0,01242,030
咄,0020,,,0,01256,030
咎,0021,,,0,01265,030
哀,0022,,,0,01295,030
哉,0023,,,0,01305,030
問,0024,,,0,01369,030
報,0025,,,0,01796,032
場,0026,,,0,01798,032
壑,0027,,,0,01882,032
外,0028,,,0,01934,036
太,0029,,,0,01948,037
奇,0030,,,0,01972,037
好,0031,,,0,02029,038
妄,0032,,,0,02033,038
嫉,0033,,,0,02201,038
守,0034,,,0,02308,040
官,0035,,,0,02323,040
宜,0036,,,0,02327,040
宮,0037,,,0,02342,040
密,0038,,,0,02361,040
審,0039,,,0,02395,040
將,0040,,,0,02425,041
尋,0041,,,0,02430,041
導,0042,,,0,02436,041
M07511,0043,,,0,,042
居,0044,,,0,02482,044
屬,0045,,,0,02515,044
布,0046,,,0,02800,050
干,0047,,,0,02897,051
平,0048,,,0,02899,051
年,0049,,,0,02900,051
并,0050,,,0,02902,051
幽,0051,,,0,02912,052
廢,0052,,,0,02992,053
引,0053,,,0,03044,057
往,0054,,,0,03128,060
性,0055,,,0,03244,061
怨,0056,,,0,03245,061
惓,0057,,,0,03356,061
惚,0058,,,0,03362,061
想,0059,,,0,03373,061
愚,0060,,,0,03404,061
慢,0061,,,0,03458,061
慶,0062,,,0,03474,061
憎,0063,,,0,03497,061
憶,0064,,,0,03534,061
手,0065,,,0,03659,064
拔,0066,,,0,03750,064
拘,0067,,,0,03757,064
接,0068,,,0,03878,064
擔,0069,,,0,04099,064
支,0070,,,0,04216,065
放,0071,,,0,04233,066
散,0072,,,0,04280,066
斷,0073,,,0,04381,069
施,0074,,,0,04391,070
昇,0075,,,0,04480,072
易,0076,,,0,04489,072
暢,0077,,,0,04600,072
暫,0078,,,0,04603,072
月,0079,,,0,04673,074
望,0080,,,0,04693,074
業,0081,,,0,05152,075
極,0082,,,0,05161,075
欣,0083,,,0,05561,076
歌,0084,,,0,05609,076
歎,0085,,,0,05612,076
歸,0086,,,0,05676,077
死,0087,,,0,05686,078
殿,0088,,,0,05809,079
毎,0089,,,0,05836,080
毒,0090,,,0,05839,080
活,0091,,,0,06145,085
淳,0092,,,0,06286,085
溝,0093,,,0,06404,085
06494,0094,,,0,06494,085
澗,0095,,,0,06551,085
濟,0096,,,0,06641,085
濡,0097,,,0,06643,085
灌,0098,,,0,06748,085
燈,0099,,,0,06971,086
燥,0100,,,0,06986,086
物,0101,,,0,07080,093
特,0102,,,0,07086,093
猛,0103,,,0,07180,094
獨,0104,,,0,07230,094
琉,0105,,,0,07308,096
璃,0106,,,0,07366,096
瓔,0107,,,0,07397,096
甲,0108,,,0,07480,102
留,0109,,,0,07508,102
略,0110,,,0,07522,102
疲,0111,,,0,07580,104
疾,0112,,,0,07591,104
癡,0113,,,0,07685,104
白,0114,,,0,07709,106
目,0115,,,0,07790,109
短,0116,,,0,07948,111
福,0117,,,0,08148,113
窮,0118,,,0,08329,116
竊,0119,,,0,08353,116
章,0120,,,0,08366,117
索,0121,,,0,08767,120
緊,0122,,,0,08906,120
罫,0123,,,0,09126,122
聖,0124,,,0,09308,128
膳,0125,,,0,09554,130
臺,0126,,,0,09617,133
舍,0127,,,0,09638,135
荷,0128,,,0,09860,140
莎,0129,,,0,09870,140
莫,0130,,,0,09886,140
薄,0131,,,0,10139,140
虚,0132,,,0,10272,141
蠡,0133,,,0,10580,142
衞,0134,,,0,10630,144
袒,0135,,,0,10669,145
要,0136,,,0,10822,146
覆,0137,,,0,10826,146
視,0138,,,0,10837,147
觸,0139,,,0,10887,148
詣,0140,,,0,10974,149
論,0141,,,0,11058,149
證,0142,,,0,11155,149
議,0143,,,0,11195,149
谿,0144,,,0,11245,150
財,0145,,,0,11334,154
貪,0146,,,0,11342,154
貿,0147,,,0,11362,154
賓,0148,,,0,11386,154
輕,0149,,,0,11802,159
辟,0150,,,0,11898,160
辯,0151,,,0,11916,160
逆,0152,,,0,11986,162
速,0153,,,0,12003,162
遂,0154,,,0,12037,162
遇,0155,,,0,12040,162
邊,0156,,,0,12115,162
都,0157,,,0,12188,163
酒,0158,,,0,12266,164
釋,0159,,,0,12371,165
金,0160,,,0,12380,167
鈍,0161,,,0,12406,167
門,0162,,,0,12709,169
閣,0163,,,0,12739,169
陵,0164,,,0,12867,170
隱,0165,,,0,12935,170
離,0166,,,0,13001,172
露,0167,,,0,13073,173
頌,0168,,,0,13307,181
頻,0169,,,0,13359,181
顏,0170,,,0,13380,181
顯,0171,,,0,13416,181
飛,0172,,,0,13495,183
飾,0173,,,0,13542,184
駄,0174,,,0,13708,187
默,0175,,,0,14720,203
一,0176,45,,1,00001,001
七,0177,8,,1,00004,001
丈,0178,6,,1,00006,001
三,0179,49,,1,00007,001
上,0180,22,,1,00008,001
不,0181,33,,1,00013,001
世,0182-0183,55,,1,00025,001
丘,0184,14,,1,00026,001
中,0185,25,,1,00051,002
乃,0186,13,,1,00078,004
久,0187,2,,1,00085,004
之,0188,38,,1,00088,004
乎,0189,2,,1,00092,004
乏,0190,2,,1,00093,004
也,0191,2,,1,00109,005
了,0192,2,,1,00125,006
事,0193,9,,1,00128,006
二,0194,12,,1,00129,007
五,0195,7,,1,00135,007
亦,0196,29,,1,00154,008
人,0197-0198,83,,1,00168,009
今,0199,24,,1,00175,009
他,0200,5,,1,00183,009
令,0201,17,,1,00193,009
以,0202,43,,1,00194,009
仰,0203,2,,1,00199,009
伽,0204,3,,1,00236,009
但,0205,2,,1,00240,009
住,0206,13,,1,00245,009
何,0207,11,,1,00250,009
佛,0208-0210,126,,1,00255,009
作,0211,23,,1,00256,009
使,0212,2,,1,00279,009
來,0213,47,,1,00282,009
侍,0214,2,,1,00288,009
供,0215,36,,1,00299,009
便,0216,14,,1,00321,009
信,0217,5,,1,00345,009
