統合ID,文字,P2334,字体数,用例数,部首
00102,乘,0001,0,1,004
00107,九,0002,0,1,005
00133,云,0003,0,1,007
00152,交,0004,0,1,008
00411,偏,0005,0,1,009
00589,全,0006,0,1,011
00591,兩,0007,0,1,011
00616,冀,0008,0,1,012
00881,勇,0009,0,1,019
00919,勿,0010,0,1,020
00988,廿,0011,0,1,024
01038,却,0012,0,1,026
01088,厭,0013,0,1,027
01141,口,0014,0,1,030
01158,右,0015,0,1,030
01179,向,0016,0,1,030
01217,吾,0017,0,1,030
01239,呰,0018,0,1,030
01242,味,0019,0,1,030
01256,咄,0020,0,1,030
01265,咎,0021,0,1,030
01295,哀,0022,0,1,030
01305,哉,0023,0,1,030
01369,問,0024,0,1,030
01796,報,0025,0,1,032
01798,場,0026,0,1,032
01882,壑,0027,0,1,032
01934,外,0028,0,1,036
01948,太,0029,0,1,037
01972,奇,0030,0,1,037
02029,好,0031,0,1,038
02033,妄,0032,0,1,038
02201,嫉,0033,0,1,038
02308,守,0034,0,1,040
02323,官,0035,0,1,040
02327,宜,0036,0,1,040
02342,宮,0037,0,1,040
02361,密,0038,0,1,040
02395,審,0039,0,1,040
02425,將,0040,0,1,041
02430,尋,0041,0,1,041
02436,導,0042,0,1,041
M07511,㝹,0043,0,1,042
02482,居,0044,0,1,044
02515,屬,0045,0,1,044
02800,布,0046,0,1,050
02897,干,0047,0,1,051
02899,平,0048,0,1,051
02900,年,0049,0,1,051
02902,并,0050,0,1,051
02912,幽,0051,0,1,052
02992,廢,0052,0,1,053
03044,引,0053,0,1,057
03128,往,0054,0,1,060
03244,性,0055,0,1,061
03245,怨,0056,0,1,061
03356,惓,0057,0,1,061
03362,惚,0058,0,1,061
03373,想,0059,0,1,061
03404,愚,0060,0,1,061
03458,慢,0061,0,1,061
03474,慶,0062,0,1,061
03497,憎,0063,0,1,061
03534,憶,0064,0,1,061
03659,手,0065,0,1,064
03750,拔,0066,0,1,064
03757,拘,0067,0,1,064
03878,接,0068,0,1,064
04099,擔,0069,0,1,064
04216,支,0070,0,1,065
04233,放,0071,0,1,066
04280,散,0072,0,1,066
04381,斷,0073,0,1,069
04391,施,0074,0,1,070
04480,昇,0075,0,1,072
04489,易,0076,0,1,072
04600,暢,0077,0,1,072
04603,暫,0078,0,1,072
04673,月,0079,0,1,074
04693,望,0080,0,1,074
05152,業,0081,0,1,075
05161,極,0082,0,1,075
05561,欣,0083,0,1,076
05609,歌,0084,0,1,076
05612,歎,0085,0,1,076
