カード番号,文字,部首,字体数,用例数1,用例数2,大字典,
0001,亂,005,0,,,00121,
0002,二,007,0,,,00129,
0003,交,008,0,,,00152,
0004,今,009,0,,,00175,
0005,儀,009,0,,,00516,
0006,他,009,0,,,00183,
0007,値,009,0,,,00385,
0008,六,012,0,,,00597,
0009,共,012,0,,,00599,
0010,刀,018,0,,,00729,
0011,別,018,0,,,00763,
0012,初,018,0,,,00759,
0013,加,019,0,,,00858,
0014,即,026,0,,,01049,
0015,受,029,0,,,01128,
0016,口,030,0,,,01141,
0017,品,030,0,,,01296,
0018,嘆,030,0,,,01466,
0019,垢,032,0,,,01726,
0020,壽,033,0,,,01913,
0021,天,037,0,,,01947,
0022,好,038,0,,,02029,
0023,安,040,0,,,02309,
0024,害,040,0,,,02346,
0025,尚,042,0,,,02446,
0026,己,049,0,,,02782,
0027,度,053,0,,,02944,
0028,律,060,0,,,03137,
0029,惜,061,0,,,03364,
0030,恚,061,0,,,03278,
0031,悉,061,0,,,03312,
0032,意,061,0,,,03395,
0033,悲,061,0,,,03335,
0034,愚,061,0,,,03404,
0035,懃,061,0,,,03544,
0036,慈,061,0,,,03439,
0037,懷,061,0,,,03585,
0038,憶,061,0,,,03534,
0039,應,061,0,,,03550,
0040,成,062,0,,,03610,
0041,捨,064,0,,,03835,
0042,散,066,0,,,04280,
0043,救,066,0,,,04263,
0044,斷,069,0,,,04381,
0045,更,073,0,,,04654,
0046,本,075,0,,,04713,
0047,未,075,0,,,04711,
0048,短,111,0,,,07948,
0049,杖,075,0,,,04743,
0050,梨,075,0,,,04993,
0051,槃,075,0,,,05228,
0052,樂,075,0,,,05279,
0053,歡,076,0,,,05639,
0054,正,077,0,,,05643,
0055,此,077,0,,,05644,
0056,毘,081,0,,,05845,
0057,況,085,0,,,06058,
0058,淨,085,0,,,06272,
0059,濁,085,0,,,06617,
0060,涅,085,0,,,06189,
0061,滅,085,0,,,06432,
0062,王,096,0,,,07262,
0063,産,100,0,,,07464,
0064,異,102,0,,,07530,
0065,癡,104,0,,,07685,
0066,皆,106,0,,,07717,
0067,相,109,0,,,07801,
0068,知,111,0,,,07941,
0069,空,116,0,,,08296,
0070,終,120,0,,,08795,
0071,缺,121,0,,,09085,
0072,罵,122,0,,,09132,
0073,聞,128,0,,,09315,
0074,聲,128,0,,,09328,
0075,耶,128,0,,,09292,
0076,肌,130,0,,,09351,
0077,脈,130,0,,,09441,
0078,臥,131,0,,,09599,
0079,華,140,0,,,09921,
0080,語,149,0,,,11017,
0081,議,149,0,,,11195,
0082,詈,149,0,,,10950,
0083,起,156,0,,,11461,
0084,遠,162,0,,,12070,
0085,集,172,0,,,12963,
0086,非,175,0,,,13104,
0087,養,184,0,,,13551,
0088,首,185,0,,,13661,
0089,香,186,0,,,13667,
0090,馳,187,0,,,13688,
0091,一,001,1,3,,00001,
0092,世,001,1,2,,00025,
0093,不,001,1,20,,00013,
0094,三,001,1,11,,00007,
0095,七,001,1,8,,00004,
0096,中,002,1,11,,00051,
0097,乃,004,1,13,,00078,
0098,乏,004,1,3,,00093,
0099,之,004,1,2,,00088,
0100,乘,004,1,7,,00102,
0101,五,007,1,2,,00135,
0102,云,007,1,4,,00133,
0103,亦,008,1,3,,00154,
0104,人,009,1,6,,00168,
0105,以,009,1,20,,00194,
0106,作,009,1,11,,00256,
0107,住,009,1,12,,00245,
0108,何,009,1,10,,00250,
0109,令,009,1,15,,00193,
0110,佛,009,1,10,,00255,
0111,來,009,1,2,,00282,
0112,供,009,1,2,,00299,
0113,入,011,1,3,,00582,
0114,八,012,1,2,,00594,
0115,具,012,1,10,,00606,
0116,切,018,1,3,,00735,
0117,分,018,1,4,,00734,
0118,利,018,1,5,,00767,
0119,力,019,1,2,,00856,
0120,助,019,1,5,,00863,
0121,化,021,1,6,,00938,
0122,十,024,1,4,,00985,
0123,卅,024,1,5,,00989,
0124,及,029,1,3,,01111,
0125,取,029,1,11,,01127,
0126,可,030,1,5,,01154,
0127,善,030,1,5,,01395,
