統合ID,文字,大品京博,字体数,用例数,部首
00121,亂,0001,0,1,005
00129,二,0002,0,1,007
00152,交,0003,0,1,008
00175,今,0004,0,1,009
00516,儀,0005,0,1,009
00183,他,0006,0,1,009
00385,値,0007,0,1,009
00597,六,0008,0,1,012
00599,共,0009,0,1,012
00729,刀,0010,0,1,018
00763,別,0011,0,1,018
00759,初,0012,0,1,018
00858,加,0013,0,1,019
01049,卽,0014,0,1,026
01128,受,0015,0,1,029
01141,口,0016,0,1,030
01296,品,0017,0,1,030
01466,嘆,0018,0,1,030
01726,垢,0019,0,1,032
01913,壽,0020,0,1,033
01947,天,0021,0,1,037
02029,好,0022,0,1,038
02309,安,0023,0,1,040
02346,害,0024,0,1,040
02446,尚,0025,0,1,042
02782,己,0026,0,1,049
02944,度,0027,0,1,053
03137,律,0028,0,1,060
03364,惜,0029,0,1,061
03278,恚,0030,0,1,061
03312,悉,0031,0,1,061
03395,意,0032,0,1,061
03335,悲,0033,0,1,061
03404,愚,0034,0,1,061
03544,懃,0035,0,1,061
03439,慈,0036,0,1,061
03585,懷,0037,0,1,061
03534,憶,0038,0,1,061
03550,應,0039,0,1,061
03610,成,0040,0,1,062
03835,捨,0041,0,1,064
04280,散,0042,0,1,066
04263,救,0043,0,1,066
04381,斷,0044,0,1,069
04654,更,0045,0,1,073
04713,本,0046,0,1,075
04711,未,0047,0,1,075
07948,短,0048,0,1,111
04743,杖,0049,0,1,075
04993,梨,0050,0,1,075
05228,槃,0051,0,1,075
05279,樂,0052,0,1,075
05639,歡,0053,0,1,076
05643,正,0054,0,1,077
05644,此,0055,0,1,077
05845,毗,0056,0,1,081
06058,況,0057,0,1,085
06272,淨,0058,0,1,085
06617,濁,0059,0,1,085
06189,涅,0060,0,1,085
06432,滅,0061,0,1,085
07262,王,0062,0,1,096
07464,産,0063,0,1,100
07530,異,0064,0,1,102
07685,癡,0065,0,1,104
07717,皆,0066,0,1,106
07801,相,0067,0,1,109
07941,知,0068,0,1,111
08296,空,0069,0,1,116
08795,終,0070,0,1,120
09085,缺,0071,0,1,121
09132,罵,0072,0,1,122
09315,聞,0073,0,1,128
09328,聲,0074,0,1,128
09292,耶,0075,0,1,128
09351,肌,0076,0,1,130
09441,脈,0077,0,1,130
09599,臥,0078,0,1,131
09921,華,0079,0,1,140
11017,語,0080,0,1,149
11195,議,0081,0,1,149
10950,詈,0082,0,1,149
11461,起,0083,0,1,156
12070,遠,0084,0,1,162
12963,集,0085,0,1,172
13104,非,0086,0,1,175
13551,養,0087,0,1,184
13661,首,0088,0,1,185
13667,香,0089,0,1,186
13688,馳,0090,0,1,187
00001,一,0091,1,3,001
00025,世,0092,1,2,001
00013,不,0093,1,20,001
00007,三,0094,1,11,001
00004,七,0095,1,8,001
00051,中,0096,1,11,002
00078,乃,0097,1,13,004
00093,乏,0098,1,3,004
00088,之,0099,1,2,004
00102,乘,0100,1,7,004
00135,五,0101,1,2,007
00133,云,0102,1,4,007
00154,亦,0103,1,3,008
00168,人,0104,1,6,009
00194,以,0105,1,20,009
00256,作,0106,1,11,009
00245,住,0107,1,12,009
00250,何,0108,1,10,009
00193,令,0109,1,15,009
00255,佛,0110,1,10,009
00282,來,0111,1,2,009
00299,供,0112,1,2,009
00582,入,0113,1,3,011
00594,八,0114,1,2,012
00606,具,0115,1,10,012
00735,切,0116,1,3,018
00734,分,0117,1,4,018
00767,利,0118,1,5,018
00856,力,0119,1,2,019
00863,助,0120,1,5,019
00938,化,0121,1,6,021
00985,十,0122,1,4,024
00989,卅,0123,1,5,024
01111,及,0124,1,3,029
01127,取,0125,1,11,029
01154,可,0126,1,5,030
01395,善,0127,1,5,030
01252,命,0128,1,2,030
01197,含,0129,1,4,030
01412,喜,0130,1,2,030
01607,四,0131,1,6,031
01611,因,0132a,2,14,031
01611b,因,0132b,2,1,031
01666,地,0133,1,2,032
01767,堅,0134,1,2,032
01938,多,0135,1,4,036
01939,夜,0136,1,2,036
01957,失,0137,1,2,037
02031,如,0138,1,16,038
02033,妄,0139,1,3,038
02262,子,0140,1,2,039
02325,定,0141,1,3,040
02407,寶,0142,1,2,040
02390,實,0143,1,3,040
02440,少,0144,1,4,042
02469,尸,0145,1,4,044
02783,已,0146,1,2,049
02800,布,0147,1,5,050
03145,得,0148,1,22,060
03159,復,0149,1,4,060
03128,往,0150,1,2,060
03151,從,0151,1,4,060
03179,心,0152,1,7,061
03184,忍,0153,1,10,061
03240,怠,0154,1,2,061
03367,惡,0155,1,3,061
03214,念,0156,1,3,061
03239,思,0157,1,2,061
03365,惟,0158,1,2,061
03549,懈,0159,1,2,061
03462,慧,0160,1,5,061
08993,總,0161,1,2,120
03373,想,0162,1,2,061
03612,戒,0163,1,15,062
03611,我,0164,1,12,062
03647,所,0165,1,15,063
03780,持,0166,1,7,064
03896,提,0167,1,22,064
04192,攝,0168,1,8,064
04009,摩,0169,1,16,064
04216,支,0170,1,4,065
04243,故,0171,1,16,066
04261,教,0172,1,8,066
04373,斯,0173,1,2,069
04389,於,0174,1,3,070
04391,施,0175,1,5,070
04512,是,0176,1,60,072
04523,時,0178,1,12,072
04569,智,0179,1,5,072
04674,有,0180,1,9,074
04679,服,0181,1,2,074
04922,根,0182,1,2,075
04806,果,0183,1,8,075
05152,業,0184,1,2,075
05391,檀,0185,1,15,075
05558,次,0186,1,3,076
05580,欲,0187,1,2,076
05686,死,0188,1,4,078
06074,法,0189,1,17,085
06086,波,0190,1,36,085
06499,漢,0191,1,3,085
06517,漸,0192,1,4,085
06487,漏,0193,1,3,085
06872,無,0194,1,15,086
07032,爲,0195,1,2,087
07080,物,0196,1,5,093
07212,獄,0197,1,2,094
07461,生,0198,1,47,100
07501,界,0199,1,3,102
07535,當,0200,1,12,102
07483,男,0201,1,2,102
07513,畜,0202,1,2,102
07779,盡,0203,1,4,108
07759,益,0204,1,5,108
07878,瞋,0205,1,4,109
07844,眾,0206,1,37,109
07986,破,0207,1,3,112
08162,禪,0208,1,11,113
08244,種,0209,1,2,115
08426,等,0210,1,23,118
08685,精,0211,1,7,119
08822,給,0212,1,3,120
08924,緣,0213,1,16,120
09125,罪,0214,1,2,122
09144,羅,0215,1,47,122
09194,羼,0216,1,2,123
09255,者,0217,1,3,125
09264,而,0218,1,4,126
09286,耨,0219,1,4,127
09308,聖,0220,1,4,128
09429,能,0221,1,2,130
09462,脩,0222,1,8,130
09463,脱,0223,1,3,130
09602,自,0224,1,2,132
09610,至,0225,1,14,133
09629,與,0226,1,4,134
09665,般,0227,1,8,137
09716,色,0228,1,3,139
09788,若,0229,1,28,140
09789,苦,0230,1,4,140
09886,莫,0231,1,4,140
09919,菩,0232,1,44,140
10163,薩,0233,1,40,140
09972,著,0234,1,2,140
10192,藐,0235,1,3,140
10270,處,0236,1,3,141
10272,虛,0237,1,3,141
10414,蜜,0238,1,36,142
10614,行,0239,1,16,144
10637,衣,0240,1,3,145
10859,觀,0241,1,2,147
10831,見,0242,1,6,147
10856,覺,0243,1,3,147
10875,解,0244,1,2,148
10890,言,0245,1,14,149
10936,訶,0246,1,16,149
11085,諸,0247,1,10,149
11207,讀,0248,1,2,149
11095,謂,0249,1,2,149
11373,資,0250,1,4,154
11495,足,0251,1,8,157
11715,身,0252,1,4,158
11898,辟,0253,1,5,160
11918,辱,0254,1,10,161
12022,進,0255,1,7,162
12051,道,0256,1,15,162
12134,那,0257,1,19,163
12376,量,0258,1,2,166
12698,長,0259,1,2,168
12830,阿,0260,1,10,170
12831,陀,0261,1,6,170
12927,隨,0262,1,2,170
13001,離,0263,1,3,172
13002,難,0264,1,2,172
13503,食,0265,1,3,184
13565,餘,0266,1,2,184
13559,餓,0267,1,2,184
14061,鬼,0268,1,2,194
S00066,々,0269,〓,12,000
05983,汝,0270,1,28,085
06144,洹,0271,1,4,085
13304,須,0272,1,29,181
13526,飮,0273a,2,2,184
13526b,飮,0273b,2,1,184
