カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,大字典,,,,,,,
0001,也,005,0,,,,00109,,,,,,,
0002,九,005,0,,,,00107,,,,,,,
0003,伽,009,0,,,,00236,,,,,,,
0004,伏,009,0,,,,00217,,,,,,,
0005,依,009,0,,,,00301,,,,,,,
0006,舞,136,0,,,,09656,,,,,,,
0007,傾,009,0,,,,00475,,,,,,,
0008,偏,009,0,,,,00411,,,,,,,
0009,光,010,0,,,,00567,,,,,,,
0010,六,012,0,,,,00597,,,,,,,
0011,凡,016,0,,,,00701,,,,,,,
0012,刹,018,0,,,,00781,,,,,,,
0013,列,018,0,,,,00754,,,,,,,
0014,助,019,0,,,,00863,,,,,,,
0015,勤,019,0,,,,00900,,,,,,,
0016,勇,019,0,,,,00881,,,,,,,
0017,加,019,0,,,,00858,,,,,,,
0018,北,021,0,,,,00941,,,,,,,
0019,南,024,0,,,,01010,,,,,,,
0020,口,030,0,,,,01141,,,,,,,
0021,右,030,0,,,,01158,,,,,,,
0022,鳴,196,0,,,,14379,,,,,,,
0023,吼,030,0,,,,01215,,,,,,,
0024,唄,030,0,,,,01333,,,,,,,
0025,唱,030,0,,,,01350,,,,,,,
0026,同,030,0,,,,01174,,,,,,,
0027,呰,030,0,,,,01239,,,,,,,
0028,圍,031,0,,,,01641,,,,,,,
0029,垢,032,0,,,,01726,,,,,,,
0030,坦,032,0,,,,01690,,,,,,,
0031,垂,032,0,,,,01710,,,,,,,
0032,報,032,0,,,,01796,,,,,,,
0033,墜,032,0,,,,01851,,,,,,,
0034,増,032,0,,,,01853,,,,,,,
0035,塗,032,0,,,,01818,,,,,,,
0036,奉,037,0,,,,01974,,,,,,,
0037,夫,037,0,,,,01949,,,,,,,
0038,字,039,0,,,,02267,,,,,,,
0039,孤,039,0,,,,02277,,,,,,,
0040,宛,040,0,,,,02326,,,,,,,
0041,導,041,0,,,,02436,,,,,,,
0042,尋,041,0,,,,02430,,,,,,,
0043,少,042,0,,,,02440,,,,,,,
0044,尸,044,0,,,,02469,,,,,,,
0045,崛,046,0,,,,02625,,,,,,,
0046,匝,022,0,,,,00951,,,,,,,
0047,希,050,0,,,,02806,,,,,,,
0048,平,051,0,,,,02899,,,,,,,
0049,廟,053,0,,,,02989,,,,,,,
0050,床,053,2,1,1,,02924,,,,,,,
0051,弟,057,0,,,,03052,,,,,,,
0052,從,060,0,,,,03151,,,,,,,
0053,怙,061,0,,,,03235,,,,,,,
0054,恃,061,0,,,,03265,,,,,,,
0055,悲,061,0,,,,03335,,,,,,,
0056,感,061,0,,,,03409,,,,,,,
0057,慈,061,0,,,,03439,,,,,,,
0058,懈,061,0,,,,03549,,,,,,,
0059,悔,061,0,,,,03320,,,,,,,
0060,志,061,0,,,,03194,,,,,,,
0061,慢,061,0,,,,03458,,,,,,,
0062,惜,061,0,,,,03364,,,,,,,
0063,悶,061,0,,,,03339,,,,,,,
0064,怠,061,0,,,,03240,,,,,,,
0065,必,061,0,,,,03180,,,,,,,
0066,愚,061,0,,,,03404,,,,,,,
0067,性,061,0,,,,03244,,,,,,,
0068,怖,061,0,,,,03233,,,,,,,
0069,恚,061,0,,,,03278,,,,,,,
0070,悟,061,0,,,,03326,,,,,,,
0071,戴,062,0,,,,03638,,,,,,,
0072,戲,062,0,,,,03636,,,,,,,
0073,才,064,0,,,,03661,,,,,,,
0074,捨,064,0,,,,03835,,,,,,,
0075,擣,064,0,,,,04111,,,,,,,
0076,掌,064,0,,,,03858,,,,,,,
0077,接,064,0,,,,03878,,,,,,,
0078,撃,064,0,,,,04087,,,,,,,
0079,拜,064,0,,,,03761,,,,,,,
0080,支,065,0,,,,04216,,,,,,,
0081,放,066,0,,,,04233,,,,,,,
0082,致,133,0,,,,09611,,,,,,,
0083,斷,069,0,,,,04381,,,,,,,
0084,既,071,0,,,,04442,,,,,,,
0085,暫,072,0,,,,04603,,,,,,,
0086,日,072,0,,,,04446,,,,,,,
0087,最,073,0,,,,04664,,,,,,,
0088,更,073,0,,,,04654,,,,,,,
0089,校,075,0,,,,04904,,,,,,,
0090,樓,075,0,,,,05293,,,,,,,
0091,果,075,0,,,,04806,,,,,,,
0092,梨,075,0,,,,04993,,,,,,,
0093,正,077,0,,,,05643,,,,,,,
0094,殿,079,0,,,,05809,,,,,,,
0095,毎,080,0,,,,05836,,,,,,,
0096,05845,081,0,,,,05845,,,,,,,
0097,氣,084,0,,,,05947,,,,,,,
0098,湯,085,0,,,,06381,,,,,,,
0099,沒,085,0,,,,06023,,,,,,,
0100,河,085,0,,,,06045,,,,,,,
0101,浮,085,0,,,,06175,,,,,,,
0102,永,085,0,,,,05957,,,,,,,
0103,火,086,0,,,,06776,,,,,,,
0105,牛,093,0,,,,07072,,,,,,,
0106,牟,093,0,,,,07074,,,,,,,
0107,猶,094,0,,,,07203,,,,,,,
0108,猛,094,0,,,,07180,,,,,,,
0109,狂,094,0,,,,07125,,,,,,,
0110,厭,027,0,,,,01088,,,,,,,
0111,王,096,0,,,,07262,,,,,,,
0112,珍,096,0,,,,07287,,,,,,,
0113,璃,096,0,,,,07366,,,,,,,
0114,瑠,096,0,,,,07348,,,,,,,
0115,用,101,0,,,,07469,,,,,,,
0116,畏,102,0,,,,07503,,,,,,,
0117,留,102,0,,,,07508,,,,,,,
0118,癡,104,0,,,,07685,,,,,,,
0119,疾,104,0,,,,07591,,,,,,,
0120,癈,104,0,,,,07674,,,,,,,
0121,白,106,0,,,,07709,,,,,,,
0122,瞻,109,0,,,,07907,,,,,,,
0123,眞,109,0,,,,07827,,,,,,,
0124,眼,109,0,,,,07843,,,,,,,
0125,睡,109,0,,,,07860,,,,,,,
0126,目,109,0,,,,07790,,,,,,,
0127,禁,113,0,,,,08143,,,,,,,
0128,禮,113,0,,,,08165,,,,,,,
0129,窮,116,0,,,,08329,,,,,,,
0130,篌,118,0,,,,08504,,,,,,,
0131,笛,118,0,,,,08400,,,,,,,
0132,答,118,0,,,,08437,,,,,,,
0133,篩,118,0,,,,08527,,,,,,,
0134,簫,118,0,,,,08577,,,,,,,
0135,箜,118,0,,,,08474,,,,,,,
0136,細,120,0,,,,08779,,,,,,,
0137,繞,120,0,,,,09020,,,,,,,
0138,繽,120,0,,,,09049,,,,,,,
0139,紛,120,0,,,,08760,,,,,,,
0140,網,120,0,,,,08885,,,,,,,
0140,網,120,0,,,,08885,,,,,,,
0141,練,120,0,,,,08938,,,,,,,
0142,09011,120,0,,,,09011,,,,,,,
0143,缺,121,0,,,,09085,,,,,,,
0144,09194,123,0,,,,09194,,,,,,,
0145,老,125,0,,,,09250,,,,,,,
0146,耆,125,0,,,,09257,,,,,,,
0147,耶,128,0,,,,09292,,,,,,,
0148,聰,128,0,,,,09326,,,,,,,
0149,背,130,0,,,,09394,,,,,,,
0150,肩,130,0,,,,09370,,,,,,,
0151,脱,130,0,,,,09463,,,,,,,
0152,臺,133,0,,,,09617,,,,,,,
0153,臾,134,0,,,,09621,,,,,,,
0154,般,137,0,,,,09665,,,,,,,
0155,草,140,0,,,,09846,,,,,,,
0156,薫,140,0,,,,10172,,,,,,,
0157,09905,140,0,,,,09905,,,,,,,
0158,菓,140,0,,,,09904,,,,,,,
0159,袒,145,0,,,,10669,,,,,,,
0160,衰,145,0,,,,10649,,,,,,,
0161,褥,145,0,,,,10756,,,,,,,
