,,khi_宮廷今西,khi_宮廷今西,khi_宮廷今西,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
00109,也,0001,0,1,005
00107,九,0002,0,1,005
00236,伽,0003,0,1,009
00217,伏,0004,0,1,009
00301,依,0005,0,1,009
09656,舞,0006,0,1,136
00475,傾,0007,0,1,009
00411,偏,0008,0,1,009
00567,光,0009,0,1,010
00597,六,0010,0,1,012
00701,凡,0011,0,1,016
00781,刹,0012,0,1,018
00754,列,0013,0,1,018
00863,助,0014,0,1,019
00900,勤,0015,0,1,019
00881,勇,0016,0,1,019
00858,加,0017,0,1,019
00941,北,0018,0,1,021
01010,南,0019,0,1,024
01141,口,0020,0,1,030
01158,右,0021,0,1,030
14379,鳴,0022,0,1,196
01215,吼,0023,0,1,030
01333,唄,0024,0,1,030
01350,唱,0025,0,1,030
01174,同,0026,0,1,030
01239,呰,0027,0,1,030
01641,圍,0028,0,1,031
01726,垢,0029,0,1,032
01690,坦,0030,0,1,032
01710,垂,0031,0,1,032
01796,報,0032,0,1,032
01851,墜,0033,0,1,032
01853,增,0034,0,1,032
01818,塗,0035,0,1,032
01974,奉,0036,0,1,037
01949,夫,0037,0,1,037
02267,字,0038,0,1,039
02277,孤,0039,0,1,039
02326,宛,0040,0,1,040
02436,導,0041,0,1,041
02430,尋,0042,0,1,041
02440,少,0043,0,1,042
02469,尸,0044,0,1,044
02625,崛,0045,0,1,046
00951,匝,0046,0,1,022
02806,希,0047,0,1,050
02899,平,0048,0,1,051
02989,廟,0049,0,1,053
02924,床,0050a,2,1,053
02924b,床,0050b,2,1,053
03052,弟,0051,0,1,057
03151,從,0052,0,1,060
03235,怙,0053,0,1,061
03265,恃,0054,0,1,061
03335,悲,0055,0,1,061
03409,感,0056,0,1,061
03439,慈,0057,0,1,061
03549,懈,0058,0,1,061
03320,悔,0059,0,1,061
03194,志,0060,0,1,061
03458,慢,0061,0,1,061
03364,惜,0062,0,1,061
03339,悶,0063,0,1,061
03240,怠,0064,0,1,061
03180,必,0065,0,1,061
03404,愚,0066,0,1,061
03244,性,0067,0,1,061
03233,怖,0068,0,1,061
03278,恚,0069,0,1,061
03326,悟,0070,0,1,061
03638,戴,0071,0,1,062
03636,戲,0072,0,1,062
03661,才,0073,0,1,064
03835,捨,0074,0,1,064
04111,擣,0075,0,1,064
03858,掌,0076,0,1,064
03878,接,0077,0,1,064
04087,擊,0078,0,1,064
03761,拜,0079,0,1,064
04216,支,0080,0,1,065
04233,放,0081,0,1,066
09611,致,0082,0,1,133
04381,斷,0083,0,1,069
04442,旣,0084,0,1,071
04603,暫,0085,0,1,072
04446,日,0086,0,1,072
04664,最,0087,0,1,073
04654,更,0088,0,1,073
04904,校,0089,0,1,075
05293,樓,0090,0,1,075
04806,果,0091,0,1,075
04993,梨,0092,0,1,075
05643,正,0093,0,1,077
05809,殿,0094,0,1,079
05836,每,0095,0,1,080
05845,毗,0096,0,1,081
05947,氣,0097,0,1,084
06381,湯,0098,0,1,085
06023,沒,0099,0,1,085
06045,河,0100,0,1,085
06175,浮,0101,0,1,085
05957,永,0102,0,1,085
06776,火,0103,0,1,086
07072,牛,0105,0,1,093
07074,牟,0106,0,1,093
07203,猶,0107,0,1,094
07180,猛,0108,0,1,094
07125,狂,0109,0,1,094
01088,厭,0110,0,1,027
07262,王,0111,0,1,096
07287,珍,0112,0,1,096
07366,璃,0113,0,1,096
07348,瑠,0114,0,1,096
07469,用,0115,0,1,101
07503,畏,0116,0,1,102
07508,留,0117,0,1,102
07685,癡,0118,0,1,104
07591,疾,0119,0,1,104
07674,癈,0120,0,1,104
07709,白,0121,0,1,106
07907,瞻,0122,0,1,109
