カード番号,文字,部首,字体数,用例数1,用例数2,大字典,,,,,
0001,主,003,0,,,00070,,,,,
0002,亂,005,0,,,00121,,,,,
0003,儀,009,0,,,00516,,,,,
0004,休,009,0,,,00219,,,,,
0005,優,009,0,,,00542,,,,,
0006,倫,009,0,,,00391,,,,,
0007,倍,009,0,,,00368,,,,,
0008,仰,009,0,,,00199,,,,,
0009,助,019,0,,,00863,,,,,
0010,劣,019,0,,,00859,,,,,
0011,勸,019,0,,,00913,,,,,
0012,周,030,0,,,01235,,,,,
0013,喩,030,0,,,01421,,,,,
0014,吉,030,0,,,01172,,,,,
0015,合,030,0,,,01170,,,,,
0016,向,030,0,,,01179,,,,,
0017,固,031,0,,,01627,,,,,
0018,園,031,0,,,01644,,,,,
0019,壞,032,0,,,01895,,,,,
0020,塞,032,0,,,01823,,,,,
0021,堅,032,0,,,01767,,,,,
0022,壽,033,0,,,01913,,,,,
0023,夜,036,0,,,01939,,,,,
0024,M06209,038,0,,,M06209,,,,,
0025,娑,038,0,,,02110,,,,,
0026,女,038,0,,,02022,,,,,
0027,學,039,0,,,02293,,,,,
0028,宅,040,0,,,02306,,,,,
0029,宴,040,0,,,02347,,,,,
0030,察,040,0,,,02383,,,,,
0031,就,043,0,,,02464,,,,,
0032,尸,044,0,,,02469,,,,,
0033,尼,044,0,,,02473,,,,,
0034,帝,050,0,,,02820,,,,,
0035,幽,052,0,,,02912,,,,,
0036,強,057,0,,,03066,,,,,
0037,弱,057,0,,,03064,,,,,
0038,03182,061,0,,,03182,,,,,
0039,忍,061,0,,,03184,,,,,
0040,怕,061,0,,,03232,,,,,
0041,性,061,0,,,03244,,,,,
0042,意,061,0,,,03395,,,,,
0043,憐,061,0,,,03499,,,,,
0044,03357,061,0,,,03357,,,,,
0045,惑,061,0,,,03355,,,,,
0046,忽,061,0,,,03219,,,,,
0047,怯,061,0,,,03252,,,,,
0048,思,061,0,,,03239,,,,,
0049,悟,061,0,,,03326,,,,,
0050,愼,061,0,,,03429,,,,,
0051,患,061,0,,,03329,,,,,
0052,慰,061,0,,,03469,,,,,
0053,損,064,0,,,03939,,,,,
0054,手,064,0,,,03659,,,,,
0055,掌,064,0,,,03858,,,,,
0056,揚,064,0,,,03904,,,,,
0057,支,065,0,,,04216,,,,,
0058,昇,072,0,,,04480,,,,,
0059,昧,072,0,,,04505,,,,,
0060,暗,072,0,,,04591,,,,,
0061,暢,072,0,,,04600,,,,,
0062,曇,072,0,,,04621,,,,,
0063,月,074,0,,,04673,,,,,
0064,權,075,0,,,05529,,,,,
0065,林,075,0,,,04803,,,,,
0066,樓,075,0,,,05293,,,,,
0067,栴,075,0,,,04918,,,,,
0068,檀,075,0,,,05391,,,,,
0069,棄,075,0,,,05014,,,,,
0070,末,075,0,,,04712,,,,,
0071,欣,076,0,,,05561,,,,,
0072,歳,077,0,,,05666,,,,,
0073,毀,079,0,,,05812,,,,,
0074,毒,080,0,,,05839,,,,,
0075,母,080,0,,,05834,,,,,
0076,池,085,0,,,05986,,,,,
0077,流,085,0,,,06151,,,,,
0078,浴,085,0,,,06179,,,,,
0079,渠,085,0,,,06317,,,,,
0080,濟,085,0,,,06641,,,,,
0081,決,085,0,,,06003,,,,,
0082,水,085,0,,,05952,,,,,
0083,清,085,0,,,06290,,,,,
0084,渴,085,0,,,06338,,,,,
0085,涕,085,0,,,06202,,,,,
0086,泣,085,0,,,06087,,,,,
0087,營,086,0,,,06984,,,,,
0088,牟,093,0,,,07074,,,,,
0089,獸,094,0,,,07248,,,,,
0090,獄,094,0,,,07212,,,,,
0091,獲,094,0,,,07241,,,,,
0092,玩,096,0,,,07272,,,,,
0093,男,102,0,,,07483,,,,,
0094,畢,102,0,,,07520,,,,,
0095,疑,103,0,,,07559,,,,,
0096,習,124,0,,,09214,,,,,
0097,瞻,109,0,,,07907,,,,,
0098,盲,109,0,,,07796,,,,,
0099,磨,112,0,,,08057,,,,,
0100,祖,113,0,,,08117,,,,,
0101,積,115,0,,,08269,,,,,
0102,稽,115,0,,,08258,,,,,
0103,究,116,0,,,08293,,,,,
0104,竟,117,0,,,08365,,,,,
0105,籌,118,0,,,08602,,,,,
0106,維,120,0,,,08879,,,,,
0107,結,120,0,,,08807,,,,,
0108,罪,122,0,,,09125,,,,,
0109,聰,128,0,,,09326,,,,,
0110,聽,128,0,,,09335,,,,,
0111,臣,131,0,,,09596,,,,,
0112,舍,135,0,,,09638,,,,,
0113,草,140,0,,,09846,,,,,
0114,著,140,0,,,09972,,,,,
0115,莫,140,0,,,09886,,,,,
0116,萌,140,0,,,09941,,,,,
0117,虛,141,0,,,10272,,,,,
0118,蜜,142,0,,,10414,,,,,
0119,螺,142,0,,,10521,,,,,
0120,睹,109,0,,,07870,,,,,
0121,設,149,0,,,10928,,,,,
0122,諦,149,0,,,11072,,,,,
0123,諷,149,0,,,11084,,,,,
0124,誦,149,0,,,11023,,,,,
0125,詳,149,0,,,10984,,,,,
0126,起,156,0,,,11461,,,,,
0127,超,156,0,,,11467,,,,,
0128,跋,157,0,,,11515,,,,,
0129,趺,157,0,,,11502,,,,,
0130,跏,157,0,,,11519,,,,,
0131,輩,159,0,,,11826,,,,,
0132,軍,159,0,,,11745,,,,,
0133,辟,160,0,,,11898,,,,,
0134,迥,162,0,,,11958,,,,,
0135,送,162,0,,,11983,,,,,
0136,適,162,0,,,12079,,,,,
0137,郭,163,0,,,12179,,,,,
0138,邪,163,0,,,12139,,,,,
0139,部,163,0,,,12176,,,,,
0140,都,163,0,,,12188,,,,,
0141,釋,165,0,,,12371,,,,,
0142,閣,169,0,,,12739,,,,,
0143,12742,169,0,,,12742,,,,,
0144,際,170,0,,,12913,,,,,
0145,陀,170,0,,,12831,,,,,
0146,除,170,0,,,12855,,,,,
0147,陵,170,0,,,12867,,,,,
0148,雖,172,0,,,12991,,,,,
0149,頓,181,0,,,13316,,,,,
0150,頂,181,0,,,13296,,,,,
0151,頻,181,0,,,13359,,,,,
0152,飢,184,0,,,13508,,,,,
0153,首,185,0,,,13661,,,,,
0154,驚,187,0,,,13852,,,,,
0155,體,188,0,,,13934,,,,,
0156,上,001,1,19,,00008,,,,,
0157,不,001,1,31,,00013,,,,,
0158,下,001,1,10,,00009,,,,,
0159-0160,一,001,1,64,,00001,,,,,
0161,三,001,1,42,,00007,,,,,
0162,萬,140,1,39,,09954,,,,,
0163,丘,001,1,13,,00026,,,,,
0164,中,002,1,21,,00051,,,,,
0165,乘,004,1,11,,00102,,,,,
0166,乃,004,1,16,,00078,,,,,
0167,之,004,1,32,,00088,,,,,
0168,久,004,1,5,,00085,,,,,
0169,乾,005,1,4,,00118,,,,,
0170,也,005,1,3,,00109,,,,,
0171,了,006,1,4,,00125,,,,,
0172,事,006,1,7,,00128,,,,,
0173,二,007,1,25,,00129,,,,,
0174,云,007,1,2,,00133,,,,,
0175,于,007,1,8,,00132,,,,,
0176,五,007,1,16,,00135,,,,,
0177,亦,008,1,16,,00154,,,,,
0178,化,021,1,16,,00938,,,,,
0179,信,009,1,7,,00345,,,,,
0180,値,009,1,6,,00385,,,,,
0181,伽,009,1,5,,00236,,,,,
0182,倶,009,1,8,,00350,,,,,
0183,供,009,1,17,,00299,,,,,
0184,他,009,1,5,,00183,,,,,
0185,伎,009,1,2,,00216,,,,,
0186-0188,佛,009,1,138,,00255,,,,,
0189,今,009,1,25,,00175,,,,,
0190,令,009,1,6,,00193,,,,,
0191,億,009,1,33,,00520,,,,,
0192-0193,以,009,1,54,,00194,,,,,
0194,偈,009,1,23,,00406,,,,,
0195,來,009,1,25,,00282,,,,,
0196,人,009,1,34,,00168,,,,,
0197,何,009,1,11,,00250,,,,,
0198,住,009,1,8,,00245,,,,,
0199,但,009,1,2,,00240,,,,,
0200,便,009,1,15,,00321,,,,,
0201,免,010,1,2,,00570,,,,,
0202,充,010,1,4,,00562,,,,,
0203,光,010,1,19,,00567,,,,,
0204,先,010,1,2,,00566,,,,,
0205,入,011,1,20,,00582,,,,,
0206,兩,011,1,2,,00591,,,,,
0207,六,012,1,34,,00597,,,,,
0208,共,012,1,17,,00599,,,,,
0209,具,012,1,6,,00606,,,,,
0210,八,012,1,8,,00594,,,,,
0211,其,012,1,22,,00605,,,,,
0212,出,017,1,16,,00723,,,,,
0213,分,018,1,5,,00734,,,,,
0214,到,018,1,3,,00769,,,,,
0215,別,018,1,5,,00763,,,,,
0216,前,018,1,12,,00794,,,,,
0217,利,018,1,7,,00767,,,,,
0218,則,018,1,14,,00789,,,,,
0219,切,018,1,17,,00735,,,,,
0220,勝,019,1,15,,00893,,,,,
0221,功,019,1,3,,00857,,,,,
0222,動,019,1,5,,00887,,,,,
0223,力,019,1,13,,00856,,,,,
0224,劫,019,1,24,,00865,,,,,
0225,勤,019,1,2,,00900,,,,,
0226,勿,020,1,3,,00919,,,,,
0227,北,021,1,5,,00941,,,,,
0228,十,024,1,44,,00985,,,,,
0229,南,024,1,6,,01010,,,,,
0230,千,024,1,26,,00987,,,,,
0231,卽,026,1,19,,01049,,,,,
0232,去,028,1,5,,01101,,,,,
0233,又,029,1,6,,01108,,,,,
0234,受,029,1,21,,01128,,,,,
0235,及,029,1,26,,01111,,,,,
0236,取,029,1,4,,01127,,,,,
0237,哀,030,1,13,,01295,,,,,
0238,可,030,1,8,,01154,,,,,
0239,唯,030,1,17,,01349,,,,,
0240,吹,030,1,3,,01212,,,,,
0241,哉,030,1,2,,01305,,,,,
0242,各,030,1,31,,01168,,,,,
0243,命,030,1,2,,01252,,,,,
0244,喜,030,1,10,,01412,,,,,
0245,善,030,1,7,,01395,,,,,
0246,名,030,1,27,,01175,,,,,
0247,黙,203,1,4,,14720,,,,,
0248,吿,030,1,7,,01219,,,,,
0249,同,030,1,7,,01174,,,,,
0250,嚴,030,1,6,,01581,,,,,
0251,四,031,1,12,,01607,,,,,
0252,圍,031,1,6,,01641,,,,,
0253,因,031,1,12,,01611,,,,,
0254,國,031,1,15,,01639,,,,,
0255,城,032,1,13,,01740,,,,,
0256,墮,032,1,2,,01863,,,,,
0257,垂,032,1,7,,01710,,,,,
0258,在,032,1,15,,01659,,,,,
0259,場,032,1,7,,01798,,,,,
0260,坐,032,1,13,,01682,,,,,
0261,地,032,1,4,,01666,,,,,
0262,塵,032,2,3,,01831,,,,,
0262,塵,032,2,2,,01831,,,,,
0263,土,032,1,13,,01654,,,,,
0264,增,032,1,3,,01853,,,,,
0265,多,036,1,23,,01938,,,,,
0266,天,037,1,71,,01947,,,,,
0268,失,037,1,2,,01957,,,,,
0269,奉,037,1,8,,01974,,,,,
0270-0271,大,037,1,61,,01946,,,,,
0272,如,038,1,45,,02031,,,,,
0273,妙,038,1,8,,02045,,,,,
0274,婆,038,1,7,,02142,,,,,
0275,好,038,1,2,,02029,,,,,
0276,子,039,1,25,,02262,,,,,
0277,實,040,1,6,,02390,,,,,
0278,寶,040,1,7,,02407,,,,,
0279,宣,040,1,5,,02333,,,,,
0280,宜,040,1,2,,02327,,,,,
0281,寂,040,1,3,,02357,,,,,
