,,khm_宮廷守屋,khm_宮廷守屋,khm_宮廷守屋,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
00070,主,0001,0,1,003
00121,亂,0002,0,1,005
00516,儀,0003,0,1,009
00219,休,0004,0,1,009
00542,優,0005,0,1,009
00391,倫,0006,0,1,009
00368,倍,0007,0,1,009
00199,仰,0008,0,1,009
00863,助,0009,0,1,019
00859,劣,0010,0,1,019
00913,勸,0011,0,1,019
01235,周,0012,0,1,030
01421,喩,0013,0,1,030
01172,吉,0014,0,1,030
01170,合,0015,0,1,030
01179,向,0016,0,1,030
01627,固,0017,0,1,031
01644,園,0018,0,1,031
01895,壞,0019,0,1,032
01823,塞,0020,0,1,032
01767,堅,0021,0,1,032
01913,壽,0022,0,1,033
01939,夜,0023,0,1,036
M06209,姟,0024,0,1,038
02110,娑,0025,0,1,038
02022,女,0026,0,1,038
02293,學,0027,0,1,039
02306,宅,0028,0,1,040
02347,宴,0029,0,1,040
02383,察,0030,0,1,040
02464,就,0031,0,1,043
02469,尸,0032,0,1,044
02473,尼,0033,0,1,044
02820,帝,0034,0,1,050
02912,幽,0035,0,1,052
03066,強,0036,0,1,057
03064,弱,0037,0,1,057
03182,忉,0038,0,1,061
03184,忍,0039,0,1,061
03232,怕,0040,0,1,061
03244,性,0041,0,1,061
03395,意,0042,0,1,061
03499,憐,0043,0,1,061
03357,惔,0044,0,1,061
03355,惑,0045,0,1,061
03219,忽,0046,0,1,061
03252,怯,0047,0,1,061
03239,思,0048,0,1,061
03326,悟,0049,0,1,061
03429,愼,0050,0,1,061
03329,患,0051,0,1,061
03469,慰,0052,0,1,061
03939,損,0053,0,1,064
03659,手,0054,0,1,064
03858,掌,0055,0,1,064
03904,揚,0056,0,1,064
04216,支,0057,0,1,065
04480,昇,0058,0,1,072
04505,昧,0059,0,1,072
04591,暗,0060,0,1,072
04600,暢,0061,0,1,072
04621,曇,0062,0,1,072
04673,月,0063,0,1,074
05529,權,0064,0,1,075
04803,林,0065,0,1,075
05293,樓,0066,0,1,075
04918,栴,0067,0,1,075
05391,檀,0068,0,1,075
05014,棄,0069,0,1,075
04712,末,0070,0,1,075
05561,欣,0071,0,1,076
05666,歳,0072,0,1,077
05812,毀,0073,0,1,079
05839,毒,0074,0,1,080
05834,母,0075,0,1,080
05986,池,0076,0,1,085
06151,流,0077,0,1,085
06179,浴,0078,0,1,085
06317,渠,0079,0,1,085
06641,濟,0080,0,1,085
06003,決,0081,0,1,085
05952,水,0082,0,1,085
06290,清,0083,0,1,085
06338,渴,0084,0,1,085
06202,涕,0085,0,1,085
06087,泣,0086,0,1,085
06984,營,0087,0,1,086
07074,牟,0088,0,1,093
07248,獸,0089,0,1,094
07212,獄,0090,0,1,094
07241,獲,0091,0,1,094
07272,玩,0092,0,1,096
07483,男,0093,0,1,102
07520,畢,0094,0,1,102
07559,疑,0095,0,1,103
09214,習,0096,0,1,124
07907,瞻,0097,0,1,109
07796,盲,0098,0,1,109
08057,磨,0099,0,1,112
08117,祖,0100,0,1,113
08269,積,0101,0,1,115
08258,稽,0102,0,1,115
08293,究,0103,0,1,116
08365,竟,0104,0,1,117
08602,籌,0105,0,1,118
08879,維,0106,0,1,120
08807,結,0107,0,1,120
09125,罪,0108,0,1,122
09326,聰,0109,0,1,128
09335,聽,0110,0,1,128
09596,臣,0111,0,1,131
09638,舍,0112,0,1,135
09846,草,0113,0,1,140
09972,著,0114,0,1,140
09886,莫,0115,0,1,140
09941,萌,0116,0,1,140
10272,虛,0117,0,1,141
10414,蜜,0118,0,1,142
10521,螺,0119,0,1,142
07870,睹,0120,0,1,109
10928,設,0121,0,1,149
11072,諦,0122,0,1,149
11084,諷,0123,0,1,149
11023,誦,0124,0,1,149
10984,詳,0125,0,1,149
11461,起,0126,0,1,156
11467,超,0127,0,1,156
11515,跋,0128,0,1,157
11502,趺,0129,0,1,157
11519,跏,0130,0,1,157
11826,輩,0131,0,1,159
11745,軍,0132,0,1,159
11898,辟,0133,0,1,160
11958,迥,0134,0,1,162
11983,送,0135,0,1,162
12079,適,0136,0,1,162
12179,郭,0137,0,1,163
12139,邪,0138,0,1,163
12176,部,0139,0,1,163
12188,都,0140,0,1,163
12371,釋,0141,0,1,165
12739,閣,0142,0,1,169
12742,閦,0143,0,1,169
12913,際,0144,0,1,170
12831,陀,0145,0,1,170
12855,除,0146,0,1,170
12867,陵,0147,0,1,170
12991,雖,0148,0,1,172
13316,頓,0149,0,1,181
13296,頂,0150,0,1,181
13359,頻,0151,0,1,181
13508,飢,0152,0,1,184
13661,首,0153,0,1,185
13852,驚,0154,0,1,187
13934,體,0155,0,1,188
00008,上,0156,1,19,001
