カード番号,文字,字体数,用例数1,用例数2,用例数3,部首番号,大字典番号
0001,丈,0,,,,001,00006
0002,乎,0,,,,004,00092
0003,仰,0,,,,009,00199
0004,伎,0,,,,009,00216
0005,低,0,,,,009,00244
0006,侍,0,,,,009,00288
0007,假,0,,,,009,00405
0008,價,0,,,,009,00513
0009,充,0,,,,010,00562
0010,先,0,,,,010,00566
0011,兜,0,,,,010,00579
0012,凡,0,,,,016,00701
0013,刹,0,,,,018,00781
0014,加,0,,,,019,00858
0015,勝,0,,,,019,00893
0016,勤,0,,,,019,00900
0017,勿,0,,,,020,00919
0018,厚,0,,,,027,01068
0019,反,0,,,,029,01116
0020,口,0,,,,030,01141
0021,句,0,,,,030,01143
0022,右,0,,,,030,01158
0023,同,0,,,,030,01174
0024,吹,0,,,,030,01212
0025,哀,0,,,,030,01295
0026,唱,0,,,,030,01350
0027,商,0,,,,030,01363
0028,問,0,,,,030,01369
0029,默,0,,,,203,14720
0030,因,0,,,,031,01611
0031,園,0,,,,031,01644
0032,坊,0,,,,032,01676
0033,垢,0,,,,032,01726
0034,堂,0,,,,032,01765
0035,堅,0,,,,032,01767
0036,報,0,,,,032,01796
0037,塞,0,,,,032,01823
0038,塵,0,,,,032,01831
0039,増,0,,,,032,01853
0040,壞,0,,,,032,01895
0041,士,0,,,,033,01903
0042,夷,0,,,,037,01961
0043,奇,0,,,,037,01972
0044,妬,0,,,,038,02040
0045,嫉,0,,,,038,02201
0046,字,0,,,,039,02267
0047,家,0,,,,040,02349
0048,客,0,,,,040,02331
0049,容,0,,,,040,02352
0050,寒,0,,,,040,02371
0051,川,0,,,,047,02762
0052,希,0,,,,050,02806
0053,帝,0,,,,050,02820
0054,平,0,,,,051,02899
0055,幽,0,,,,052,02912
0056,床,0,,,,053,02924
0057,弗,0,,,,057,03046
0058,御,0,,,,060,03153
0059,微,0,,,,060,03165
0060,忽,0,,,,061,03219
0061,怨,0,,,,061,03245
0062,恚,0,,,,061,03278
0063,恩,0,,,,061,03292
0064,悦,0,,,,061,03309
0065,惟,0,,,,061,03365
0066,惡,0,,,,061,03367
0067,意,0,,,,061,03395
0068,愚,0,,,,061,03404
0069,愛,0,,,,061,03405
0070,感,0,,,,061,03409
0071,慈,0,,,,061,03439
0072,慕,0,,,,061,03450
0073,慢,0,,,,061,03458
0074,憂,0,,,,061,03486
0075,懊,0,,,,061,03551
0076,懸,0,,,,061,03586
0077,戀,0,,,,061,03595
0078,拜,0,,,,064,03761
0079,摧,0,,,,064,04008
0080,撃,0,,,,064,04087
0081,攝,0,,,,064,04192
0082,收,0,,,,066,04224
0083,敵,0,,,,066,04293
0084,變,0,,,,066,04319
0085,文,0,,,,067,04321
0086,斷,0,,,,069,04381
0087,既,0,,,,071,04442
0088,昇,0,,,,072,04480
0089,星,0,,,,072,04499
0090,普,0,,,,072,04557
0091,曠,0,,,,072,04640
0092,曲,0,,,,073,04651
0093,更,0,,,,073,04654
0094,次,0,,,,076,05558
0095,歌,0,,,,076,05609
0096,歎,0,,,,076,05612
0097,正,0,,,,077,05643
0098,殊,0,,,,078,05717
0099,殿,0,,,,079,05809
0100,母,0,,,,080,05834
0101,江,0,,,,085,05985
0102,決,0,,,,085,06003
0103,沈,0,,,,085,06015
0104,波,0,,,,085,06086
0105,06144,0,,,,085,06144
0106,消,0,,,,085,06192
0107,涼,0,,,,085,06230
0108,淳,0,,,,085,06286
0109,渇,0,,,,085,06338
0110,M18497,0,,,,085,
0111,演,0,,,,085,06490
0112,灌,0,,,,085,06748
0113,炬,0,,,,086,06816
0114,熏,0,,,,086,06941
0115,爐,0,,,,086,07012
0116,爪,0,,,,087,07025
0117,牛,0,,,,093,07072
0118,特,0,,,,093,07086
0119,獄,0,,,,094,07212
0120,瑠,0,,,,096,07348
0121,璃,0,,,,096,07366
0122,甄,0,,,,098,07437
0123,畏,0,,,,102,07503
0124,畜,0,,,,102,07513
0125,異,0,,,,102,07530
0126,疑,0,,,,103,07559
0127,痛,0,,,,104,07613
0128,癡,0,,,,104,07685
0129,盛,0,,,,108,07770
0130,直,0,,,,109,07799
0131,瞋,0,,,,109,07878
0132,瞑,0,,,,109,07882
0133,禪,0,,,,113,08162
0134,立,0,,,,117,08354
0135,竟,0,,,,117,08365
0136,箭,0,,,,118,08479
0137,籌,0,,,,118,08602
0138,細,0,,,,120,08779
0139,結,0,,,,120,08807
0140,絶,0,,,,120,08809
0141,絡,0,,,,120,08817
0142,給,0,,,,120,08822
0143,縁,0,,,,120,08924
0144,縛,0,,,,120,08963
0145,09011,0,,,,120,09011
0146,纏,0,,,,120,09064
0147,美,0,,,,123,09155
0148,脱,0,,,,130,09463
0149,膠,0,,,,130,09544
0150,致,0,,,,133,09611
0151,舊,0,,,,134,09633
0152,船,0,,,,137,09675
0153,良,0,,,,138,09714
0154,草,0,,,,140,09846
0155,荼,0,,,,140,09863
0156,藏,0,,,,140,10191
0157,蘇,0,,,,140,10231
0158,M32436,0,,,,140,
0159,號,0,,,,141,10276
0160,螺,0,,,,142,10521
0161,表,0,,,,145,10643
0162,裸,0,,,,145,10728
0163,親,0,,,,147,10848
0164,設,0,,,,149,10928
0165,調,0,,,,149,11038
0166,谷,0,,,,150,11234
0167,豈,0,,,,151,11253
0168,貧,0,,,,154,11338
0169,賈,0,,,,154,11374
0170,貪,0,,,,154,11342
0171,賊,0,,,,154,11377
0172,賢,0,,,,154,11397
0173,趺,0,,,,157,11502
0174,跏,0,,,,157,11519
0175,踊,0,,,,157,11565
0176,躬,0,,,,158,11716
0177,辭,0,,,,160,11914
0178,近,0,,,,162,11948
0179,逝,0,,,,162,12001
0180,遊,0,,,,162,12042
0181,達,0,,,,162,12052
0182,適,0,,,,162,12079
0183,醫,0,,,,164,12341
0184,重,0,,,,166,12373
0185,野,0,,,,166,12374
0186,金,0,,,,167,12380
0187,鈴,0,,,,167,12418
0188,銖,0,,,,167,12463
0189,12742,0,,,,169,12742
0190,陸,0,,,,170,12870
0191,際,0,,,,170,12913
0192,障,0,,,,170,12914
0193,集,0,,,,172,12963
0194,面,0,,,,176,13108
0195,音,0,,,,180,13281
0196,頻,0,,,,181,13359
0197,顯,0,,,,181,13416
0198,風,0,,,,182,13423
0199,飮,0,,,,184,13526
0200,餓,0,,,,184,13559
0201,饒,0,,,,184,13641
0202,驕,0,,,,187,13845
0203,鬼,0,,,,194,14061
0204,鳩,0,,,,196,14366
0205,鼓,0,,,,207,14775
0206-0207,一,1,73,,,001,00001
0208,七,1,8,,,001,00004
0209,三,1,28,,,001,00007
0210,上,1,16,,,001,00008
0211,下,1,7,,,001,00009
0212,不,1,27,,,001,00013
0213,世,1,40,,,001,00025
0214,丘,1,2,,,001,00026
0215,中,1,42,,,002,00051
0216,主,1,2,,,003,00070
0217,乃,1,6,,,004,00078
0218,久,1,2,,,004,00085
0219,之,1,41,,,004,00088
0220,也,1,2,,,005,00109
0221,乘,1,2,,,004,00102
0222,乾,1,3,,,005,00118
0223,事,1,8,,,006,00128
0224,二,1,8,,,007,00129
0225,于,1,3,,,007,00132
0226,云,1,2,,,007,00133
0227,五,1,2,,,007,00135
0228,亦,1,31,,,008,00154
0229,人,1,35,,,009,00168
0230,今,1,15,,,009,00175
0231,他,1,6,,,009,00183
0232,付,1,4,,,009,00185
0233,令,1,13,,,009,00193
0234,以,1,36,,,009,00194
0235,伽,1,3,,,009,00236
0236,住,1,6,,,009,00245
0237,何,1,6,,,009,00250
0238-0239,佛,1,94,,,009,00255
0240,作,1,16,,,009,00256
0241,使,1,4,,,009,00279
0242,來,1,27,,,009,00282
0243,供,1,29,,,009,00299
0244,便,1,2,,,009,00321
0245,信,1,2,,,009,00345
0246,倶,1,3,,,009,00350
0247,偈,1,6,,,009,00406
0248,僧,1,7,,,009,00503
0249,億,1,15,,,009,00520
0250,優,1,2,,,009,00542
0251,光,1,6,,,010,00567
0252,入,1,2,,,011,00582
0253,兩,1,2,,,011,00591
0254,八,1,7,,,012,00594
0255,六,1,4,,,012,00597
0256,共,1,6,,,012,00599
0257,其,1,20,,,012,00605
0258,具,1,4,,,012,00606
0259,典,1,3,,,012,00608
0260,出,1,5,,,017,00723
0261,分,1,6,,,018,00734
0262,切,1,50,,,018,00735
0263,利,1,11,,,018,00767
0264,到,1,2,,,018,00769
0265,則,1,3,,,018,00789
0266,前,1,4,,,018,00794
0267,力,1,16,,,019,00856
0268,功,1,11,,,019,00857
0269,劫,1,6,,,019,00865
0270,勅,1,4,,,019,00879
0271,動,1,3,,,019,00887
0272,化,1,3,,,021,00938
0273,十,1,16,,,024,00985
0274,千,1,34,,,024,00987
0275,南,1,2,,,024,01010
0276,卷,1,2,,,026,01040
0277,即,1,12,,,026,01049
0278,去,1,3,,,028,01101
0279,又,1,14,,,029,01108
0280,叉,1,4,,,029,01109
0281,及,1,26,,,029,01111
0282,受,1,14,,,029,01128
0283,取,1,2,,,029,01127
0284,可,1,5,,,030,01154
0285,各,1,4,,,030,01168
0286,合,1,4,,,030,01170
0287,名,1,6,,,030,01175
0288,向,1,2,,,030,01179
0289,含,1,2,,,030,01197
0290,告,1,4,,,030,01219
0291,命,1,3,,,030,01252
0292,品,1,5,,,030,01296
0293,哉,1,7,,,030,01305
0294,周,1,2,,,030,01235
0295,唯,1,3,,,030,01349
0296,善,1,18,,,030,01395
0297,喜,3,12,9,2,030,01412
0298,嚴,1,4,,,030,01581
0299,囑,1,7,,,030,01600
0300,四,1,8,,,031,01607
0301,國,1,11,,,031,01639
0302,圍,1,4,,,031,01641
