統合ID,文字,P2195,字体数,用例数,部首
00006,丈,0001,0,1,001
00092,乎,0002,0,1,004
00199,仰,0003,0,1,009
00216,伎,0004,0,1,009
00244,低,0005,0,1,009
00288,侍,0006,0,1,009
00405,假,0007,0,1,009
00513,價,0008,0,1,009
00562,充,0009,0,1,010
00566,先,0010,0,1,010
00579,兜,0011,0,1,010
00701,凡,0012,0,1,016
00781,刹,0013,0,1,018
00858,加,0014,0,1,019
00893,勝,0015,0,1,019
00900,勤,0016,0,1,019
00919,勿,0017,0,1,020
01068,厚,0018,0,1,027
01116,反,0019,0,1,029
01141,口,0020,0,1,030
01143,句,0021,0,1,030
01158,右,0022,0,1,030
01174,同,0023,0,1,030
01212,吹,0024,0,1,030
01295,哀,0025,0,1,030
01350,唱,0026,0,1,030
01363,商,0027,0,1,030
01369,問,0028,0,1,030
14720,默,0029,0,1,203
01611,因,0030,0,1,031
01644,園,0031,0,1,031
01676,坊,0032,0,1,032
01726,垢,0033,0,1,032
01765,堂,0034,0,1,032
01767,堅,0035,0,1,032
01796,報,0036,0,1,032
01823,塞,0037,0,1,032
01831,塵,0038,0,1,032
01853,增,0039,0,1,032
01895,壞,0040,0,1,032
01903,士,0041,0,1,033
01961,夷,0042,0,1,037
01972,奇,0043,0,1,037
02040,妒,0044,0,1,038
02201,嫉,0045,0,1,038
02267,字,0046,0,1,039
02349,家,0047,0,1,040
02331,客,0048,0,1,040
02352,容,0049,0,1,040
02371,寒,0050,0,1,040
02762,川,0051,0,1,047
02806,希,0052,0,1,050
02820,帝,0053,0,1,050
02899,平,0054,0,1,051
02912,幽,0055,0,1,052
02924,床,0056,0,1,053
03046,弗,0057,0,1,057
03153,御,0058,0,1,060
03165,微,0059,0,1,060
03219,忽,0060,0,1,061
03245,怨,0061,0,1,061
03278,恚,0062,0,1,061
03292,恩,0063,0,1,061
03309,悦,0064,0,1,061
03365,惟,0065,0,1,061
03367,惡,0066,0,1,061
03395,意,0067,0,1,061
03404,愚,0068,0,1,061
03405,愛,0069,0,1,061
03409,感,0070,0,1,061
03439,慈,0071,0,1,061
03450,慕,0072,0,1,061
03458,慢,0073,0,1,061
03486,憂,0074,0,1,061
03551,懊,0075,0,1,061
03586,懸,0076,0,1,061
03595,戀,0077,0,1,061
03761,拜,0078,0,1,064
04008,摧,0079,0,1,064
04087,擊,0080,0,1,064
04192,攝,0081,0,1,064
04224,收,0082,0,1,066
04293,敵,0083,0,1,066
04319,變,0084,0,1,066
04321,文,0085,0,1,067
04381,斷,0086,0,1,069
04442,旣,0087,0,1,071
04480,昇,0088,0,1,072
04499,星,0089,0,1,072
04557,普,0090,0,1,072
04640,曠,0091,0,1,072
04651,曲,0092,0,1,073
04654,更,0093,0,1,073
05558,次,0094,0,1,076
05609,歌,0095,0,1,076
05612,歎,0096,0,1,076
05643,正,0097,0,1,077
05717,殊,0098,0,1,078
05809,殿,0099,0,1,079
05834,母,0100,0,1,080
05985,江,0101,0,1,085
06003,決,0102,0,1,085
06015,沈,0103,0,1,085
06086,波,0104,0,1,085
06144,洹,0105,0,1,085
06192,消,0106,0,1,085
06230,涼,0107,0,1,085
06286,淳,0108,0,1,085
06338,渴,0109,0,1,085
M18497,㵱,0110,0,1,085
06490,演,0111,0,1,085
06748,灌,0112,0,1,085
06816,炬,0113,0,1,086
06941,熏,0114,0,1,086
07012,爐,0115,0,1,086
07025,爪,0116,0,1,087
07072,牛,0117,0,1,093
07086,特,0118,0,1,093
07212,獄,0119,0,1,094
07348,瑠,0120,0,1,096
07366,璃,0121,0,1,096
07437,甄,0122,0,1,098
07503,畏,0123,0,1,102
07513,畜,0124,0,1,102
07530,異,0125,0,1,102
07559,疑,0126,0,1,103
07613,痛,0127,0,1,104
07685,癡,0128,0,1,104
07770,盛,0129,0,1,108
07799,直,0130,0,1,109
07878,瞋,0131,0,1,109
07882,瞑,0132,0,1,109
08162,禪,0133,0,1,113
08354,立,0134,0,1,117
08365,竟,0135,0,1,117
08479,箭,0136,0,1,118
08602,籌,0137,0,1,118
08779,細,0138,0,1,120
08807,結,0139,0,1,120
08809,絶,0140,0,1,120
08817,絡,0141,0,1,120
08822,給,0142,0,1,120
08924,緣,0143,0,1,120
08963,縛,0144,0,1,120
09011,繒,0145,0,1,120
09064,纏,0146,0,1,120
09155,美,0147,0,1,123
09463,脱,0148,0,1,130
09544,膠,0149,0,1,130
09611,致,0150,0,1,133
09633,舊,0151,0,1,134
09675,船,0152,0,1,137
09714,良,0153,0,1,138
09846,草,0154,0,1,140
09863,荼,0155,0,1,140
10191,藏,0156,0,1,140
10231,蘇,0157,0,1,140
M32436,,0158,0,1,140
10276,號,0159,0,1,141
10521,螺,0160,0,1,142
10643,表,0161,0,1,145
10728,裸,0162,0,1,145
10848,親,0163,0,1,147
10928,設,0164,0,1,149
11038,調,0165,0,1,149
11234,谷,0166,0,1,150
11253,豈,0167,0,1,151
11338,貧,0168,0,1,154
11374,賈,0169,0,1,154
11342,貪,0170,0,1,154
11377,賊,0171,0,1,154
11397,賢,0172,0,1,154
11502,趺,0173,0,1,157
11519,跏,0174,0,1,157
11565,踊,0175,0,1,157
11716,躬,0176,0,1,158
11914,辭,0177,0,1,160
11948,近,0178,0,1,162
12001,逝,0179,0,1,162
12042,遊,0180,0,1,162
12052,達,0181,0,1,162
12079,適,0182,0,1,162
12341,醫,0183,0,1,164
12373,重,0184,0,1,166
12374,野,0185,0,1,166
12380,金,0186,0,1,167
12418,鈴,0187,0,1,167
12463,銖,0188,0,1,167
12742,閦,0189,0,1,169
12870,陸,0190,0,1,170
