カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,用例数4,大字典,,,,,,
0001,乎,004,0,,,,,00092,,,,,,
0002,也,005,0,,,,,00109,,,,,,
0003,九,005,0,,,,,00107,,,,,,
0004,了,006,0,,,,,00125,,,,,,
0005,亶,008,0,,,,,00166,,,,,,
0006,付,009,0,,,,,00185,,,,,,
0007,依,009,0,,,,,00301,,,,,,
0008,仰,009,0,,,,,00199,,,,,,
0009,假,009,0,,,,,00405,,,,,,
0010,偏,009,0,,,,,00411,,,,,,
0011,伏,009,0,,,,,00217,,,,,,
0012,兒,010,0,,,,,00574,,,,,,
0013,冠,014,0,,,,,00646,,,,,,
0014,刑,018,0,,,,,00746,,,,,,
0015,勸,019,0,,,,,00913,,,,,,
0016,勇,019,0,,,,,00881,,,,,,
0017,勝,019,0,,,,,00893,,,,,,
0018,動,019,0,,,,,00887,,,,,,
0019,勿,020,0,,,,,00919,,,,,,
0020,却,026,0,,,,,01038,,,,,,
0021,厚,027,0,,,,,01068,,,,,,
0022,厭,027,0,,,,,01088,,,,,,
0023,古,030,0,,,,,01142,,,,,,
0024,號,141,0,,,,,10276,,,,,,
0025,加,019,0,,,,,00858,,,,,,
0026,同,030,0,,,,,01174,,,,,,
0027,咀,030,0,,,,,01255,,,,,,
0028,M03540,030,0,,,,,M03540,,,,,,
0029,哀,030,0,,,,,01295,,,,,,
0030,咸,030,0,,,,,01288,,,,,,
0031,口,030,0,,,,,01141,,,,,,
0032,咲,030,0,,,,,01312,,,,,,
0033,吹,030,0,,,,,01212,,,,,,
0034,囚,031,0,,,,,01606,,,,,,
0035,困,031,0,,,,,01623,,,,,,
0036,土,032,0,,,,,01654,,,,,,
0037,塔,032,0,,,,,01816,,,,,,
0038,塗,032,0,,,,,01818,,,,,,
0039,場,032,0,,,,,01798,,,,,,
0040,增,032,0,,,,,01853,,,,,,
0041,01748,032,0,,,,,01748,,,,,,
0042,塞,032,0,,,,,01823,,,,,,
0043,士,033,0,,,,,01903,,,,,,
0044,夢,036,0,,,,,01943,,,,,,
0045,失,037,0,,,,,01957,,,,,,
0046,奉,037,0,,,,,01974,,,,,,
0047,02089,038,0,,,,,02089,,,,,,
0048,嫉,038,0,,,,,02201,,,,,,
0049,娯,038,0,,,,,02118,,,,,,
0050,孔,039,0,,,,,02264,,,,,,
0051,字,039,0,,,,,02267,,,,,,
0052,學,039,0,,,,,02293,,,,,,
0053,宜,040,0,,,,,02327,,,,,,
0054,定,040,0,,,,,02325,,,,,,
0055,宰,040,0,,,,,02344,,,,,,
0056,宣,040,0,,,,,02333,,,,,,
0057,將,041,0,,,,,02425,,,,,,
0058,奪,037,0,,,,,02013,,,,,,
0059,尸,044,0,,,,,02469,,,,,,
0060,屠,044,0,,,,,02502,,,,,,
0061,崛,046,0,,,,,02625,,,,,,
0062,峯,046,0,,,,,02589,,,,,,
0063,巨,048,0,,,,,02776,,,,,,
0064,幡,050,0,,,,,02881,,,,,,
0065,布,050,0,,,,,02800,,,,,,
0066,幾,052,0,,,,,02915,,,,,,
0067,弘,057,0,,,,,03047,,,,,,
0068,引,057,0,,,,,03044,,,,,,
0069,弗,057,0,,,,,03046,,,,,,
0070,忍,061,0,,,,,03184,,,,,,
0071,憂,061,0,,,,,03486,,,,,,
0072,忽,061,0,,,,,03219,,,,,,
0073,忘,061,0,,,,,03196,,,,,,
0074,怙,061,0,,,,,03235,,,,,,
0075,懃,061,0,,,,,03544,,,,,,
0076,悦,061,0,,,,,03309,,,,,,
0077,恚,061,0,,,,,03278,,,,,,
0078,惟,061,0,,,,,03365,,,,,,
0079,M10547,061,0,,,,,m10547,,,,,,
0080,03182,061,0,,,,,03182,,,,,,
0081,慰,061,0,,,,,03469,,,,,,
0082,恐,061,0,,,,,03272,,,,,,
0083,戒,062,0,,,,,03612,,,,,,
0084,戻,063,0,,,,,03645,,,,,,
0085,03652,063,0,,,,,03652,,,,,,
0086,拘,064,0,,,,,03757,,,,,,
0087,押,064,0,,,,,03729,,,,,,
