統合ID,文字,S.2577,字体数,用例数,部首
00092,乎,0001,0,1,004
00109,也,0002,0,1,005
00107,九,0003,0,1,005
00125,了,0004,0,1,006
00166,亶,0005,0,1,008
00185,付,0006,0,1,009
00301,依,0007,0,1,009
00199,仰,0008,0,1,009
00405,假,0009,0,1,009
00411,偏,0010,0,1,009
00217,伏,0011,0,1,009
00574,兒,0012,0,1,010
00646,冠,0013,0,1,014
00746,刑,0014,0,1,018
00913,勸,0015,0,1,019
00881,勇,0016,0,1,019
00893,勝,0017,0,1,019
00887,動,0018,0,1,019
00919,勿,0019,0,1,020
01038,却,0020,0,1,026
01068,厚,0021,0,1,027
01088,厭,0022,0,1,027
01142,古,0023,0,1,030
10276,號,0024,0,1,141
00858,加,0025,0,1,019
01174,同,0026,0,1,030
01255,咀,0027,0,1,030
M03540,咩,0028,0,1,030
01295,哀,0029,0,1,030
01288,咸,0030,0,1,030
01141,口,0031,0,1,030
01312,咲,0032,0,1,030
01212,吹,0033,0,1,030
01606,囚,0034,0,1,031
01623,困,0035,0,1,031
01654,土,0036,0,1,032
01816,塔,0037,0,1,032
01818,塗,0038,0,1,032
01798,場,0039,0,1,032
01853,增,0040,0,1,032
01748,埵,0041,0,1,032
01823,塞,0042,0,1,032
01903,士,0043,0,1,033
01943,夢,0044,0,1,036
01957,失,0045,0,1,037
01974,奉,0046,0,1,037
02089,姤,0047,0,1,038
02201,嫉,0048,0,1,038
02118,娛,0049,0,1,038
02264,孔,0050,0,1,039
02267,字,0051,0,1,039
02293,學,0052,0,1,039
02327,宜,0053,0,1,040
02325,定,0054,0,1,040
02344,宰,0055,0,1,040
02333,宣,0056,0,1,040
02425,將,0057,0,1,041
02013,奪,0058,0,1,037
02469,尸,0059,0,1,044
02502,屠,0060,0,1,044
02625,崛,0061,0,1,046
02589,峯,0062,0,1,046
02776,巨,0063,0,1,048
02881,幡,0064,0,1,050
02800,布,0065,0,1,050
02915,幾,0066,0,1,052
03047,弘,0067,0,1,057
03044,引,0068,0,1,057
03046,弗,0069,0,1,057
03184,忍,0070,0,1,061
03486,憂,0071,0,1,061
03219,忽,0072,0,1,061
03196,忘,0073,0,1,061
03235,怙,0074,0,1,061
03544,懃,0075,0,1,061
03309,悦,0076,0,1,061
03278,恚,0077,0,1,061
03365,惟,0078,0,1,061
M10547,㤢,0079,0,1,061
03182,忉,0080,0,1,061
03469,慰,0081,0,1,061
03272,恐,0082,0,1,061
03612,戒,0083,0,1,062
03645,戾,0084,0,1,063
03652,扆,0085,0,1,063
03757,拘,0086,0,1,064
03729,押,0087,0,1,064
03835,捨,0088,0,1,064
03875,掣,0089,0,1,064
03939,損,0090,0,1,064
03855,授,0091,0,1,064
04087,擊,0092,0,1,064
04075,撻,0093,0,1,064
04277,敢,0094,0,1,066
04296,敷,0095,0,1,066
04339,斗,0096,0,1,068
04381,斷,0097,0,1,069
04398,旃,0098,0,1,070
04453,旬,0099,0,1,072
04480,昇,0100,0,1,072
04499,星,0101,0,1,072
04651,曲,0102,0,1,073
04673,月,0103,0,1,074
04679,服,0104,0,1,074
04707,木,0105,0,1,075
04807,枝,0106,0,1,075
04871,柱,0107,0,1,075
04775,杻,0108,0,1,075
04765,東,0109,0,1,075
04941,桑,0110,0,1,075
04821,枷,0111,0,1,075
12963,集,0112,0,1,172
05001,械,0113,0,1,075
05152,業,0114,0,1,075
04806,果,0115,0,1,075
05587,欺,0116,0,1,076
09085,缺,0117,0,1,121
05641,止,0118,0,1,077
05670,歷,0119,0,1,077
05717,殊,0120,0,1,078
05850,毛,0121,0,1,082
05986,池,0122,0,1,085
06023,沒,0123,0,1,085
06096,泯,0124,0,1,085
06173,浪,0125,0,1,085
06517,漸,0126,0,1,085
06480,漂,0127,0,1,085
06554,潮,0128,0,1,085
06374,湧,0129,0,1,085
06494,漚,0130,0,1,085
06921,煩,0131,0,1,086
06978,燒,0132,0,1,086
06969,燃,0133,0,1,086
05796,殺,0134,0,1,079
06792,災,0136,0,1,086
06835,烏,0137,0,1,086
06847,烟,0138,0,1,086
02924,床,0139,0,1,053
07080,物,0140,0,1,093
07086,特,0141,0,1,093
07192,猪,0142,0,1,094
07198,猲,0143,0,1,094
07125,狂,0144,0,1,094
07139,狗,0145,0,1,094
07212,獄,0146,0,1,094
07112,犯,0147,0,1,094
07259,率,0148,0,1,095
07281,珂,0149,0,1,096
07336,瑋,0150,0,1,096
07456,甘,0151,0,1,099
07530,異,0152,0,1,102
07559,疑,0153,0,1,103
07649,瘡,0154,0,1,104
07690,癩,0155,0,1,104
07878,瞋,0156,0,1,109
