JIS文字,カード番号,字体数,用例数1,用例数2,用例数3,用例数4,用例数5,大字典,大漢和,部首
一,0001,0,,,,,,00001,M00001,001
七,0002,1,2,,,,,00004,M00006,001
丈,0003,0,,,,,,00006,M00011,001
丞,0004,0,,,,,,00029,M00040,001
且,0005,0,,,,,,00020,M00029,001
丹,0006,0,,,,,,00069,M00099,003
久,0007,0,,,,,,00085,M00118,004
乾,0008,0,,,,,,00118,M00204,005
享,0009,0,,,,,,00156,M00298,008
京,0010,0,,,,,,00157,M00299,008
亶,0011,0,,,,,,00166,M00328,008
仆,0012,0,,,,,,00173,M00354,009
00191,0013,0,,,,,,00191,M00382,009
令,0014,0,,,,,,00193,M00387,009
允,0015,0,,,,,,00559,M01338,010
充,0016,0,,,,,,00562,M01344,010
傳,0017,0,,,,,,00468,M01019,009
僚,0018,0,,,,,,00495,M01100,009
00529,0019,0,,,,,,00529,M01214,009
儒,0020,0,,,,,,00530,M01220,009
儕,0021,0,,,,,,00533,M01227,009
仰,0022,0,,,,,,00199,M00400,009
仲,0023,0,,,,,,00200,M00403,009
任,0024,0,,,,,,00206,M00416,009
伍,0025,0,,,,,,00215,M00435,009
00207,0026,0,,,,,,00207,M00420,009
伏,0027,0,,,,,,00217,M00438,009
休,0028,0,,,,,,00219,M00440,009
位,0029,0,,,,,,00243,M00503,009
低,0030,0,,,,,,00244,M00504,009
00251,0031,0,,,,,,00251,M00512,009
佛,0032,0,,,,,,00255,M00517,009
佞,0033,0,,,,,,00258,M00521,009
佩,0034,0,,,,,,00263,M00543,009
佳,0035,0,,,,,,00267,M00557,009
依,0036,0,,,,,,00301,M00607,009
俄,0037,0,,,,,,00325,M00665,009
倶,0038,0,,,,,,00350,M00724,009
俳,0039,0,,,,,,00351,M00726,009
倉,0040,0,,,,,,00365,M00756,009
候,0041,0,,,,,,00369,M00775,009
倏,0042,0,,,,,,00371,M00762,009
倒,0043,0,,,,,,00373,M00767,009
偉,0044,0,,,,,,00407,M00837,009
傅,0045,0,,,,,,00447,M00939,009
兆,0046,0,,,,,,00564,M01347,010
00576,0047,0,,,,,,00576,M01369,010
兢,0048,0,,,,,,00581,M01395,010
兪,0049,0,,,,,,00593,M01437,011
兵,0050,0,,,,,,00602,M01462,012
冕,0051,0,,,,,,00639,M01545,013
00644,0052,0,,,,,,00644,M01567,014
冠,0053,0,,,,,,00646,M01580,014
冤,0054,0,,,,,,00650,M01587,014
冬,0055,0,,,,,,00662,M01610,015
冰,0056,0,,,,,,00664,M01612,015
凝,0057,0,,,,,,00696,M01720,015
分,0058,0,,,,,,00734,M01853,018
切,0059,0,,,,,,00735,M01858,018
別,0060,0,,,,,,00763,M01924,018
刮,0061,0,,,,,,00768,M01943,018
剖,0062,0,,,,,,00799,M02034,018
剛,0063,0,,,,,,00803,M02042,018
剞,0064,0,,,,,,00806,M02054,018
割,0065,0,,,,,,00820,M02112,018
00833,0066,0,,,,,,00833,M02190,018
力,0067,0,,,,,,00856,M02288,019
加,0068,0,,,,,,00858,M02297,019
勇,0069,0,,,,,,00881,M02360,019
勒,0070,0,,,,,,00885,M02386,019
00888,0071,0,,,,,,00888,M02391,019
勞,0072,0,,,,,,00894,M02410,019
化,0073,0,,,,,,00938,M02572,021
匡,0074,0,,,,,,00953,M02606,022
00997,0075,0,,,,,,00997,M02718,024
卉,0076,0,,,,,,00998,M02720,024
卑,0077,0,,,,,,01003,M02738,024
卒,0078,0,,,,,,01004,M02740,024
危,0079,0,,,,,,01035,M02849,026
01041,0080,0,,,,,,01041,M33968,026
友,0081,0,,,,,,01112,M03119,029
口,0082,0,,,,,,01141,M03227,030
古,0083,0,,,,,,01142,M03233,030
叫,0084,0,,,,,,01148,M03240,030
召,0085,0,,,,,,01150,M03241,030
叱,0086,0,,,,,,01156,M03247,030
右,0087,0,,,,,,01158,M03250,030
吉,0088,0,,,,,,01172,M03289,030
受,0089,0,,,,,,01128,M03159,029
吐,0090,0,,,,,,01178,M03300,030
君,0091,0,,,,,,01185,M03323,030
否,0092,0,,,,,,01190,M03340,030
吸,0093,0,,,,,,01211,M03372,030
呵,0094,0,,,,,,01245,M03459,030
01248,0095,0,,,,,,01248,M03465,030
哲,0096,0,,,,,,01326,M03667,030
01358,0097,0,,,,,,01358,M03780,030
喜,0098,0,,,,,,01412,M03957,030
喟,0099,0,,,,,,01416,M03963,030
單,0100,0,,,,,,01427,M03993,030
喪,0101,0,,,,,,01430,M03985,030
嗟,0102,0,,,,,,01451,M04102,030
嗣,0103,0,,,,,,01452,M04109,030
01463,0104,0,,,,,,01463,M04168,030
01494,0105,0,,,,,,01494,M04276,030
01507,0106,0,,,,,,01507,M04310,030
器,0107,0,,,,,,01523,M04376,030
01532,0108,0,,,,,,01532,M04403,030
嚊,0109,0,,,,,,01550,M04467,030
嚢,0110,0,,,,,,01595,M04633,030
艱,0111,0,,,,,,09715,M30600,138
圉,0112,0,,,,,,01637,M04793,031
園,0113,0,,,,,,01644,M04818,031
圖,0114,0,,,,,,01647,M04832,031
圜,0115,0,,,,,,01651,M04851,031
坤,0116,0,,,,,,01689,M04969,032
01703,0117,0,,,,,,01703,M04994,032
垓,0118,0,,,,,,01716,M05040,032
