統合ID,JIS文字,カード番号,字体数,例数,部首,大字典,大漢和,,
00001,一,0001,0,1,001,00001,M00001,,
00004,七,0002,1,2,001,00004,M00006,,
00006,丈,0003,0,1,001,00006,M00011,,
00029,丞,0004,0,1,001,00029,M00040,,
00020,且,0005,0,1,001,00020,M00029,,
00069,丹,0006,0,1,003,00069,M00099,,
00085,久,0007,0,1,004,00085,M00118,,
00118,乾,0008,0,1,005,00118,M00204,,
00156,享,0009,0,1,008,00156,M00298,,
00157,京,0010,0,1,008,00157,M00299,,
00166,亶,0011,0,1,008,00166,M00328,,
00173,仆,0012,0,1,009,00173,M00354,,
00191,00191,0013,0,1,009,00191,M00382,,
00193,令,0014,0,1,009,00193,M00387,,
00559,允,0015,0,1,010,00559,M01338,,
00562,充,0016,0,1,010,00562,M01344,,
00468,傳,0017,0,1,009,00468,M01019,,
00495,僚,0018,0,1,009,00495,M01100,,
00529,00529,0019,0,1,009,00529,M01214,,
00530,儒,0020,0,1,009,00530,M01220,,
00533,儕,0021,0,1,009,00533,M01227,,
00199,仰,0022,0,1,009,00199,M00400,,
00200,仲,0023,0,1,009,00200,M00403,,
00206,任,0024,0,1,009,00206,M00416,,
00215,伍,0025,0,1,009,00215,M00435,,
00207,00207,0026,0,1,009,00207,M00420,,
00217,伏,0027,0,1,009,00217,M00438,,
00219,休,0028,0,1,009,00219,M00440,,
00243,位,0029,0,1,009,00243,M00503,,
00244,低,0030,0,1,009,00244,M00504,,
00251,00251,0031,0,1,009,00251,M00512,,
00255,佛,0032,0,1,009,00255,M00517,,
00258,佞,0033,0,1,009,00258,M00521,,
00263,佩,0034,0,1,009,00263,M00543,,
00267,佳,0035,0,1,009,00267,M00557,,
00301,依,0036,0,1,009,00301,M00607,,
00325,俄,0037,0,1,009,00325,M00665,,
00350,倶,0038,0,1,009,00350,M00724,,
00351,俳,0039,0,1,009,00351,M00726,,
00365,倉,0040,0,1,009,00365,M00756,,
00369,候,0041,0,1,009,00369,M00775,,
00371,倏,0042,0,1,009,00371,M00762,,
00373,倒,0043,0,1,009,00373,M00767,,
00407,偉,0044,0,1,009,00407,M00837,,
