,,kyd_漢書揚雄,kyd_漢書揚雄,kyd_漢書揚雄,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
00001,一,0001,0,1,001
00004,七,0002,1,2,001
00006,丈,0003,0,1,001
00029,丞,0004,0,1,001
00020,且,0005,0,1,001
00069,丹,0006,0,1,003
00085,久,0007,0,1,004
00118,乾,0008,0,1,005
00156,享,0009,0,1,008
00157,京,0010,0,1,008
00166,亶,0011,0,1,008
00173,仆,0012,0,1,009
00191,仡,0013,0,1,009
00193,令,0014,0,1,009
00559,允,0015,0,1,010
00562,充,0016,0,1,010
00468,傳,0017,0,1,009
00495,僚,0018,0,1,009
00529,儐,0019,0,1,009
00530,儒,0020,0,1,009
00533,儕,0021,0,1,009
00199,仰,0022,0,1,009
00200,仲,0023,0,1,009
00206,任,0024,0,1,009
00215,伍,0025,0,1,009
00207,仿,0026,0,1,009
00217,伏,0027,0,1,009
00219,休,0028,0,1,009
00243,位,0029,0,1,009
00244,低,0030,0,1,009
00251,佖,0031,0,1,009
00255,佛,0032,0,1,009
00258,佞,0033,0,1,009
00263,佩,0034,0,1,009
00267,佳,0035,0,1,009
00301,依,0036,0,1,009
00325,俄,0037,0,1,009
00350,倶,0038,0,1,009
00351,俳,0039,0,1,009
00365,倉,0040,0,1,009
00369,候,0041,0,1,009
00371,倏,0042,0,1,009
00373,倒,0043,0,1,009
00407,偉,0044,0,1,009
00447,傅,0045,0,1,009
00564,兆,0046,0,1,010
00576,兕,0047,0,1,010
00581,兢,0048,0,1,010
00593,兪,0049,0,1,011
00602,兵,0050,0,1,012
00639,冕,0051,0,1,013
00644,冘,0052,0,1,014
00646,冠,0053,0,1,014
00650,冤,0054,0,1,014
00662,冬,0055,0,1,015
00664,冰,0056,0,1,015
00696,凝,0057,0,1,015
00734,分,0058,0,1,018
00735,切,0059,0,1,018
00763,別,0060,0,1,018
00768,刮,0061,0,1,018
00799,剖,0062,0,1,018
00803,剛,0063,0,1,018
00806,剞,0064,0,1,018
00820,割,0065,0,1,018
00833,劂,0066,0,1,018
00856,力,0067,0,1,019
00858,加,0068,0,1,019
00881,勇,0069,0,1,019
00885,勒,0070,0,1,019
00888,勖,0071,0,1,019
00894,勞,0072,0,1,019
00938,化,0073,0,1,021
00953,匡,0074,0,1,022
00997,卌,0075,0,1,024
00998,卉,0076,0,1,024
01003,卑,0077,0,1,024
01004,卒,0078,0,1,024
01035,危,0079,0,1,026
01041,䘏,0080,0,1,026
01112,友,0081,0,1,029
01141,口,0082,0,1,030
01142,古,0083,0,1,030
01148,叫,0084,0,1,030
01150,召,0085,0,1,030
01156,叱,0086,0,1,030
01158,右,0087,0,1,030
01172,吉,0088,0,1,030
01128,受,0089,0,1,029
01178,吐,0090,0,1,030
01185,君,0091,0,1,030
01190,否,0092,0,1,030
01211,吸,0093,0,1,030
01245,呵,0094,0,1,030
01248,呹,0095,0,1,030
01326,哲,0096,0,1,030
01358,唼,0097,0,1,030
01412,喜,0098,0,1,030
01416,喟,0099,0,1,030
01427,單,0100,0,1,030
01430,喪,0101,0,1,030
01451,嗟,0102,0,1,030
01452,嗣,0103,0,1,030
01463,嘄,0104,0,1,030
01494,嘻,0105,0,1,030
01507,噏,0106,0,1,030
01523,器,0107,0,1,030
01532,噱,0108,0,1,030
01550,嚊,0109,0,1,030
01595,囊,0110,0,1,030
09715,艱,0111,0,1,138
01637,圉,0112,0,1,031
01644,園,0113,0,1,031
01647,圖,0114,0,1,031
01651,圜,0115,0,1,031
01689,坤,0116,0,1,032
01703,坷,0117,0,1,032
01716,垓,0118,0,1,032
01727,垣,0119,0,1,032
01740,城,0120,0,1,032
01747,埢,0121,0,1,032
01758,基,0122,0,1,032
01765,堂,0123,0,1,032
01680,坎,0124,0,1,032
01789,堪,0125,0,1,032
01793,堯,0126,0,1,032
01818,塗,0127,0,1,032
14634,麈,0128,0,1,198
01859,墨,0129,0,1,032
01905,壯,0130,0,1,033
