カード番号,文字,部首番号,字体数,用例数１,用例数２,用例数３,大字典番号
0001,七,001,0,,,,00004
0002,主,003,0,,,,00070
0003,乃,004,0,,,,00078
0004,九,005,0,,,,00107
0005,二,007,0,,,,00129
0006,人,009,0,,,,00168
0007,使,009,0,,,,00279
0008,但,009,0,,,,00240
0009,備,009,0,,,,00455
0010,克,010,0,,,,00568
0011,區,023,0,,,,00984
0012,去,028,0,,,,01101
0013,取,029,0,,,,01127
0014,向,030,0,,,,01179
0015,右,030,0,,,,01158
0016,同,030,0,,,,01174
0017,困,031,0,,,,01623
0018,場,032,0,,,,01798
0019,執,032,0,,,,01755
0020,報,032,0,,,,01796
0021,士,033,0,,,,01903
0022,多,036,0,,,,01938
0023,外,036,0,,,,01934
0024,央,037,0,,,,01954
0025,孔,039,0,,,,02264
0026,實,040,0,,,,02390
0027,密,040,0,,,,02361
0028,屬,044,0,,,,02515
0029,峯,046,0,,,,02589
0030,幹,051,0,,,,02905
0031,幻,052,0,,,,02907
0032,弘,057,0,,,,03047
0033,得,060,0,,,,03145
0034,心,061,0,,,,03179
0035,意,061,0,,,,03395
0036,悲,061,0,,,,03335
0037,應,061,0,,,,03550
0038,悦,061,0,,,,03309
0039,我,062,0,,,,03611
0040,振,064,0,,,,03799
0041,捨,064,0,,,,03835
0042,曩,072,0,,,,04645
0043,月,074,0,,,,04673
0044,望,074,0,,,,04693
0045,校,075,0,,,,04904
0046,楊,075,0,,,,05123
0047,枝,075,0,,,,04807
0048,梵,075,0,,,,05010
0049,栴,075,0,,,,04918
0050,歇,076,0,,,,05599
0051,止,077,0,,,,05641
0052,正,077,0,,,,05643
0053,毛,082,0,,,,05850
0054,05950,084,0,,,,05950
0055,氛,084,0,,,,05941
0056,06577,085,0,,,,06577
0057,浮,085,0,,,,06175
0058,治,085,0,,,,06055
0059,永,085,0,,,,05957
0060,泥,085,0,,,,06088
0061,浪,085,0,,,,06173
0062,洞,085,0,,,,06125
0063,求,085,0,,,,05964
0064,沮,085,0,,,,06041
0065,焚,086,0,,,,06867
0066,炳,086,0,,,,06824
0067,獲,094,0,,,,07241
0068,玉,096,0,,,,07261
0069,瑩,096,0,,,,07352
0070,甘,099,0,,,,07456
0071,甚,099,0,,,,07457
0072,盛,108,0,,,,07770
0073,眼,109,0,,,,07843
0074,眉,109,0,,,,07813
0075,眷,109,0,,,,07839
0076,知,111,0,,,,07941
0077,礙,112,0,,,,08077
0078,示,113,0,,,,08097
0079,稱,115,0,,,,08248
0080,積,115,0,,,,08269
0081,立,117,0,,,,08354
0082,第,118,0,,,,08412
0083,精,119,0,,,,08685
0084,絶,120,0,,,,08809
0085,繚,120,0,,,,09017
0086,續,120,0,,,,09061
0087,置,122,0,,,,09128
0088,美,123,0,,,,09155
0089,聳,128,0,,,,09329
0090,興,134,0,,,,09630
0091,蔭,140,0,,,,10086
0092,苦,140,0,,,,09789
0093,詣,149,0,,,,10974
0094,記,149,0,,,,10914
0095,起,156,0,,,,11461
0096,足,157,0,,,,11495
0097,踊,157,0,,,,11565
0098,遠,162,0,,,,12070
0099,速,162,0,,,,12003
0100,郭,163,0,,,,12179
0101,釋,165,0,,,,12371
0102,鏡,167,0,,,,12613
0103,閻,169,0,,,,12757
0104,限,170,0,,,,12839
0105,雖,172,0,,,,12991
0106,雨,173,0,,,,13012
0107,露,173,0,,,,13073
0108,雷,173,0,,,,13023
0109,震,173,0,,,,13036
0110,青,174,0,,,,13095
0111,非,175,0,,,,13104
0112,面,176,0,,,,13108
0113,餘,184,0,,,,13565
0115,馥,186,0,,,,13677
0116,騰,187,0,,,,13820
0117,高,189,0,,,,13940
0118,鬘,190,0,,,,13999
0119-0121,一,001,1,129,,,00001
0122-0123,世,001,2,75,8,,00025
0124,不,001,1,29,,,00013
0125,上,001,1,35,,,00008
0126,下,001,1,9,,,00009
0127,三,001,1,3,,,00007
0128-0129,中,002,1,51,,,00051
0130,之,004,1,9,,,00088
0131,事,006,1,2,,,00128
0132,亦,008,1,7,,,00154
0133-0134,以,009,1,57,,,00194
0135,伏,009,1,2,,,00217
0136,便,009,1,3,,,00321
0137,來,009,1,24,,,00282
0138,住,009,1,32,,,00245
0139,作,009,1,25,,,00256
0140,依,009,1,17,,,00301
0141,令,009,1,8,,,00193
0142,今,009,1,2,,,00175
0143,停,009,1,3,,,00417
0144,他,009,1,3,,,00183
0145,億,009,1,4,,,00520
0146-0148,佛,009,1,122,,,00255
0149,像,009,1,4,,,00489
0150,00261,009,1,2,,,00261
0151,何,009,1,2,,,00250
0152-153,光,010,1,68,,,00567
0154,入,011,1,12,,,00582
0155,内,011,1,5,,,00585
0156,兩,011,1,2,,,00591
0157-0158,其,012,1,76,,,00605
0159,具,012,1,11,,,00606
0160,共,012,1,5,,,00599
0161,八,012,1,2,,,00594
0162,冠,014,1,2,,,00646
0163,出,017,1,17,,,00723
0164,別,018,1,6,,,00763
0165,剛,018,1,8,,,00803
0166,利,018,1,5,,,00767
0167-0168,刹,018,1,61,,,00781
0169,列,018,1,9,,,00754
0170,分,018,1,7,,,00734
0171-0172,切,018,1,84,,,00735
0173,力,019,1,28,,,00856
0174,劫,019,1,7,,,00865
0175,勝,019,1,4,,,00893
0176,勒,019,1,2,,,00885
0177,加,019,1,2,,,00858
0178,功,019,1,4,,,00857
0179,動,019,1,2,,,00887
0180,化,021,1,11,,,00938
0181-0182,十,024,1,64,,,00985
0183,千,024,1,3,,,00987
0184,及,029,1,10,,,01111
0185,名,030,1,19,,,01175
0186,告,030,1,8,,,01219
0187,咸,030,1,9,,,01288
0188,周,030,1,27,,,01235
0189,可,030,1,17,,,01154
0190,吐,030,1,2,,,01178
0191,善,030,1,2,,,01395
0192,各,030,1,50,,,01168
0193-0194,嚴,030,1,83,,,01581
0195,國,031,1,6,,,01639
0196,固,031,1,5,,,01627
0197,圓,031,1,5,,,01645
0198,圍,031,1,18,,,01641
0199,四,031,1,9,,,01607
0200,土,032,1,8,,,01654
0201,境,032,1,5,,,01839
0202,堅,032,1,5,,,01767
0203,垢,032,1,3,,,01726
0204,地,032,1,22,,,01666
0205,M05100,032,1,2,,,
0206,垂,032,1,6,,,01710
0207-0208,塵,032,1,66,,,01831
0209,在,032,1,12,,,01659
0210,垣,032,1,2,,,01727
0211,城,032,1,3,,,01740
0212,01856,032,1,3,,,01856
0213,壇,032,1,3,,,01878
0214,大,037,1,40,,,01946
0215,天,037,1,8,,,01947
0216,奏,037,1,2,,,01981
0217,奇,037,1,2,,,01972
0218,妙,038,1,44,,,02045
0219,威,038,1,8,,,02105
0220,好,038,1,3,,,02029
0221-0222,如,038,1,53,,,02031
0223,子,039,1,21,,,02262
0224,宮,040,1,2,,,02342
0225-0227,寶,040,1,111,,,02407
0228,宣,040,1,10,,,02333
0229,安,040,1,6,,,02309
0230,察,040,1,8,,,02383
0231,尊,041,1,3,,,02429
0232,尸,044,1,3,,,02469
0233-0234,尼,044,1,72,,,02473
0235,山,046,1,9,,,02528
0236,岸,046,1,5,,,02564
0237,師,050,1,2,,,02835
0238,幢,050,1,11,,,02882
0239,常,050,1,7,,,02847
0240,布,050,1,29,,,02800
0241,帝,050,1,3,,,02820
0242,匝,022,1,12,,,00951
0243,平,051,1,5,,,02899
0244,底,053,1,2,,,02932
0245,廣,053,1,18,,,02993
0246,座,053,1,3,,,02946
0247,03020,055,1,2,,,03020
0248,彌,057,1,10,,,03084
0249-0250,形,059,1,51,,,03101
0251,影,059,1,8,,,03116
0252,彩,059,1,2,,,03109
0253,復,060,1,17,,,03159
0254,從,060,1,3,,,03151
0255,往,060,1,5,,,03128
0256,彼,060,1,6,,,03124
0257,徳,060,1,8,,,03172
0258-0259,微,060,2,41,20,,03165
0260,徹,060,1,4,,,03173
0261,思,061,1,6,,,03239
0262,恆,061,1,10,,,03267
0263,性,061,1,4,,,03244
0264,成,062,1,13,,,03610
0265-0266,或,062,1,56,,,03617
0267,所,063,1,48,,,03647
0268-0269,摩,064,1,72,,,04009
0270,承,064,1,7,,,03690
0271,搖,064,1,2,,,03947
0272,提,064,1,2,,,03896
0273,持,064,1,17,,,03780
0274,變,066,1,7,,,04319
0275,散,066,2,5,2,,04280
0276,放,066,1,8,,,04233
0277,故,066,1,3,,,04243
0278,方,070,1,42,,,04385
0279,旋,070,1,9,,,04406
0280,於,070,1,18,,,04389
0281,日,072,1,6,,,04446
0282,是,072,1,29,,,04512
0283-0284,普,072,1,57,,,04557
0285,曜,072,1,2,,,04636
0286,時,072,1,17,,,04523
0287,智,072,1,6,,,04569
0288,暫,072,1,2,,,04603
0289,昔,072,1,9,,,04490
0290,明,072,1,36,,,04485
0291,最,073,1,4,,,04664
0292-0293,有,074,1,89,,,04674
0294,林,075,1,5,,,04803
0295,榮,075,1,2,,,05210
0296,末,075,1,4,,,04712
0297,未,075,1,3,,,04711
0298,檀,075,1,7,,,05391
0299,欄,075,1,3,,,05519
0300,果,075,1,2,,,04806
0301,楯,075,1,3,,,05154
0302,條,075,1,2,,,04984
0303,樂,075,1,3,,,05279
0304,樓,075,1,5,,,05293
0305,本,075,1,4,,,04713
0306,業,075,1,4,,,05152
0307,樹,075,1,13,,,05323
0308,極,075,1,3,,,05161
0309,次,076,1,10,,,05558
0310,欲,076,1,8,,,05580
0311,此,077,1,39,,,05644
0312,殊,078,1,3,,,05717
0313,殿,079,1,2,,,05809
0314,毘,081,1,6,,,05845
0315,水,085,1,22,,,05952
0316-0317,海,085,1,68,,,06182
0318,清,085,1,27,,,06290
0319,淨,085,1,41,,,06272
0320,法,085,1,13,,,06074
0321,演,085,1,12,,,06490
0322,滿,085,1,18,,,06476
0323,流,085,1,10,,,06151
0324,澄,085,1,2,,,06564
0325,河,085,1,16,,,06045
0326,沙,085,1,3,,,06031
0327,江,085,1,2,,,05985
0328,然,086,1,8,,,06885
0329,熾,086,1,7,,,06965
0330,焔,086,1,24,,,06882
0331,燈,086,1,4,,,06971
0332,照,086,1,12,,,06918
0333-0334,爲,087,1,58,,,07032
0335,爾,089,1,15,,,07043
0336,牆,090,2,1,1,,07047
0337,猶,094,1,2,,,07203
0338,状,094,1,6,,,07122
0339,王,096,1,26,,,07262
0340,現,096,1,29,,,07304
0341,珠,096,1,16,,,07291
0342,珍,096,1,2,,,07287
0343,生,100,1,25,,,07461
0344-0345,界,102,1,93,,,07501
0346,由,102,1,5,,,07479
0347,當,102,1,2,,,07535
0348,疾,104,1,2,,,07591
0349,發,105,1,7,,,07707
0350,百,106,1,3,,,07710
0351,皆,106,1,24,,,07717
0352,盈,108,1,3,,,07758
0353,盡,108,1,7,,,07779
0354,廬,053,1,6,,,02999
0355-0356,衆,109,1,53,,,07844
0357,相,109,1,17,,,07801
0358,眞,109,1,6,,,07827
0359,神,113,1,20,,,08124
0360,福,113,1,3,,,08148
0361-0362,種,115,1,76,,,08244
0363,空,116,1,6,,,08296
0364,等,118,1,21,,,08426
0365,純,120,1,2,,,08753
0366,纓,120,1,6,,,09072
0367,細,120,1,3,,,08779
0368,絡,120,1,3,,,08817
0369,網,120,1,17,,,08885
0370,繞,120,2,13,1,,09020
0371,羅,122,1,5,,,09144
0372,義,123,1,8,,,09177
0373,羣,123,1,2,,,09175
0374,者,125,1,7,,,09255
0375,而,126,1,15,,,09264
0376,聲,128,1,16,,,09328
0377,聞,128,1,2,,,09315
0378,能,130,1,16,,,09429
0379,胎,130,1,2,,,09395
0380,自,132,1,7,,,09602
0381,至,133,1,2,,,09610
0382,臺,133,1,2,,,09617
0383,舒,135,1,2,,,09643
0384,色,139,1,18,,,09716
0385-0386,花,140,1,55,,,09758
0387,蓮,140,1,14,,,10050
0388,芬,140,1,6,,,09753
0389,蘂,140,1,3,,,10223
0390,蓋,140,1,3,,,10040
0391,草,140,1,2,,,09846
0392,藏,140,1,29,,,10191
0393,菩,140,1,32,,,09919
0394,薩,140,1,30,,,10163
0395,若,140,1,10,,,09788
0396,處,141,1,14,,,10270
0397,號,141,1,5,,,10276
0398,虚,141,1,3,,,10272
0399,行,144,1,22,,,10614
0400,衣,145,1,7,,,10637
0401,見,147,1,11,,,10831
0402,親,147,1,2,,,10848
0403,言,149,1,21,,,10890
0404-0405,諸,149,1,64,,,11085
0406,謂,149,1,2,,,11095
0407,説,149,1,28,,,11025
0408,議,149,1,6,,,11195
0409,調,149,1,2,,,11038
0410,賢,154,1,20,,,11397
0411,赫,155,1,2,,,11451
0412,趣,156,1,3,,,11485
0413,身,158,1,10,,,11715
0414,輪,159,1,37,,,11827
0415,轉,159,1,3,,,11856
0416,11816,159,1,2,,,11816
0417,過,162,1,4,,,12046
0418,迦,162,1,2,,,11960
0419,03157,060,1,30,,,03157
0420,道,162,1,3,,,12051
0421,通,162,1,7,,,12000
0422,遊,162,1,2,,,12042
0423,近,162,1,3,,,11948
0424,那,163,1,10,,,12134
0425,重,166,1,8,,,12373
0426,量,166,1,8,,,12376
0427,金,167,1,10,,,12380
0428,錯,167,1,3,,,12528
0429,鐸,167,1,2,,,12657
0430,鈴,167,1,4,,,12418
0431,門,169,1,3,,,12709
0432,闥,169,1,2,,,12800
0433,閣,169,1,3,,,12739
0434,開,169,1,3,,,12716
0435,間,169,1,12,,,12724
0436,際,170,1,4,,,12913
0437,陀,170,1,4,,,12831
0438,陛,170,1,2,,,12847
0439,階,170,1,3,,,12892
0440,隨,170,1,2,,,12927
0441,隅,170,1,2,,,12883
0442,離,172,1,2,,,13001
0443,集,172,1,3,,,12963
0444,雲,173,1,36,,,13020
0445,靡,175,1,4,,,13107
0446,音,180,1,31,,,13281
0447,須,181,1,6,,,13304
0448,顯,181,1,2,,,13416
0449,頌,181,1,8,,,13307
