,,sok_華厳守屋,sok_華厳守屋,sok_華厳守屋,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
00004,七,0001,0,1,001
00070,主,0002,0,1,003
00078,乃,0003,0,1,004
00107,九,0004,0,1,005
00129,二,0005,0,1,007
00168,人,0006,0,1,009
00279,使,0007,0,1,009
00240,但,0008,0,1,009
00455,備,0009,0,1,009
00568,克,0010,0,1,010
00984,區,0011,0,1,023
01101,去,0012,0,1,028
01127,取,0013,0,1,029
01179,向,0014,0,1,030
01158,右,0015,0,1,030
01174,同,0016,0,1,030
01623,困,0017,0,1,031
01798,場,0018,0,1,032
01755,執,0019,0,1,032
01796,報,0020,0,1,032
01903,士,0021,0,1,033
01938,多,0022,0,1,036
01934,外,0023,0,1,036
01954,央,0024,0,1,037
02264,孔,0025,0,1,039
02390,實,0026,0,1,040
02361,密,0027,0,1,040
02515,屬,0028,0,1,044
02589,峯,0029,0,1,046
02905,幹,0030,0,1,051
02907,幻,0031,0,1,052
03047,弘,0032,0,1,057
03145,得,0033,0,1,060
03179,心,0034,0,1,061
03395,意,0035,0,1,061
03335,悲,0036,0,1,061
03550,應,0037,0,1,061
03309,悦,0038,0,1,061
03611,我,0039,0,1,062
03799,振,0040,0,1,064
03835,捨,0041,0,1,064
04645,曩,0042,0,1,072
04673,月,0043,0,1,074
04693,望,0044,0,1,074
04904,校,0045,0,1,075
05123,楊,0046,0,1,075
04807,枝,0047,0,1,075
05010,梵,0048,0,1,075
04918,栴,0049,0,1,075
05599,歇,0050,0,1,076
05641,止,0051,0,1,077
05643,正,0052,0,1,077
05850,毛,0053,0,1,082
05950,氳,0054,0,1,084
05941,氛,0055,0,1,084
06577,澓,0056,0,1,085
06175,浮,0057,0,1,085
06055,治,0058,0,1,085
05957,永,0059,0,1,085
06088,泥,0060,0,1,085
06173,浪,0061,0,1,085
06125,洞,0062,0,1,085
05964,求,0063,0,1,085
06041,沮,0064,0,1,085
06867,焚,0065,0,1,086
06824,炳,0066,0,1,086
07241,獲,0067,0,1,094
07261,玉,0068,0,1,096
07352,瑩,0069,0,1,096
07456,甘,0070,0,1,099
07457,甚,0071,0,1,099
07770,盛,0072,0,1,108
07843,眼,0073,0,1,109
07813,眉,0074,0,1,109
07839,眷,0075,0,1,109
07941,知,0076,0,1,111
08077,礙,0077,0,1,112
08097,示,0078,0,1,113
08248,稱,0079,0,1,115
08269,積,0080,0,1,115
08354,立,0081,0,1,117
08412,第,0082,0,1,118
08685,精,0083,0,1,119
08809,絶,0084,0,1,120
09017,繚,0085,0,1,120
09061,續,0086,0,1,120
09128,置,0087,0,1,122
09155,美,0088,0,1,123
09329,聳,0089,0,1,128
09630,興,0090,0,1,134
10086,蔭,0091,0,1,140
09789,苦,0092,0,1,140
10974,詣,0093,0,1,149
10914,記,0094,0,1,149
11461,起,0095,0,1,156
11495,足,0096,0,1,157
11565,踊,0097,0,1,157
12070,遠,0098,0,1,162
12003,速,0099,0,1,162
12179,郭,0100,0,1,163
12371,釋,0101,0,1,165
12613,鏡,0102,0,1,167
12757,閻,0103,0,1,169
12839,限,0104,0,1,170
12991,雖,0105,0,1,172
13012,雨,0106,0,1,173
13073,露,0107,0,1,173
13023,雷,0108,0,1,173
13036,震,0109,0,1,173
13095,青,0110,0,1,174
13104,非,0111,0,1,175
13108,面,0112,0,1,176
13565,餘,0113,0,1,184
13677,馥,0115,0,1,186
13820,騰,0116,0,1,187
13940,高,0117,0,1,189
13999,鬘,0118,0,1,190
00001,一,0119,1,129,001
00025,世,0122a,2,75,001
00025b,世,0122b,2,8,001
00013,不,0124,1,29,001
00008,上,0125,1,35,001
00009,下,0126,1,9,001
00007,三,0127,1,3,001
00051,中,0128,1,51,002
00088,之,0130,1,9,004
00128,事,0131,1,2,006
00154,亦,0132,1,7,008
00194,以,0133,1,57,009
00217,伏,0135,1,2,009
00321,便,0136,1,3,009
00282,來,0137,1,24,009
00245,住,0138,1,32,009
00256,作,0139,1,25,009
00301,依,0140,1,17,009
00193,令,0141,1,8,009
00175,今,0142,1,2,009
00417,停,0143,1,3,009
00183,他,0144,1,3,009
00520,億,0145,1,4,009
00255,佛,0146,1,122,009
00489,像,0149,1,4,009
00261,佉,0150,1,2,009
00250,何,0151,1,2,009
00567,光,0152,1,68,010
00582,入,0154,1,12,011
00585,内,0155,1,5,011
00591,兩,0156,1,2,011
00605,其,0157,1,76,012
00606,具,0159,1,11,012
00599,共,0160,1,5,012
00594,八,0161,1,2,012
00646,冠,0162,1,2,014
00723,出,0163,1,17,017
00763,別,0164,1,6,018
00803,剛,0165,1,8,018
00767,利,0166,1,5,018
00781,刹,0167,1,61,018
00754,列,0169,1,9,018
00734,分,0170,1,7,018
00735,切,0171,1,84,018
00856,力,0173,1,28,019
00865,劫,0174,1,7,019
00893,勝,0175,1,4,019
00885,勒,0176,1,2,019
00858,加,0177,1,2,019
00857,功,0178,1,4,019
00887,動,0179,1,2,019
00938,化,0180,1,11,021
00985,十,0181,1,64,024
00987,千,0183,1,3,024
01111,及,0184,1,10,029
01175,名,0185,1,19,030
01219,告,0186,1,8,030
01288,咸,0187,1,9,030
01235,周,0188,1,27,030
01154,可,0189,1,17,030
01178,吐,0190,1,2,030
01395,善,0191,1,2,030
01168,各,0192,1,50,030
01581,嚴,0193,1,83,030
01639,國,0195,1,6,031
01627,固,0196,1,5,031
01645,圓,0197,1,5,031
01641,圍,0198,1,18,031
01607,四,0199,1,9,031
01654,土,0200,1,8,032
01839,境,0201,1,5,032
01767,堅,0202,1,5,032
01726,垢,0203,1,3,032
01666,地,0204,1,22,032
M05100,垽,0205,1,2,032
01710,垂,0206,1,6,032
01831,塵,0207,1,66,032
01659,在,0209,1,12,032
01727,垣,0210,1,2,032
01740,城,0211,1,3,032
01856,墠,0212,1,3,032
01878,壇,0213,1,3,032
01946,大,0214,1,40,037
01947,天,0215,1,8,037
01981,奏,0216,1,2,037
01972,奇,0217,1,2,037
02045,妙,0218,1,44,038
02105,威,0219,1,8,038
02029,好,0220,1,3,038
02031,如,0221,1,53,038
02262,子,0223,1,21,039
02342,宮,0224,1,2,040
02407,寶,0225,1,111,040
02333,宣,0228,1,10,040
02309,安,0229,1,6,040
02383,察,0230,1,8,040
02429,尊,0231,1,3,041
02469,尸,0232,1,3,044
02473,尼,0233,1,72,044
02528,山,0235,1,9,046
02564,岸,0236,1,5,046
02835,師,0237,1,2,050
02882,幢,0238,1,11,050
02847,常,0239,1,7,050
02800,布,0240,1,29,050
02820,帝,0241,1,3,050
00951,匝,0242,1,12,022
02899,平,0243,1,5,051
02932,底,0244,1,2,053
02993,廣,0245,1,18,053
02946,座,0246,1,3,053
03020,弈,0247,1,2,055
03084,彌,0248,1,10,057
03101,形,0249,1,51,059
03116,影,0251,1,8,059
03109,彩,0252,1,2,059
03159,復,0253,1,17,060
03151,從,0254,1,3,060
03128,往,0255,1,5,060
03124,彼,0256,1,6,060
03172,德,0257,1,8,060
03165,微,0258a,2,41,060
03165b,微,0258b,2,20,060
03173,徹,0260,1,4,060
03239,思,0261,1,6,061
03267,恆,0262,1,10,061
03244,性,0263,1,4,061
03610,成,0264,1,13,062
03617,或,0265,1,56,062
03647,所,0267,1,48,063
04009,摩,0268,1,72,064
03690,承,0270,1,7,064
03947,搖,0271,1,2,064
03896,提,0272,1,2,064
03780,持,0273,1,17,064
04319,變,0274,1,7,066
04280,散,0275a,2,5,066
04280b,散,0275b,2,2,066
04233,放,0276,1,8,066
04243,故,0277,1,3,066
04385,方,0278,1,42,070
04406,旋,0279,1,9,070
04389,於,0280,1,18,070
04446,日,0281,1,6,072
04512,是,0282,1,29,072
04557,普,0283,1,57,072
04636,曜,0285,1,2,072
04523,時,0286,1,17,072
04569,智,0287,1,6,072
04603,暫,0288,1,2,072
04490,昔,0289,1,9,072
04485,明,0290,1,36,072
04664,最,0291,1,4,073
04674,有,0292,1,89,074
04803,林,0294,1,5,075
05210,榮,0295,1,2,075
04712,末,0296,1,4,075
04711,未,0297,1,3,075
05391,檀,0298,1,7,075
05519,欄,0299,1,3,075
04806,果,0300,1,2,075
05154,楯,0301,1,3,075
04984,條,0302,1,2,075
05279,樂,0303,1,3,075
05293,樓,0304,1,5,075
04713,本,0305,1,4,075
05152,業,0306,1,4,075
05323,樹,0307,1,13,075
05161,極,0308,1,3,075
05558,次,0309,1,10,076
05580,欲,0310,1,8,076
05644,此,0311,1,39,077
05717,殊,0312,1,3,078
05809,殿,0313,1,2,079
05845,毗,0314,1,6,081
05952,水,0315,1,22,085
06182,海,0316,1,68,085
06290,清,0318,1,27,085
06272,淨,0319,1,41,085
06074,法,0320,1,13,085
06490,演,0321,1,12,085
06476,滿,0322,1,18,085
06151,流,0323,1,10,085
06564,澄,0324,1,2,085
06045,河,0325,1,16,085
06031,沙,0326,1,3,085
05985,江,0327,1,2,085
06885,然,0328,1,8,086
06965,熾,0329,1,7,086
06882,焰,0330,1,24,086
06971,燈,0331,1,4,086
06918,照,0332,1,12,086
07032,爲,0333,1,58,087
07043,爾,0335,1,15,089
07047,牆,0336a,2,1,090
07047b,牆,0336b,2,1,090
07203,猶,0337,1,2,094
07122,狀,0338,1,6,094
07262,王,0339,1,26,096
07304,現,0340,1,29,096
07291,珠,0341,1,16,096
07287,珍,0342,1,2,096
07461,生,0343,1,25,100
07501,界,0344,1,93,102
07479,由,0346,1,5,102
07535,當,0347,1,2,102
07591,疾,0348,1,2,104
07707,發,0349,1,7,105
07710,百,0350,1,3,106
07717,皆,0351,1,24,106
07758,盈,0352,1,3,108
07779,盡,0353,1,7,108
02999,廬,0354,1,6,053
07844,眾,0355,1,53,109
07801,相,0357,1,17,109
07827,眞,0358,1,6,109
08124,神,0359,1,20,113
08148,福,0360,1,3,113
08244,種,0361,1,76,115
08296,空,0363,1,6,116
08426,等,0364,1,21,118
08753,純,0365,1,2,120
09072,纓,0366,1,6,120
08779,細,0367,1,3,120
08817,絡,0368,1,3,120
08885,網,0369,1,17,120
09020,繞,0370a,2,13,120
09020b,繞,0370b,2,1,120
09144,羅,0371,1,5,122
09177,義,0372,1,8,123
09175,羣,0373,1,2,123
09255,者,0374,1,7,125
09264,而,0375,1,15,126
09328,聲,0376,1,16,128
09315,聞,0377,1,2,128
09429,能,0378,1,16,130
09395,胎,0379,1,2,130
09602,自,0380,1,7,132
09610,至,0381,1,2,133
09617,臺,0382,1,2,133
09643,舒,0383,1,2,135
09716,色,0384,1,18,139
09758,花,0385,1,55,140
10050,蓮,0387,1,14,140
09753,芬,0388,1,6,140
10223,蘂,0389,1,3,140
10040,蓋,0390,1,3,140
09846,草,0391,1,2,140
10191,藏,0392,1,29,140
09919,菩,0393,1,32,140
10163,薩,0394,1,30,140
09788,若,0395,1,10,140
10270,處,0396,1,14,141
10276,號,0397,1,5,141
10272,虛,0398,1,3,141
10614,行,0399,1,22,144
10637,衣,0400,1,7,145
10831,見,0401,1,11,147
10848,親,0402,1,2,147
10890,言,0403,1,21,149
11085,諸,0404,1,64,149
11095,謂,0406,1,2,149
11025,虔,0407,1,28,149
11195,議,0408,1,6,149
11038,調,0409,1,2,149
11397,賢,0410,1,20,154
11451,赫,0411,1,2,155
11485,趣,0412,1,3,156
11715,身,0413,1,10,158
11827,輪,0414,1,37,159
11856,轉,0415,1,3,159
11816,輞,0416,1,2,159
12046,過,0417,1,4,162
11960,迦,0418,1,2,162
03157,徧,0419,1,30,060
12051,道,0420,1,3,162
12000,通,0421,1,7,162
12042,遊,0422,1,2,162
11948,近,0423,1,3,162
12134,那,0424,1,10,163
12373,重,0425,1,8,166
12376,量,0426,1,8,166
12380,金,0427,1,10,167
12528,錯,0428,1,3,167
12657,鐸,0429,1,2,167
12418,鈴,0430,1,4,167
12709,門,0431,1,3,169
12800,闥,0432,1,2,169
12739,閣,0433,1,3,169
12716,開,0434,1,3,169
12724,間,0435,1,12,169
12913,際,0436,1,4,170
12831,陀,0437,1,4,170
12847,陛,0438,1,2,170
12892,階,0439,1,3,170
12927,隨,0440,1,2,170
12883,隅,0441,1,2,170
13001,離,0442,1,2,172
12963,集,0443,1,3,172
13020,雲,0444,1,36,173
13107,靡,0445,1,4,175
13281,音,0446,1,31,180
13304,須,0447,1,6,181
13416,顯,0448,1,2,181
13307,頌,0449,1,8,181
13391,願,0450,1,16,181
13423,風,0451,1,13,182
13542,飾,0452a,2,16,184
13542b,飾,0452b,2,1,184
13667,香,0453,1,44,186
13934,體,0454,1,27,188
14645,麗,0455,1,2,198
14828,齊,0456,1,2,210
00562,充,0457a,2,7,010
00562b,充,0457b,2,2,010
01895,壞,0458a,2,4,032
01895b,壞,0458b,2,1,032
01690,坦,0459a,2,2,032
01690b,坦,0459b,2,1,032
02780,差,0460a,2,3,048
02780b,差,0460b,2,1,048
03008,廻,0461a,2,3,054
03008b,廻,0461b,2,2,054
03312,悉,0462a,2,30,061
03312b,悉,0462b,2,1,061
04296,敷,0463a,2,3,066
04296b,敷,0463b,2,1,066
04298,數,0464a,2,57,066
04298b,數,0464b,2,7,066
04398,旃,0466a,2,3,070
04398b,旃,0466b,2,2,070
04500,映,0467a,3,1,072
04500b,映,0467b,3,1,072
04500c,映,0467c,3,1,072
06872,無,0468a,2,48,086
06872b,無,0468b,2,1,086
08380,競,0469a,2,2,117
08380b,競,0469b,2,1,117
09462,脩,0470a,2,6,130
09462b,脩,0470b,2,2,130
09869,莊,0471a,2,60,140
09869b,莊,0471b,2,4,140
10826,覆,0473a,2,10,146
10826b,覆,0473b,2,1,146
10859,觀,0474,1,10,147
12083,遮,0475a,2,5,162
12083b,遮,0475b,2,1,162
12115,邊,0476a,2,11,162
12115b,邊,0476b,2,1,162
07870,睹,0477,0,1,109
