カード番号,文字,用例数1,用例数2,字体数,大字典番号,部首番号,,
0001,七,,,0,00004,001,,
0002,且,,,0,00020,001,,
0003,乎,,,0,00092,004,,
0004,互,,,0,00134,007,,
0005,倦,,,0,00387,009,,
0006,偏,,,0,00411,009,,
0007,停,,,0,00417,009,,
0008,健,,,0,00421,009,,
0009,傘,,,0,00454,009,,
0010,備,,,0,00455,009,,
0011,傳,,,0,00468,009,,
0012,傷,,,0,00473,009,,
0013,傾,,,0,00475,009,,
0014,價,,,0,00513,009,,
0015,M01179,,,0,,009,,
0016,兄,,,0,00561,010,,
0017,免,,,0,00570,010,,
0018,冑,,,0,00635,013,,
0019,冥,,,0,00651,014,,
0020,制,,,0,00776,018,,
0021,刻,,,0,00783,018,,
0022,削,,,0,00791,018,,
0023,劣,,,0,00859,019,,
0024,劬,,,0,00866,019,,
0025,勞,,,0,00894,019,,
0026,匝,,,0,00951,022,,
0027,匠,,,0,00952,022,,
0028,卑,,,0,01003,024,,
0029,博,,,0,01016,024,,
0030,卜,,,0,01019,025,,
0031,危,,,0,01035,026,,
0032,卵,,,0,01039,026,,
0033,叉,,,0,01109,029,,
0034,友,,,0,01112,029,,
0035,反,,,0,01116,029,,
0036,句,,,0,01143,030,,
0037,右,,,0,01158,030,,
0038,后,,,0,01176,030,,
0039,呰,,,0,01239,030,,
0040,味,,,0,01242,030,,
0041,呼,,,0,01251,030,,
0042,和,,,0,01263,030,,
0043,咎,,,0,01265,030,,
0044,咽,,,0,01293,030,,
0045,商,,,0,01363,030,,
0046,喚,,,0,01410,030,,
0047,嗔,,,0,01447,030,,
0048,喪,,,0,01430,030,,
0049,嘲,,,0,01487,030,,
0050,圓,,,0,01645,031,,
0051,垢,,,0,01726,032,,
0052,堂,,,0,01765,032,,
0053,堅,,,0,01767,032,,
0054,塗,,,0,01818,032,,
0055,塵,,,0,01831,032,,
0056,増,,,0,01853,032,,
0057,壽,,,0,01913,033,,
0058,夏,,,0,01927,035,,
0059,夫,,,0,01949,037,,
0060,奉,,,0,01974,037,,
0061,妃,,,0,02032,038,,
0062,妹,,,0,02059,038,,
0063,妻,,,0,02061,038,,
0064,姉,,,0,02068,038,,
0065,娑,,,0,02110,038,,
0066,媒,,,0,02175,038,,
0067,媾,,,0,02194,038,,
0068,嬾,,,0,02255,038,,
0069,孔,,,0,02264,039,,
0070,宇,,,0,02307,040,,
0071,宅,,,0,02306,040,,
0072,守,,,0,02308,040,,
0073,宗,,,0,02322,040,,
0074,宮,,,0,02342,040,,
0075,宰,,,0,02344,040,,
0076,容,,,0,02352,040,,
0077,宿,,,0,02355,040,,
0078,工,,,0,02773,048,,
0079,差,,,0,02780,048,,
0080,巷,,,0,02792,049,,
0081,市,,,0,02799,050,,
0082,幡,,,0,02881,050,,
0083,幻,,,0,02907,052,,
0084,弄,,,0,03017,055,,
0085,弊,,,0,03027,055,,
0086,式,,,0,03037,056,,
0087,弓,,,0,03042,057,,
0088,張,,,0,03065,057,,
0089,彩,,,0,03109,059,,
0090,影,,,0,03116,059,,
0091,徒,,,0,03143,060,,
0092,必,,,0,03180,061,,
0093,忖,,,0,03192,061,,
0094,志,,,0,03194,061,,
0095,忽,,,0,03219,061,,
0096,怒,,,0,03229,061,,
0097,怨,,,0,03245,061,,
0098,恚,,,0,03278,061,,
0099,恣,,,0,03286,061,,
0100,恥,,,0,03289,061,,
0101,恭,,,0,03297,061,,
0102,感,,,0,03409,061,,
0103,愧,,,0,03414,061,,
0104,慓,,,0,03448,061,,
0105,慇,,,0,03438,061,,
0106,慙,,,0,03453,061,,
0107,慮,,,0,03466,061,,
0108,慵,,,0,03473,061,,
0109,憐,,,0,03499,061,,
0110,懷,,,0,03585,061,,
0111,懸,,,0,03586,061,,
0112,戀,,,0,03595,061,,
0113,戰,,,0,03633,062,,
0114,房,,,0,03646,063,,
0115,手,,,0,03659,064,,
0116,抑,,,0,03704,064,,
0117,折,,,0,03711,064,,
0118,披,,,0,03715,064,,
0119,拔,,,0,03750,064,,
0120,招,,,0,03758,064,,
0121,振,,,0,03799,064,,
0122,捉,,,0,03818,064,,
0123,捺,,,0,03845,064,,
0124,掌,,,0,03858,064,,
0125,接,,,0,03878,064,,
0126,推,,,0,03880,064,,
0127,掲,,,0,03919,064,,
0128,摧,,,0,04008,064,,
0129,摶,,,0,04019,064,,
0130,04095,,,0,04095,064,,
0131,擯,,,0,04126,064,,
0132,敢,,,0,04277,066,,
0133,散,,,0,04280,066,,
0134,既,,,0,04442,071,,
0135,旨,,,0,04450,072,,
0136,易,,,0,04489,072,,
0137,星,,,0,04499,072,,
0138,曠,,,0,04640,072,,
0139,書,,,0,04657,073,,
0140,木,,,0,04707,075,,
0141,04726,,,0,04726,075,,
0142,枯,,,0,04813,075,,
0143,柔,,,0,04849,075,,
0144,根,,,0,04922,075,,
0145,梨,,,0,04993,075,,
0146,棄,,,0,05014,075,,
0147,棊,,,0,05019,075,,
0148,05412,,,0,05412,075,,
0149,欺,,,0,05587,076,,
0150,歳,,,0,05666,077,,
0151,歸,,,0,05676,077,,
0152,05724,,,0,05724,078,,
0153,殘,,,0,05737,078,,
0154,毎,,,0,05836,080,,
0155,毛,,,0,05850,082,,
0156,氈,,,0,05920,082,,
0157,決,,,0,06003,085,,
0158,濕,,,0,06633,085,,
0159,渇,,,0,06338,085,,
0160,06567,,,0,06567,085,,
0161,濁,,,0,06617,085,,
0162,治,,,0,06055,085,,
0163,湯,,,0,06381,085,,
0164,泡,,,0,06085,085,,
0165,漸,,,0,06517,085,,
0166,沈,,,0,06015,085,,
0167,沒,,,0,06023,085,,
0168,泣,,,0,06087,085,,
0169,洲,,,0,06138,085,,
0170,火,,,0,06776,086,,
0171,炎,,,0,06801,086,,
0172,炙,,,0,06805,086,,
0173,照,,,0,06918,086,,
0174,熟,,,0,06949,086,,
0175,熾,,,0,06965,086,,
0176,營,,,0,06984,086,,
0177,狎,,,0,07134,094,,
0178,狗,,,0,07139,094,,
0179,07247,,,0,07247,094,,
0180,珍,,,0,07287,096,,
0181,甲,,,0,07480,102,,
0182,畏,,,0,07503,102,,
0183,留,,,0,07508,102,,
0184,略,,,0,07522,102,,
0185,疲,,,0,07580,104,,
0186,療,,,0,07668,104,,
0187,癈,,,0,07674,104,,
0188,登,,,0,07706,105,,
0189,皎,,,0,07722,106,,
0190,睡,,,0,07860,109,,
0191,碎,,,0,08016,112,,
0193,礫,,,0,08086,112,,
0194,祇,,,0,08107,113,,
0195,祖,,,0,08117,113,,
0196,禁,,,0,08143,113,,
0197,禍,,,0,08146,113,,
0198,科,,,0,08192,115,,
0199,05826,,,0,05826,079,,
0200,究,,,0,08293,116,,
0201,竟,,,0,08365,117,,
0202,竭,,,0,08375,117,,
0203,競,,,0,08380,117,,
0204,第,,,0,08412,118,,
0205,筏,,,0,08432,118,,
0206,管,,,0,08477,118,,
0207,簡,,,0,08569,118,,
0208,粗,,,0,08659,119,,
0209,粟,,,0,08664,119,,
0210,糴,,,0,08725,119,,
0211,糶,,,0,08727,119,,
0212,素,,,0,08765,120,,
0213,緊,,,0,08906,120,,
0214,維,,,0,08879,120,,
0215,絶,,,0,08809,120,,
0216,練,,,0,08938,120,,
0217,縣,,,0,08972,120,,
0218,縱,,,0,08982,120,,
0219,總,,,0,08993,120,,
0220,繞,,,0,09020,120,,
0221,續,,,0,09061,120,,
0222,紛,,,0,08760,120,,
0223,細,,,0,08779,120,,
0224,絃,,,0,08796,120,,
0225,結,,,0,08807,120,,
0226,罰,,,0,09130,122,,
0227,罷,,,0,09133,122,,
0228,美,,,0,09155,123,,
0229,羞,,,0,09168,123,,
0230,羣,,,0,09175,123,,
0231,耳,,,0,09290,128,,
0232,聰,,,0,09326,128,,
0233,肆,,,0,09345,129,,
0234,肩,,,0,09370,130,,
0235,肯,,,0,09377,130,,
0236,背,,,0,09394,130,,
0237,胎,,,0,09395,130,,
0238,胝,,,0,09407,130,,
0239,脆,,,0,09439,130,,
0240,脈,,,0,09441,130,,
0241,腹,,,0,09516,130,,
0242,膝,,,0,09541,130,,
0243,臂,,,0,09568,130,,
0244,臨,,,0,09601,131,,
0245,臭,,,0,09605,132,,
0246,擧,,,0,09632,134,,
0247,舊,,,0,09633,134,,
0248,般,,,0,09665,137,,
0249,09863,,,0,09863,140,,
0250,華,,,0,09921,140,,
0251,萬,,,0,09954,140,,
0252,蓋,,,0,10040,140,,
0253,號,,,0,10276,141,,
0254,10594,,,0,10594,142,,
0255,術,,,0,10618,144,,
0256,衢,,,0,10636,144,,
0257,袒,,,0,10669,145,,
0258,裁,,,0,10696,145,,
0259,補,,,0,10714,145,,
0260,褥,,,0,10756,145,,
0261,訓,,,0,10909,149,,
0262,託,,,0,10913,149,,
0263,許,,,0,10930,149,,
0264,診,,,0,10938,149,,
0265,詐,,,0,10957,149,,
0266,詣,,,0,10974,149,,
0267,誇,,,0,11000,149,,
0268,誚,,,0,11016,149,,
0269,誠,,,0,11018,149,,
0270,誰,,,0,11028,149,,
0271,諍,,,0,11051,149,,
0272,諮,,,0,11076,149,,
0273,謔,,,0,11114,149,,
0274,講,,,0,11119,149,,
0275,謫,,,0,11133,149,,
0276,譖,,,0,11169,149,,
0277,讀,,,0,11207,149,,
0278,豎,,,0,11258,151,,
0279,豪,,,0,11282,152,,
0280,11306,,,0,11306,153,,
0281,貪,,,0,11342,154,,
0282,責,,,0,11344,154,,
0283,貯,,,0,11349,154,,
0284,賈,,,0,11374,154,,
0285,贍,,,0,11433,154,,
0286,越,,,0,11471,156,,
0287,躁,,,0,11675,157,,
0288,車,,,0,11740,159,,
0289,軌,,,0,11744,159,,
0290,輒,,,0,11799,159,,
0291,辭,,,0,11914,160,,
0292,農,,,0,11919,161,,
0293,迅,,,0,11937,162,,
0294,逆,,,0,11986,162,,
0295,通,,,0,12000,162,,
0296,逝,,,0,12001,162,,
0297,逼,,,0,12030,162,,
0298,遂,,,0,12037,162,,
0299,遊,,,0,12042,162,,
0300,違,,,0,12054,162,,
0301,遣,,,0,12074,162,,
0302,適,,,0,12079,162,,
0303,遮,,,0,12083,162,,
0304,邑,,,0,12123,163,,
0305,酒,,,0,12266,164,,
0306,酣,,,0,12283,164,,
0307,醉,,,0,12313,164,,
0308,釋,,,0,12371,165,,
0309,野,,,0,12374,166,,
0310,鉢,,,0,12440,167,,
0311,鐵,,,0,12654,167,,
0312,鐸,,,0,12657,167,,
0313,閑,,,0,12722,169,,
0314,12794,,,0,12794,169,,
0315,防,,,0,12822,170,,
0316,附,,,0,12834,170,,
0317,限,,,0,12839,170,,
0318,障,,,0,12914,170,,
0319,雕,,,0,12988,172,,
0320,雜,,,0,12997,172,,
0321,雲,,,0,13020,173,,
0322,零,,,0,13022,173,,
0323,靜,,,0,13103,174,,
0324,面,,,0,13108,176,,
0325,音,,,0,13281,180,,
0326,頌,,,0,13307,181,,
0327,順,,,0,13302,181,,
0328,顧,,,0,13409,181,,
0329,顯,,,0,13416,181,,
0330,饒,,,0,13641,184,,
0331,首,,,0,13661,185,,
0332,鬧,,,0,14023,191,,
0333,鬪,,,0,14033,191,,
0334,14659,,,0,14659,198,,
0335,黒,,,0,14709,203,,
0336,默,,,0,14720,203,,
0337,齊,,,0,14828,210,,
0338-0339,一,93,,1,00001,001,,
0340,三,27,,1,00007,001,,
0341,上,11,,1,00008,001,,
0342,下,8,,1,00009,001,,
0343-0346,不,157,,1,00013,001,,
0347-0348,中,69,,1,00051,002,,
0349,主,6,,1,00070,003,,
0350,乃,11,,1,00078,004,,
0351,久,3,,1,00085,004,,
0352-0353,之,69,,1,00088,004,,
0354,乘,2,,1,00102,004,,
0355,乞,5,,1,00108,005,,
0356,也,7,,1,00109,005,,
0357,了,3,,1,00125,006,,
0358,事,16,,1,00128,006,,
0359,二,12,,1,00129,007,,
0360,云,4,,1,00133,007,,
0361,五,9,,1,00135,007,,
0362,亦,33,,1,00154,008,,
0363-0364,人,93,,1,00168,009,,
0365,今,7,,1,00175,009,,
0366,他,29,,1,00183,009,,
0367,仙,2,,1,00186,009,,
0368,令,26,,1,00193,009,,
0369-0370,以,54,,1,00194,009,,
0371,伏,7,,1,00217,009,,
0372,似,3,,1,00235,009,,
0373,伽,9,,1,00236,009,,
0374,但,2,,1,00240,009,,
0375,位,2,,1,00243,009,,
0376,住,19,,1,00245,009,,
0377,何,38,,1,00250,009,,
0378-0379,佛,53,,1,00255,009,,
0380,作,48,,1,00256,009,,
0381,使,7,,1,00279,009,,
0382-0383,來,59,,1,00282,009,,
0384,供,9,,1,00299,009,,
0385,依,7,,1,00301,009,,
0386,侵,3,,1,00317,009,,
0387,便,21,,1,00321,009,,
0388,俗,21,,1,00338,009,,
0389,信,6,,1,00345,009,,
0390,倶,5,,1,00350,009,,
0391,倍,2,,1,00368,009,,
0392,候,2,,1,00369,009,,
0393,倒,4,,1,00373,009,,
0394,借,3,,1,00382,009,,
0395,假,3,,1,00405,009,,
0396,像,23,,1,00489,009,,
0397,僧,10,,1,00503,009,,
0398,億,2,,1,00520,009,,
0399,充,2,,1,00562,010,,
0400,先,3,,1,00566,010,,
0401,光,9,,1,00567,010,,
0402,入,13,,1,00582,011,,
0403,内,2,,1,00585,011,,
0404,八,5,,1,00594,012,,
0405,六,2,,1,00597,012,,
0406,共,10,,1,00599,012,,
0407,其,20,,1,00605,012,,
0408,具,12,,1,00606,012,,
0409,凡,3,,1,00701,016,,
0410,凶,2,,1,00718,017,,
0411,出,24,,1,00723,017,,
0412,分,10,,1,00734,018,,
