統合ID,文字,S2423,字体数,用例数,部首
00004,七,0001,0,1,001
00020,且,0002,0,1,001
00092,乎,0003,0,1,004
00134,互,0004,0,1,007
00387,倦,0005,0,1,009
00411,偏,0006,0,1,009
00417,停,0007,0,1,009
00421,健,0008,0,1,009
00454,傘,0009,0,1,009
00455,備,0010,0,1,009
00468,傳,0011,0,1,009
00473,傷,0012,0,1,009
00475,傾,0013,0,1,009
00513,價,0014,0,1,009
M01179,㒓,0015,0,1,009
00561,兄,0016,0,1,010
00570,免,0017,0,1,010
00635,冑,0018,0,1,013
00651,冥,0019,0,1,014
00776,制,0020,0,1,018
00783,刻,0021,0,1,018
00791,削,0022,0,1,018
00859,劣,0023,0,1,019
00866,劬,0024,0,1,019
00894,勞,0025,0,1,019
00951,匝,0026,0,1,022
00952,匠,0027,0,1,022
01003,卑,0028,0,1,024
01016,博,0029,0,1,024
01019,卜,0030,0,1,025
01035,危,0031,0,1,026
01039,卵,0032,0,1,026
01109,叉,0033,0,1,029
01112,友,0034,0,1,029
01116,反,0035,0,1,029
01143,句,0036,0,1,030
01158,右,0037,0,1,030
01176,后,0038,0,1,030
01239,呰,0039,0,1,030
01242,味,0040,0,1,030
01251,呼,0041,0,1,030
01263,和,0042,0,1,030
01265,咎,0043,0,1,030
01293,咽,0044,0,1,030
01363,商,0045,0,1,030
01410,喚,0046,0,1,030
01447,嗔,0047,0,1,030
01430,喪,0048,0,1,030
01487,嘲,0049,0,1,030
01645,圓,0050,0,1,031
01726,垢,0051,0,1,032
01765,堂,0052,0,1,032
01767,堅,0053,0,1,032
01818,塗,0054,0,1,032
01831,塵,0055,0,1,032
01853,增,0056,0,1,032
01913,壽,0057,0,1,033
01927,夏,0058,0,1,035
01949,夫,0059,0,1,037
01974,奉,0060,0,1,037
02032,妃,0061,0,1,038
02059,妹,0062,0,1,038
02061,妻,0063,0,1,038
02068,姉,0064,0,1,038
02110,娑,0065,0,1,038
02175,媒,0066,0,1,038
02194,媾,0067,0,1,038
02255,嬾,0068,0,1,038
02264,孔,0069,0,1,039
02307,宇,0070,0,1,040
02306,宅,0071,0,1,040
02308,守,0072,0,1,040
02322,宗,0073,0,1,040
02342,宮,0074,0,1,040
02344,宰,0075,0,1,040
02352,容,0076,0,1,040
02355,宿,0077,0,1,040
02773,工,0078,0,1,048
02780,差,0079,0,1,048
02792,巷,0080,0,1,049
02799,市,0081,0,1,050
02881,幡,0082,0,1,050
02907,幻,0083,0,1,052
03017,弄,0084,0,1,055
03027,弊,0085,0,1,055
03037,式,0086,0,1,056
03042,弓,0087,0,1,057
03065,張,0088,0,1,057
03109,彩,0089,0,1,059
03116,影,0090,0,1,059
03143,徒,0091,0,1,060
03180,必,0092,0,1,061
03192,忖,0093,0,1,061
03194,志,0094,0,1,061
03219,忽,0095,0,1,061
03229,怒,0096,0,1,061
03245,怨,0097,0,1,061
03278,恚,0098,0,1,061
03286,恣,0099,0,1,061
03289,恥,0100,0,1,061
03297,恭,0101,0,1,061
03409,感,0102,0,1,061
03414,愧,0103,0,1,061
03448,慓,0104,0,1,061
03438,慇,0105,0,1,061
03453,慙,0106,0,1,061
03466,慮,0107,0,1,061
03473,慵,0108,0,1,061
03499,憐,0109,0,1,061
03585,懷,0110,0,1,061
03586,懸,0111,0,1,061
03595,戀,0112,0,1,061
03633,戰,0113,0,1,062
03646,房,0114,0,1,063
03659,手,0115,0,1,064
03704,抑,0116,0,1,064
03711,折,0117,0,1,064
03715,披,0118,0,1,064
03750,拔,0119,0,1,064
03758,招,0120,0,1,064
03799,振,0121,0,1,064
03818,捉,0122,0,1,064
03845,捺,0123,0,1,064
03858,掌,0124,0,1,064
03878,接,0125,0,1,064
03880,推,0126,0,1,064
03919,揭,0127,0,1,064
04008,摧,0128,0,1,064
04019,摶,0129,0,1,064
04095,擐,0130,0,1,064
04126,擯,0131,0,1,064
04277,敢,0132,0,1,066
04280,散,0133,0,1,066
04442,旣,0134,0,1,071
04450,旨,0135,0,1,072
04489,易,0136,0,1,072
04499,星,0137,0,1,072
04640,曠,0138,0,1,072
04657,書,0139,0,1,073
04707,木,0140,0,1,075
04726,朾,0141,0,1,075
04813,枯,0142,0,1,075
04849,柔,0143,0,1,075
04922,根,0144,0,1,075
04993,梨,0145,0,1,075
05014,棄,0146,0,1,075
05019,棊,0147,0,1,075
05412,檛,0148,0,1,075
05587,欺,0149,0,1,076
05666,歳,0150,0,1,077
05676,歸,0151,0,1,077
05724,殑,0152,0,1,078
05737,殘,0153,0,1,078
05836,每,0154,0,1,080
05850,毛,0155,0,1,082
05920,氈,0156,0,1,082
06003,決,0157,0,1,085
06633,濕,0158,0,1,085
06338,渴,0159,0,1,085
06567,澇,0160,0,1,085
06617,濁,0161,0,1,085
06055,治,0162,0,1,085
06381,湯,0163,0,1,085
06085,泡,0164,0,1,085
06517,漸,0165,0,1,085
06015,沈,0166,0,1,085
06023,沒,0167,0,1,085
06087,泣,0168,0,1,085
06138,洲,0169,0,1,085
06776,火,0170,0,1,086
06801,炎,0171,0,1,086
06805,炙,0172,0,1,086
06918,照,0173,0,1,086
06949,熟,0174,0,1,086
06965,熾,0175,0,1,086
06984,營,0176,0,1,086
07134,狎,0177,0,1,094
07139,狗,0178,0,1,094
07247,獷,0179,0,1,094
07287,珍,0180,0,1,096
07480,甲,0181,0,1,102
07503,畏,0182,0,1,102
07508,留,0183,0,1,102
07522,略,0184,0,1,102
07580,疲,0185,0,1,104
07668,療,0186,0,1,104
07674,癈,0187,0,1,104
07706,登,0188,0,1,105
07722,皎,0189,0,1,106
07860,睡,0190,0,1,109
08016,碎,0191,0,1,112
08086,礫,0193,0,1,112
08107,祇,0194,0,1,113
08117,祖,0195,0,1,113
08143,禁,0196,0,1,113
08146,禍,0197,0,1,113
08192,科,0198,0,1,115
05826,㲉,0199,0,1,079
08293,究,0200,0,1,116
08365,竟,0201,0,1,117
08375,竭,0202,0,1,117
08380,競,0203,0,1,117
08412,第,0204,0,1,118
08432,筏,0205,0,1,118
08477,管,0206,0,1,118
08569,簡,0207,0,1,118
08659,粗,0208,0,1,119
08664,粟,0209,0,1,119
08725,糴,0210,0,1,119
08727,糶,0211,0,1,119
08765,素,0212,0,1,120
08906,緊,0213,0,1,120
08879,維,0214,0,1,120
08809,絶,0215,0,1,120
08938,練,0216,0,1,120
08972,縣,0217,0,1,120
08982,縱,0218,0,1,120
08993,總,0219,0,1,120
09020,繞,0220,0,1,120
09061,續,0221,0,1,120
08760,紛,0222,0,1,120
08779,細,0223,0,1,120
08796,絃,0224,0,1,120
08807,結,0225,0,1,120
09130,罰,0226,0,1,122
09133,罷,0227,0,1,122
09155,美,0228,0,1,123
09168,羞,0229,0,1,123
09175,羣,0230,0,1,123
09290,耳,0231,0,1,128
09326,聰,0232,0,1,128
09345,肆,0233,0,1,129
09370,肩,0234,0,1,130
09377,肯,0235,0,1,130
09394,背,0236,0,1,130
09395,胎,0237,0,1,130
09407,胝,0238,0,1,130
09439,脆,0239,0,1,130
09441,脈,0240,0,1,130
09516,腹,0241,0,1,130
09541,膝,0242,0,1,130
09568,臂,0243,0,1,130
09601,臨,0244,0,1,131
09605,臭,0245,0,1,132
09632,擧,0246,0,1,134
09633,舊,0247,0,1,134
09665,般,0248,0,1,137
09863,荼,0249,0,1,140
09921,華,0250,0,1,140
09954,萬,0251,0,1,140
10040,蓋,0252,0,1,140
10276,號,0253,0,1,141
10594,蠲,0254,0,1,142
10618,術,0255,0,1,144
10636,衢,0256,0,1,144
10669,袒,0257,0,1,145
10696,裁,0258,0,1,145
10714,補,0259,0,1,145
10756,褥,0260,0,1,145
10909,訓,0261,0,1,149
10913,託,0262,0,1,149
10930,許,0263,0,1,149
10938,診,0264,0,1,149
10957,詐,0265,0,1,149
10974,詣,0266,0,1,149
11000,誇,0267,0,1,149
11016,誚,0268,0,1,149
11018,誠,0269,0,1,149
11028,誰,0270,0,1,149
11051,諍,0271,0,1,149
11076,諮,0272,0,1,149
11114,謔,0273,0,1,149
11119,講,0274,0,1,149
11133,謫,0275,0,1,149
11169,譖,0276,0,1,149
11207,讀,0277,0,1,149
11258,豎,0278,0,1,151
11282,豪,0279,0,1,152
11306,貇,0280,0,1,153
11342,貪,0281,0,1,154
11344,責,0282,0,1,154
11349,貯,0283,0,1,154
11374,賈,0284,0,1,154
11433,贍,0285,0,1,154
11471,越,0286,0,1,156
11675,躁,0287,0,1,157
11740,車,0288,0,1,159
11744,軌,0289,0,1,159
11799,輒,0290,0,1,159
11914,辭,0291,0,1,160
11919,農,0292,0,1,161
11937,迅,0293,0,1,162
11986,逆,0294,0,1,162
12000,通,0295,0,1,162
12001,逝,0296,0,1,162
12030,逼,0297,0,1,162
12037,遂,0298,0,1,162
12042,遊,0299,0,1,162
12054,違,0300,0,1,162
12074,遣,0301,0,1,162
12079,適,0302,0,1,162
12083,遮,0303,0,1,162
12123,邑,0304,0,1,163
12266,酒,0305,0,1,164
12283,酣,0306,0,1,164
12313,醉,0307,0,1,164
12371,釋,0308,0,1,165
12374,野,0309,0,1,166
12440,鉢,0310,0,1,167
12654,鐵,0311,0,1,167
12657,鐸,0312,0,1,167
12722,閑,0313,0,1,169
12794,闠,0314,0,1,169
12822,防,0315,0,1,170
12834,附,0316,0,1,170
12839,限,0317,0,1,170
12914,障,0318,0,1,170
12988,雕,0319,0,1,172
12997,雜,0320,0,1,172
13020,雲,0321,0,1,173
13022,零,0322,0,1,173
13103,靜,0323,0,1,174
13108,面,0324,0,1,176
13281,音,0325,0,1,180
13307,頌,0326,0,1,181
13302,順,0327,0,1,181
13409,顧,0328,0,1,181
13416,顯,0329,0,1,181
13641,饒,0330,0,1,184
13661,首,0331,0,1,185
14023,鬧,0332,0,1,191
14033,鬭,0333,0,1,191
14659,麤,0334,0,1,198
14709,黑,0335,0,1,203
14720,默,0336,0,1,203
14828,齊,0337,0,1,210
00001,一,0338,1,93,001
00007,三,0340,1,27,001
00008,上,0341,1,11,001
00009,下,0342,1,8,001
00013,不,0343,1,157,001
00051,中,0347,1,69,002
00070,主,0349,1,6,003
00078,乃,0350,1,11,004
00085,久,0351,1,3,004
00088,之,0352,1,69,004
00102,乘,0354,1,2,004
00108,乞,0355,1,5,005
00109,也,0356,1,7,005
00125,了,0357,1,3,006
00128,事,0358,1,16,006
00129,二,0359,1,12,007
00133,云,0360,1,4,007
00135,五,0361,1,9,007
00154,亦,0362,1,33,008
00168,人,0363,1,93,009
00175,今,0365,1,7,009
00183,他,0366,1,29,009
00186,仙,0367,1,2,009
00193,令,0368,1,26,009
00194,以,0369,1,54,009
00217,伏,0371,1,7,009
00235,似,0372,1,3,009
00236,伽,0373,1,9,009
00240,但,0374,1,2,009
00243,位,0375,1,2,009
00245,住,0376,1,19,009
00250,何,0377,1,38,009
00255,佛,0378,1,53,009
00256,作,0380,1,48,009
00279,使,0381,1,7,009
00282,來,0382,1,59,009
00299,供,0384,1,9,009
00301,依,0385,1,7,009
00317,侵,0386,1,3,009
00321,便,0387,1,21,009
00338,俗,0388,1,21,009
00345,信,0389,1,6,009
00350,倶,0390,1,5,009
00368,倍,0391,1,2,009
00369,候,0392,1,2,009
00373,倒,0393,1,4,009
00382,借,0394,1,3,009
00405,假,0395,1,3,009
00489,像,0396,1,23,009
00503,僧,0397,1,10,009
00520,億,0398,1,2,009
00562,充,0399,1,2,010
00566,先,0400,1,3,010
00567,光,0401,1,9,010
00582,入,0402,1,13,011
00585,内,0403,1,2,011
00594,八,0404,1,5,012
