カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号
0001,主,0,,,,00070,003
0002,二,0,,,,00129,007
0003,亦,0,,,,00154,008
0004,亡,0,,,,00150,008
0005,俗,0,,,,00338,009
0006,僞,0,,,,00498,009
0007,儒,0,,,,00530,009
0008,仁,0,,,,00170,009
0009,仲,0,,,,00200,009
0011,位,0,,,,00243,009
0012,儀,0,,,,00516,009
0013,侮,0,,,,00312,009
0014,伯,0,,,,00228,009
0015,侍,0,,,,00288,009
0016,今,0,,,,00175,009
0017,光,0,,,,00567,010
0018,内,0,,,,00585,011
0019,具,0,,,,00606,012
0020,六,0,,,,00597,012
0021,兼,0,,,,00613,012
0022,兵,0,,,,00602,012
0023,冰,0,,,,00664,015
0024,次,0,,,,05558,076
0025,凶,0,,,,00718,017
0026,制,0,,,,00776,018
0027,分,0,,,,00734,018
0028,利,0,,,,00767,018
0029,北,0,,,,00941,021
0030,匡,0,,,,00953,022
0031,匪,0,,,,00959,022
0032,千,0,,,,00987,024
0033,南,0,,,,01010,024
0034,博,0,,,,01016,024
0035,升,0,,,,00991,024
0036,十,0,,,,00985,024
0037,卜,0,,,,01019,025
0038,卿,0,,,,01052,026
0039,厚,0,,,,01068,027
0040,去,0,,,,01101,028
0041,參,0,,,,01104,028
0042,受,0,,,,01128,029
0043,友,0,,,,01112,029
0044,后,0,,,,01176,030
0045,史,0,,,,01157,030
0046,嗟,0,,,,01451,030
0047,古,0,,,,01142,030
0048,問,0,,,,01369,030
0049,哉,0,,,,01305,030
0050,哭,0,,,,01323,030
0051,垂,0,,,,01710,032
0052,坐,0,,,,01682,032
0053,壬,0,,,,01904,033
0054,夜,0,,,,01939,036
0055,夙,0,,,,01936,036
0056,妻,0,,,,02061,038
0057,妾,0,,,,02062,038
0058,好,0,,,,02029,038
0059,學,0,,,,02293,039
0060,孰,0,,,,02284,039
0061,寫,0,,,,02396,040
0062,室,0,,,,02332,040
0063,害,0,,,,02346,040
0064,寐,0,,,,02369,040
0065,官,0,,,,02323,040
0066,宅,0,,,,02306,040
0067,專,0,,,,02426,041
0068,導,0,,,,02436,041
0069,尤,0,,,,02456,043
0070,履,0,,,,02508,044
0071,尼,0,,,,02473,044
0072,尹,0,,,,02470,044
0073,希,0,,,,02806,050
0074,帝,0,,,,02820,050
0075,師,0,,,,02835,050
0076,平,0,,,,02899,051
0077,年,0,,,,02900,051
0078,幾,0,,,,02915,052
0079,幼,0,,,,02909,052
0080,康,0,,,,02962,053
0081,慶,0,,,,03474,061
0082,席,0,,,,02839,050
0083,弟,0,,,,03052,057
0084,復,0,,,,03159,060
0085,從,0,,,,03151,060
0086,患,0,,,,03329,061
0087,懈,0,,,,03549,061
0088,03188,0,,,,03188,061
0089,怨,1,2,,,03245,061
0090,慢,0,,,,03458,061
0091,念,0,,,,03214,061
0092,憂,0,,,,03486,061
0093,恭,0,,,,03297,061
0094,愼,0,,,,03429,061
0095,03425,0,,,,03425,061
0096,恐,0,,,,03272,061
0097,慈,0,,,,03439,061
0098,忘,0,,,,03196,061
