,,kak_開成孝経,kak_開成孝経,kak_開成孝経,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
00070,主,0001,0,1,003
00129,二,0002,0,1,007
00154,亦,0003,0,1,008
00150,亡,0004,0,1,008
00338,俗,0005,0,1,009
00498,僞,0006,0,1,009
00530,儒,0007,0,1,009
00170,仁,0008,0,1,009
00200,仲,0009,0,1,009
00243,位,0011,0,1,009
00516,儀,0012,0,1,009
00312,侮,0013,0,1,009
00228,伯,0014,0,1,009
00288,侍,0015,0,1,009
00175,今,0016,0,1,009
00567,光,0017,0,1,010
00585,内,0018,0,1,011
00606,具,0019,0,1,012
00597,六,0020,0,1,012
00613,兼,0021,0,1,012
00602,兵,0022,0,1,012
00664,冰,0023,0,1,015
05558,次,0024,0,1,076
00718,凶,0025,0,1,017
00776,制,0026,0,1,018
00734,分,0027,0,1,018
00767,利,0028,0,1,018
00941,北,0029,0,1,021
00953,匡,0030,0,1,022
00959,匪,0031,0,1,022
00987,千,0032,0,1,024
01010,南,0033,0,1,024
01016,博,0034,0,1,024
00991,升,0035,0,1,024
00985,十,0036,0,1,024
01019,卜,0037,0,1,025
01052,卿,0038,0,1,026
01068,厚,0039,0,1,027
01101,去,0040,0,1,028
01104,參,0041,0,1,028
01128,受,0042,0,1,029
01112,友,0043,0,1,029
01176,后,0044,0,1,030
01157,史,0045,0,1,030
01451,嗟,0046,0,1,030
01142,古,0047,0,1,030
01369,問,0048,0,1,030
01305,哉,0049,0,1,030
01323,哭,0050,0,1,030
01710,垂,0051,0,1,032
01682,坐,0052,0,1,032
01904,壬,0053,0,1,033
01939,夜,0054,0,1,036
01936,夙,0055,0,1,036
02061,妻,0056,0,1,038
02062,妾,0057,0,1,038
02029,好,0058,0,1,038
02293,學,0059,0,1,039
02284,孰,0060,0,1,039
02396,寫,0061,0,1,040
02332,室,0062,0,1,040
02346,害,0063,0,1,040
02369,寐,0064,0,1,040
02323,官,0065,0,1,040
02306,宅,0066,0,1,040
02426,專,0067,0,1,041
02436,導,0068,0,1,041
02456,尤,0069,0,1,043
02508,履,0070,0,1,044
02473,尼,0071,0,1,044
02470,尹,0072,0,1,044
02806,希,0073,0,1,050
02820,帝,0074,0,1,050
02835,師,0075,0,1,050
02899,平,0076,0,1,051
02900,年,0077,0,1,051
02915,幾,0078,0,1,052
02909,幼,0079,0,1,052
02962,康,0080,0,1,053
03474,慶,0081,0,1,061
02839,席,0082,0,1,050
03052,弟,0083,0,1,057
03159,復,0084,0,1,060
03151,從,0085,0,1,060
03329,患,0086,0,1,061
03549,懈,0087,0,1,061
03188,忒,0088,0,1,061
03245,怨,0089,1,2,061
03458,慢,0090,0,1,061
03214,念,0091,0,1,061
03486,憂,0092,0,1,061
03297,恭,0093,0,1,061
03429,愼,0094,0,1,061
03425,愷,0095,0,1,061
03272,恐,0096,0,1,061
03439,慈,0097,0,1,061
03196,忘,0098,0,1,061
03617,或,0099,0,1,062
03481,㥻,0100,0,1,061
03640,戸,0101,0,1,063
03704,抑,0102,0,1,064
04146,攀,0103,0,1,064
03780,持,0104,0,1,064
03921,揮,0105,0,1,064
04084,擅,0106,0,1,064
04067,撮,0107,0,1,064
03882,措,0108,0,1,064
04103,擗,0109,0,1,064
04296,敷,0110,0,1,066
04262,敏,0111,0,1,066
04263,救,0112,0,1,066
04442,旣,0113,0,1,071
04450,旨,0114,0,1,072
04489,易,0115,0,1,072
04523,時,0116,0,1,072
04600,暢,0117,0,1,072
04667,會,0118,0,1,073
04984,條,0119,0,1,075
05307,樞,0120,0,1,075
04712,末,0121,0,1,075
04718,朴,0122,0,1,075
05152,業,0123,0,1,075
04711,未,0124,0,1,075
04765,東,0125,0,1,075
05063,棺,0126,0,1,075
05069,椁,0127,0,1,075
01079,厥,0128,0,1,027
05641,止,0129,0,1,077
05676,歸,0130,0,1,077
05707,殆,0131,0,1,078
05717,殊,0132,0,1,078
06499,漢,0133,0,1,085
05964,求,0134,0,1,085
06396,源,0135,0,1,085
06564,澄,0136,0,1,085
06023,沒,0137,0,1,085
06087,泣,0138,0,1,085
06432,滅,0139,0,1,085
06246,淑,0140,0,1,085
06285,深,0141,0,1,085
06175,浮,0142,0,1,085
06651,濫,0143,0,1,085
06310,淵,0144,0,1,085
06997,燼,0145,0,1,086
06815,炫,0146,0,1,086
06792,災,0147,0,1,086
07043,爾,0148,0,1,089
07063,牖,0149,0,1,091
07082,牲,0150,0,1,093
07323,琰,0151,0,1,096
07319,琬,0152,0,1,096
07470,甫,0153,0,1,101
07503,畏,0154,0,1,102
07483,男,0155,0,1,102
07530,異,0156,0,1,102
07479,由,0157,0,1,102
07598,病,0158,0,1,104
07707,發,0159,0,1,105
