,,kar_開成論語,kar_開成論語,kar_開成論語,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
00029,丞,0001,0,1,001
00134,互,0002,0,1,007
00148,亟,0003,0,1,007
00146,亞,0005,0,1,007
00151,亢,0006,0,1,008
00156,享,0007,0,1,008
00160,亭,0008,0,1,008
00368,倍,0009,0,1,009
00301,依,0010,0,1,009
00342,保,0011,0,1,009
00553,儺,0012,0,1,009
00493,僕,0013,0,1,009
00213,伊,0014,0,1,009
00343,俟,0015,0,1,009
00331,俎,0016,0,1,009
M01083,僎,0017,0,1,009
00192,代,0019,0,1,009
00389,倩,0020,0,1,009
00516,儀,0021,0,1,009
00254,佚,0022,0,1,009
00189,仞,0023,0,1,009
00447,傅,0024,0,1,009
00295,侗,0025,0,1,009
00359,修,0026,0,1,009
00263,佩,0027,0,1,009
00475,傾,0028,0,1,009
00350,倶,0029,0,1,009
00567,光,0030,0,1,010
00559,允,0031,0,1,010
00613,兼,0032,0,1,012
00606,具,0033,0,1,012
00594,八,0034,0,1,012
00629,再,0035,0,1,013
00648,冢,0036,0,1,014
00664,冰,0037,0,1,015
00718,凶,0038,0,1,017
00840,劉,0039,0,1,018
00824,創,0040,0,1,018
00754,列,0041,0,1,018
00729,刀,0042,0,1,018
00882,勉,0043,0,1,019
00900,勤,0044,0,1,019
02909,幼,0045,0,1,052
00931,匏,0046,0,1,020
00924,包,0047,0,1,020
00941,北,0048,0,1,021
00972,匵,0049,0,1,022
00984,區,0050,0,1,023
00983,匿,0051,0,1,023
01005,卓,0052,0,1,024
00994,半,0053,0,1,024
01004,卒,0054,0,1,024
01003,卑,0055,0,1,024
00989,卅,0056,0,1,024
01021,卞,0057,0,1,025
01022,占,0058,0,1,025
01040,卷,0059,0,1,026
01439,嗅,0060,0,1,030
01179,向,0061,0,1,030
01146,叩,0062,0,1,030
01176,后,0063,0,1,030
01265,咎,0064,0,1,030
01190,否,0065,0,1,030
01186,吝,0066,0,1,030
01242,味,0067,0,1,030
01426,喭,0068,0,1,030
01468,嘉,0069,0,1,030
01278,咨,0070,0,1,030
01637,圉,0071,0,1,031
01745,域,0072,0,1,032
01890,壘,0073,0,1,032
01789,堪,0074,0,1,032
01761,埽,0075,0,1,032
01690,坦,0076,0,1,032
01895,壞,0077,0,1,032
01740,城,0078,0,1,032
01905,壯,0079,0,1,033
01913,壽,0080,0,1,033
01932,夕,0081,0,1,036
01943,夢,0082,0,1,036
02005,奡,0083,0,1,037
02010,奧,0084,0,1,037
02006,奢,0085,0,1,037
01986,奔,0086,0,1,037
02024,奴,0087,0,1,038
02294,孺,0088,0,1,039
02268,存,0089,0,1,039
02407,寶,0090,0,1,040
03530,憲,0091,0,1,061
07076,牢,0092,0,1,093
02347,宴,0093,0,1,040
02313,完,0094,0,1,040
02346,害,0095,0,1,040
02358,寄,0096,0,1,040
02371,寒,0097,0,1,040
02395,審,0098,0,1,040
02426,專,0099,0,1,041
02420,封,0100,0,1,041
02469,尸,0101,0,1,044
02471,尺,0102,0,1,044
02764,州,0103,0,1,047
02795,巽,0104,0,1,049
02849,帷,0105,0,1,050
02828,帥,0106,0,1,050
02800,布,0107,0,1,050
02819,帛,0108,0,1,050
02964,庾,0109,0,1,053
02973,廉,0110,0,1,053
02944,度,0111,0,1,053
02978,廏,0112,0,1,053
03004,廷,0113,0,1,054
03020,弈,0114,0,1,055
03032,弋,0115,0,1,056
03043,弔,0116,0,1,057
03055,弦,0117,0,1,057
03113,彭,0118,0,1,059
03175,徼,0119,0,1,060
03395,意,0120,0,1,061
03539,憾,0121,0,1,061
03431,愿,0122,0,1,061
03335,悲,0123,0,1,061
03210,忮,0124,0,1,061
03371,惰,0125,0,1,061
03365,惟,0126,0,1,061
03529,憮,0127,0,1,061
03390,愆,0128,0,1,061
03248,怪,0129,0,1,061
03334,悱,0130,0,1,061
03298,息,0131,0,1,061
03462,慧,0132,0,1,061
03594,懿,0133,0,1,061
03226,怍,0134,0,1,061
03482,慾,0135,0,1,061
03497,憎,0136,0,1,061
03214,念,0137,0,1,061
03243,急,0138,0,1,061
