カード番号,文字,部首,字体数,用例数1,用例数2,大字典
0001,丞,001,0,1,,00029
0002,互,007,0,1,,00134
0003,亟,007,0,1,,00148
0005,亞,007,0,1,,00146
0006,亢,008,0,1,,00151
0007,享,008,0,1,,00156
0008,亭,008,0,1,,00160
0009,倍,009,0,1,,00368
0010,依,009,0,1,,00301
0011,保,009,0,1,,00342
0012,儺,009,0,1,,00553
0013,僕,009,0,1,,00493
0014,伊,009,0,1,,00213
0015,俟,009,0,1,,00343
0016,俎,009,0,1,,00331
0017,M01083,009,0,1,,
0019,代,009,0,1,,00192
0020,倩,009,0,1,,00389
0021,儀,009,0,1,,00516
0022,佚,009,0,1,,00254
0023,仞,009,0,1,,00189
0024,傅,009,0,1,,00447
0025,00295,009,0,1,,00295
0026,修,009,0,1,,00359
0027,佩,009,0,1,,00263
0028,傾,009,0,1,,00475
0029,倶,009,0,1,,00350
0030,光,010,0,1,,00567
0031,允,010,0,1,,00559
0032,兼,012,0,1,,00613
0033,具,012,0,1,,00606
0034,八,012,0,1,,00594
0035,再,013,0,1,,00629
0036,冢,014,0,1,,00648
0037,冰,015,0,1,,00664
0038,凶,017,0,1,,00718
0039,劉,018,0,1,,00840
0040,創,018,0,1,,00824
0041,列,018,0,1,,00754
0042,刀,018,0,1,,00729
0043,勉,019,0,1,,00882
0044,勤,019,0,1,,00900
0045,幼,052,0,1,,02909
0046,匏,020,0,1,,00931
0047,包,020,0,1,,00924
0048,北,021,0,1,,00941
0049,00972,022,0,1,,00972
0050,區,023,0,1,,00984
0051,匿,023,0,1,,00983
0052,卓,024,0,1,,01005
0053,半,024,0,1,,00994
0054,卒,024,0,1,,01004
0055,卑,024,0,1,,01003
0056,卅,024,0,1,,00989
0057,卞,025,0,1,,01021
0058,占,025,0,1,,01022
0059,卷,026,0,1,,01040
0060,嗅,030,0,1,,01439
0061,向,030,0,1,,01179
0062,叩,030,0,1,,01146
0063,后,030,0,1,,01176
0064,咎,030,0,1,,01265
0065,否,030,0,1,,01190
0066,吝,030,0,1,,01186
0067,味,030,0,1,,01242
0068,01426,030,0,1,,01426
0069,嘉,030,0,1,,01468
0070,咨,030,0,1,,01278
0071,圉,031,0,1,,01637
0072,域,032,0,1,,01745
0073,壘,032,0,1,,01890
0074,堪,032,0,1,,01789
