カード番号,文字,部首,字体数,用例数1,用例数2,大字典
0001,丹,003,0,,,00069
0002,亟,007,0,,,00148
0003,互,007,0,,,00134
0005,侮,009,0,,,00312
0006,値,009,0,,,00385
0007,他,009,0,,,00183
0008,代,009,0,,,00192
0009,偏,009,0,,,00411
0010,俗,009,0,,,00338
0011,似,009,0,,,00235
0012,伍,009,0,,,00215
0013,佃,009,0,,,00238
0014,倦,009,0,,,00387
0015,俟,009,0,,,00343
0016,倚,009,0,,,00378
0017,倍,009,0,,,00368
0018,兵,012,0,,,00602
0019,具,012,0,,,00606
0020,冒,013,0,,,00636
0021,冑,013,0,,,00635
0022,軍,159,0,,,11745
0023,冶,015,0,,,00671
0024,切,018,0,,,00735
0025,刳,018,0,,,00773
0026,00772,018,0,,,00772
0027,力,019,0,,,00856
0028,00884,019,0,,,00884
0029,勢,019,0,,,00898
0030,匕,021,0,,,00935
0031,卅,024,0,,,00989
0032,卒,024,0,,,01004
0033,卜,025,0,,,01019
0034,01046,026,0,,,01046
0035,厭,027,0,,,01088
0036,叛,029,0,,,01133
0037,叡,029,0,,,01138
0038,叢,029,0,,,01139
0039,嗇,030,0,,,01441
0041,史,030,0,,,01157
0042,喙,030,0,,,01409
0043,噫,030,0,,,01524
0044,唱,030,0,,,01350
0045,呂,030,0,,,01222
0046,圜,031,0,,,01651
0047,園,031,0,,,01644
0048,圓,031,0,,,01645
0049,圖,031,0,,,01647
0050,壑,032,0,,,01882
0051,01837,032,0,,,01837
0053,圭,032,0,,,01663
0054,01706,032,0,,,01706
0055,基,032,0,,,01758
0056,報,032,0,,,01796
0057,01944,036,0,,,01944
0058,契,037,0,,,01984
0059,奪,037,0,,,02013
0060,奮,037,0,,,02019
0061,奉,037,0,,,01974
0062,娯,038,0,,,02118
0063,妙,038,0,,,02045
0064,妣,038,0,,,02048
0065,嫌,038,0,,,02203
0066,孝,039,0,,,02273
0067,學,039,0,,,02293
0068,宣,040,0,,,02333
0069,宇,040,0,,,02307
0070,寶,040,0,,,02407
0071,寂,040,0,,,02357
0072,02377,040,0,,,02377
0073,02397,040,0,,,02397
0074,宥,040,0,,,02335
0075,專,041,0,,,02426
0076,封,041,0,,,02420
0077,寺,041,0,,,02415
0078,屬,044,0,,,02515
0079,02504,044,0,,,02504
0080,尺,044,0,,,02471
0081,巣,047,0,,,02771
0082,工,048,0,,,02773
0083,己,049,0,,,02782
0084,帶,050,0,,,02846
0085,幕,050,0,,,02871
0086,帛,050,0,,,02819
0087,布,050,0,,,02800
0088,干,051,0,,,02897
0089,棄,075,0,,,05014
0090,弋,056,0,,,03032
0091,張,057,0,,,03065
0092,強,057,0,,,03066
0093,弘,057,0,,,03047
0094,弦,057,0,,,03055
0095,彰,059,0,,,03115
0096,徑,060,0,,,03142
0097,徴,060,0,,,03171
0098,徽,060,0,,,03177
0099,忠,061,0,,,03203
0100,忿,061,0,,,03220
0101,悉,061,0,,,03312
0102,慙,061,0,,,03453
0103,愁,061,0,,,03387
0104,懿,061,0,,,03594
0105,惟,061,0,,,03365
0106,恥,061,0,,,03289
0107,怠,061,0,,,03240
0108,憊,061,0,,,03493
0109,慍,061,0,,,03410
0110,愈,061,0,,,03391
0111,憑,061,0,,,03501
0112,戚,062,0,,,03618
0113,臧,131,0,,,09600
0114,戈,062,0,,,03602
0115,揆,064,0,,,03892
0116,手,064,0,,,03659
0117,掘,064,0,,,03865
0118,摩,064,0,,,04009
0119,03854,064,0,,,03854
0120,掣,064,0,,,03875
0121,握,064,0,,,03911
0122,03924,064,0,,,03924
0123,探,064,0,,,03874
0124,揉,064,0,,,03893
0125,扶,064,0,,,03686
0126,投,064,0,,,03708
0127,支,065,0,,,04216
0128,政,066,0,,,04235
0129,收,066,0,,,04224
0130,敘,066,0,,,04258
0131,04378,069,0,,,04378
0132,敷,066,0,,,04296
0133,族,070,0,,,04412
0134,04581,072,0,,,04581
0135,昭,072,0,,,04510
0136,06890,086,0,,,06890
0137,普,072,0,,,04557
0138,早,072,0,,,04452
0139,晢,072,0,,,04548
0140,星,072,0,,,04499
0141,曷,073,0,,,04656
0142,胡,130,0,,,09411
0144,椁,075,0,,,05069
0145,柝,075,0,,,04856
0146,棺,075,0,,,05063
0147,樹,075,0,,,05323
0148,格,075,0,,,04924
0149,梏,075,0,,,04974
0150,桎,075,0,,,04937
0151,束,075,0,,,04750
0152,枕,075,0,,,04801
0153,棘,075,0,,,05031
0154,株,075,0,,,04908
0155,杞,075,0,,,04749
0156,朱,075,0,,,04717
0157,枝,075,0,,,04807
0158,構,075,0,,,05235
0159,權,075,0,,,05529
0160,槁,075,0,,,05226
0161,林,075,0,,,04803
