統合ID,文字,開成周易,字体数,用例数,部首
00069,丹,0001,0,1,003
00148,亟,0002,0,1,007
00134,互,0003,0,1,007
00312,侮,0005,0,1,009
00385,値,0006,0,1,009
00183,他,0007,0,1,009
00192,代,0008,0,1,009
00411,偏,0009,0,1,009
00338,俗,0010,0,1,009
00235,似,0011,0,1,009
00215,伍,0012,0,1,009
00238,佃,0013,0,1,009
00387,倦,0014,0,1,009
00343,俟,0015,0,1,009
00378,倚,0016,0,1,009
00368,倍,0017,0,1,009
00602,兵,0018,0,1,012
00606,具,0019,0,1,012
00636,冒,0020,0,1,013
00635,冑,0021,0,1,013
11745,軍,0022,0,1,159
00671,冶,0023,0,1,015
00735,切,0024,0,1,018
00773,刳,0025,0,1,018
00772,刲,0026,0,1,018
00856,力,0027,0,1,019
00884,勑,0028,0,1,019
00898,勢,0029,0,1,019
00935,匕,0030,0,1,021
00989,卅,0031,0,1,024
01004,卒,0032,0,1,024
01019,卜,0033,0,1,025
01046,卼,0034,0,1,026
01088,厭,0035,0,1,027
01133,叛,0036,0,1,029
01138,叡,0037,0,1,029
01139,叢,0038,0,1,029
01441,嗇,0039,0,1,030
01157,史,0041,0,1,030
01409,喙,0042,0,1,030
01524,噫,0043,0,1,030
01350,唱,0044,0,1,030
01222,呂,0045,0,1,030
01651,圜,0046,0,1,031
01644,園,0047,0,1,031
01645,圓,0048,0,1,031
01647,圖,0049,0,1,031
01882,壑,0050,0,1,032
01837,墀,0051,0,1,032
01663,圭,0053,0,1,032
01706,坼,0054,0,1,032
01758,基,0055,0,1,032
01796,報,0056,0,1,032
01944,夤,0057,0,1,036
01984,契,0058,0,1,037
02013,奪,0059,0,1,037
02019,奮,0060,0,1,037
01974,奉,0061,0,1,037
02118,娛,0062,0,1,038
02045,妙,0063,0,1,038
02048,妣,0064,0,1,038
02203,嫌,0065,0,1,038
02273,孝,0066,0,1,039
02293,學,0067,0,1,039
02333,宣,0068,0,1,040
02307,宇,0069,0,1,040
02407,寶,0070,0,1,040
02357,寂,0071,0,1,040
02377,寘,0072,0,1,040
02397,寬,0073,0,1,040
02335,宥,0074,0,1,040
02426,專,0075,0,1,041
02420,封,0076,0,1,041
