カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典番号,部首番号,
0001,七,0,,,,,00004,001,
0002,久,0,,,,,00085,004,
0003,互,0,,,,,00134,007,
0004,位,0,,,,,00243,009,
0005,低,0,,,,,00244,009,
0006,倦,0,,,,,00387,009,
0007,偏,0,,,,,00411,009,
0008,僧,0,,,,,00503,009,
0009,儉,0,,,,,00524,009,
0010,兄,0,,,,,00561,010,
0011,充,0,,,,,00562,010,
0012,光,0,,,,,00567,010,
0013,凡,0,,,,,00701,016,
0014,刀,0,,,,,00729,018,
0015,到,0,,,,,00769,018,
0016,刺,0,,,,,00782,018,
0017,劣,0,,,,,00859,019,
0018,化,0,,,,,00938,021,
0019,南,0,,,,,01010,024,
0020,卷,0,,,,,01040,026,
0021,厭,0,,,,,01088,027,
0022,句,0,,,,,01143,030,
0023,向,0,,,,,01179,030,
0024,呑,0,,,,,01187,030,
0025,告,0,,,,,01219,030,
0026,味,0,,,,,01242,030,
0027,命,0,,,,,01252,030,
0028,和,0,,,,,01263,030,
0029,哀,0,,,,,01295,030,
0030,01455,0,,,,,01455,030,
0031,嘆,0,,,,,01466,030,
0032,國,0,,,,,01639,031,
0033,園,0,,,,,01644,031,
0034,執,0,,,,,01755,032,
0035,堅,0,,,,,01767,032,
0036,塊,0,,,,,01808,032,
0037,壽,0,,,,,01913,033,
0038,天,0,,,,,01947,037,
0039,姉,0,,,,,02068,038,
0040,妹,0,,,,,02059,038,
0041,字,0,,,,,02267,039,
0042,將,0,,,,,02425,041,
0043,導,0,,,,,02436,041,
0044,尚,0,,,,,02446,042,
0045,屬,0,,,,,02515,044,
0046,左,0,,,,,02774,048,
0047,座,0,,,,,02946,053,
0048,微,0,,,,,03165,060,
0049,快,0,,,,,03208,061,
0050,怡,0,,,,,03241,061,
0051,恆,0,,,,,03267,061,
0052,惑,0,,,,,03355,061,
0053,03383,0,,,,,03383,061,
0054,愁,0,,,,,03387,061,
0055,愚,0,,,,,03404,061,
0056,愧,0,,,,,03414,061,
0057,慕,0,,,,,03450,061,
0058,03504,0,,,,,03504,061,
0059,03549,0,,,,,03549,061,
0060,懷,0,,,,,03585,061,
0061,手,0,,,,,03659,064,
0062,折,0,,,,,03711,064,
0063,03751,0,,,,,03751,064,
0064,授,0,,,,,03855,064,
0065,掌,0,,,,,03858,064,
0066,接,0,,,,,03878,064,
0067,提,0,,,,,03896,064,
0068,04029,0,,,,,04029,064,
0069,敵,0,,,,,04293,066,
0070,斂,0,,,,,04309,066,
0071,曰,0,,,,,04650,073,
0072,服,0,,,,,04679,074,
0073,朽,0,,,,,04725,075,
0074,枝,0,,,,,04807,075,
0075,04775,0,,,,,04775,075,
0076,枷,0,,,,,04821,075,
0077,梟,0,,,,,04985,075,
0078,械,0,,,,,05001,075,
0080,欣,0,,,,,05561,076,
0081,歎,0,,,,,05612,076,
0082,歴,0,,,,,05670,077,
0083,歸,0,,,,,05676,077,
0084,殊,0,,,,,05717,078,
0085,池,0,,,,,05986,085,
0086,沙,0,,,,,06031,085,
0087,沼,0,,,,,06053,085,
0088,況,0,,,,,06058,085,
0089,泥,0,,,,,06088,085,
0090,泰,0,,,,,06098,085,
0091,洛,0,,,,,06123,085,
0092,涕,0,,,,,06202,085,
0093,淺,0,,,,,06292,085,
0094,減,0,,,,,06313,085,
0095,溺,0,,,,,06422,085,
0096,滑,0,,,,,06445,085,
0097,漂,0,,,,,06480,085,
0098,漸,0,,,,,06517,085,
0099,潤,0,,,,,06553,085,
0100,烏,0,,,,,06835,086,
0101,災,0,,,,,06792,086,
0102,熟,0,,,,,06949,086,
0103,燒,0,,,,,06978,086,
0104,06900,0,,,,,06900,086,
0105,猛,0,,,,,07180,094,
0106,狗,0,,,,,07139,094,
0107,狐,0,,,,,07135,094,
0108,床,0,,,,,02924,053,
0109,瓦,0,,,,,07415,098,
0110,甎,0,,,,,07445,098,
0111,申,0,,,,,07481,102,
0112,疑,0,,,,,07559,103,
0113,疲,0,,,,,07580,104,
0114,癈,0,,,,,07674,104,
0115,皮,0,,,,,07739,107,
0116,盜,0,,,,,07771,108,
0117,眠,0,,,,,07828,109,
0118,睡,0,,,,,07860,109,
0119,礫,0,,,,,08086,112,
0120,究,0,,,,,08293,116,
0121,窮,0,,,,,08329,116,
0122,筋,0,,,,,08428,118,
0123,糜,0,,,,,08709,119,
0124,豎,0,,,,,11258,151,
0125,純,0,,,,,08753,120,
0126,素,0,,,,,08765,120,
0127,綵,0,,,,,08889,120,
0128,繩,0,,,,,09028,120,
0129,置,0,,,,,09128,122,
0130,美,0,,,,,09155,123,
0131,肩,0,,,,,09370,130,
0132,脇,0,,,,,09436,130,
0133,脱,0,,,,,09463,130,
0134,艱,0,,,,,09715,138,
0135,莊,0,,,,,09869,140,
0136,蓋,0,,,,,10040,140,
0137,藉,0,,,,,10187,140,
0138,草,0,,,,,09846,140,
0139,菩,0,,,,,09919,140,
0140,萬,0,,,,,09954,140,
0141,葉,0,,,,,09966,140,
0142,虎,0,,,,,10264,141,
0143,蚊,0,,,,,10303,142,
0144,蛇,0,,,,,10349,142,
0145,10480,0,,,,,10480,142,
0146,蠍,0,,,,,10551,142,
0147,衣,0,,,,,10637,145,
0148,覆,0,,,,,10826,146,
0149,記,0,,,,,10914,149,
0150,詣,0,,,,,10974,149,
0151,詳,0,,,,,10984,149,
0152,誰,0,,,,,11028,149,
0153,譬,0,,,,,11189,149,
0154,詰,0,,,,,10985,149,
0155,豐,0,,,,,11261,151,
0156,豺,0,,,,,11294,153,
0157,豹,0,,,,,11293,153,
0158,赤,0,,,,,11445,155,
0159,超,0,,,,,11467,156,
0160,越,0,,,,,11471,156,
0161,輪,0,,,,,11827,159,
0162,辱,0,,,,,11918,161,
0163,逼,0,,,,,12030,162,
0164,遭,0,,,,,12082,162,
0166,12664,0,,,,,12664,167,
0167,闇,0,,,,,12768,169,
0168,防,0,,,,,12822,170,
0169,障,2,1,1,,,12914,170,
0170,雷,0,,,,,13023,173,
0171,頷,0,,,,,13354,181,
0172,顏,0,,,,,13380,181,
0173,餓,0,,,,,13559,184,
0174,飯,0,,,,,13527,184,
0175,飮,0,,,,,13526,184,
0176,風,0,,,,,13423,182,
0177,首,0,,,,,13661,185,
0178,香,0,,,,,13667,186,
0179,驕,0,,,,,13845,187,
0180,驚,0,,,,,13852,187,
0181,高,0,,,,,13940,189,
0182,鬧,0,,,,,14023,191,
0183,鳥,0,,,,,14361,196,
0184,鵄,0,,,,,14435,196,
0185,雕,0,,,,,12988,172,
0186,鵲,0,,,,,14488,196,
0187,黠,0,,,,,14726,203,
0188,齒,0,,,,,14833,211,
0189-0190,一,1,55,,,,00001,001,
0191,三,1,33,,,,00007,001,
0192,上,1,12,,,,00008,001,
0193,下,1,5,,,,00009,001,
0194-0196,不,1,106,,,,00013,001,
0197,世,1,21,,,,00025,001,
0198-0199,中,1,51,,,,00051,002,
0200,串,1,2,,,,00059,002,
0201,乃,1,25,,,,00078,004,
0202,之,1,19,,,,00088,004,
0203,乏,1,3,,,,00093,004,
0204,乘,1,12,,,,00102,004,
0205,九,1,6,,,,00107,005,
0206,了,1,13,,,,00125,006,
0207,事,1,28,,,,00128,006,
0208,二,1,33,,,,00129,007,
0209-0210,云,1,52,,,,00133,007,
0211,五,1,10,,,,00135,007,
