,,sys_S5309,sys_S5309,sys_S5309,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
00004,七,0001,0,1,001
00085,久,0002,0,1,004
00134,互,0003,0,1,007
00243,位,0004,0,1,009
00244,低,0005,0,1,009
00387,倦,0006,0,1,009
00411,偏,0007,0,1,009
00503,僧,0008,0,1,009
00524,儉,0009,0,1,009
00561,兄,0010,0,1,010
00562,充,0011,0,1,010
00567,光,0012,0,1,010
00701,凡,0013,0,1,016
00729,刀,0014,0,1,018
00769,到,0015,0,1,018
00782,刺,0016,0,1,018
00859,劣,0017,0,1,019
00938,化,0018,0,1,021
01010,南,0019,0,1,024
01040,卷,0020,0,1,026
01088,厭,0021,0,1,027
01143,句,0022,0,1,030
01179,向,0023,0,1,030
01187,呑,0024,0,1,030
01219,告,0025,0,1,030
01242,味,0026,0,1,030
01252,命,0027,0,1,030
01263,和,0028,0,1,030
01295,哀,0029,0,1,030
01455,嗢,0030,0,1,030
01466,嘆,0031,0,1,030
01639,國,0032,0,1,031
01644,園,0033,0,1,031
01755,執,0034,0,1,032
01767,堅,0035,0,1,032
01808,塊,0036,0,1,032
01913,壽,0037,0,1,033
01947,天,0038,0,1,037
02068,姉,0039,0,1,038
02059,妹,0040,0,1,038
02267,字,0041,0,1,039
02425,將,0042,0,1,041
02436,導,0043,0,1,041
02446,尚,0044,0,1,042
02515,屬,0045,0,1,044
02774,左,0046,0,1,048
02946,座,0047,0,1,053
03165,微,0048,0,1,060
03208,快,0049,0,1,061
03241,怡,0050,0,1,061
03267,恆,0051,0,1,061
03355,惑,0052,0,1,061
03383,惽,0053,0,1,061
03387,愁,0054,0,1,061
03404,愚,0055,0,1,061
03414,愧,0056,0,1,061
03450,慕,0057,0,1,061
03504,憒,0058,0,1,061
03549,懈,0059,0,1,061
03585,懷,0060,0,1,061
03659,手,0061,0,1,064
03711,折,0062,0,1,064
03751,拕,0063,0,1,064
03855,授,0064,0,1,064
03858,掌,0065,0,1,064
03878,接,0066,0,1,064
03896,提,0067,0,1,064
04029,摽,0068,0,1,064
04293,敵,0069,0,1,066
04309,斂,0070,0,1,066
04650,曰,0071,0,1,073
04679,服,0072,0,1,074
04725,朽,0073,0,1,075
04807,枝,0074,0,1,075
04775,杻,0075,0,1,075
04821,枷,0076,0,1,075
04985,梟,0077,0,1,075
05001,械,0078,0,1,075
05561,欣,0080,0,1,076
05612,歎,0081,0,1,076
05670,歷,0082,0,1,077
05676,歸,0083,0,1,077
05717,殊,0084,0,1,078
05986,池,0085,0,1,085
06031,沙,0086,0,1,085
06053,沼,0087,0,1,085
06058,況,0088,0,1,085
06088,泥,0089,0,1,085
06098,泰,0090,0,1,085
06123,洛,0091,0,1,085
06202,涕,0092,0,1,085
06292,淺,0093,0,1,085
06313,減,0094,0,1,085
06422,溺,0095,0,1,085
06445,滑,0096,0,1,085
06480,漂,0097,0,1,085
06517,漸,0098,0,1,085
06553,潤,0099,0,1,085
06835,烏,0100,0,1,086
06792,災,0101,0,1,086
06949,熟,0102,0,1,086
06978,燒,0103,0,1,086
06900,煗,0104,0,1,086
07180,猛,0105,0,1,094
07139,狗,0106,0,1,094
07135,狐,0107,0,1,094
02924,床,0108,0,1,053
07415,瓦,0109,0,1,098
07445,甎,0110,0,1,098
07481,申,0111,0,1,102
07559,疑,0112,0,1,103
07580,疲,0113,0,1,104
07674,癈,0114,0,1,104
07739,皮,0115,0,1,107
07771,盜,0116,0,1,108
07828,眠,0117,0,1,109
07860,睡,0118,0,1,109
08086,礫,0119,0,1,112
08293,究,0120,0,1,116
08329,窮,0121,0,1,116
08428,筋,0122,0,1,118
08709,糜,0123,0,1,119
11258,豎,0124,0,1,151
08753,純,0125,0,1,120
08765,素,0126,0,1,120
08889,綵,0127,0,1,120
09028,繩,0128,0,1,120
09128,置,0129,0,1,122
09155,美,0130,0,1,123
09370,肩,0131,0,1,130
09436,脇,0132,0,1,130
09463,脱,0133,0,1,130
09715,艱,0134,0,1,138
09869,莊,0135,0,1,140
10040,蓋,0136,0,1,140
10187,藉,0137,0,1,140
09846,草,0138,0,1,140
09919,菩,0139,0,1,140
09954,萬,0140,0,1,140
09966,葉,0141,0,1,140
10264,虎,0142,0,1,141
10303,蚊,0143,0,1,142
10349,蛇,0144,0,1,142
10480,蝱,0145,0,1,142
10551,蠍,0146,0,1,142
10637,衣,0147,0,1,145
10826,覆,0148,0,1,146
10914,記,0149,0,1,149
10974,詣,0150,0,1,149
10984,詳,0151,0,1,149
11028,誰,0152,0,1,149
11189,譬,0153,0,1,149
10985,詰,0154,0,1,149
11261,豐,0155,0,1,151
11294,豺,0156,0,1,153
11293,豹,0157,0,1,153
11445,赤,0158,0,1,155
11467,超,0159,0,1,156
11471,越,0160,0,1,156
11827,輪,0161,0,1,159
11918,辱,0162,0,1,161
12030,逼,0163,0,1,162
12082,遭,0164,0,1,162
12664,鑊,0166,0,1,167
12768,闇,0167,0,1,169
12822,防,0168,0,1,170
12914,障,0169a,2,1,170
12914b,障,0169b,2,1,170
13023,雷,0170,0,1,173
13354,頷,0171,0,1,181
13380,顏,0172,0,1,181
13559,餓,0173,0,1,184
13527,飯,0174,0,1,184
13526,飮,0175,0,1,184
13423,風,0176,0,1,182
13661,首,0177,0,1,185
13667,香,0178,0,1,186
13845,驕,0179,0,1,187
13852,驚,0180,0,1,187
13940,高,0181,0,1,189
14023,鬧,0182,0,1,191
14361,鳥,0183,0,1,196
14435,鵄,0184,0,1,196
12988,雕,0185,0,1,172
14488,鵲,0186,0,1,196
14726,黠,0187,0,1,203
14833,齒,0188,0,1,211
00001,一,0189,1,55,001
00007,三,0191,1,33,001
00008,上,0192,1,12,001
00009,下,0193,1,5,001
00013,不,0194,1,106,001
00025,世,0197,1,21,001
00051,中,0198,1,51,002
00059,串,0200,1,2,002
00078,乃,0201,1,25,004
00088,之,0202,1,19,004
00093,乏,0203,1,3,004
00102,乘,0204,1,12,004
00107,九,0205,1,6,005
00125,了,0206,1,13,006
00128,事,0207,1,28,006
00129,二,0208,1,33,007
00133,云,0209,1,52,007
00135,五,0211,1,10,007
00154,亦,0212,1,18,008
00168,人,0213,1,4,009
00175,今,0214,1,23,009
00183,他,0215,1,17,009
00193,令,0216,1,31,009
00194,以,0217,1,34,009
00206,任,0218,1,3,009
00233,伺,0219,1,6,009
00235,似,0220,1,8,009
00236,伽,0221,1,15,009
00245,住,0222,1,55,009
00250,何,0224,1,63,009
00255,佛,0226,1,6,009
00256,作,0227a,2,40,009
00256b,作,0227b,2,11,009
00282,來,0229,1,11,009
00301,依,0230,1,14,009
00316,侶,0231,1,2,009
00321,便,0232,1,18,009
00338,俗,0233,1,3,009
00345,信,0234,1,10,009
00373,倒,0235,1,4,009
00405,假,0236a,2,3,009
00405b,假,0236b,2,1,009
00566,先,0237,1,9,010
00582,入,0238,1,3,011
00585,内,0239,1,28,011
00597,六,0240,1,11,012
00599,共,0241,1,9,012
00605,其,0242,1,48,012
00606,具,0243,1,3,012
00648,冢,0244,1,2,014
00734,分,0245,1,28,018
00735,切,0246,1,15,018
00763,別,0247,1,24,018
00767,利,0248,1,12,018
00789,則,0249,1,4,018
00794,前,0250,1,8,018
00856,力,0251,1,21,019
00857,功,0252,1,8,019
00858,加,0253,1,10,019
00881,勇,0254,1,2,019
00887,動,0255,1,3,019
00893,勝,0256a,2,30,019
00893b,勝,0256b,2,3,019
00968,匱,0257,1,3,022
01049,卽,0258a,2,11,026
01049b,卽,0258b,2,8,026
01101,去,0259,1,7,028
01108,又,0260,1,20,029
01111,及,0261,1,27,029
01127,取,0262,1,12,029
01128,受,0263,1,19,029
01154,可,0264,1,13,030
01158,右,0265,1,2,030
01170,合,0266,1,2,030
01174,同,0267,1,12,030
01175,名,0268,1,117,030
01178,吐,0271,1,2,030
01235,周,0272,1,6,030
01296,品,0273,1,58,030
01305,哉,0275,1,2,030
01369,問,0276,1,21,030
01395,善,0277a,2,26,030
01395b,善,0277b,2,4,030
01503,噉,0278,1,4,030
01581,嚴,0279,1,3,030
01607,四,0280,1,28,031
01611,因,0281,1,17,031
01627,固,0282,1,2,031
01645,圓,0283,1,18,031
01659,在,0284,1,20,032
01666,地,0285,1,14,032
01682,坐,0286,1,13,032
01839,境,0287,1,31,032
01853,增,0288,1,13,032
01863,墮,0289,1,4,032
01895,壞,0290,1,13,032
01934,外,0291,1,24,036
01938,多,0292,1,9,036
01939,夜,0293,1,6,036
01946,大,0294,1,14,037
01957,失,0295,1,5,037
01974,奉,0296,1,2,037
02006,奢,0297,1,5,037
02022,女,0298,1,3,038
02031,如,0299,1,148,038
02045,妙,0302,1,2,038
02069,始,0303,1,6,038
02077,姓,0304,1,19,038
02078,委,0305,1,2,038
02105,威,0306,1,9,038
02262,子,0307,1,3,039
02293,學,0308,1,5,039
02309,安,0309,1,32,040
02325,定,0310,1,15,040
02332,室,0311,1,3,040
02333,宣,0312,1,7,040
02346,害,0313,1,3,040
02347,宴,0314,1,6,040
02349,家,0315a,2,3,040
02349b,家,0315b,2,1,040
02357,寂,0316,1,11,040
02383,察,0317a,2,10,040
02383b,察,0317b,2,1,040
02388,寤,0318,1,2,040
02390,實,0319,1,12,040
02395,審,0320,1,14,040
02426,專,0321,1,6,041
02429,尊,0322,1,5,041
02430,尋,0323,1,96,041
02435,對,0325,1,3,041
02439,小,0326,1,2,042
02440,少,0327,1,5,042
02464,就,0328,1,7,043
02469,尸,0329,1,3,044
02482,居,0330,1,3,044
02489,屍,0331,1,9,044
02528,山,0332,1,2,046
02757,巖,0333,1,2,046
02775,巧,0334,1,2,048
02782,己,0335,1,2,049
02783,已,0336,1,31,049
02835,師,0337a,2,6,050
02835b,師,0337b,2,5,050
02847,常,0338,1,10,050
02899,平,0339,1,5,051
02900,年,0340,1,3,051
02944,度,0341a,2,3,053
02944b,度,0341b,2,3,053
02963,庸,0342,1,7,053
02993,廣,0343,1,8,053
03006,建,0344,1,4,054
03017,弄,0345,1,2,055
03044,引,0346,1,5,057
03052,弟,0347,1,2,057
03101,形,0348,1,6,059
03124,彼,0349,1,58,060
03128,往,0351,1,2,060
03132,待,0352,1,4,060
03138,後,0353a,2,10,060
03138b,後,0353b,2,1,060
03145,得,0354,1,28,060
03151,從,0355,1,9,060
03159,復,0356,1,32,060
03172,德,0357,1,3,060
03179,心,0358,1,59,061
03184,忍,0360,1,3,061
03214,念,0361,1,20,061
03233,怖,0362,1,3,061
03239,思,0363,1,113,061
03244,性,0366,1,37,061
03272,恐,0367,1,2,061
03298,息,0368,1,2,061
03309,悦,0369,1,10,061
03373,想,0370,1,3,061
03312,悉,0371,1,2,061
03326,悟,0372,1,2,061
03329,患,0373,1,4,061
03335,悲,0374,1,2,061
03348,情,0375,1,12,061
03365,惟,0376,1,8,061
03372,惱,0377,1,13,061
03395,意,0378,1,35,061
03405,愛,0379,1,2,061
03439,慈,0380a,2,14,061
03439b,慈,0380b,2,4,061
03458,慢,0381,1,2,061
03462,慧,0382,1,4,061
03466,慮,0383,1,2,061
03469,慰,0384,1,2,061
03474,慶,0385,1,3,061
03486,憂,0386,1,2,061
03534,憶,0387,1,2,061
03550,應,0388,1,62,061
03610,成,0390,1,17,062
03612,戒,0391,1,3,062
03617,或,0392,1,41,062
03647,所,0393,1,121,063
03666,打,0396,1,2,064
03780,持,0397,1,13,064
03798,挫,0398a,2,1,064
03798b,挫,0398b,2,1,064
03835,捨,0399,1,2,064
03880,推,0400,1,4,064
03904,揚,0401,1,2,064
04009,摩,0402,1,9,064
04085,擇,0403a,2,10,064
04085b,擇,0403b,2,2,064
04142,擾,0404,1,5,064
04192,攝,0405,1,17,064
04216,支,0406,1,7,065
04233,放,0407,1,4,066
04243,故,0408,1,55,066
04261,教,0410,1,11,066
04280,散,0411,1,17,066
04286,敬,0412,1,5,066
04298,數,0413,1,16,066
04319,變,0414a,2,11,066
04319b,變,0414b,2,1,066
04385,方,0415,1,10,070
04389,於,0416,1,125,070
04391,施,0419,1,3,070
04442,旣,0420,1,5,071
04446,日,0421,1,4,072
04485,明,0422,1,4,072
04489,易,0423,1,2,072
04512,是,0424,1,189,072
04542,晝,0428,1,3,072
04569,智,0429,1,9,072
04603,暫,0430,1,4,072
04623,曉,0431,1,3,072
04640,曠,0432,1,2,072
04651,曲,0433,1,3,073
04654,更,0434,1,2,073
04661,曾,0435,1,3,073
04674,有,0436,1,106,074
04707,木,0439,1,2,075
04711,未,0440,1,18,075
04713,本,0441,1,4,075
04803,林,0442,1,6,075
04806,果,0443,1,2,075
04848,染,0444,1,3,075
04849,柔,0445,1,4,075
04922,根,0446,1,18,075
05010,梵,0447,1,3,075
05014,棄,0448a,2,2,075
05014b,棄,0448b,2,1,075
05152,業,0449,1,5,075
05161,極,0450,1,18,075
05228,槃,0451,1,4,075
05279,樂,0452,1,46,075
05323,樹,0453,1,5,075
05558,次,0454,1,6,076
05580,欲,0455a,2,24,076
05580b,欲,0455b,2,1,076
05639,歡,0456,1,4,076
05641,止,0457,1,3,077
05643,正,0458,1,42,077
05644,此,0459,1,58,077
05686,死,0461,1,17,078
05795,殷,0462,1,2,079
05834,母,0463,1,2,080
05839,毒,0464,1,2,080
05841,比,0465,1,3,081
05845,毗,0466,1,27,081
05850,毛,0467,1,3,082
05952,水,0468,1,2,085
05964,求,0469a,2,41,085
05964b,求,0469b,2,3,085
05978,汗,0470,1,3,085
05983,汝,0471,1,17,085
06003,決,0472,1,3,085
06015,沈,0473,1,2,085
06023,沒,0474,1,2,085
06055,治,0475,1,3,085
06074,法,0476,1,57,085
06091,注,0478,1,9,085
06151,流,0479a,2,8,085
06151b,流,0479b,2,3,085
06189,涅,0480,1,4,085
06253,涙,0481,1,2,085
06272,淨,0482a,2,55,085
06272b,淨,0482b,2,8,085
06285,深,0484,1,9,085
06290,清,0485,1,5,085
06432,滅,0486,1,4,085
06476,滿,0487a,2,19,085
06476b,滿,0487b,2,1,085
06564,澄,0488,1,2,085
06872,無,0489,1,61,086
06885,然,0491a,2,3,086
06885b,然,0491b,2,3,086
06921,煩,0492,1,8,086
07017,爛,0493,1,4,086
07032,爲,0494,1,120,087
07035,父,0497,1,2,088
07043,爾,0498,1,15,089
07076,牢,0499,1,2,093
07080,物,0500,1,3,093
07086,特,0501,1,3,093
07122,狀,0502,1,3,094
07165,狼,0503,1,2,094
07212,獄,0504,1,2,094
07230,獨,0505,1,16,094
07241,獲,0506a,2,5,094
07241b,獲,0506b,2,1,094
07304,現,0507,1,20,096
07307,理,0508,1,30,096
07345,瑜,0509,1,12,096
07461,生,0510,1,40,100
07469,用,0511,1,12,101
07479,由,0512,1,42,102
07501,界,0513,1,18,102
07503,畏,0514,1,3,102
07522,略,0515,1,2,102
07530,異,0516,1,12,102
07535,當,0517,1,24,102
07591,疾,0518,1,2,104
07598,病,0519,1,5,104
07685,癡,0520,1,4,104
07707,發,0521,1,29,105
07709,白,0522,1,5,106
