カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号
0001,丈,0,,,,00006,001
0002,云,0,,,,00133,007
0003,互,0,,,,00134,007
0004,傷,0,,,,00473,009
0005,00214,0,,,,00214,009
0006,佃,0,,,,00238,009
0007,企,0,,,,00209,009
0008,億,0,,,,00520,009
0009,付,0,,,,00185,009
0010,但,0,,,,00240,009
0011,侵,0,,,,00317,009
0012,儲,0,,,,00546,009
0013,傭,0,,,,00463,009
0014,00293,0,,,,00293,009
0015,優,0,,,,00542,009
0016,低,0,,,,00244,009
0017,價,0,,,,00513,009
0018,佰,0,,,,00266,009
0019,佐,0,,,,00246,009
0020,伎,0,,,,00216,009
0021,仁,0,,,,00170,009
0022,仟,0,,,,00190,009
0023,俾,0,,,,00360,009
0024,傅,0,,,,00447,009
0025,兩,0,,,,00591,011
0026,共,0,,,,00599,012
0027,冊,0,,,,00625,013
0028,冒,0,,,,00636,013
0029,凋,0,,,,00682,015
0030,劍,0,,,,00843,018
0031,副,0,,,,00818,018
0032,判,0,,,,00761,018
0033,刋,0,,,,00739,018
0034,刻,0,,,,00783,018
0035,動,0,,,,00887,019
0036,劭,0,,,,00867,019
0037,勉,0,,,,00882,019
0038,勗,0,,,,00888,019
0039,北,0,,,,00941,021
0040,匠,0,,,,00952,022
0041,匱,0,,,,00968,022
0042,區,0,,,,00984,022
0043,卑,0,,,,01003,024
0044,原,0,,,,01074,027
0045,厭,0,,,,01088,027
0046,參,0,,,,01104,028
0047,問,0,,,,01369,030
0048,呉,0,,,,01207,030
2001,哲,0,,,,01326,030
0049,句,0,,,,01143,030
0050,咎,0,,,,01265,030
0051,召,0,,,,01150,030
0052,吾,0,,,,01217,030
0053,后,0,,,,01176,030
0054,嗇,0,,,,01441,030
0055,嗟,0,,,,01451,030
0056,喪,0,,,,01430,030
0057,單,0,,,,01427,030
0058,唯,0,,,,01349,030
0059,圃,0,,,,01633,031
0060,壑,0,,,,01882,032
0061,増,0,,,,01853,032
0062,場,0,,,,01798,032
0063,執,0,,,,01755,032
0064,塞,0,,,,01823,032
0065,埴,0,,,,01753,032
0066,01887,0,,,,01887,032
