統合ID,文字,通典卷一,字体数,用例数,部首
00006,丈,0001,0,1,001
00133,云,0002,0,1,007
00134,互,0003,0,1,007
00473,傷,0004,0,1,009
00214,伋,0005,0,1,009
00238,佃,0006,0,1,009
00209,企,0007,0,1,009
00520,億,0008,0,1,009
00185,付,0009,0,1,009
00240,但,0010,0,1,009
00317,侵,0011,0,1,009
00546,儲,0012,0,1,009
00463,傭,0013,0,1,009
00293,侔,0014,0,1,009
00542,優,0015,0,1,009
00244,低,0016,0,1,009
00513,價,0017,0,1,009
00266,佰,0018,0,1,009
00246,佐,0019,0,1,009
00216,伎,0020,0,1,009
00170,仁,0021,0,1,009
00190,仟,0022,0,1,009
00360,俾,0023,0,1,009
00447,傅,0024,0,1,009
00591,兩,0025,0,1,011
00599,共,0026,0,1,012
00625,冊,0027,0,1,013
00636,冒,0028,0,1,013
00682,凋,0029,0,1,015
00843,劍,0030,0,1,018
00818,副,0031,0,1,018
00761,判,0032,0,1,018
00739,刋,0033,0,1,018
00783,刻,0034,0,1,018
00887,動,0035,0,1,019
00867,劭,0036,0,1,019
00882,勉,0037,0,1,019
00888,勖,0038,0,1,019
00941,北,0039,0,1,021
00952,匠,0040,0,1,022
00968,匱,0041,0,1,022
00984,區,0042,0,1,023
01003,卑,0043,0,1,024
01074,原,0044,0,1,027
01088,厭,0045,0,1,027
01104,參,0046,0,1,028
01369,問,0047,0,1,030
01207,呉,0048,0,1,030
01143,句,0049,0,1,030
01265,咎,0050,0,1,030
01150,召,0051,0,1,030
01217,吾,0052,0,1,030
01176,后,0053,0,1,030
01441,嗇,0054,0,1,030
01451,嗟,0055,0,1,030
01430,喪,0056,0,1,030
01427,單,0057,0,1,030
01349,唯,0058,0,1,030
01633,圃,0059,0,1,031
01882,壑,0060,0,1,032
01853,增,0061,0,1,032
01798,場,0062,0,1,032
01755,執,0063,0,1,032
01823,塞,0064,0,1,032
01753,埴,0065,0,1,032
01887,壖,0066,0,1,032
01839,境,0067,0,1,032
01831,塵,0068,0,1,032
01892,壚,0069,0,1,032
01905,壯,0070,0,1,033
01952,夭,0071,0,1,037
01961,夷,0072,0,1,037
02015,奬,0073,0,1,037
02013,奪,0074,0,1,037
02092,姦,0075,0,1,038
02051,妨,0076,0,1,038
02259,孅,0077,0,1,038
02196,嫁,0078,0,1,038
02081,姚,0079,0,1,038
02275,孟,0080,0,1,039
02278,孥,0081,0,1,039
02277,孤,0082,0,1,039
02268,存,0083,0,1,039
02267,字,0084,0,1,039
02312,宋,0085,0,1,040
02303,宂,0086,0,1,040
02304,它,0087,0,1,040
02333,宣,0088,0,1,040
02392,寧,0089,0,1,040
02344,宰,0090,0,1,040
02387,寢,0091,0,1,040
02430,尋,0092,0,1,041
02429,尊,0093,0,1,041
02427,尉,0094,0,1,041
02456,尤,0095,0,1,043
02470,尹,0096,0,1,044
02734,嶺,0097,0,1,046
02617,崔,0098,0,1,046
02767,巡,0099,0,1,047
02776,巨,0100,0,1,048
02782,己,0101,0,1,049
02883,幣,0102,0,1,050
02839,席,0103,0,1,050
02819,帛,0104,0,1,050
02909,幼,0105,0,1,052
02912,幽,0106,0,1,052
02915,幾,0107,0,1,052
02973,廉,0108,0,1,053
02963,庸,0109,0,1,053
02986,廛,0110,0,1,053
03037,式,0111,0,1,056
03047,弘,0112,0,1,057
03052,弟,0113,0,1,057
03043,弔,0114,0,1,057
03044,引,0115,0,1,057
03081,彊,0116,0,1,057
03142,徑,0117,0,1,060
03129,征,0118,0,1,060
03171,徵,0119,0,1,060
03348,情,0120,0,1,061
03466,慮,0121,0,1,061
03450,慕,0122,0,1,061
03239,思,0123,0,1,061
03288,恤,0124,0,1,061
03289,恥,0125,0,1,061
03458,慢,0126,0,1,061
03439,慈,0127,0,1,061
03240,怠,0128,0,1,061
03265,恃,0129,0,1,061
03404,愚,0130,0,1,061
03237,怛,0131,0,1,061
03387,愁,0132,0,1,061
03309,悦,0133,0,1,061
03486,憂,0134,0,1,061
03409,感,0135,0,1,061
03371,惰,0136,0,1,061
03320,悔,0137,0,1,061
03501,憑,0138,0,1,061
03244,性,0139,0,1,061
03633,戰,0140,0,1,062
03952,搜,0141,0,1,064
03888,掾,0142,0,1,064
04106,據,0143,0,1,064
04122,擬,0144,0,1,064
03722,抵,0145,0,1,064
03708,投,0146,0,1,064
04047,撓,0147,0,1,064
03825,捐,0148,0,1,064
04233,放,0149,0,1,066
04231,攻,0150,0,1,066
04277,敢,0151,0,1,066
04281,敦,0152,0,1,066
04263,救,0153,0,1,066
04381,斷,0154,0,1,069
04363,斥,0155,0,1,069
04376,新,0156,0,1,069
04394,旁,0157,0,1,070
04590,暖,0159,0,1,072
04577,暇,0160,0,1,072
04484,昌,0161,0,1,072
04606,暮,0162,0,1,072
04539,晩,0163,0,1,072
04667,會,0164,0,1,073
04662,替,0165,0,1,073
04699,期,0166,0,1,074
04688,朕,0167,0,1,074
04686,朔,0168,0,1,074
04707,木,0169,0,1,075
05319,樵,0170,0,1,075
04735,李,0171,0,1,075
04924,格,0172,0,1,075
04813,枯,0173,0,1,075
04848,染,0174,0,1,075
04908,株,0175,0,1,075
05302,標,0176,0,1,075
04849,柔,0177,0,1,075
05031,棘,0178,0,1,075
05080,植,0179,0,1,075
04747,杜,0180,0,1,075
05210,榮,0181,0,1,075
05069,椁,0182,0,1,075
05650,歧,0183,0,1,077
05809,殿,0184,0,1,079
05796,殺,0185,0,1,079
05795,殷,0186,0,1,079
05834,母,0187,0,1,080
05932,氏,0188,0,1,083
05957,永,0189,0,1,085
06404,溝,0190,0,1,085
06202,涕,0191,0,1,085
06087,泣,0192,0,1,085
06290,清,0193,0,1,085
06063,泉,0194,0,1,085
06286,淳,0195,0,1,085
06098,泰,0196,0,1,085
06480,漂,0197,0,1,085
06477,漁,0198,0,1,085
06317,渠,0199,0,1,085
06432,滅,0200,0,1,085
05979,汙,0201,0,1,085
06193,涉,0202,0,1,085
05964,求,0203,0,1,085
06949,熟,0204,0,1,086
07010,爈,0205,0,1,086
06965,熾,0206,0,1,086
06835,烏,0207,0,1,086
06957,熱,0208,0,1,086
07030,爰,0209,0,1,087
07082,牲,0210,0,1,093
07248,獸,0211,0,1,094
07212,獄,0212,0,1,094
07122,狀,0213,0,1,094
07153,狩,0214,0,1,094
07230,獨,0215,0,1,094
