カード番号,文字,部首,字体数,用例数１,用例数２,用例数３,大字典
0001,事,006,0,,,,00128
0002,互,007,0,,,,00134
0003,云,007,0,,,,00133
0004,佛,009,0,,,,00255
0005,伽,009,0,,,,00236
0006,伏,009,0,,,,00217
0007,任,009,0,,,,00206
0008,出,017,0,,,,00723
0009,則,018,0,,,,00789
0010,勿,020,0,,,,00919
0011,千,024,0,,,,00987
0012,卑,024,0,,,,01003
0013,味,030,0,,,,01242
0014,堅,032,0,,,,01767
0015,報,032,0,,,,01796
0016,壞,032,0,,,,01895
0017,壯,033,0,,,,01905
0018,士,033,0,,,,01903
0019,失,037,0,,,,01957
0020,夫,037,0,,,,01949
0021,婆,038,0,,,,02142
0022,容,040,0,,,,02352
0023,將,041,0,,,,02425
0024,弟,057,0,,,,03052
0025,影,059,0,,,,03116
0026,恩,061,0,,,,03292
0027,情,061,0,,,,03348
0028,性,061,0,,,,03244
0029,思,061,0,,,,03239
0030,患,061,0,,,,03329
0031,戒,062,0,,,,03612
0032,提,064,0,,,,03896
0033,總,120,0,,,,08993
0034,明,072,0,,,,04485
0035,曰,073,0,,,,04650
0036,望,074,0,,,,04693
0037,本,075,0,,,,04713
0038,梯,075,0,,,,05000
0039,杖,075,0,,,,04743
0040,槃,075,0,,,,05228
0041,果,075,0,,,,04806
0042,欣,076,0,,,,05561
0043,歴,077,0,,,,05670
0044,殺,079,0,,,,05796
0045,05845,081,0,,,,05845
0046,流,085,0,,,,06151
0047,沙,085,0,,,,06031
0048,涅,085,0,,,,06189
0049,滿,085,0,,,,06476
0050,炬,086,0,,,,06816
0051,特,093,0,,,,07086
0052,猶,094,0,,,,07203
0053,當,102,0,,,,07535
0054,畢,102,0,,,,07520
0055,示,113,0,,,,08097
0056,究,116,0,,,,08293
0057,精,119,0,,,,08685
0058,聞,128,0,,,,09315
0059,腐,130,0,,,,09486
0060,菩,140,0,,,,09919
0061,補,145,0,,,,10714
0062,識,149,0,,,,11171
0063,讚,149,0,,,,11229
0064,評,149,0,,,,10960
0065,責,154,0,,,,11344
0066,賊,154,0,,,,11377
0067,輕,159,0,,,,11802
0068,轉,159,0,,,,11856
0069,造,162,0,,,,12004
0070,避,162,0,,,,12103
0071,進,162,0,,,,12022
0072,遠,162,0,,,,12070
0073,還,162,0,,,,12108
0074,鈍,167,0,,,,12406
0075,門,169,0,,,,12709
0076,開,169,0,,,,12716
0077,隅,170,0,,,,12883
0078,12924,170,0,,,,12924
0079,降,170,0,,,,12838
0080,雖,172,0,,,,12991
0081,面,176,0,,,,13108
0082,音,180,0,,,,13281
0083,頓,181,0,,,,13316
0084,順,181,0,,,,13302
0085,預,181,0,,,,13313
0086,食,184,0,,,,13503
0087,一,001,1,26,,,00001
0088-0090,世,001,1,112,,,00025
0091-0093,不,001,1,105,,,00013
0094,三,001,1,25,,,00007
0095,七,001,1,22,,,00004
0096,下,001,1,8,,,00009
0097,上,001,1,21,,,00008
0098-0099,中,002,1,84,,,00051
0100,乃,004,1,9,,,00078
0101,之,004,1,3,,,00088
0102,九,005,1,28,,,00107
0103,了,006,1,2,,,00125
0104-0105,二,007,1,74,,,00129
0106,五,007,1,11,,,00135
0107,亦,008,1,35,,,00154
0108,人,009,1,5,,,00168
0109-0110,來,009,1,81,,,00282
0111,令,009,1,4,,,00193
0112,今,009,1,2,,,00175
0113,位,009,1,14,,,00243
0114,但,009,1,4,,,00240
0115-0117,俗,009,1,105,,,00338
0118,何,009,1,19,,,00250
0119-0120,他,009,1,64,,,00183
0121,信,009,1,4,,,00345
0122,依,009,1,11,,,00301
0123-0124,作,009,1,51,,,00256
0125,以,009,1,23,,,00194
0126,住,009,1,15,,,00245
0127,便,009,1,2,,,00321
0128,先,010,1,11,,,00566
0129,入,011,1,14,,,00582
0130,六,012,1,8,,,00597
0131,八,012,1,40,,,00594
0132,具,012,1,3,,,00606
0133,其,012,1,4,,,00605
0134,准,015,1,4,,,00678
0135,刹,018,1,5,,,00781
0136,分,018,1,23,,,00734
0137,初,018,2,14,2,,00759
0138-0139,前,018,1,58,,,00794
0140,切,018,1,8,,,00735
0141,別,018,1,12,,,00763
0142,利,018,1,8,,,00767
0143,刀,018,1,2,,,00729
0144,勝,019,1,17,,,00893
0145,功,019,1,20,,,00857
0146,動,019,1,3,,,00887
0147,勢,019,1,4,,,00898
0148,劣,019,1,8,,,00859
0149,力,019,1,4,,,00856
0150-0151,加,019,1,69,,,00858
0152,助,019,1,2,,,00863
0153,十,024,1,5,,,00985
0154,即,026,1,9,,,01049
0155,及,029,1,12,,,01111
0156,受,029,1,4,,,01128
0157,同,030,1,23,,,01174
0158,品,030,1,4,,,01296
0159,善,030,1,24,,,01395
0160,問,030,1,8,,,01369
0161,名,030,1,2,,,01175
0162,句,030,1,2,,,01143
0163-0164,四,031,1,82,,,01607
0165,因,031,1,29,,,01611
0166,國,031,1,3,,,01639
0167-0169,在,032,1,101,,,01659
0170,増,032,1,7,,,01853
0171,地,032,1,8,,,01666
0172,執,032,1,2,,,01755
0173,多,036,1,5,,,01938
0174,天,037,1,2,,,01947
0175,大,037,1,2,,,01946
0176,如,038,1,46,,,02031
0177,姓,038,1,2,,,02077
