統合ID,文字,東禪毘婆,字体数,用例数,部首
00128,事,0001,0,1,006
00134,互,0002,0,1,007
00133,云,0003,0,1,007
00255,佛,0004,0,1,009
00236,伽,0005,0,1,009
00217,伏,0006,0,1,009
00206,任,0007,0,1,009
00723,出,0008,0,1,017
00789,則,0009,0,1,018
00919,勿,0010,0,1,020
00987,千,0011,0,1,024
01003,卑,0012,0,1,024
01242,味,0013,0,1,030
01767,堅,0014,0,1,032
01796,報,0015,0,1,032
01895,壞,0016,0,1,032
01905,壯,0017,0,1,033
01903,士,0018,0,1,033
01957,失,0019,0,1,037
01949,夫,0020,0,1,037
02142,婆,0021,0,1,038
02352,容,0022,0,1,040
02425,將,0023,0,1,041
03052,弟,0024,0,1,057
03116,影,0025,0,1,059
03292,恩,0026,0,1,061
03348,情,0027,0,1,061
03244,性,0028,0,1,061
03239,思,0029,0,1,061
03329,患,0030,0,1,061
03612,戒,0031,0,1,062
03896,提,0032,0,1,064
08993,總,0033,0,1,120
04485,明,0034,0,1,072
04650,曰,0035,0,1,073
04693,望,0036,0,1,074
04713,本,0037,0,1,075
05000,梯,0038,0,1,075
04743,杖,0039,0,1,075
05228,槃,0040,0,1,075
04806,果,0041,0,1,075
05561,欣,0042,0,1,076
05670,歷,0043,0,1,077
05796,殺,0044,0,1,079
05845,毗,0045,0,1,081
06151,流,0046,0,1,085
06031,沙,0047,0,1,085
06189,涅,0048,0,1,085
06476,滿,0049,0,1,085
06816,炬,0050,0,1,086
07086,特,0051,0,1,093
07203,猶,0052,0,1,094
07535,當,0053,0,1,102
07520,畢,0054,0,1,102
08097,示,0055,0,1,113
08293,究,0056,0,1,116
08685,精,0057,0,1,119
09315,聞,0058,0,1,128
09486,腐,0059,0,1,130
09919,菩,0060,0,1,140
10714,補,0061,0,1,145
11171,識,0062,0,1,149
11229,讚,0063,0,1,149
10960,評,0064,0,1,149
11344,責,0065,0,1,154
11377,賊,0066,0,1,154
11802,輕,0067,0,1,159
11856,轉,0068,0,1,159
12004,造,0069,0,1,162
12103,避,0070,0,1,162
12022,進,0071,0,1,162
12070,遠,0072,0,1,162
12108,還,0073,0,1,162
12406,鈍,0074,0,1,167
12709,門,0075,0,1,169
12716,開,0076,0,1,169
12883,隅,0077,0,1,170
12924,隥,0078,0,1,170
12838,降,0079,0,1,170
12991,雖,0080,0,1,172
13108,面,0081,0,1,176
13281,音,0082,0,1,180
13316,頓,0083,0,1,181
13302,順,0084,0,1,181
13313,預,0085,0,1,181
13503,食,0086,0,1,184
00001,一,0087,1,26,001
00025,世,0088,1,112,001
00013,不,0091,1,105,001
00007,三,0094,1,25,001
00004,七,0095,1,22,001
00009,下,0096,1,8,001
00008,上,0097,1,21,001
00051,中,0098,1,84,002
00078,乃,0100,1,9,004
00088,之,0101,1,3,004
00107,九,0102,1,28,005
00125,了,0103,1,2,006
00129,二,0104,1,74,007
00135,五,0106,1,11,007
00154,亦,0107,1,35,008
00168,人,0108,1,5,009
