カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,大字典
0001,竝,117,0,,,,08361
0002,乘,004,0,,,,00102
0003,于,007,0,,,,00132
0004,亥,008,0,,,,00153
0005,住,009,0,,,,00245
0006,件,009,0,,,,00203
0007,依,009,0,,,,00301
0008,仰,009,0,,,,00199
0009,什,009,0,,,,00180
0010,備,009,0,,,,00455
0011,傷,009,0,,,,00473
0012,傳,009,0,,,,00468
0013,値,009,0,,,,00385
0014,侯,009,0,,,,00313
0015,付,009,0,,,,00185
0016,倉,009,0,,,,00365
0017,僞,009,0,,,,00498
0018,傾,009,0,,,,00475
0019,僮,009,0,,,,00506
0020,兒,010,0,,,,00574
0021,兪,011,0,,,,00593
0022,先,010,0,,,,00566
0023,共,012,0,,,,00599
0024,凍,015,0,,,,00684
0025,凝,015,0,,,,00696
0026,凶,017,0,,,,00718
0027,刃,018,0,,,,00732
0028,劈,018,0,,,,00839
0029,切,018,0,,,,00735
0030,制,018,0,,,,00776
0031,剌,018,0,,,,00793
0032,勁,019,0,,,,00876
0033,務,019,0,,,,00890
0034,00884,019,0,,,,00884
0035,力,019,0,,,,00856
0036,匝,022,0,,,,00951
0037,匪,022,0,,,,00959
0038,卷,026,0,,,,01040
0039,却,026,0,,,,01038
0040,叢,029,0,,,,01139
0041,受,029,0,,,,01128
0042,名,030,0,,,,01175
0043,右,030,0,,,,01158
0044,命,030,0,,,,01252
0045,否,030,0,,,,01190
0046,吏,030,0,,,,01177
0047,哉,030,0,,,,01305
0048,呼,030,0,,,,01251
0049,問,030,0,,,,01369
0050,單,030,0,,,,01427
0051,味,030,0,,,,01242
0052,因,031,0,,,,01611
0053,壁,032,0,,,,01873
0054,均,032,0,,,,01674
0055,塊,032,0,,,,01808
0056,垂,032,0,,,,01710
0057,壅,032,0,,,,01877
0058,妍,038,0,,,,02098
0059,婦,038,0,,,,02155
0060,娜,038,0,,,,02119
0061,婀,038,0,,,,02139
0063,始,038,0,,,,02069
0064,妨,038,0,,,,02051
0065,娶,038,0,,,,02134
0066,娉,038,0,,,,02109
0067,嫁,038,0,,,,02196
0068,妾,038,0,,,,02062
0069,害,040,0,,,,02346
0070,官,040,0,,,,02323
0071,密,040,0,,,,02361
0072,寧,040,0,,,,02392
0073,守,040,0,,,,02308
0074,富,040,0,,,,02366
0075,尚,042,0,,,,02446
0076,履,044,0,,,,02508
0077,尾,044,0,,,,02478
0078,居,044,0,,,,02482
0079,屈,044,0,,,,02485
0080,02510,044,0,,,,02510
0081,左,048,0,,,,02774
0082,幃,050,0,,,,02855
0083,市,050,0,,,,02799
0084,并,051,0,,,,02902
0085,廳,053,0,,,,03001
0086,延,054,0,,,,03005
0087,弋,056,0,,,,03032
0088,強,057,0,,,,03066
0089,弱,057,0,,,,03064
0090,形,059,0,,,,03101
0091,從,060,0,,,,03151
0092,快,061,0,,,,03208
0093,懷,061,0,,,,03585
0094,慮,061,0,,,,03466
0095,恐,061,0,,,,03272
0096,憑,061,0,,,,03501
0097,懸,061,0,,,,03586
0098,怙,061,0,,,,03235
0099,戻,063,0,,,,03645
0100,扇,063,0,,,,03653
0101,扁,063,0,,,,03649
0102,撓,064,0,,,,04047
0103,揮,064,0,,,,03921
0104,掎,064,0,,,,03860
0105,03820,064,0,,,,03820
0106,03958,064,0,,,,03958
0107,損,064,0,,,,03939
0108,持,064,0,,,,03780
0109,掃,064,0,,,,03851
0110,插,064,0,,,,03898
0111,撒,064,0,,,,04046
0112,掊,064,0,,,,03857
0113,掩,064,0,,,,03881
0114,揉,064,0,,,,03893
0115,擣,064,0,,,,04111
0116,擬,064,0,,,,04122
0117,捻,064,0,,,,03846
0118,揩,064,0,,,,03916
0119,拭,064,0,,,,03765
0120,M11797,064,0,,,,
0121,整,066,0,,,,04303
0122,敗,066,0,,,,04268
0123,敢,066,0,,,,04277
0124,敞,066,0,,,,04273
0125,敵,066,0,,,,04293
0126,旅,070,0,,,,04402
0127,04491,072,0,,,,04491
0128,旨,072,0,,,,04450
0129,晴,072,0,,,,04563
0130,晏,072,0,,,,04533
0131,早,072,0,,,,04452
0132,旱,072,0,,,,04461
0133,04546,072,0,,,,04546
0134,暫,072,0,,,,04603
0135,晩,072,0,,,,04539
0136,朝,074,0,,,,04696
0137,期,074,0,,,,04699
0138,服,074,0,,,,04679
0139,構,075,0,,,,05235
0140,05156,075,0,,,,05156
0141,杷,075,0,,,,04771
0142,析,075,0,,,,04794
0143,槽,075,0,,,,05274
0144,橘,075,0,,,,05361
0145,松,075,0,,,,04780
0146,核,075,0,,,,04921
0147,梳,075,0,,,,05005
0148,朽,075,0,,,,04725
0149,梧,075,0,,,,04992
0150,本,075,0,,,,04713
0151,机,075,0,,,,04723
0152,05366,075,0,,,,05366
0153,棟,075,0,,,,05037
0154,05221,075,0,,,,05221
0155,業,075,0,,,,05152
0156,梁,075,0,,,,04967
0157,槌,075,0,,,,05236
0158,梯,075,0,,,,05000
0159,棗,075,0,,,,05030
0160,東,075,0,,,,04765
0161,橡,075,0,,,,05369
0162,柞,075,0,,,,04857
0163,棺,075,0,,,,05063
0164,槫,075,0,,,,05255
0165,楯,075,0,,,,05154
0166,榴,075,0,,,,05215
0167,殘,078,0,,,,05737
0168,母,080,0,,,,05834
0169,毛,082,0,,,,05850
0170,溺,085,0,,,,06422
0171,06494,085,0,,,,06494
0172,漏,085,0,,,,06487
0173,洪,085,0,,,,06134
0174,漢,085,0,,,,06499
0175,漿,085,0,,,,06521
0176,淡,085,0,,,,06266
0177,淋,085,0,,,,06243
0178,注,085,0,,,,06091
0179,況,085,0,,,,06058
0180,求,085,0,,,,05964
0181,消,085,0,,,,06192
0182,灌,085,0,,,,06748
