統合ID,文字,斉民要術,字体数,用例数,部首
08361,竝,0001,0,1,117
00102,乘,0002,0,1,004
00132,于,0003,0,1,007
00153,亥,0004,0,1,008
00245,住,0005,0,1,009
00203,件,0006,0,1,009
00301,依,0007,0,1,009
00199,仰,0008,0,1,009
00180,什,0009,0,1,009
00455,備,0010,0,1,009
00473,傷,0011,0,1,009
00468,傳,0012,0,1,009
00385,値,0013,0,1,009
00313,侯,0014,0,1,009
00185,付,0015,0,1,009
00365,倉,0016,0,1,009
00498,僞,0017,0,1,009
00475,傾,0018,0,1,009
00506,僮,0019,0,1,009
00574,兒,0020,0,1,010
00593,兪,0021,0,1,011
00566,先,0022,0,1,010
00599,共,0023,0,1,012
00684,凍,0024,0,1,015
00696,凝,0025,0,1,015
00718,凶,0026,0,1,017
00732,刃,0027,0,1,018
00839,劈,0028,0,1,018
00735,切,0029,0,1,018
00776,制,0030,0,1,018
00793,剌,0031,0,1,018
00876,勁,0032,0,1,019
00890,務,0033,0,1,019
00884,勑,0034,0,1,019
00856,力,0035,0,1,019
00951,匝,0036,0,1,022
00959,匪,0037,0,1,022
01040,卷,0038,0,1,026
01038,却,0039,0,1,026
01139,叢,0040,0,1,029
01128,受,0041,0,1,029
01175,名,0042,0,1,030
01158,右,0043,0,1,030
01252,命,0044,0,1,030
01190,否,0045,0,1,030
01177,吏,0046,0,1,030
01305,哉,0047,0,1,030
01251,呼,0048,0,1,030
01369,問,0049,0,1,030
01427,單,0050,0,1,030
01242,味,0051,0,1,030
01611,因,0052,0,1,031
01873,壁,0053,0,1,032
01674,均,0054,0,1,032
01808,塊,0055,0,1,032
01710,垂,0056,0,1,032
01877,壅,0057,0,1,032
02098,妍,0058,0,1,038
02155,婦,0059,0,1,038
02119,娜,0060,0,1,038
02139,婀,0061,0,1,038
02069,始,0063,0,1,038
02051,妨,0064,0,1,038
02134,娶,0065,0,1,038
02109,娉,0066,0,1,038
02196,嫁,0067,0,1,038
02062,妾,0068,0,1,038
02346,害,0069,0,1,040
02323,官,0070,0,1,040
02361,密,0071,0,1,040
02392,寧,0072,0,1,040
02308,守,0073,0,1,040
02366,富,0074,0,1,040
02446,尚,0075,0,1,042
02508,履,0076,0,1,044
02478,尾,0077,0,1,044
02482,居,0078,0,1,044
02485,屈,0079,0,1,044
02510,屧,0080,0,1,044
02774,左,0081,0,1,048
02855,幃,0082,0,1,050
02799,市,0083,0,1,050
02902,并,0084,0,1,051
03001,廳,0085,0,1,053
03005,延,0086,0,1,054
03032,弋,0087,0,1,056
03066,強,0088,0,1,057
03064,弱,0089,0,1,057
03101,形,0090,0,1,059
03151,從,0091,0,1,060
03208,快,0092,0,1,061
03585,懷,0093,0,1,061
03466,慮,0094,0,1,061
03272,恐,0095,0,1,061
03501,憑,0096,0,1,061
03586,懸,0097,0,1,061
03235,怙,0098,0,1,061
03645,戾,0099,0,1,063
03653,扇,0100,0,1,063
03649,扁,0101,0,1,063
04047,撓,0102,0,1,064
03921,揮,0103,0,1,064
03860,掎,0104,0,1,064
03820,捋,0105,0,1,064
03958,搥,0106,0,1,064
03939,損,0107,0,1,064
03780,持,0108,0,1,064
03851,掃,0109,0,1,064
03898,插,0110,0,1,064
04046,撒,0111,0,1,064
03857,掊,0112,0,1,064
03881,掩,0113,0,1,064
03893,揉,0114,0,1,064
04111,擣,0115,0,1,064
04122,擬,0116,0,1,064
03846,捻,0117,0,1,064
03916,揩,0118,0,1,064
03765,拭,0119,0,1,064
M11797,扚,0120,0,1,064
04303,整,0121,0,1,066
04268,敗,0122,0,1,066
04277,敢,0123,0,1,066
04273,敞,0124,0,1,066
04293,敵,0125,0,1,066
04402,旅,0126,0,1,070
04491,昕,0127,0,1,072
04450,旨,0128,0,1,072
04563,晴,0129,0,1,072
04533,晏,0130,0,1,072
04452,早,0131,0,1,072
04461,旱,0132,0,1,072
04546,晡,0133,0,1,072
04603,暫,0134,0,1,072
04539,晩,0135,0,1,072
04696,朝,0136,0,1,074
04699,期,0137,0,1,074
04679,服,0138,0,1,074
05235,構,0139,0,1,075
05156,楱,0140,0,1,075
04771,杷,0141,0,1,075
04794,析,0142,0,1,075
05274,槽,0143,0,1,075
05361,橘,0144,0,1,075
04780,松,0145,0,1,075
04921,核,0146,0,1,075
05005,梳,0147,0,1,075
04725,朽,0148,0,1,075
