カード番号,漢字,部首番号,字体数,用例数1,用例数2,大字典番号
0001,亂,005,0,,,00121
0002,偏,009,0,,,00411
0003,依,009,0,,,00301
0004,儀,009,0,,,00516
0005,仙,009,0,,,00186
0006,倶,009,0,,,00350
0007,値,009,0,,,00385
0008,令,009,0,,,00193
0009,光,010,0,,,00567
0010,初,018,0,,,00759
0011,割,018,0,,,00820
0012,別,018,0,,,00763
0013,剛,018,0,,,00803
0014,動,019,0,,,00887
0015,北,021,0,,,00941
0016,南,024,0,,,01010
0017,卵,026,0,,,01039
0018,收,029,0,,,04224
0019,同,030,0,,,01174
0020,唯,030,0,,,01349
0021,喜,030,0,,,01412
0022,圍,031,0,,,01641
0023,園,031,0,,,01644
0024,塞,032,0,,,01823
0025,報,032,0,,,01796
0026,墮,032,0,,,01863
0027,地,032,0,,,01666
0028,夢,036,0,,,01943
0029,夷,037,0,,,01961
0030,妙,038,0,,,02045
0031,妄,038,0,,,02033
0032,要,146,0,,,10822
0033,威,038,0,,,02105
0034,字,039,0,,,02267
0035,孤,039,0,,,02277
0036,寫,040,0,,,02396
0037,宗,040,0,,,02322
0038,小,042,0,,,02439
0039,少,042,0,,,02440
0040,差,048,0,,,02780
0041,常,050,0,,,02847
0042,平,051,0,,,02899
0043,幻,052,0,,,02907
0044,廟,053,0,,,02989
0045,廣,053,0,,,02993
0046,弟,057,0,,,03052
0047,影,059,0,,,03116
0048,性,061,0,,,03244
0049,悲,061,0,,,03335
0050,怖,061,0,,,03233
0051,惡,061,0,,,03367
0052,恨,061,0,,,03291
0053,戒,062,0,,,03612
0054,截,062,0,,,03628
0055,或,062,0,,,03617
0056,承,064,0,,,03690
0057,支,065,0,,,04216
0058,捨,064,0,,,03835
0059,掌,064,0,,,03858
0060,擔,064,0,,,04099
0061,敷,066,0,,,04296
0062,敬,066,1,2,,04286
0063,散,066,0,,,04280
0064,昧,072,0,,,04505
0065,暗,072,0,,,04591
0066,明,072,0,,,04485
0067,會,073,0,,,04667
0068,曾,073,0,,,04661
0069,書,073,0,,,04657
0070,本,075,0,,,04713
0071,東,075,0,,,04765
0072,樹,075,0,,,05323
0073,槃,075,0,,,05228
0074,歌,076,0,,,05609
0075,歡,076,0,,,05639
0076,流,085,0,,,06151
0077,洗,085,0,,,06120
0078,濕,085,0,,,06633
0079,涅,085,0,,,06189
0080,涕,085,0,,,06202
0081,消,085,0,,,06192
0082,泣,085,0,,,06087
0083,涙,085,0,,,06253
0084,求,085,0,,,05964
0085,泡,085,0,,,06085
0086,照,086,0,,,06918
0087,獨,094,0,,,07230
0088,狂,094,0,,,07125
0089,狐,094,0,,,07135
0090,異,102,0,,,07530
0091,畏,102,0,,,07503
0092,疑,103,0,,,07559
0093,益,108,0,,,07759
0094,盡,108,0,,,07779
0095,瞋,109,0,,,07878
0096,目,109,0,,,07790
0097,碎,112,0,,,08016
0098,禮,113,0,,,08165
0099,究,116,0,,,08293
0100,竟,117,0,,,08365
0101,筏,118,0,,,08432
0102,維,120,0,,,08879
0103,給,120,0,,,08822
0104,繞,120,0,,,09020
0105,聚,128,0,,,09314
0106,胎,130,0,,,09395
0107,肩,130,0,,,09370
0108,膝,130,0,,,09541
0109,臥,131,0,,,09599
0110,華,140,0,,,09921
0111,荷,140,0,,,09860
0112,袒,145,0,,,10669
0113,西,146,0,,,10820
0114,訖,149,0,,,10912
0115,諍,149,0,,,11051
0116,諦,149,0,,,11072
0117,請,149,0,,,11049
0118,誑,149,0,,,11006
0119,謗,149,0,,,11116
0120,賢,154,0,,,11397
0121,趣,156,0,,,11485
0122,轉,159,0,,,11856
0123,輪,159,0,,,11827
0124,達,162,0,,,12052
0125,逆,162,0,,,11986
0126,還,162,0,,,12108
0127,邪,163,0,,,12139
0128,金,167,0,,,12380
0129,障,170,0,,,12914
0130,隨,170,0,,,12927
0131,難,172,0,,,13002
0132,露,173,0,,,13073
0133,電,173,0,,,13026
0134,靜,174,0,,,13103
0135,音,180,0,,,13281
0136,願,181,0,,,13391
0137,類,181,0,,,13398
0138,飯,184,0,,,13527
0139,餘,184,0,,,13565
0140,驚,187,0,,,13852
0141,高,189,0,,,13940
0142,一,001,1,50,,00001
0143-0144,世,001,1,84,,00025
0145,丘,001,1,4,,00026
0146,七,001,1,9,,00004
0147,下,001,1,2,,00009
0148-0150,不,001,1,120,,00013
0151,上,001,1,3,,00008
0152-0153,三,001,1,81,,00007
0154,中,002,1,13,,00051
0155,乘,004,1,3,,00102
0156,乃,004,1,10,,00078
0157,之,004,1,9,,00088
0158,也,005,1,14,,00109
0159,乞,005,1,2,,00108
0160,九,005,1,3,,00107
0161,事,006,1,2,,00128
0162,五,007,1,8,,00135
0163,二,007,1,24,,00129
0164,云,007,1,37,,00133
0165,亦,008,1,8,,00154
0166-0167,何,009,1,87,,00250
0168-0169,佛,009,1,76,,00255
0170-0171,人,009,1,95,,00168
0172-0173,以,009,1,90,,00194
0174,信,009,1,12,,00345
0175,他,009,1,5,,00183
0176,伏,009,1,4,,00217
0177,付,009,1,2,,00185
0178,今,009,1,4,,00175
0179,住,009,1,22,,00245
0180,但,009,1,3,,00240
0181,供,009,1,4,,00299
0182,優,009,1,2,,00542
0183,僧,009,1,2,,00503
0184,億,009,1,4,,00520
0185,作,009,1,25,,00256
0186,先,010,1,2,,00566
0187,入,011,1,6,,00582
0188,其,012,1,15,,00605
0189,八,012,1,4,,00594
0190,典,012,1,4,,00608
0191,六,012,1,3,,00597
0192,具,012,1,13,,00606
0193,凡,016,1,6,,00701
0194,出,017,1,2,,00723
0195,分,018,1,39,,00734
0196,利,018,1,2,,00767
0197,則,018,1,33,,00789
0198,切,018,1,22,,00735
0199,前,018,1,4,,00794
0200,勝,019,1,6,,00893
0201,功,019,1,9,,00857
0202,劫,019,1,2,,00865
0203,勿,020,1,2,,00919
0204,化,021,1,5,,00938
0205,千,024,1,21,,00987
0206,十,024,1,32,,00985
0207,即,026,1,21,,01049
0208,去,028,1,5,,01101
0209,受,029,1,21,,01128
0210,及,029,1,6,,01111
0211,取,029,1,7,,01127
0212,又,029,1,2,,01108
0213,句,030,1,9,,01143
0214,號,141,1,2,,10276
0215,命,030,1,2,,01252
0216,嚴,030,1,9,,01581
0217,囑,030,1,2,,01600
0218,喩,030,1,3,,01421
0219,善,030,1,40,,01395
0220,味,030,1,4,,01242
0221,含,030,1,8,,01197
0222,哉,030,1,2,,01305
0223,告,030,1,10,,01219
0224,名,030,1,43,,01175
0225,合,030,1,7,,01170
0226,右,030,1,2,,01158
0227,可,030,1,28,,01154
0228,國,031,1,2,,01639
0229,因,031,1,3,,01611
0230,四,031,1,12,,01607
0231,塵,032,1,11,,01831
0232,塔,032,1,2,,01816
0233,土,032,1,6,,01654
0234,城,032,1,2,,01740
0235,坐,032,1,2,,01682
0236,在,032,1,8,,01659
0237,壽,033,1,20,,01913
0238,多,036,1,48,,01938
