統合ID,文字,京博金般,字体数,用例数,部首
00121,亂,0001,0,1,005
00411,偏,0002,0,1,009
00301,依,0003,0,1,009
00516,儀,0004,0,1,009
00186,仙,0005,0,1,009
00350,倶,0006,0,1,009
00385,値,0007,0,1,009
00193,令,0008,0,1,009
00567,光,0009,0,1,010
00759,初,0010,0,1,018
00820,割,0011,0,1,018
00763,別,0012,0,1,018
00803,剛,0013,0,1,018
00887,動,0014,0,1,019
00941,北,0015,0,1,021
01010,南,0016,0,1,024
01039,卵,0017,0,1,026
04224,收,0018,0,1,066
01174,同,0019,0,1,030
01349,唯,0020,0,1,030
01412,喜,0021,0,1,030
01641,圍,0022,0,1,031
01644,園,0023,0,1,031
01823,塞,0024,0,1,032
01796,報,0025,0,1,032
01863,墮,0026,0,1,032
01666,地,0027,0,1,032
01943,夢,0028,0,1,036
01961,夷,0029,0,1,037
02045,妙,0030,0,1,038
02033,妄,0031,0,1,038
10822,要,0032,0,1,146
02105,威,0033,0,1,038
02267,字,0034,0,1,039
02277,孤,0035,0,1,039
02396,寫,0036,0,1,040
02322,宗,0037,0,1,040
02439,小,0038,0,1,042
02440,少,0039,0,1,042
02780,差,0040,0,1,048
02847,常,0041,0,1,050
02899,平,0042,0,1,051
02907,幻,0043,0,1,052
02989,廟,0044,0,1,053
02993,廣,0045,0,1,053
03052,弟,0046,0,1,057
03116,影,0047,0,1,059
03244,性,0048,0,1,061
03335,悲,0049,0,1,061
03233,怖,0050,0,1,061
03367,惡,0051,0,1,061
03291,恨,0052,0,1,061
03612,戒,0053,0,1,062
03628,截,0054,0,1,062
03617,或,0055,0,1,062
03690,承,0056,0,1,064
04216,支,0057,0,1,065
03835,捨,0058,0,1,064
03858,掌,0059,0,1,064
04099,擔,0060,0,1,064
04296,敷,0061,0,1,066
04286,敬,0062,1,2,066
04280,散,0063,0,1,066
04505,昧,0064,0,1,072
04591,暗,0065,0,1,072
04485,明,0066,0,1,072
04667,會,0067,0,1,073
04661,曾,0068,0,1,073
04657,書,0069,0,1,073
04713,本,0070,0,1,075
04765,東,0071,0,1,075
05323,樹,0072,0,1,075
05228,槃,0073,0,1,075
05609,歌,0074,0,1,076
05639,歡,0075,0,1,076
06151,流,0076,0,1,085
06120,洗,0077,0,1,085
06633,濕,0078,0,1,085
06189,涅,0079,0,1,085
06202,涕,0080,0,1,085
06192,消,0081,0,1,085
06087,泣,0082,0,1,085
06253,涙,0083,0,1,085
05964,求,0084,0,1,085
06085,泡,0085,0,1,085
06918,照,0086,0,1,086
07230,獨,0087,0,1,094
07125,狂,0088,0,1,094
07135,狐,0089,0,1,094
07530,異,0090,0,1,102
07503,畏,0091,0,1,102
07559,疑,0092,0,1,103
07759,益,0093,0,1,108
07779,盡,0094,0,1,108
07878,瞋,0095,0,1,109
07790,目,0096,0,1,109
08016,碎,0097,0,1,112
08165,禮,0098,0,1,113
08293,究,0099,0,1,116
08365,竟,0100,0,1,117
08432,筏,0101,0,1,118
08879,維,0102,0,1,120
08822,給,0103,0,1,120
09020,繞,0104,0,1,120
09314,聚,0105,0,1,128
09395,胎,0106,0,1,130
09370,肩,0107,0,1,130
09541,膝,0108,0,1,130
09599,臥,0109,0,1,131
09921,華,0110,0,1,140
09860,荷,0111,0,1,140
10669,袒,0112,0,1,145
10820,西,0113,0,1,146
10912,訖,0114,0,1,149
11051,諍,0115,0,1,149
11072,諦,0116,0,1,149
11049,請,0117,0,1,149
11006,誑,0118,0,1,149
11116,謗,0119,0,1,149
11397,賢,0120,0,1,154
11485,趣,0121,0,1,156
11856,轉,0122,0,1,159
11827,輪,0123,0,1,159
12052,達,0124,0,1,162
11986,逆,0125,0,1,162
12108,還,0126,0,1,162
12139,邪,0127,0,1,163
12380,金,0128,0,1,167
12914,障,0129,0,1,170
12927,隨,0130,0,1,170
13002,難,0131,0,1,172
13073,露,0132,0,1,173
13026,電,0133,0,1,173
13103,靜,0134,0,1,174
13281,音,0135,0,1,180
13391,願,0136,0,1,181
13398,類,0137,0,1,181
13527,飯,0138,0,1,184
13565,餘,0139,0,1,184
13852,驚,0140,0,1,187
13940,高,0141,0,1,189
00001,一,0142,1,50,001
00025,世,0143,1,84,001
00026,丘,0145,1,4,001
00004,七,0146,1,9,001
00009,下,0147,1,2,001
00013,不,0148,1,120,001
00008,上,0151,1,3,001
00007,三,0152,1,81,001
00051,中,0154,1,13,002
00102,乘,0155,1,3,004
00078,乃,0156,1,10,004
00088,之,0157,1,9,004
00109,也,0158,1,14,005
00108,乞,0159,1,2,005
00107,九,0160,1,3,005
00128,事,0161,1,2,006
00135,五,0162,1,8,007
00129,二,0163,1,24,007
00133,云,0164,1,37,007
00154,亦,0165,1,8,008
00250,何,0166,1,87,009
00255,佛,0168,1,76,009
00168,人,0170,1,95,009
00194,以,0172,1,90,009
00345,信,0174,1,12,009
00183,他,0175,1,5,009
00217,伏,0176,1,4,009
00185,付,0177,1,2,009
00175,今,0178,1,4,009
00245,住,0179,1,22,009
00240,但,0180,1,3,009
00299,供,0181,1,4,009
00542,優,0182,1,2,009
00503,僧,0183,1,2,009
00520,億,0184,1,4,009
00256,作,0185,1,25,009
00566,先,0186,1,2,010
00582,入,0187,1,6,011
00605,其,0188,1,15,012
00594,八,0189,1,4,012
00608,典,0190,1,4,012
00597,六,0191,1,3,012
00606,具,0192,1,13,012
00701,凡,0193,1,6,016
00723,出,0194,1,2,017
00734,分,0195,1,39,018
00767,利,0196,1,2,018
00789,則,0197,1,33,018
00735,切,0198,1,22,018
00794,前,0199,1,4,018
00893,勝,0200,1,6,019
00857,功,0201,1,9,019
00865,劫,0202,1,2,019
00919,勿,0203,1,2,020
00938,化,0204,1,5,021
00987,千,0205,1,21,024
00985,十,0206,1,32,024
01049,卽,0207,1,21,026
01101,去,0208,1,5,028
01128,受,0209,1,21,029
01111,及,0210,1,6,029
01127,取,0211,1,7,029
01108,又,0212,1,2,029
01143,句,0213,1,9,030
10276,號,0214,1,2,141
01252,命,0215,1,2,030
01581,嚴,0216,1,9,030
01600,囑,0217,1,2,030
01421,喩,0218,1,3,030
01395,善,0219,1,40,030
01242,味,0220,1,4,030
01197,含,0221,1,8,030
01305,哉,0222,1,2,030
01219,告,0223,1,10,030
01175,名,0224,1,43,030
01170,合,0225,1,7,030
01158,右,0226,1,2,030
01154,可,0227,1,28,030
01639,國,0228,1,2,031
01611,因,0229,1,3,031
01607,四,0230,1,12,031
01831,塵,0231,1,11,032
01816,塔,0232,1,2,032
01654,土,0233,1,6,032
01740,城,0234,1,2,032
01682,坐,0235,1,2,032
01659,在,0236,1,8,032
01913,壽,0237,1,20,033
01938,多,0238,1,48,036
01974,奉,0239,1,3,037
01947,天,0240,1,5,037
01946,大,0241,1,20,037
01949,夫,0242,1,5,037
02022,女,0243,1,13,038
02031,如,0244,1,153,038
02142,婆,0248,1,2,038
02262,子,0249,1,14,039
02357,寂,0250,1,2,040
02325,定,0251,1,2,040
02390,實,0252,1,26,040
02392,寧,0253,1,4,040
02407,寶,0254,1,6,040
02429,尊,0255,1,55,041
02446,尚,0257,1,2,042
02464,就,0258,1,4,043
02473,尼,0259,1,3,044
02528,山,0260,1,2,046
02784,巳,0261,1,5,049
02800,布,0262,1,21,050
02806,希,0263,1,7,050
02946,座,0264,1,2,053
02944,度,0265,1,10,053
03084,彌,0266,1,2,057
03165,微,0267,1,11,060
03128,往,0268,1,3,060
03138,後,0269,1,6,060
03124,彼,0270,1,4,060
03151,從,0271,1,4,060
03172,德,0272,1,27,060
03159,復,0273,1,14,060
03145,得,0274,1,57,060
03550,應,0276,1,33,061
03312,悉,0277,1,8,061
03297,恭,0278,1,2,061
03179,心,0279,1,40,061
03373,想,0280,1,4,061
03395,意,0281,1,30,061
03214,念,0282,1,20,061
03267,恆,0283,1,14,061
03462,慧,0284,1,5,061
03184,忍,0285,1,4,061
03239,思,0286,1,8,061
03611,我,0287,1,65,062
03610,成,0289,1,5,062
01783,提,0290,1,166,032
03780,持,0294,1,24,064
04009,摩,0295,1,2,064
03855,授,0296,1,2,064
04243,故,0297,1,59,066
04261,教,0299,1,2,066
04381,斷,0300,1,3,069
04373,斯,0301,1,4,069
04385,方,0302,1,2,070
04389,於,0303a,2,63,070
04389b,於,0303b,2,3,070
04391,施,0305,1,21,070
04512,是,0306,1,163,072
04523,時,0310,1,11,072
04490,昔,0311,1,4,072
04446,日,0312,1,4,072
04569,智,0313,1,2,072
04664,最,0314,1,3,073
04674,有,0315,1,95,074
04712,末,0317,1,2,075
04806,果,0318,1,4,075
05279,樂,0319,1,4,075
04922,根,0320,1,2,075
05152,業,0321,1,3,075
04711,未,0322,1,3,075
05580,欲,0323,1,3,076
05558,次,0324,1,5,076
05644,此,0325,1,23,077
05643,正,0326,1,3,077
05666,歳,0327,1,2,077
05841,比,0328,1,5,081
06272,淨,0329,1,6,085
06476,滿,0330,1,5,085
05983,汝,0331,1,12,085
06432,滅,0332,1,13,085
06074,法,0333,1,79,085
06086,波,0335,1,10,085
06045,河,0336,1,14,085
06031,沙,0337,1,16,085
06058,況,0338,1,4,085
06144,洹,0339,1,4,085
