カード番号,文字,部首,字体数,用例数１,用例数２,用例数３,大字典
0001,且,001,0,,,,00020
0002,主,003,0,,,,00070
0003,交,008,0,,,,00152
0004,亡,008,0,,,,00150
0005,停,009,0,,,,00417
0006,侶,009,0,,,,00316
0007,供,009,0,,,,00299
0008,仰,009,0,,,,00199
0009,例,009,0,,,,00287
0010,免,010,0,,,,00570
0011,充,010,0,,,,00562
0012,元,010,0,,,,00560
0013,兜,010,0,,,,00579
0014,兼,012,0,,,,00613
0015,冠,014,0,,,,00646
0017,勢,019,0,,,,00898
0018,勿,020,0,,,,00919
0019,北,021,0,,,,00941
0020,南,024,0,,,,01010
0021,印,026,0,,,,01034
0022,卵,026,0,,,,01039
0023,含,030,0,,,,01197
0024,喪,030,0,,,,01430
0025,告,030,0,,,,01219
0026,叩,030,0,,,,01146
0027,只,030,0,,,,01147
0028,墮,032,0,,,,01863
0029,城,032,0,,,,01740
0030,壽,033,0,,,,01913
0031,夢,036,0,,,,01943
0032,夷,037,0,,,,01961
0033,委,038,0,,,,02078
0034,娑,038,0,,,,02110
0035,存,039,0,,,,02268
0036,孤,039,0,,,,02277
0037,宜,040,0,,,,02327
0038,家,040,0,,,,02349
0039,寛,040,0,,,,02397
0040,宿,040,0,,,,02355
0041,導,041,0,,,,02436
0042,射,041,0,,,,02422
0043,02505,044,0,,,,02505
0044,展,044,0,,,,02496
0045,山,046,0,,,,02528
0046,庠,053,0,,,,02939
0047,弓,057,0,,,,03042
0048,彎,057,0,,,,03086
0049,御,060,0,,,,03153
0050,恩,061,0,,,,03292
0051,怨,061,0,,,,03245
0052,憂,061,0,,,,03486
0053,患,061,0,,,,03329
0054,憎,061,0,,,,03497
0055,恭,061,0,,,,03297
0056,悟,061,0,,,,03326
0057,憶,061,0,,,,03534
0058,悦,061,0,,,,03309
0059,慮,061,0,,,,03466
0060,悶,061,0,,,,03339
0061,懸,061,0,,,,03586
0062,戴,062,0,,,,03638
0063,授,064,0,,,,03855
0064,03927,064,0,,,,03927
0065,指,064,0,,,,03783
0066,摩,064,0,,,,04009
0067,拳,064,0,,,,03770
0068,04091,064,0,,,,04091
0069,摶,064,0,,,,04019
0070,支,065,0,,,,04216
0071,收,066,0,,,,04224
0072,放,066,0,,,,04233
0073,散,066,0,,,,04280
0074,敗,066,0,,,,04268
0075,新,069,0,,,,04376
0076,斯,069,0,,,,04373
0077,旋,070,0,,,,04406
0078,昇,072,0,,,,04480
0079,曜,072,0,,,,04636
0080,條,075,0,,,,04984
0081,横,075,0,,,,05381
0082,梵,075,0,,,,05010
0083,枝,075,0,,,,04807
0084,林,075,0,,,,04803
0085,枯,075,0,,,,04813
0086,權,075,0,,,,05529
0087,段,079,0,,,,05792
0088,母,080,0,,,,05834
0089,毛,082,0,,,,05850
0090,濁,085,0,,,,06617
0091,沈,085,0,,,,06015
0092,源,085,0,,,,06396
0093,洗,085,0,,,,06120
0094,滯,085,0,,,,06462
0095,泡,085,0,,,,06085
0096,浮,085,0,,,,06175
0097,浴,085,0,,,,06179
0098,沙,085,0,,,,06031
0099,演,085,0,,,,06490
0100,濟,085,0,,,,06641
0101,06974,086,0,,,,06974
0102,煙,086,0,,,,06901
0103,燈,086,0,,,,06971
0104,06825,086,0,,,,06825
0105,焔,086,2,1,1,,06882
0107,炎,086,0,,,,06801
0108,獄,094,0,,,,07212
0109,率,095,0,,,,07259
0110,田,102,0,,,,07478
0111,畜,102,0,,,,07513
0112,留,102,0,,,,07508
0113,疑,103,0,,,,07559
0115,疾,104,0,,,,07591
0116,貌,153,0,,,,11311
0117,皮,107,0,,,,07739
0118,盛,108,0,,,,07770
0119,省,109,0,,,,07807
0120,睡,109,0,,,,07860
0121,直,109,0,,,,07799
0122,瞿,109,0,,,,07910
0123,眷,109,0,,,,07839
0124,短,111,0,,,,07948
0125,石,112,0,,,,07954
0126,碓,112,0,,,,08022
0127,稱,115,0,,,,08248
0128,穢,115,0,,,,08279
0129,稠,115,0,,,,08239
0130,童,117,0,,,,08371
0131,糞,119,0,,,,08711
0132,箭,118,0,,,,08479
0133,簡,118,0,,,,08569
0134,給,120,0,,,,08822
0135,結,120,0,,,,08807
0136,綺,120,0,,,,08894
0137,絡,120,0,,,,08817
0138,綱,120,0,,,,08884
0139,索,120,0,,,,08767
0140,羞,123,0,,,,09168
0141,羣,123,0,,,,09175
0142,翻,124,2,1,1,,09243
0143,翳,124,0,,,,09238
0144,翫,124,0,,,,09232
0145,耨,127,0,,,,09286
0146,耳,128,0,,,,09290
0147,恥,061,0,,,,03289
0148,職,128,0,,,,09332
0149,良,138,0,,,,09714
0150,蕩,140,0,,,,10123
0151,薄,140,0,,,,10139
0152,芭,140,0,,,,09754
0153,薪,140,0,,,,10164
0154,蕉,140,0,,,,10097
0155,藐,140,0,,,,10192
0156,裏,145,0,,,,10703
0157,議,149,0,,,,11195
0158,護,149,0,,,,11200
0159,該,149,0,,,,10987
0160,豫,152,0,,,,11283
0161,象,152,0,,,,11275
0162,貪,154,0,,,,11342
0163,超,156,0,,,,11467
0164,跪,157,0,,,,11542
0165,車,159,0,,,,11740
0166,載,159,0,,,,11795
0167,輕,159,0,,,,11802
0168,辟,160,0,,,,11898
0169,辯,160,0,,,,11916
0170,速,162,0,,,,12003
0171,連,162,0,,,,12010
0172,追,162,0,,,,11979
0173,逢,162,0,,,,12009
0174,運,162,0,,,,12043
0175,逝,162,0,,,,12001
0176,迥,162,0,,,,11958
0177,遲,162,0,,,,12087
0178,逼,162,0,,,,12030
0179,部,163,0,,,,12176
0180,都,163,0,,,,12188
0181,邪,163,0,,,,12139
0182,醉,164,0,,,,12313
0183,重,166,0,,,,12373
0184,錠,167,0,,,,12516
0185,鎌,167,0,,,,12568
0186,銀,167,0,,,,12451
0187,録,167,0,,,,12499
0188,闡,169,0,,,,12795
0189,闕,169,0,,,,12783
0190,闥,169,0,,,,12800
0191,鄰,163,0,,,,12234
0192,陽,170,0,,,,12876
0193,降,170,0,,,,12838
0194,雙,172,0,,,,12994
0195,雲,173,0,,,,13020
0196,露,173,0,,,,13073
0197,雹,173,0,,,,13024
