統合ID,文字,華厳孔目,字体数,用例数,部首
00020,且,0001,0,1,001
00070,主,0002,0,1,003
00152,交,0003,0,1,008
00150,亡,0004,0,1,008
00417,停,0005,0,1,009
00316,侶,0006,0,1,009
00299,供,0007,0,1,009
00199,仰,0008,0,1,009
00287,例,0009,0,1,009
00570,免,0010,0,1,010
00562,充,0011,0,1,010
00560,元,0012,0,1,010
00579,兜,0013,0,1,010
00613,兼,0014,0,1,012
00646,冠,0015,0,1,014
00898,勢,0017,0,1,019
00919,勿,0018,0,1,020
00941,北,0019,0,1,021
01010,南,0020,0,1,024
01034,印,0021,0,1,026
01039,卵,0022,0,1,026
01197,含,0023,0,1,030
01430,喪,0024,0,1,030
01219,告,0025,0,1,030
01146,叩,0026,0,1,030
01147,只,0027,0,1,030
01863,墮,0028,0,1,032
01740,城,0029,0,1,032
01913,壽,0030,0,1,033
01943,夢,0031,0,1,036
01961,夷,0032,0,1,037
02078,委,0033,0,1,038
02110,娑,0034,0,1,038
02268,存,0035,0,1,039
02277,孤,0036,0,1,039
02327,宜,0037,0,1,040
02349,家,0038,0,1,040
02397,寬,0039,0,1,040
02355,宿,0040,0,1,040
02436,導,0041,0,1,041
02422,射,0042,0,1,041
02505,屣,0043,0,1,044
02496,展,0044,0,1,044
02528,山,0045,0,1,046
02939,庠,0046,0,1,053
03042,弓,0047,0,1,057
03086,彎,0048,0,1,057
03153,御,0049,0,1,060
03292,恩,0050,0,1,061
03245,怨,0051,0,1,061
03486,憂,0052,0,1,061
03329,患,0053,0,1,061
03497,憎,0054,0,1,061
03297,恭,0055,0,1,061
03326,悟,0056,0,1,061
03534,憶,0057,0,1,061
03309,悦,0058,0,1,061
03466,慮,0059,0,1,061
03339,悶,0060,0,1,061
03586,懸,0061,0,1,061
03638,戴,0062,0,1,062
03855,授,0063,0,1,064
03927,揵,0064,0,1,064
03783,指,0065,0,1,064
04009,摩,0066,0,1,064
03770,拳,0067,0,1,064
04091,擎,0068,0,1,064
04019,摶,0069,0,1,064
04216,支,0070,0,1,065
04224,收,0071,0,1,066
04233,放,0072,0,1,066
04280,散,0073,0,1,066
04268,敗,0074,0,1,066
04376,新,0075,0,1,069
04373,斯,0076,0,1,069
04406,旋,0077,0,1,070
04480,昇,0078,0,1,072
04636,曜,0079,0,1,072
04984,條,0080,0,1,075
05381,橫,0081,0,1,075
05010,梵,0082,0,1,075
04807,枝,0083,0,1,075
04803,林,0084,0,1,075
04813,枯,0085,0,1,075
05529,權,0086,0,1,075
05792,段,0087,0,1,079
05834,母,0088,0,1,080
05850,毛,0089,0,1,082
06617,濁,0090,0,1,085
06015,沈,0091,0,1,085
06396,源,0092,0,1,085
06120,洗,0093,0,1,085
06462,滯,0094,0,1,085
06085,泡,0095,0,1,085
06175,浮,0096,0,1,085
06179,浴,0097,0,1,085
06031,沙,0098,0,1,085
06490,演,0099,0,1,085
06641,濟,0100,0,1,085
06974,燋,0101,0,1,086
06901,煙,0102,0,1,086
06971,燈,0103,0,1,086
06825,炷,0104,0,1,086
06882,焰,0105a,2,1,086
06882b,焰,0105b,2,1,086
06801,炎,0107,0,1,086
07212,獄,0108,0,1,094
07259,率,0109,0,1,095
07478,田,0110,0,1,102
07513,畜,0111,0,1,102
07508,留,0112,0,1,102
07559,疑,0113,0,1,103
07591,疾,0115,0,1,104
11311,貌,0116,0,1,153
07739,皮,0117,0,1,107
07770,盛,0118,0,1,108
07807,省,0119,0,1,109
07860,睡,0120,0,1,109
07799,直,0121,0,1,109
07910,瞿,0122,0,1,109
07839,眷,0123,0,1,109
07948,短,0124,0,1,111
07954,石,0125,0,1,112
08022,碓,0126,0,1,112
08248,稱,0127,0,1,115
08279,穢,0128,0,1,115
08239,稠,0129,0,1,115
08371,童,0130,0,1,117
08711,糞,0131,0,1,119
08479,箭,0132,0,1,118
08569,簡,0133,0,1,118
08822,給,0134,0,1,120
08807,結,0135,0,1,120
08894,綺,0136,0,1,120
08817,絡,0137,0,1,120
08884,綱,0138,0,1,120
08767,索,0139,0,1,120
09168,羞,0140,0,1,123
09175,羣,0141,0,1,123
09243,翻,0142a,2,1,124
09243b,翻,0142b,2,1,124
09238,翳,0143,0,1,124
09232,翫,0144,0,1,124
09286,耨,0145,0,1,127
09290,耳,0146,0,1,128
03289,恥,0147,0,1,061
09332,職,0148,0,1,128
09714,良,0149,0,1,138
10123,蕩,0150,0,1,140
10139,薄,0151,0,1,140
09754,芭,0152,0,1,140
10164,薪,0153,0,1,140
10097,蕉,0154,0,1,140
10192,藐,0155,0,1,140
10703,裏,0156,0,1,145
11195,議,0157,0,1,149
11200,護,0158,0,1,149
10987,該,0159,0,1,149
11283,豫,0160,0,1,152
11275,象,0161,0,1,152
11342,貪,0162,0,1,154
11467,超,0163,0,1,156
11542,跪,0164,0,1,157
11740,車,0165,0,1,159
11795,載,0166,0,1,159
11802,輕,0167,0,1,159
11898,辟,0168,0,1,160
11916,辯,0169,0,1,160
12003,速,0170,0,1,162
12010,連,0171,0,1,162
11979,追,0172,0,1,162
12009,逢,0173,0,1,162
12043,運,0174,0,1,162
12001,逝,0175,0,1,162
11958,迥,0176,0,1,162
12087,遲,0177,0,1,162
12030,逼,0178,0,1,162
12176,部,0179,0,1,163
12188,都,0180,0,1,163
12139,邪,0181,0,1,163
12313,醉,0182,0,1,164
12373,重,0183,0,1,166
12516,錠,0184,0,1,167
12568,鎌,0185,0,1,167
12451,銀,0186,0,1,167
12499,錄,0187,0,1,167
12795,闡,0188,0,1,169
12783,闕,0189,0,1,169
12800,闥,0190,0,1,169
12234,鄰,0191,0,1,163
12876,陽,0192,0,1,170
12838,降,0193,0,1,170
12994,雙,0194,0,1,172
13020,雲,0195,0,1,173
13073,露,0196,0,1,173
13024,雹,0197,0,1,173
13325,頗,0198,0,1,181
13346,頭,0199,0,1,181
13348,頰,0200,0,1,181
13296,頂,0201,0,1,181
13508,飢,0203,0,1,184
13526,飮,0204,0,1,184
13729,駛,0205,0,1,187
14621,鹿,0206,0,1,198
14700,黎,0207,0,1,202
14730,黨,0208,0,1,203
14876,龍,0209,0,1,212
14887,龜,0210,0,1,213
00006,丈,0211,1,2,001
00001,一,0212,1,291,001
00007,三,0218,1,179,001
00008,上,0222,1,64,001
00004,七,0224,1,39,001
00009,下,0225,1,22,001
00025,世,0226,1,80,001
00013,不,0228,1,299,001
00051,中,0234,1,81,002
00085,久,0236,1,3,004
00088,之,0237,1,118,004
00078,乃,0240,1,28,004
00107,九,0241,1,25,005
00109,也,0242,1,63,005
00125,了,0244,1,27,006
00134,互,0245,1,20,007
00135,五,0246,1,74,007
00129,二,0248,1,129,007
00133,云,0251,1,76,007
00154,亦,0253,1,59,008
00245,住,0255,1,43,009
00183,他,0256,1,8,009
00256,作,0257,1,60,009
00194,以,0259,1,125,009
00282,來,0262,1,47,009
00301,依,0263,1,99,009
00279,使,0265,1,3,009
00230,伴,0266,1,2,009
00236,伽,0267,1,10,009
00216,伎,0268,1,3,009
00516,儀,0269,1,13,009
00240,但,0270,1,16,009
00503,僧,0271,1,6,009
00350,倶,0272,1,25,009
00250,何,0273,1,135,009
00520,億,0276,1,3,009
00203,件,0277,1,17,009
00321,便,0278,1,11,009
00177,仍,0279,1,5,009
00338,俗,0280,1,7,009
00255,佛,0281,1,68,009
00345,信,0283,1,4,009
00217,伏,0284,1,3,009
00373,倒,0285,1,5,009
00406,偈,0286,1,4,009
00243,位,0287,1,32,009
00235,似,0288,1,15,009
00168,人,0289,1,39,009
00193,令,0290,1,15,009
09462,脩,0291,1,21,130
00567,光,0292,1,6,010
00574,兒,0293,1,2,010
00566,先,0294,1,8,010
00582,入,0295,1,20,011
00585,内,0296,1,21,011
00591,兩,0297,1,3,011
00599,共,0298,1,14,012
00594,八,0299,1,47,012
00597,六,0300,1,58,012
00605,其,0302,1,103,012
00606,具,0305,1,25,012
00678,准,0306,1,26,015
00672,冷,0307,1,2,015
00723,出,0308,1,26,017
00763,別,0309,1,153,018
00735,切,0313,1,75,018
00792,剋,0315,1,2,018
00781,刹,0316,1,5,018
00754,列,0317,1,3,018
00794,前,0318,1,22,018
00761,判,0319,1,3,018
00734,分,0320,1,115,018
00759,初,0323,1,50,018
00789,則,0324,1,5,018
00776,制,0325,1,5,018
00767,利,0326,1,3,018
00856,力,0327,1,6,019
00887,動,0328,1,7,019
00858,加,0329,1,3,019
00859,劣,0330,1,2,019
00865,劫,0331,1,3,019
00857,功,0332,1,4,019
00938,化,0333,1,16,021
00985,十,0334,1,122,024
00987,千,0337,1,8,024
01040,卷,0338,1,2,026
01049,卽,0339,1,195,026
01074,原,0343,1,4,027
01101,去,0344,1,20,028
01108,又,0345,1,40,029
01111,及,0346,1,70,029
01127,取,0348,1,21,029
01128,受,0349,1,70,029
01175,名,0351,1,131,030
01170,合,0354,1,11,030
01174,同,0355,1,66,030
01581,嚴,0357,1,4,030
01369,問,0358,1,33,030
01141,口,0359,1,7,030
01154,可,0360,1,65,030
01296,品,0362,1,11,030
01395,善,0363,1,37,030
01263,和,0364,1,5,030
01421,喩,0365,1,3,030
01523,器,0366,1,3,030
01143,句,0367,1,6,030
01242,味,0368,1,3,030
01252,命,0369,1,8,030
01179,向,0370,1,13,030
01349,唯,0371,1,70,030
01168,各,0373,1,15,030
01607,四,0374,1,93,031
01611,因,0376,1,148,031
01645,圓,0379,1,23,031
01654,土,0380,1,31,032
01789,堪,0381,1,3,032
01726,垢,0382,1,4,032
01895,壞,0383,1,10,032
01839,境,0384,1,57,032
01666,地,0386,1,35,032
01755,執,0387,1,30,032
01831,塵,0388,1,11,032
01659,在,0389,1,51,032
01767,堅,0391,1,12,032
01853,增,0392,1,25,032
01903,士,0393,1,2,033
01938,多,0394,1,8,036
01934,外,0395,1,34,036
01947,天,0396,1,14,037
01949,夫,0397,1,15,037
01946,大,0398,1,35,037
01957,失,0399,1,3,037
02022,女,0400,1,6,038
02051,妨,0401,1,2,038
02142,婆,0402,1,3,038
02069,始,0403,1,17,038
02031,如,0404,1,247,038
02045,妙,0409,1,9,038
02262,子,0410,1,37,039
02293,學,0411,1,4,039
02267,字,0412,1,5,039
02407,寶,0413,1,8,040
02390,實,0414,1,80,040
02352,容,0416,1,3,040
02308,守,0417,1,3,040
02358,寄,0418,1,4,040
02357,寂,0419,1,19,040
02361,密,0420,1,5,040
02346,害,0421,1,2,040
02331,客,0422,1,4,040
02383,察,0423,1,5,040
02395,審,0424,1,5,040
02322,宗,0425,1,8,040
02325,定,0426,1,48,040
02430,尋,0427,1,3,041
02435,對,0428,1,30,041
02429,尊,0429,1,5,041
02425,將,0430,1,2,041
02439,小,0431,1,47,042
02440,少,0432,1,4,042
02515,屬,0433,1,9,044
02480,局,0434,1,5,044
02482,居,0435,1,2,044
02773,工,0436,1,2,048
02780,差,0437,1,44,048
02775,巧,0438,1,7,048
02847,常,0439,1,13,050
02835,師,0440,1,4,050
02806,希,0441,1,2,050
02897,干,0442,1,2,051
02902,并,0443,1,9,051
02899,平,0444,1,4,051
02915,幾,0445,1,2,052
02907,幻,0446,1,5,052
02944,度,0447,1,4,053
02993,廣,0448,1,23,053
03006,建,0449,1,37,054
03012,弁,0450,1,2,055
03037,式,0451,1,2,056
03084,彌,0452,1,2,057
03044,引,0453,1,21,057
03101,形,0454,1,7,059
03157,徧,0455a,2,13,060
03157b,徧,0455b,2,3,060
03165,微,0456,1,10,060
03151,從,0457,1,28,060
03124,彼,0458,1,53,060
03172,德,0460,1,11,060
03159,復,0461,1,32,060
03138,後,0462,1,10,060
03132,待,0463,1,5,060
03145,得,0464,1,107,060
03355,惑,0467,1,4,061
03335,悲,0468,1,3,061
03365,惟,0469,1,3,061
03179,心,0470,1,96,061
03180,必,0472,1,6,061
03395,意,0473,1,56,061
03373,想,0475,1,19,061
03214,念,0476,1,9,061
03372,惱,0477,1,15,061
03366,惠,0478,1,3,061
03462,慧,0479,1,16,061
03244,性,0480,1,107,061
03550,應,0483,1,71,061
03312,悉,0485,1,10,061
03184,忍,0486,1,2,061
03239,思,0487,1,7,061
03404,愚,0488,1,21,061
03409,感,0489,1,7,061
03405,愛,0490,1,38,061
03458,慢,0491,1,3,061
03267,恆,0492,1,4,061
03233,怖,0493,1,2,061
03272,恐,0494,1,2,061
03367,惡,0495,1,8,061
03298,息,0496,1,4,061
03595,戀,0497,1,2,061
M10661,悕,0498,1,2,061
03611,我,0499,1,58,062
03610,成,0501,1,155,062
03617,或,0505,1,35,062
03612,戒,0506,1,3,062
03636,戲,0507,1,9,062
03647,所,0508,1,178,063
03758,招,0512,1,3,064
03780,持,0513,1,12,064
03880,推,0514,1,3,064
03835,捨,0515,1,10,064
04106,據,0516,1,22,064
03939,損,0517,1,2,064
04085,擇,0518,1,13,064
04192,攝,0519,1,63,064
03896,提,0521,1,8,064
03711,折,0522,1,2,064
03750,拔,0523,1,2,064
04099,擔,0524,1,10,064
08993,總,0525,1,9,120
03708,投,0526,1,2,064
04243,故,0527,1,354,066
04286,敬,0535,1,4,066
04298,數,0536,1,18,066
04261,教,0537,1,143,066
04321,文,0540,1,27,067
04381,斷,0541,1,29,069
04385,方,0542,1,37,070
04389,於,0543,1,55,070
04391,施,0545,1,2,070
04442,旣,0546,1,4,071
04512,是,0547,1,261,072
04523,時,0553,1,43,072
04569,智,0554,1,61,072
04489,易,0556,1,6,072
04557,普,0557,1,24,072
04621,曇,0558,1,2,072
04603,暫,0559,1,2,072
04505,昧,0560,1,8,072
04485,明,0561,1,65,072
04661,曾,0563,1,3,073
04654,更,0564,1,11,073
04664,最,0565,1,10,073
04650,曰,0566,1,7,073
04674,有,0567,1,256,074
04693,望,0573,1,20,074
04848,染,0574,1,50,075
04713,本,0575,1,55,075
04712,末,0577,1,41,075
04711,未,0578,1,28,075
05279,樂,0579,1,14,075
05368,機,0580,1,5,075
04738,材,0581,1,2,075
04750,束,0582,1,2,075
05161,極,0583,1,6,075
04922,根,0584,1,20,075
04806,果,0585,1,74,075
04993,梨,0587,1,5,075
05138,楞,0588,1,6,075
05152,業,0589,1,52,075
05612,歎,0591,1,2,076
05580,欲,0592,1,27,076
05558,次,0593,1,17,076
05641,止,0594,1,20,077
05643,正,0595,1,32,077
05676,歸,0596,1,6,077
05644,此,0597,1,134,077
05686,死,0600,1,19,078
05717,殊,0601,1,2,078
05845,毗,0603,1,3,081
05841,比,0604,1,4,081
05947,氣,0605,1,6,084
06074,法,0606,1,231,085
06189,涅,0611,1,7,085
05964,求,0612,1,10,085
06338,渴,0613,1,2,085
06272,淨,0614,1,57,085
06432,滅,0616,1,85,085
06182,海,0618,1,34,085
06003,決,0619a,2,10,085
06003b,決,0619b,2,1,085
06151,流,0620,1,14,085
06499,漢,0621,1,8,085
06055,治,0622,1,7,085
06313,減,0623,1,5,085
05957,永,0624,1,3,085
06039,沫,0625,1,2,085
06290,清,0626,1,15,085
06476,滿,0627,1,4,085
06487,漏,0628,1,10,085
06292,淺,0629,1,5,085
05983,汝,0630,1,2,085
06285,深,0631,1,12,085
05979,汙,0632,1,11,085
06086,波,0633,1,2,085
06517,漸,0634,1,12,085
06633,濕,0635,1,3,085
05952,水,0636,1,5,085
06872,無,0637,1,349,086
06776,火,0644,1,2,086
06921,煩,0645,1,14,086
06885,然,0646,1,9,086
06918,照,0647,1,15,086
06949,熟,0648,1,26,086
06941,熏,0649,1,58,086
07032,爲,0651,1,186,087
07043,爾,0655,1,20,089
07080,物,0656,1,5,093
01088,厭,0657,1,2,027
07203,猶,0658,1,5,094
07230,獨,0659,1,9,094
07262,王,0660,1,10,096
07307,理,0661,1,55,096
07304,現,0663,1,20,096
07345,瑜,0664,1,3,096
07291,珠,0665,1,3,096
07457,甚,0666,1,3,099
07461,生,0667,1,192,100
07479,由,0671,1,55,102
07503,畏,0673,1,2,102
07501,界,0674,1,165,102
07530,異,0678,1,41,102
07522,略,0679,1,11,102
07520,畢,0680,1,3,102
07483,男,0681,1,3,102
07535,當,0682,1,48,102
07685,癡,0683,1,2,104
07598,病,0684,1,3,104
07717,皆,0685,1,26,106
07709,白,0686,1,3,106
07710,百,0687,1,6,106
07759,益,0688,1,4,108
07785,盧,0689,1,2,108
07779,盡,0690,1,30,108
07790,目,0691,1,11,109
07801,相,0692,1,169,109
07843,眼,0696,1,13,109
07828,眠,0697,1,3,109
07827,眞,0698,1,67,109
07941,知,0700,1,113,111
07986,破,0703,1,3,112
08077,礙,0704,1,6,112
08097,示,0705,1,2,113
08165,禮,0706,1,42,113
08107,祇,0707,1,2,113
08148,福,0708,1,3,113
08116,祕,0709,1,6,113
08162,禪,0710,1,2,113
08244,種,0711,1,127,115
08269,積,0714,1,6,115
08195x,秖,0715,1,2,115
08293,究,0716,1,21,116
08296,空,0717,1,39,116
08329,窮,0718,1,6,116
08365,竟,0719,1,23,117
08361,竝,0720,1,20,117
08354,立,0721,1,51,117
08366,章,0723,1,24,117
08412,第,0724,1,48,118
08426,等,0725,1,150,118
08809,絶,0728,1,3,120
08795,終,0729a,2,20,120
08795b,終,0729b,2,6,120
08753,純,0730,1,2,120
09061,續,0731,1,10,120
08738,約,0732,1,47,120
09030,繋,0733,1,4,120
08840,絹,0734,1,2,120
08924,緣,0735,1,93,120
08856,經,0737,1,33,120
08779,細,0738,1,13,120
08885,網,0739,1,3,120
09125,罪,0740,1,2,122
09144,羅,0741,1,14,122
09177,義,0742,1,185,123
09214,習,0746,1,32,124
09255,者,0747,1,202,125
09250,老,0752,1,2,125
09264,而,0753,1,18,126
09292,耶,0754,1,73,128
09315,聞,0756,1,30,128
09308,聖,0757,1,19,128
09348,肉,0758,1,2,130
09429,能,0759,1,63,130
09463,脱,0761,1,7,130
09395,胎,0762,1,4,130
09370,肩,0763,1,4,130
09601,臨,0764,1,2,131
09602,自,0765,1,60,132
09610,至,0767,1,30,133
09632,擧,0768,1,11,134
09629,與,0769,1,55,134
09630,興,0771,1,3,134
09633,舊,0772,1,2,134
09638,舍,0773,1,2,135
09716,色,0774,1,66,139
08437,答,0776,1,33,118
10163,薩,0777,1,19,140
09860,荷,0778,1,8,140
09869,莊,0779,1,2,140
09972,著,0780,1,12,140
M31904,蕂,0781,1,2,140
10229,蘆,0782,1,2,140
09786,苣,0783,1,2,140
09954,萬,0784,1,3,140
10050,蓮,0785,1,4,140
10232,蘊,0786,1,48,140
09921,華,0787,1,11,140
09886,莫,0788,1,2,140
10191,藏,0789,1,32,140
09919,菩,0790,1,27,140
09789,苦,0791,1,64,140
09788,若,0793,1,138,140
10272,虛,0796,1,15,141
10270,處,0797,1,50,141
10276,號,0798,1,7,141
10500,融,0799,1,6,142
07844,眾,0800,1,39,109
10614,行,0801,1,56,144
10643,表,0803,1,4,145
10637,衣,0804,1,8,145
10683,被,0805,1,3,145
10820,西,0806,1,2,146
10826,覆,0807,1,4,146
10822,要,0808,1,2,146
10848,親,0809,1,6,147
10859,觀,0810,1,14,147
10856,覺,0811,1,23,147
10831,見,0812,1,47,147
10860,角,0813,1,5,148
10887,觸,0814,1,2,148
10890,言,0815,1,26,149
11155,證,0816,1,26,149
04319,變,0817,1,16,066
11017,語,0818,1,5,149
10896,計,0819,1,9,149
11072,諦,0820,1,53,149
10928,設,0822,1,4,149
10930,許,0823,1,2,149
11095,謂,0824,1,136,149
11025,説,0827,1,127,149
11171,識,0830,1,297,149
11038,調,0836,1,3,149
11058,論,0837,1,63,149
11085,諸,0839,1,110,149
10983,詮,0842,1,9,149
10936,訶,0843,1,3,149
