カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,大字典
0001,丈,001,0,,,,00006
0002,乘,004,0,,,,00102
0003,傷,009,0,,,,00473
0004,乏,004,0,,,,00093
0005,價,009,0,,,,00513
0006,伎,009,0,,,,00216
0007,儻,009,0,,,,00554
0008,億,009,0,,,,00520
0009,償,009,0,,,,00539
0010,假,009,0,,,,00405
0011,傴,009,0,,,,00470
0012,倦,009,0,,,,00387
0013,偈,009,0,,,,00406
0014,優,009,0,,,,00542
0015,充,010,0,,,,00562
0016,入,011,0,,,,00582
0017,兩,011,0,,,,00591
0018,兵,012,0,,,,00602
0019,凡,016,0,,,,00701
0020,劇,018,0,,,,00838
0021,務,019,0,,,,00890
0022,卷,026,0,,,,01040
0023,即,026,0,,,,01049
0024,厄,027,0,,,,01058
0025,反,029,0,,,,01116
0026,取,029,0,,,,01127
0027,吾,030,0,,,,01217
0028,口,030,0,,,,01141
0029,呪,030,0,,,,01236
0030,同,030,0,,,,01174
0031,呼,030,0,,,,01251
0032,喩,030,0,,,,01421
0033,困,031,0,,,,01623
0034,境,032,0,,,,01839
0035,塵,032,0,,,,01831
0036,01825,032,0,,,,01825
0037,堅,032,0,,,,01767
0038,増,032,0,,,,01853
0039,外,036,0,,,,01934
0040,夷,037,0,,,,01961
0041,太,037,0,,,,01948
0042,奪,037,0,,,,02013
0043,富,040,0,,,,02366
0044,容,040,0,,,,02352
0045,家,040,0,,,,02349
0046,寄,040,0,,,,02358
0047,寸,041,0,,,,02413
0048,寺,041,0,,,,02415
0049,尋,041,0,,,,02430
0050,尼,044,0,,,,02473
0051,屈,044,0,,,,02485
0052,M08420,046,0,,,,
0053,嶽,046,0,,,,02737
0054,巷,049,0,,,,02792
0055,幾,052,0,,,,02915
0056,座,053,0,,,,02946
0057,度,053,0,,,,02944
0058,康,053,0,,,,02962
0059,延,054,0,,,,03005
0060,弊,055,0,,,,03027
0061,後,060,0,,,,03138
0062,役,060,0,,,,03123
0063,往,060,0,,,,03128
0064,微,060,0,,,,03165
0065,慢,061,0,,,,03458
0066,應,061,0,,,,03550
0067,怒,061,0,,,,03229
0068,惰,061,0,,,,03371
0069,慙,061,0,,,,03453
0070,慳,061,0,,,,03471
0071,悲,061,0,,,,03335
0072,懶,061,0,,,,03584
0073,恤,061,0,,,,03288
0074,03504,061,0,,,,03504
0075,愚,061,0,,,,03404
0076,03491,061,0,,,,03491
0077,悵,061,0,,,,03338
0078,情,061,0,,,,03348
0079,悔,061,0,,,,03320
0080,截,062,0,,,,03628
0081,戒,062,0,,,,03612
0082,手,064,0,,,,03659
0083,損,064,0,,,,03939
0084,掌,064,0,,,,03858
0085,披,064,0,,,,03715
0086,抄,064,0,,,,03694
0087,授,064,0,,,,03855
0088,撼,064,0,,,,04076
0089,挽,064,0,,,,03808
0090,振,064,0,,,,03799
0091,散,066,0,,,,04280
0092,敢,066,0,,,,04277
0093,文,067,0,,,,04321
0094,暴,072,0,,,,04608
0095,曾,073,0,,,,04661
0096,果,075,0,,,,04806
0097,楡,075,0,,,,05141
0098,樓,075,0,,,,05293
0099,棘,075,0,,,,05031
0100,桓,075,0,,,,04942
0101,權,075,0,,,,05529
0102,未,075,0,,,,04711
0103,母,080,0,,,,05834
0104,毒,080,0,,,,05839
0105,氣,084,0,,,,05947
0106,汚,085,0,,,,05979
0107,濁,085,0,,,,06617
0108,活,085,0,,,,06145
0109,水,085,0,,,,05952
0110,沈,085,0,,,,06015
0111,洟,085,0,,,,06126
0112,06150,085,0,,,,06150
0113,決,085,0,,,,06003
0114,熾,086,0,,,,06965
0115,熏,086,0,,,,06941
0116,床,053,0,,,,02924
0117,物,093,0,,,,07080
0118,犯,094,0,,,,07112
0119,猗,094,0,,,,07177
0120,狄,094,0,,,,07127
0121,獄,094,0,,,,07212
0122,獸,094,0,,,,07248
0123,狂,094,0,,,,07125
0124,猶,094,0,,,,07203
0125,獨,094,0,,,,07230
0126,珍,096,0,,,,07287
0127,甘,099,0,,,,07456
0128,留,102,0,,,,07508
0129,畢,102,0,,,,07520
0130,痛,104,0,,,,07613
0131,疾,104,0,,,,07591
0132,痩,104,0,,,,07654
0133,病,104,0,,,,07598
0135,盛,108,0,,,,07770
0136,省,109,0,,,,07807
0137,看,109,0,,,,07817
0138,盲,109,0,,,,07796
0139,直,109,0,,,,07799
0140,睥,109,0,,,,07864
0141,睨,109,0,,,,07867
0142,石,112,0,,,,07954
0143,礙,112,0,,,,08077
0144,祐,113,0,,,,08112
0145,禪,113,0,,,,08162
0146,祇,113,0,,,,08107
0147,禽,114,0,,,,08176
0148,積,115,0,,,,08269
0149,穢,115,0,,,,08279
0150,稱,115,0,,,,08248
0151,窮,116,0,,,,08329
0152,究,116,0,,,,08293
0153,立,117,0,,,,08354
0154,第,118,0,,,,08412
0155,節,118,0,,,,08493
0156,粟,119,0,,,,08664
0157,累,120,0,,,,08778
0158,繁,120,0,,,,08997
0159,終,120,0,,,,08795
0160,索,120,0,,,,08767
0161,維,120,0,,,,08879
0162,08859,120,0,,,,08859
0163,M27560,120,0,,,,
0164,09110,122,0,,,,09110
0165,羌,123,0,,,,09152
0166,羞,123,0,,,,09168
0167,羸,123,0,,,,09192
0168,聾,128,0,,,,09336
0169,聽,128,0,,,,09335
0170,脚,130,0,,,,09447
0171,肯,130,0,,,,09377
0172,臭,132,0,,,,09605
0173,舍,135,0,,,,09638
0174,般,137,0,,,,09665
0175,芻,140,0,,,,09765
0176,M31622,140,0,,,,
0177,10089,140,0,,,,10089
0178,荊,140,0,,,,09844
0179,蓮,140,0,,,,10050
0180,蓋,140,0,,,,10040
0181,葉,140,0,,,,09966
0182,芬,140,0,,,,09753
0183,莫,140,0,,,,09886
0184,藥,140,0,,,,10204
0185,虐,141,0,,,,10266
0186,虜,141,0,,,,10273
0187,蜜,142,0,,,,10414
0188,街,144,0,,,,10620
0189,裔,145,0,,,,10708
0190,覆,146,0,,,,10826
0191,許,149,0,,,,10930
0192,誨,149,0,,,,11024
0193,誘,149,0,,,,11012
0194,誰,149,0,,,,11028
0195,諷,149,0,,,,11084
0196,誦,149,0,,,,11023
0197,豫,152,0,,,,11283
0198,財,154,0,,,,11334
0199,責,154,0,,,,11344
0200,迹,162,0,,,,11976
0201,跛,157,0,,,,11531
0203,還,162,0,,,,12108
0204,邪,163,0,,,,12139
0205,郡,163,0,,,,12170
0206,醫,164,0,,,,12341
0207,野,166,0,,,,12374
0208,録,167,0,,,,12499
0209,鐵,167,0,,,,12654
0210,長,168,0,,,,12698
0211,閲,169,0,,,,12751
0212,際,170,0,,,,12913
0213,雖,172,0,,,,12991
0214,震,173,0,,,,13036
0215,頻,181,0,,,,13359
0216,頸,181,0,,,,13355
0217,額,181,0,,,,13377
0218,頓,181,0,,,,13316
0219,餓,184,0,,,,13559
0220,飢,184,0,,,,13508
0221,饒,184,0,,,,13641
0222,馬,187,0,,,,13680
0223,鬧,191,0,,,,14023
0224,14033,191,0,,,,14033
0225,鬱,192,0,,,,14039
0226,鮮,195,0,,,,14174
0227,鴦,196,0,,,,14430
0228,鹹,197,0,,,,14614
0229,鼓,207,2,1,1,,14775
0230-0231,一,001,1,94,,,00001
0232,上,001,1,10,,,00008
0233,下,001,1,25,,,00009
0234,七,001,1,9,,,00004
0235,丘,001,1,7,,,00026
0236-0237,世,001,1,75,,,00025
0238-0240,不,001,1,106,,,00013
0241-0242,三,001,1,55,,,00007
0243,中,002,1,42,,,00051
0244,乃,004,1,11,,,00078
0245,久,004,1,2,,,00085
0246-0247,之,004,1,51,,,00088
0248,也,005,1,6,,,00109
0249,九,005,1,2,,,00107
0250,事,006,1,15,,,00128
0251,二,007,1,11,,,00129
0252,云,007,1,8,,,00133
0253,五,007,1,6,,,00135
0254,亦,008,1,31,,,00154
0255,交,008,1,2,,,00152
0256,住,009,1,10,,,00245
0257,令,009,1,12,,,00193
0258-0259,人,009,1,77,,,00168
0260,便,009,1,6,,,00321
0261-0262,來,009,1,64,,,00282
0263,倍,009,1,4,,,00368
