統合ID,文字,神足變化,字体数,用例数,部首
00006,丈,0001,0,1,001
00102,乘,0002,0,1,004
00473,傷,0003,0,1,009
00093,乏,0004,0,1,004
00513,價,0005,0,1,009
00216,伎,0006,0,1,009
00554,儻,0007,0,1,009
00520,億,0008,0,1,009
00539,償,0009,0,1,009
00405,假,0010,0,1,009
00470,傴,0011,0,1,009
00387,倦,0012,0,1,009
00406,偈,0013,0,1,009
00542,優,0014,0,1,009
00562,充,0015,0,1,010
00582,入,0016,0,1,011
00591,兩,0017,0,1,011
00602,兵,0018,0,1,012
00701,凡,0019,0,1,016
00838,劇,0020,0,1,018
00890,務,0021,0,1,019
01040,卷,0022,0,1,026
01049,卽,0023,0,1,026
01058,厄,0024,0,1,027
01116,反,0025,0,1,029
01127,取,0026,0,1,029
01217,吾,0027,0,1,030
01141,口,0028,0,1,030
01236,呪,0029,0,1,030
01174,同,0030,0,1,030
01251,呼,0031,0,1,030
01421,喩,0032,0,1,030
01623,困,0033,0,1,031
01839,境,0034,0,1,032
01831,塵,0035,0,1,032
01825,塡,0036,0,1,032
01767,堅,0037,0,1,032
01853,增,0038,0,1,032
01934,外,0039,0,1,036
01961,夷,0040,0,1,037
01948,太,0041,0,1,037
02013,奪,0042,0,1,037
02366,富,0043,0,1,040
02352,容,0044,0,1,040
02349,家,0045,0,1,040
02358,寄,0046,0,1,040
02413,寸,0047,0,1,041
02415,寺,0048,0,1,041
02430,尋,0049,0,1,041
02473,尼,0050,0,1,044
02485,屈,0051,0,1,044
M08420,,0052,0,1,046
02737,嶽,0053,0,1,046
02792,巷,0054,0,1,049
02915,幾,0055,0,1,052
02946,座,0056,0,1,053
02944,度,0057,0,1,053
02962,康,0058,0,1,053
03005,延,0059,0,1,054
03027,弊,0060,0,1,055
03138,後,0061,0,1,060
03123,役,0062,0,1,060
03128,往,0063,0,1,060
03165,微,0064,0,1,060
03458,慢,0065,0,1,061
03550,應,0066,0,1,061
03229,怒,0067,0,1,061
03371,惰,0068,0,1,061
03453,慙,0069,0,1,061
03471,慳,0070,0,1,061
03335,悲,0071,0,1,061
03584,懶,0072,0,1,061
03288,恤,0073,0,1,061
03504,憒,0074,0,1,061
03404,愚,0075,0,1,061
03491,憨,0076,0,1,061
03338,悵,0077,0,1,061
03348,情,0078,0,1,061
03320,悔,0079,0,1,061
03628,截,0080,0,1,062
03612,戒,0081,0,1,062
03659,手,0082,0,1,064
03939,損,0083,0,1,064
03858,掌,0084,0,1,064
03715,披,0085,0,1,064
03694,抄,0086,0,1,064
03855,授,0087,0,1,064
04076,撼,0088,0,1,064
03808,挽,0089,0,1,064
03799,振,0090,0,1,064
04280,散,0091,0,1,066
04277,敢,0092,0,1,066
04321,文,0093,0,1,067
04608,暴,0094,0,1,072
04661,曾,0095,0,1,073
04806,果,0096,0,1,075
05141,楡,0097,0,1,075
05293,樓,0098,0,1,075
05031,棘,0099,0,1,075
04942,桓,0100,0,1,075
05529,權,0101,0,1,075
04711,未,0102,0,1,075
05834,母,0103,0,1,080
05839,毒,0104,0,1,080
05947,氣,0105,0,1,084
05979,汙,0106,0,1,085
06617,濁,0107,0,1,085
06145,活,0108,0,1,085
05952,水,0109,0,1,085
06015,沈,0110,0,1,085
06126,洟,0111,0,1,085
06150,洿,0112,0,1,085
06003,決,0113,0,1,085
06965,熾,0114,0,1,086
06941,熏,0115,0,1,086
02924,床,0116,0,1,053
07080,物,0117,0,1,093
07112,犯,0118,0,1,094
07177,猗,0119,0,1,094
07127,狄,0120,0,1,094
07212,獄,0121,0,1,094
07248,獸,0122,0,1,094
07125,狂,0123,0,1,094
07203,猶,0124,0,1,094
07230,獨,0125,0,1,094
07287,珍,0126,0,1,096
07456,甘,0127,0,1,099
07508,留,0128,0,1,102
07520,畢,0129,0,1,102
07613,痛,0130,0,1,104
07591,疾,0131,0,1,104
07654,痩,0132,0,1,104
07598,病,0133,0,1,104
07770,盛,0135,0,1,108
07807,省,0136,0,1,109
07817,看,0137,0,1,109
07796,盲,0138,0,1,109
07799,直,0139,0,1,109
07864,睥,0140,0,1,109
07867,睨,0141,0,1,109
07954,石,0142,0,1,112
08077,礙,0143,0,1,112
08112,祐,0144,0,1,113
08162,禪,0145,0,1,113
08107,祇,0146,0,1,113
08176,禽,0147,0,1,114
08269,積,0148,0,1,115
08279,穢,0149,0,1,115
08248,稱,0150,0,1,115
08329,窮,0151,0,1,116
08293,究,0152,0,1,116
08354,立,0153,0,1,117
08412,第,0154,0,1,118
08493,節,0155,0,1,118
08664,粟,0156,0,1,119
08778,累,0157,0,1,120
08997,繁,0158,0,1,120
08795,終,0159,0,1,120
08767,索,0160,0,1,120
08879,維,0161,0,1,120
08859,綖,0162,0,1,120
M27560,綩,0163,0,1,120
09110,罜,0164,0,1,122
09152,羌,0165,0,1,123
09168,羞,0166,0,1,123
09192,羸,0167,0,1,123
09336,聾,0168,0,1,128
09335,聽,0169,0,1,128
09447,脚,0170,0,1,130
09377,肯,0171,0,1,130
09605,臭,0172,0,1,132
09638,舍,0173,0,1,135
09665,般,0174,0,1,137
09765,芻,0175,0,1,140
M31622,蒺,0176,0,1,140
10089,蔾,0177,0,1,140
09844,荊,0178,0,1,140
10050,蓮,0179,0,1,140
10040,蓋,0180,0,1,140
09966,葉,0181,0,1,140
09753,芬,0182,0,1,140
09886,莫,0183,0,1,140
10204,藥,0184,0,1,140
10266,虐,0185,0,1,141
10273,虜,0186,0,1,141
10414,蜜,0187,0,1,142
10620,街,0188,0,1,144
10708,裔,0189,0,1,145
10826,覆,0190,0,1,146
10930,許,0191,0,1,149
11024,誨,0192,0,1,149
11012,誘,0193,0,1,149
11028,誰,0194,0,1,149
11084,諷,0195,0,1,149
11023,誦,0196,0,1,149
11283,豫,0197,0,1,152
11334,財,0198,0,1,154
11344,責,0199,0,1,154
11976,迹,0200,0,1,162
11531,跛,0201,0,1,157
12108,還,0203,0,1,162
12139,邪,0204,0,1,163
12170,郡,0205,0,1,163
12341,醫,0206,0,1,164
12374,野,0207,0,1,166
12499,錄,0208,0,1,167
12654,鐵,0209,0,1,167
12698,長,0210,0,1,168
12751,閲,0211,0,1,169
12913,際,0212,0,1,170
12991,雖,0213,0,1,172
13036,震,0214,0,1,173
13359,頻,0215,0,1,181
13355,頸,0216,0,1,181
13377,額,0217,0,1,181
13316,頓,0218,0,1,181
13559,餓,0219,0,1,184
13508,飢,0220,0,1,184
13641,饒,0221,0,1,184
13680,馬,0222,0,1,187
14023,鬧,0223,0,1,191
14033,鬭,0224,0,1,191
14039,鬱,0225,0,1,192
14174,鮮,0226,0,1,195
14430,鴦,0227,0,1,196
14614,鹹,0228,0,1,197
14775,鼓,0229a,2,1,207
14775b,鼓,0229b,2,1,207
00001,一,0230,1,94,001
00008,上,0232,1,10,001
00009,下,0233,1,25,001
00004,七,0234,1,9,001
00026,丘,0235,1,7,001
00025,世,0236,1,75,001
00013,不,0238,1,106,001
00007,三,0241,1,55,001
00051,中,0243,1,42,002
00078,乃,0244,1,11,004
00085,久,0245,1,2,004
00088,之,0246,1,51,004
00109,也,0248,1,6,005
00107,九,0249,1,2,005
00128,事,0250,1,15,006
00129,二,0251,1,11,007
00133,云,0252,1,8,007
00135,五,0253,1,6,007
00154,亦,0254,1,31,008
00152,交,0255,1,2,008
00245,住,0256,1,10,009
00193,令,0257,1,12,009
00168,人,0258,1,77,009
00321,便,0260,1,6,009
00282,來,0261,1,64,009
00368,倍,0263,1,4,009
00489,像,0264,1,6,009
00240,但,0265,1,4,009
00299,供,0266,1,8,009
00250,何,0267,1,26,009
00194,以,0268,1,25,009
00256,作,0269,1,40,009
00255,佛,0270,1,69,009
00350,倶,0272,1,2,009
00175,今,0273,1,5,009
00189,仞,0274,1,2,009
00183,他,0275,1,4,009
00345,信,0276,1,2,009
00279,使,0277,1,7,009
00391,倫,0278,1,2,009
00503,僧,0279,1,7,009
00567,光,0280,1,4,010
00574,兒,0281,1,3,010
00593,兪,0282,1,2,011
00594,八,0283,1,17,012
00599,共,0284,1,2,012
00597,六,0285,1,6,012
00605,其,0286,1,56,012
00606,具,0288,1,3,012
00629,再,0289,1,2,013
05558,次,0290,1,10,076
00723,出,0291,1,8,017
00735,切,0292a,2,16,018
00735b,切,0292b,2,16,018
00734,分,0293,1,9,018
00767,利,0294,1,14,018
00759,初,0295,1,2,018
00781,刹,0296,1,17,018
00769,到,0297,1,4,018
00794,前,0298,1,10,018
00789,則,0299,1,5,018
00857,功,0300,1,6,019
00885,勒,0301,1,7,019
00900,勤,0302,1,3,019
00858,加,0303,1,3,019
00856,力,0304,1,3,019
00865,劫,0305,1,2,019
00887,動,0306,1,6,019
00919,勿,0307,1,2,020
04453,旬,0308,1,2,072
00941,北,0309,1,5,021
00938,化,0310,1,23,021
00985,十,0311,1,18,024
02899,平,0312,1,2,051
00987,千,0313,1,48,024
01010,南,0314,1,6,024
01052,卿,0315,1,2,026
01034,印,0316,1,4,026
01101,去,0317,1,6,028
01111,及,0318,1,21,029
01128,受,0319,1,8,029
01109,叉,0320,1,3,029
09314,聚,0321,1,6,128
01252,命,0322,1,2,030
01219,告,0323,1,2,030
01175,名,0324,1,18,030
01168,各,0325,1,20,030
01242,味,0326,1,2,030
01359,唾,0327,1,2,030
01197,含,0328,1,6,030
01215,吼,0329,1,3,030
01395,善,0330,1,2,030
01523,器,0331,1,4,030
01369,問,0332,1,4,030
01154,可,0333,1,22,030
01412,喜,0334,1,8,030
14379,鳴,0335,1,2,196
01571,嚫,0336,1,2,030
01296,品,0337,1,4,030
01607,四,0338,1,37,031
01644,園,0339,1,2,031
01611,因,0340,1,2,031
01654,土,0341,1,18,032
01666,地,0342,1,15,032
01740,城,0343,1,13,032
01659,在,0344,1,19,032
01863,墮,0345,1,4,032
01682,坐,0346,1,11,032
01726,垢,0347,1,2,032
01913,壽,0348,1,2,033
01947,天,0349,1,56,037
01946,大,0351,1,38,037
01974,奉,0352,1,3,037
01949,夫,0353,1,5,037
01954,央,0354,1,6,037
02077,姓,0355,1,4,038
02159,婬,0356,1,2,038
02029,好,0357,1,2,038
02201,嫉,0358,1,2,038
02022,女,0359,1,20,038
02031,如,0360,1,186,038
M06392,婇,0364,1,6,038
02040,妒,0365,1,2,038
02262,子,0366,1,36,039
02293,學,0367,1,4,039
02309,安,0368,1,4,040
02390,實,0369,1,2,040
02407,寶,0370,1,8,040
02342,宮,0371,1,3,040
02323,官,0372,1,6,040
02392,寧,0373,1,2,040
02436,導,0374,1,3,041
02439,小,0375,1,3,042
02496,展,0376,1,5,044
02515,屬,0377,1,7,044
02482,居,0378,1,2,044
02783,已,0379,1,12,049
02847,常,0380,1,12,050
02835,師,0381,1,5,050
02897,干,0382,1,7,051
02907,幻,0383,1,13,052
02993,廣,0384,1,4,053
03084,彌,0385,1,7,057
03052,弟,0386,1,14,057
03066,強,0387,1,2,057
03101,形,0388,1,4,059
03157,徧,0389a,2,6,060
03157b,徧,0389b,2,1,060
03151,從,0390,1,6,060
03159,復,0391,1,40,060
03124,彼,0392,1,54,060
03145,得,0394,1,54,060
03172,德,0396,1,8,060
03179,心,0397,1,13,061
03395,意,0398,1,9,061
03184,忍,0399,1,7,061
03239,思,0400,1,4,061
03214,念,0401,1,7,061
03365,惟,0402,1,6,061
01263,和,0403,1,6,030
03367,惡,0404,1,12,061
03243,急,0405,1,2,061
03237,怛,0406,1,7,061
03267,恆,0407,1,6,061
03278,恚,0408,1,2,061
03196,忘,0409,1,2,061
03549,懈,0410,1,2,061
03244,性,0411,1,2,061
03240,怠,0412,1,2,061
03312,悉,0413,1,25,061
03462,慧,0414,1,4,061
03182,忉,0415,1,3,061
03611,我,0416,1,13,062
03617,或,0417,1,2,062
03610,成,0418,1,3,062
03647,所,0419,1,84,063
03947,搖,0421,1,2,064
03757,拘,0422,1,9,064
03896,提,0423,1,9,064
03927,揵,0424,1,9,064
03780,持,0425,1,27,064
04009,摩,0426,1,2,064
04216,支,0427,1,4,065
09611,致,0428,1,3,133
04233,放,0429,1,5,066
04243,故,0430,1,17,066
04298,數,0431,1,16,066
04319,變,0432,1,15,066
04373,斯,0433,1,3,069
04381,斷,0434,1,5,069
04385,方,0435,1,15,070
04389,於,0436,1,74,070
04512,是,0438,1,192,072
04446,日,0442,1,6,072
04523,時,0443,1,23,072
04485,明,0444,1,4,072
04621,曇,0445,1,3,072
04557,普,0446,1,3,072
04489,易,0447,1,2,072
04569,智,0448,1,4,072
04499,星,0449,1,2,072
04660,曼,0450,1,3,073
04664,最,0451,1,3,073
04667,會,0452,1,6,073
04654,更,0453,1,2,073
04659,曹,0454,1,2,073
04673,月,0455,1,8,074
04674,有,0456,1,62,074
04679,服,0458,1,6,074
04713,本,0459,1,2,075
04712,末,0460,1,2,075
05279,樂,0461,1,10,075
05080,植,0462,1,2,075
05161,極,0463,1,16,075
04922,根,0464,1,3,075
04743,杖,0465,1,2,075
04918,栴,0466,1,4,075
04765,東,0467,1,6,075
05391,檀,0468,1,4,075
05010,梵,0469,1,4,075
04849,柔,0470,1,5,075
05323,樹,0471,1,6,075
08261,穀,0472,1,2,115
05639,歡,0473,1,5,076
05580,欲,0474,1,14,076
05641,止,0475,1,2,077
05644,此,0476,1,7,077
05643,正,0477,1,7,077
05645,步,0478,1,2,077
05666,歳,0479,1,4,077
05692,歿,0480,1,2,078
05699,殃,0481,1,2,078
05809,殿,0482,1,3,079
05841,比,0483,1,17,081
05850,毛,0484,1,3,082
06272,淨,0485,1,3,085
06432,滅,0486,1,2,085
06074,法,0487,1,69,085
06144,洹,0489,1,5,085
06055,治,0490,1,3,085
06499,漢,0491,1,3,085
06313,減,0492,1,2,085
06088,泥,0493,1,4,085
06031,沙,0494,1,8,085
05964,求,0495,1,7,085
06025,沓,0496,1,3,085
06058,況,0497,1,2,085
05983,汝,0498,1,4,085
06175,浮,0499,1,4,085
06476,滿,0500,1,12,085
06086,波,0501,1,4,085
06885,然,0502,1,2,086
06872,無,0503,1,84,086
06918,照,0505,1,2,086
06949,熟,0506,1,2,086
07086,特,0507,1,4,093
01088,厭,0508,1,2,027
07262,王,0509,1,26,096
07304,現,0510,1,15,096
07457,甚,0511,1,13,099
07461,生,0512,1,16,100
07469,用,0513,1,3,101
07530,異,0514,1,7,102
07513,畜,0515,1,2,102
07503,畏,0516,1,2,102
07535,當,0517,1,14,102
07483,男,0518,1,7,102
07478,田,0519,1,3,102
07501,界,0520,1,55,102
07559,疑,0522,1,4,103
07707,發,0523,1,9,105
07709,白,0524,1,10,106
07717,皆,0525,1,93,106
07710,百,0527,1,20,106
07779,盡,0528,1,6,108
07785,盧,0529,1,2,108
07790,目,0530,1,78,109
07843,眼,0532,1,4,109
07878,瞋,0533,1,2,109
07801,相,0534,1,9,109
,猒,0535,1,12,094
07844,眾,0535,1,12,109
07827,眞,0536,1,2,109
07941,知,0537,1,28,111
08165,禮,0538,1,4,113
08097,示,0539,1,6,113
08148,福,0540,1,10,113
08224,稍,0541,1,2,115
08244,種,0542,1,9,115
08296,空,0543,1,5,116
08365,竟,0544,1,2,117
08376,端,0545,1,2,117
08375,竭,0546,1,4,117
08426,等,0547,1,22,118
08437,答,0548,1,2,118
08856,經,0549,1,3,120
08753,純,0550,1,2,120
08924,緣,0551,1,8,120
08972,縣,0552,1,3,120
08807,結,0553,1,2,120
09144,羅,0554,1,20,122
09128,置,0555,1,4,122
09125,罪,0556,1,2,122
09132,罵,0557,1,2,122
09177,義,0558,1,2,123
09972,著,0559,1,5,140
09214,習,0560,1,3,124
09255,者,0561,1,50,125
09264,而,0562,1,35,126
09286,耨,0563,1,8,127
09315,聞,0564,1,10,128
09292,耶,0565,1,9,128
09328,聲,0566,1,8,128
09463,脱,0567,1,7,130
09429,能,0568,1,29,130
09599,臥,0569,1,2,131
09602,自,0570,1,13,132
09610,至,0571,1,3,133
09632,擧,0572,1,2,134
09716,色,0573,1,9,139
09954,萬,0574,1,21,140
10192,藐,0575,1,2,140
09789,苦,0576,1,5,140
09846,草,0577,1,3,140
10163,薩,0578,1,37,140
09904,菓,0579,1,6,140
09919,菩,0580,1,32,140
09961,落,0581,1,6,140
09921,華,0582,1,16,140
09788,若,0583,1,49,140
10276,號,0584,1,2,141
10270,處,0585,1,10,141
10272,虛,0586,1,4,141
10401,蜎,0587,1,3,142
10411,蜚,0588,1,3,142
10574,蠕,0589,1,3,142
10549,蟲,0590,1,2,142
10614,行,0591,1,22,144
10618,術,0592,1,14,144
10637,衣,0593,1,4,145
10683,被,0594,1,7,145
10856,覺,0595,1,13,147
10820,西,0596,1,5,146
10831,見,0597,1,17,147
10912,訖,0598,1,2,149
10936,訶,0599,1,2,149
11017,語,0600,1,4,149
11072,諦,0601,1,3,149
11200,護,0602,1,6,149
11095,謂,0603,1,2,149
10950,詈,0604,1,2,149
11058,論,0605,1,2,149
11189,譬,0606,1,12,149
11195,議,0607,1,3,149
11025,説,0608,1,52,149
11085,諸,0610,1,60,149
10896,計,0612,1,19,149
10890,言,0613,1,35,149
11261,豐,0614,1,2,151
11311,貌,0615,1,3,153
11397,賢,0616,1,2,154
11342,貪,0617,1,2,154
11338,貧,0618,1,3,154
11404,質,0619,1,2,154
11471,越,0620,1,14,156
11461,起,0621,1,10,156
11495,足,0622,1,15,157
11565,踊,0623,1,2,157
11618,蹈,0624,1,2,157
11715,身,0625,1,17,158
11502,趺,0626,1,3,157
11802,輕,0627,1,3,159
11831,輭,0628,1,5,159
11827,輪,0629,1,2,159
11856,轉,0630,1,9,159
11740,車,0631,1,2,159
11826,輩,0632,1,9,159
11898,辟,0633,1,4,160
12052,達,0634,1,3,162
12000,通,0635,1,3,162
12115,邊,0636,1,7,162
12019,逮,0637,1,8,162
12070,遠,0638,1,3,162
12010,連,0639,1,77,162
11960,迦,0641,1,18,162
12042,遊,0642,1,3,162
12051,道,0643,1,14,162
12046,過,0644,1,6,162
12188,都,0645,1,3,163
12123,邑,0646,1,3,163
12179,郭,0647,1,2,163
12134,那,0648,1,18,163
12327,醜,0649,1,2,164
12371,釋,0650,1,2,165
12372,里,0651,1,2,166
12376,量,0652,1,2,166
12518,錢,0653,1,2,167
12440,鉢,0654,1,2,167
12757,閻,0655,1,4,169
12724,間,0656,1,4,169
12709,門,0657,1,5,169
12831,陀,0658a,2,12,170
12831b,陀,0658b,2,4,170
12830,阿,0659,1,24,170
12935,隱,0661a,2,1,170
12935b,隱,0661b,2,1,170
12839,限,0662,1,2,170
13002,難,0663,1,2,172
13001,離,0664,1,3,172
12997,雜,0665,1,3,172
13012,雨,0666,1,3,173
13073,露,0667,1,3,173
13104,非,0668,1,2,175
13108,面,0669,1,3,176
13192,鞭,0670,1,2,177
13281,音,0671,1,7,180
13304,須,0672,1,4,181
13398,類,0673,1,8,181
11411,賴,0674,1,2,154
13391,願,0675,1,7,181
13346,頭,0676,1,2,181
M43812,颰,0677,1,3,182
13551,養,0678,1,12,184
13503,食,0679,1,14,184
13526,飮,0680,1,9,184
13541,飽,0681,1,2,184
13667,香,0682,1,5,186
13934,體,0683,1,4,188
13940,高,0684,1,2,189
14002,鬚,0685,1,2,190
13959,髮,0686,1,2,190
14061,鬼,0687,1,2,194
14726,黠,0688,1,2,203
14876,龍,0689,1,3,212
01639,國,0690a,2,19,031
01639b,國,0690b,2,1,031
01796,報,0691a,2,2,032
01796b,報,0691b,2,1,032
01938,多,0692a,2,12,036
01938b,多,0692b,2,10,036
02395,審,0693a,2,6,040
02395b,審,0693b,2,1,040
02429,尊,0694a,2,12,041
02429b,尊,0694b,2,9,041
04261,教,0695a,2,2,066
04261b,教,0695b,2,1,066
04412,族,0696,1,4,070
05935,民,0697a,2,11,083
05935b,民,0697b,2,1,083
07032,爲,0698,1,60,087
07043,爾,0700a,2,17,089
07043b,爾,0700b,2,3,089
07685,癡,0701,1,2,104
08124,神,0702a,2,14,113
08124b,神,0702b,2,1,113
10837,視,0703a,2,6,147
10837b,視,0703b,2,1,147
10875,解,0704,1,7,148
12927,隨,0705a,2,1,170
12927b,隨,0705b,2,1,170
12855,除,0706,1,3,170
13565,餘,0707,1,5,184
12083,遮,0708a,3,9,162
12083b,遮,0708b,3,3,162
12083c,遮,0708c,3,1,162
