カード番号,文字,字体数,用例数,用例数2,用例数3,大字典番号,部首番号
0001,丈,0,,,,00006,001
0002,乾,0,,,,00118,005
0003,予,0,,,,00126,006
0004,任,0,,,,00206,009
0005,俄,0,,,,00325,009
0006,佩,0,,,,00263,009
0007,休,0,,,,00219,009
0008,儻,0,,,,00554,009
0009,倦,0,,,,00387,009
0010,俚,0,,,,00340,009
0011,僉,0,,,,00483,009
0012,例,0,,,,00287,009
0013,侯,0,,,,00313,009
0014,俟,0,,,,00343,009
0015,價,0,,,,00513,009
0016,位,0,,,,00243,009
0017,偕,0,,,,00414,009
0018,俯,0,,,,00349,009
0019,候,0,,,,00369,009
0020,側,0,,,,00429,009
0021,僞,0,,,,00498,009
0022,仁,0,,,,00170,009
0023,倚,0,,,,00378,009
0024,倫,0,,,,00391,009
0025,億,0,,,,00520,009
0026,付,0,,,,00185,009
0027,優,0,,,,00542,009
0028,兆,0,,,,00564,010
0029,兇,0,,,,00565,010
0030,兪,0,,,,00593,011
0032,冥,0,,,,00651,014
0033,冷,0,,,,00672,015
0034,剖,0,,,,00799,018
0035,刮,0,,,,00768,018
0036,刹,0,,,,00781,018
0037,副,0,,,,00818,018
0038,刀,0,,,,00729,018
0039,刪,0,,,,00760,018
0040,勳,0,,,,00910,019
0041,勘,0,,,,00889,019
0042,勃,0,,,,00877,019
0044,勉,0,,,,00882,019
0045,劫,0,,,,00865,019
0046,勇,0,,,,00881,019
0047,勿,0,,,,00919,020
0048,包,0,,,,00924,020
0049,北,0,,,,00941,021
0050,協,2,1,1,,01007,024
0051,升,0,,,,00991,024
0052,卯,0,,,,01033,026
0053,危,0,,,,01035,026
0054,卿,0,,,,01052,026
0055,印,0,,,,01034,026
0056,厥,0,,,,01079,027
0057,厚,0,,,,01068,027
0058,參,0,,,,01104,028
0059,反,0,,,,01116,029
0060,叉,0,,,,01109,029
0061,叟,0,,,,01135,029
0062,吾,0,,,,01217,030
0063,01354,0,,,,01354,030
0064,呑,0,,,,01187,030
0065,單,0,,,,01427,030
0066,呉,0,,,,01207,030
0067,嚼,1,2,,,01584,030
0068,唱,0,,,,01350,030
0069,商,0,,,,01363,030
0070,嗣,0,,,,01452,030
0071,01254,0,,,,01254,030
0072,咀,0,,,,01255,030
0073,回,0,,,,01609,031
0074,園,0,,,,01644,031
0075,囿,0,,,,01630,031
0076,基,0,,,,01758,032
0077,墮,0,,,,01863,032
0078,塞,0,,,,01823,032
0079,境,0,,,,01839,032
0080,墜,0,,,,01851,032
0081,坐,0,,,,01682,032
0082,壽,0,,,,01913,033
0083,壬,0,,,,01904,033
0084,夕,0,,,,01932,036
0085,失,0,,,,01957,037
0086,02021,0,,,,02021,037
0087,奮,0,,,,02019,037
0088,夷,0,,,,01961,037
0089,奄,0,,,,01968,037
0090,奬,0,,,,02015,037
0091,奚,0,,,,01992,037
0092,女,0,,,,02022,038
0093,02184,0,,,,02184,038
0094,妖,0,,,,02043,038
0095,姦,0,,,,02092,038
0096,姿,0,,,,02103,038
0097,威,0,,,,02105,038
0098,02195,0,,,,02195,038
0099,孩,0,,,,02281,039
0100,存,0,,,,02268,039
0101,孕,0,,,,02265,039
0102,02295,0,,,,02295,039
0103,宦,0,,,,02336,040
0104,寵,0,,,,02406,040
0105,寒,0,,,,02371,040
0106,宸,0,,,,02351,040
0107,宰,0,,,,02344,040
0108,守,0,,,,02308,040
0109,客,0,,,,02331,040
0110,容,0,,,,02352,040
0111,宿,0,,,,02355,040
0112,察,0,,,,02383,040
0113,宇,0,,,,02307,040
0114,宋,0,,,,02312,040
0115,宛,0,,,,02326,040
0116,宣,0,,,,02333,040
0117,寇,0,,,,02363,040
0118,專,0,,,,02426,041
0119,尉,0,,,,02427,041
0120,屠,0,,,,02502,044
0121,尾,0,,,,02478,044
0122,屆,0,,,,02484,044
0123,屈,0,,,,02485,044
0124,02505,0,,,,02505,044
0125,尹,0,,,,02470,044
