,,hod_法蔵和尚,hod_法蔵和尚,hod_法蔵和尚,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
00006,丈,0001,0,1,001
00118,乾,0002,0,1,005
00126,予,0003,0,1,006
00206,任,0004,0,1,009
00325,俄,0005,0,1,009
00263,佩,0006,0,1,009
00219,休,0007,0,1,009
00554,儻,0008,0,1,009
00387,倦,0009,0,1,009
00340,俚,0010,0,1,009
00483,僉,0011,0,1,009
00287,例,0012,0,1,009
00313,侯,0013,0,1,009
00343,俟,0014,0,1,009
00513,價,0015,0,1,009
00243,位,0016,0,1,009
00414,偕,0017,0,1,009
00349,俯,0018,0,1,009
00369,候,0019,0,1,009
00429,側,0020,0,1,009
00498,僞,0021,0,1,009
00170,仁,0022,0,1,009
00378,倚,0023,0,1,009
00391,倫,0024,0,1,009
00520,億,0025,0,1,009
00185,付,0026,0,1,009
00542,優,0027,0,1,009
00564,兆,0028,0,1,010
00565,兇,0029,0,1,010
00593,兪,0030,0,1,011
00651,冥,0032,0,1,014
00672,冷,0033,0,1,015
00799,剖,0034,0,1,018
00768,刮,0035,0,1,018
00781,刹,0036,0,1,018
00818,副,0037,0,1,018
00729,刀,0038,0,1,018
00760,刪,0039,0,1,018
00910,勳,0040,0,1,019
00889,勘,0041,0,1,019
00877,勃,0042,0,1,019
00882,勉,0044,0,1,019
00865,劫,0045,0,1,019
00881,勇,0046,0,1,019
00919,勿,0047,0,1,020
00924,包,0048,0,1,020
00941,北,0049,0,1,021
01007,協,0050a,2,1,024
01007b,協,0050b,2,1,024
00991,升,0051,0,1,024
01033,卯,0052,0,1,026
01035,危,0053,0,1,026
01052,卿,0054,0,1,026
01034,印,0055,0,1,026
01079,厥,0056,0,1,027
01068,厚,0057,0,1,027
01104,參,0058,0,1,028
01116,反,0059,0,1,029
01109,叉,0060,0,1,029
01135,叟,0061,0,1,029
01217,吾,0062,0,1,030
01354,唶,0063,0,1,030
01187,呑,0064,0,1,030
01427,單,0065,0,1,030
01207,呉,0066,0,1,030
01584,嚼,0067,1,2,030
01350,唱,0068,0,1,030
01363,商,0069,0,1,030
01452,嗣,0070,0,1,030
01254,呾,0071,0,1,030
01255,咀,0072,0,1,030
01609,回,0073,0,1,031
01644,園,0074,0,1,031
01630,囿,0075,0,1,031
01758,基,0076,0,1,032
01863,墮,0077,0,1,032
01823,塞,0078,0,1,032
01839,境,0079,0,1,032
01851,墜,0080,0,1,032
01682,坐,0081,0,1,032
01913,壽,0082,0,1,033
01904,壬,0083,0,1,033
01932,夕,0084,0,1,036
01957,失,0085,0,1,037
02021,奰,0086,0,1,037
02019,奮,0087,0,1,037
01961,夷,0088,0,1,037
01968,奄,0089,0,1,037
02015,奬,0090,0,1,037
01992,奚,0091,0,1,037
02022,女,0092,0,1,038
02184,媧,0093,0,1,038
02043,妖,0094,0,1,038
02092,姦,0095,0,1,038
02103,姿,0096,0,1,038
02105,威,0097,0,1,038
02195,媿,0098,0,1,038
02281,孩,0099,0,1,039
02268,存,0100,0,1,039
02265,孕,0101,0,1,039
02295,孼,0102,0,1,039
02336,宦,0103,0,1,040
02406,寵,0104,0,1,040
02371,寒,0105,0,1,040
02351,宸,0106,0,1,040
02344,宰,0107,0,1,040
02308,守,0108,0,1,040
02331,客,0109,0,1,040
02352,容,0110,0,1,040
02355,宿,0111,0,1,040
02383,察,0112,0,1,040
02307,宇,0113,0,1,040
02312,宋,0114,0,1,040
02326,宛,0115,0,1,040
02333,宣,0116,0,1,040
02363,寇,0117,0,1,040
02426,專,0118,0,1,041
02427,尉,0119,0,1,041
02502,屠,0120,0,1,044
02478,尾,0121,0,1,044
02484,屆,0122,0,1,044
02485,屈,0123,0,1,044
02505,屣,0124,0,1,044
02470,尹,0125,0,1,044
02572,峒,0126,0,1,046
02598,峻,0127,0,1,046
02734,嶺,0128,0,1,046
02559,岳,0129,0,1,046
02606,崆,0130,0,1,046
02776,巨,0131,0,1,048
02773,工,0132,0,1,048
02881,幡,0133,0,1,050
02882,幢,0134,0,1,050
02857,幅,0135,0,1,050
02806,希,0136,0,1,050
02902,并,0137,0,1,051
02932,底,0138,0,1,053
02999,廬,0139,0,1,053
02938,府,0140,0,1,053
02922,庇,0141,0,1,053
02839,席,0142,0,1,050
02992,廢,0143,0,1,053
03010,廾,0144,0,1,055
03037,式,0145,0,1,056
03084,彌,0146,0,1,057
03066,強,0147,0,1,057
03101,形,0148,0,1,059
03109,彩,0149,0,1,059
03160,循,0150,0,1,060
03173,徹,0151,0,1,060
03226,怍,0152,0,1,061
03291,恨,0153,0,1,061
03297,恭,0154,0,1,061
03396,愒,0155,0,1,061
03200,忝,0156,0,1,061
03310,悇,0157,0,1,061
03229,怒,0158,0,1,061
03534,憶,0159,0,1,061
03486,憂,0160,0,1,061
03240,怠,0161,0,1,061
03244,性,0162,0,1,061
03523,憫,0163,0,1,061
03309,悦,0164,0,1,061
03466,慮,0165,1,2,061
03584,懶,0166,0,1,061
03549,懈,0167,0,1,061
03394,愊,0168,0,1,061
03307,悃,0170,0,1,061
03463,慨,0171,0,1,061
03585,懷,0172,0,1,061
03400,愕,0174,0,1,061
03265,恃,0175,0,1,061
03235,怙,0176,0,1,061
03219,忽,0177,0,1,061
03561,懜,0178,0,1,061
03551,懊,0179,0,1,061
03453,慙,0180a,2,1,061
03453b,慙,0180b,2,1,061
03638,戴,0181,0,1,062
03607,戎,0182,0,1,062
03633,戰,0183,0,1,062
03757,拘,0184,0,1,064
04066,撫,0185,0,1,064
03694,抄,0186,0,1,064
03704,抑,0187,0,1,064
