統合ID,文字,光武帝紀,字体数,用例数,部首
00029,丞,0001,0,1,001
00093,乏,0002,0,1,004
00148,亟,0003,0,1,007
00156,享,0004,0,1,008
00160,亭,0005,0,1,008
00473,傷,0006,0,1,009
00365,倉,0007,0,1,009
00369,候,0008,0,1,009
00516,儀,0009,0,1,009
00344,侠,0010,0,1,009
00493,僕,0011,0,1,009
00429,側,0012,0,1,009
00317,侵,0013,0,1,009
00192,代,0014,0,1,009
00301,依,0015,0,1,009
00483,僉,0016,0,1,009
00390,倪,0017,0,1,009
00275,佻,0018,0,1,009
00449,傍,0019,0,1,009
00368,倍,0020,0,1,009
00246,佐,0021,0,1,009
00405,假,0022,0,1,009
00256,作,0023,0,1,009
00568,克,0024,0,1,010
00589,全,0025,0,1,011
00613,兼,0026,0,1,012
00629,再,0027,0,1,013
00664,冰,0028,0,1,015
00725,函,0029,0,1,017
00838,劇,0030,0,1,018
00879,勅,0031,0,1,019
00890,務,0032,0,1,019
00900,勤,0033,0,1,019
00898,勢,0034,0,1,019
00895,募,0035,0,1,019
00894,勞,0036,0,1,019
00881,勇,0037,0,1,019
00919,勿,0038,0,1,020
00938,化,0039,0,1,021
00953,匡,0040,0,1,022
00983,匿,0041,0,1,023
01019,卜,0042,0,1,025
01052,卿,0043,0,1,026
01034,印,0044,0,1,026
01068,厚,0045,0,1,027
01079,厥,0046,0,1,027
01104,參,0047,0,1,028
01133,叛,0048,0,1,029
01172,吉,0049,0,1,030
01369,問,0050,0,1,030
01468,嘉,0051,0,1,030
01305,哉,0052,0,1,030
01288,咸,0053,0,1,030
01141,口,0054,0,1,030
01342,唐,0055,0,1,030
01263,和,0056,0,1,030
01430,喪,0057,0,1,030
01349,唯,0058,0,1,030
01453,嗤,0059,0,1,030
01179,向,0060,0,1,030
01219,告,0061,0,1,030
01890,壘,0062,0,1,032
01863,墮,0063,0,1,032
01818,塗,0064,0,1,032
01798,場,0065,0,1,032
01878,壇,0066,0,1,032
01754,埶,0067,0,1,032
01823,塞,0068,0,1,032
01899,壤,0069,0,1,032
01851,墜,0070,0,1,032
01859,墨,0071,0,1,032
01853,增,0072,0,1,032
01796,報,0073,0,1,032
01734,埃,0074,0,1,032
01831,塵,0075,0,1,032
01765,堂,0076,0,1,032
01895,壞,0077,0,1,032
01905,壯,0078,0,1,033
02019,奮,0079,0,1,037
01972,奇,0080,0,1,037
02013,奪,0081,0,1,037
01973,奈,0082,0,1,037
02108,姫,0083,0,1,038
02022,女,0084,0,1,038
02212,嫡,0085,0,1,038
02196,嫁,0086,0,1,038
02077,姓,0087,0,1,038
02029,好,0088,0,1,038
02248,嬰,0089,0,1,038
02271,孛,0090,0,1,039
02267,字,0091,0,1,039
02278,孥,0092,0,1,039
02277,孤,0093,0,1,039
02294,孺,0094,0,1,039
02275,孟,0095,0,1,039
02306,宅,0096,0,1,040
02407,寶,0097a ,2,1,040
02407b,寶,0097b,2,1,040
02390,實,0098,0,1,040
02371,寒,0099,0,1,040
02413,寸,0101,0,1,041
02470,尹,0102,0,1,044
02508,履,0103,0,1,044
02473,尼,0104,0,1,044
02502,屠,0105,0,1,044
02482,居,0106,0,1,044
02488,屋,0107,0,1,044
02635,崤,0108,0,1,046
02564,岸,0109,0,1,046
02776,巨,0110,0,1,048
02774,左,0111,0,1,048
02785,巴,0112,0,1,049
02877,幟,0113,0,1,050
02846,帶,0114,0,1,050
02874,幘,0115,0,1,050
02797,市,0116,0,1,050
02905,幹,0117,0,1,051
02902,并,0118,0,1,051
02997,廩,0119,0,1,053
02932,底,0120,0,1,053
03066,強,0121,0,1,057
03064,弱,0122,0,1,057
03060,弭,0123,0,1,057
03043,弔,0124,0,1,057
03124,彼,0125,0,1,060
03137,律,0126,0,1,060
03175,徼,0127,0,1,060
03153,御,0128,0,1,060
03123,役,0129,0,1,060
03164,徭,0130,0,1,060
03469,慰,0131,0,1,061
03453,慙,0132,0,1,061
03248,怪,0134,0,1,061
03252,怯,0135,0,1,061
03244,性,0136,0,1,061
03376,惶,0137,0,1,061
03320,悔,0138,0,1,061
03243,急,0139,0,1,061
03592,懾,0140,0,1,061
03278,恚,0141,0,1,061
03196,忘,0142,0,1,061
03208,快,0143,0,1,061
03194,志,0144,0,1,061
03297,恭,0145,0,1,061
03292,恩,0146,0,1,061
03286,恣,0147,0,1,061
03364,惜,0148,0,1,061
03466,慮,0149,0,1,061
03387,愁,0150,0,1,061
03612,戒,0151,0,1,062
03618,戚,0152,0,1,062
03611,我,0153,0,1,062
03757,拘,0154,0,1,064
03865,掘,0155,0,1,064
03882,措,0156,0,1,064
03888,掾,0157,0,1,064
03761,拜,0158,1,3,064
04142,擾,0159,0,1,064
04085,擇,0160,0,1,064
04146,攀,0161,0,1,064
03844,捷,0162,0,1,064
03783,指,0163,0,1,064
03825,捐,0164,0,1,064
03793,挑,0165,0,1,064
03880,推,0166,0,1,064
04066,撫,0167,0,1,064
03710,抗,0168,0,1,064
04303,整,0169,0,1,066
04309,斂,0170,0,1,066
04273,敞,0171,0,1,066
04233,放,0172,0,1,066
04228,改,0173,0,1,066
04251,效,0174,0,1,066
04362,斤,0175,0,1,069
04402,旅,0176,0,1,070
04408,旌,0177,0,1,070
04619,曄,0178,0,1,072
04542,晝,0179,0,1,072
04623,曉,0180,0,1,072
04510,昭,0181,0,1,072
04489,易,0182,0,1,072
04640,曠,0183,0,1,072
04490,昔,0184,0,1,072
04552,晦,0185,0,1,072
09621,臾,0186,0,1,134
04659,曹,0187,0,1,073
04849,柔,0188,0,1,075
04750,束,0189,0,1,075
05381,橫,0190,0,1,075
04780,松,0191,0,1,075
05293,樓,0192,0,1,075
04905,栢,0193,0,1,075
04807,枝,0194,0,1,075
05081,椎,0195,0,1,075
05374,橦,0196,0,1,075
05626,歙,0197,0,1,076
05639,歡,0198,0,1,076
05767,殪,0199,0,1,078
05717,殊,0200,0,1,078
05737,殘,0201,0,1,078
05812,毀,0202,0,1,079
05809,殿,0203,0,1,079
06310,淵,0204,0,1,085
06091,注,0205,0,1,085
06030,沘,0206,0,1,085
06317,渠,0207,0,1,085
06043,沱,0208,0,1,085
05996,汲,0209,0,1,085
06003,決,0210,0,1,085
06681,瀆,0211,0,1,085
06748,灌,0212,0,1,085
06422,溺,0213,0,1,085
M18025,滍,0214,0,1,085
06202,涕,0215,0,1,085
06568,潰,0216,0,1,085
06290,清,0217,0,1,085
06023,沒,0218,0,1,085
06058,況,0219,0,1,085
06238,淆,0220,0,1,085
05985,江,0221,0,1,085
