カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,大字典
0001,丹,003,0,,,,00069
0002,乞,005,0,,,,00108
0003,井,007,0,,,,00136
0004,仕,009,0,,,,00182
0005,他,009,0,,,,00183
0006,付,009,0,,,,00185
0007,代,009,1,4,,,00192
0008,伎,009,0,,,,00216
0009,伐,009,0,,,,00218
0010,但,009,0,,,,00240
0011,00278,009,0,,,,00278
0012,依,009,0,,,,00301
0013,侶,009,0,,,,00316
0014,俟,009,0,,,,00343
0015,俳,009,0,,,,00351
0016,倍,009,0,,,,00368
0017,倦,009,0,,,,00387
0018,停,009,0,,,,00417
0019,偶,009,0,,,,00431
0020,偸,009,0,,,,00432
0021,00451,009,0,,,,00451
0022,傳,009,0,,,,00468
0023,傾,009,0,,,,00475
0024,僕,009,0,,,,00493
0025,00529,009,0,,,,00529
0026,優,009,0,,,,00542
0027,儲,009,0,,,,00546
0028,元,010,0,,,,00560
0030,公,012,0,,,,00596
0031,典,012,0,,,,00608
0032,冀,012,0,,,,00616
0033,再,013,0,,,,00629
0034,冠,014,0,,,,00646
0035,凝,015,0,,,,00696
0036,刑,018,0,,,,00746
0037,初,018,0,,,,00759
0038,到,018,0,,,,00769
0039,則,018,0,,,,00789
0040,割,018,0,,,,00820
0041,加,019,0,,,,00858
0042,效,066,0,,,,04251
0043,00884,019,0,,,,00884
0044,動,019,0,,,,00887
0045,務,019,0,,,,00890
0046,勵,019,0,,,,00911
0047,匡,022,0,,,,00953
0048,匹,023,0,,,,00975
0049,00997,024,0,,,,00997
0050,協,024,0,,,,01007
0051,卷,026,0,,,,01040
0052,厚,027,0,,,,01068
0053,厥,027,0,,,,01079
0054,友,029,0,,,,01112
0055,反,029,0,,,,01116
0056,口,030,0,,,,01141
0057,叩,030,0,,,,01146
0058,史,030,0,,,,01157
0059,司,030,0,,,,01163
0060,吐,030,0,,,,01178
0061,吟,030,0,,,,01188
0062,咄,030,0,,,,01256
0063,哉,030,0,,,,01305
0064,咲,030,0,,,,01312
0065,哭,030,0,,,,01323
0066,哲,030,0,,,,01326
0067,唯,030,0,,,,01349
0068,喘,030,0,,,,01407
0069,嗔,030,0,,,,01447
0070,嗟,030,0,,,,01451
0071,嘆,030,0,,,,01466
0072,嘖,030,0,,,,01478
0073,嘯,030,0,,,,01484
0074,噫,030,0,,,,01524
0075,嚴,030,0,,,,01581
0077,因,031,0,,,,01611
0078,01719,032,0,,,,01719
0079,基,032,0,,,,01758
0080,堅,032,0,,,,01767
0081,墨,032,0,,,,01859
0082,墾,032,0,,,,01872
0083,壹,033,0,,,,01909
0084,奇,037,0,,,,01972
0085,奴,038,0,,,,02024
0086,妾,038,0,,,,02062
0087,姉,038,0,,,,02068
0088,姻,038,0,,,,02100
0089,娘,038,0,,,,02116
0090,婚,038,0,,,,02149
0091,婦,038,0,,,,02155
0092,媒,038,0,,,,02175
0093,嫌,038,0,,,,02203
0094,孔,039,0,,,,02264
0095,宅,040,0,,,,02306
0096,宇,040,0,,,,02307
0097,定,040,0,,,,02325
0098,室,040,0,,,,02332
0099,宴,040,0,,,,02347
0100,宿,040,0,,,,02355
0101,密,040,0,,,,02361
0102,察,040,0,,,,02383
0103,寢,040,0,,,,02387
0104,審,040,0,,,,02395
0105,寵,040,0,,,,02406
0106,封,041,0,,,,02420
0107,射,041,0,,,,02422
0108,尚,042,0,,,,02446
0109,屈,044,0,,,,02485
0110,展,044,0,,,,02496
