文字,カード番号,用例数１,用例数２,用例数３,字体数,部首番号,大字典,,,,
且,0001,,,,0,001,00020,,,,
丹,0002,,,,0,003,00069,,,,
乞,0003,,,,0,005,00108,,,,
井,0004,,,,0,007,00136,,,,
仕,0005,,,,0,009,00182,,,,
他,0006,,,,0,009,00183,,,,
付,0007,,,,0,009,00185,,,,
但,0008,,,,0,009,00240,,,,
脩,0009,,,,0,130,09462,,,,
依,0010,,,,0,009,00301,,,,
侶,0011,,,,0,009,00316,,,,
俟,0012,,,,0,009,00343,,,,
俳,0013,,,,0,009,00351,,,,
倍,0014,,,,0,009,00368,,,,
倦,0015,,,,0,009,00387,,,,
停,0016,,,,0,009,00417,,,,
偶,0017,,,,0,009,00431,,,,
偸,0018,,,,0,009,00432,,,,
00451,0019,,,,0,009,00451,,,,
傾,0020,,,,0,009,00475,,,,
僕,0021,,,,0,009,00493,,,,
00529,0022,,,,0,009,00529,,,,
優,0023,,,,0,009,00542,,,,
儲,0024,,,,0,009,00546,,,,
元,0025,,,,0,010,00560,,,,
兩,0026,,,,0,011,00591,,,,
公,0027,,,,0,012,00596,,,,
共,0028,,,,0,012,00599,,,,
典,0029,,,,0,012,00608,,,,
冀,0030,,,,0,012,00616,,,,
再,0031,,,,0,013,00629,,,,
冠,0032,,,,0,014,00646,,,,
凝,0033,,,,0,015,00696,,,,
刑,0034,,,,0,018,00746,,,,
初,0035,,,,0,018,00759,,,,
到,0036,,,,0,018,00769,,,,
則,0037,,,,0,018,00789,,,,
副,0038,,,,0,018,00818,,,,
割,0039,,,,0,018,00820,,,,
加,0040,,,,0,019,00858,,,,
效,0041,,,,0,066,04251,,,,
勅,0042,,,,0,019,00879,,,,
動,0043,,,,0,019,00887,,,,
務,0044,,,,0,019,00890,,,,
勵,0045,,,,0,019,00911,,,,
包,0046,,,,0,020,00924,,,,
匡,0047,,,,0,022,00953,,,,
00997,0048,,,,0,024,00997,,,,
卒,0049,,,,0,024,01004,,,,
協,0050,,,,0,024,01007,,,,
卷,0051,,,,0,026,01040,,,,
厚,0052,,,,0,027,01068,,,,
厥,0053,,,,0,027,01079,,,,
友,0054,,,,0,029,01112,,,,
反,0055,,,,0,029,01116,,,,
叩,0056,,,,0,030,01146,,,,
史,0057,,,,0,030,01157,,,,
司,0058,,,,0,030,01163,,,,
吐,0059,,,,0,030,01178,,,,
吟,0060,,,,0,030,01188,,,,
告,0061,,,,0,030,01219,,,,
咄,0062,,,,0,030,01256,,,,
哉,0063,,,,0,030,01305,,,,
咲,0064,,,,0,030,01312,,,,
哭,0065,,,,0,030,01323,,,,
哲,0066,,,,0,030,01326,,,,
唯,0067,,,,0,030,01349,,,,
喘,0068,,,,0,030,01407,,,,
嗔,0069,,,,0,030,01447,,,,
嗟,0070,,,,0,030,01451,,,,
嘆,0071,,,,0,030,01466,,,,
嘖,0072,,,,0,030,01478,,,,
嘯,0073,,,,0,030,01484,,,,
噫,0074,,,,0,030,01524,,,,
嚴,0075,,,,0,030,01581,,,,
因,0076,,,,0,031,01611,,,,
01719,0077,,,,0,032,01719,,,,
塞,0078,,,,0,032,01823,,,,
墨,0079,,,,0,032,01859,,,,
墾,0080,,,,0,032,01872,,,,
壹,0081,,,,0,033,01909,,,,
奇,0082,,,,0,037,01972,,,,
奴,0083,,,,0,038,02024,,,,
妾,0084,,,,0,038,02062,,,,
姉,0085,,,,0,038,02068,,,,
姻,0086,,,,0,038,02100,,,,
姫,0087,,,,0,038,02108,,,,
娘,0088,,,,0,038,02116,,,,
婚,0089,,,,0,038,02149,,,,
婦,0090,,,,0,038,02155,,,,
嫌,0091,,,,0,038,02203,,,,
孔,0092,,,,0,039,02264,,,,
孫,0093,,,,0,039,02282,,,,
宅,0094,,,,0,040,02306,,,,
宇,0095,,,,0,040,02307,,,,
定,0096,,,,0,040,02325,,,,
宴,0097,,,,0,040,02347,,,,
容,0098,,,,0,040,02352,,,,
宿,0099,,,,0,040,02355,,,,
察,0100,,,,0,040,02383,,,,
寢,0101,,,,0,040,02387,,,,
審,0102,,,,0,040,02395,,,,
寵,0103,,,,0,040,02406,,,,
封,0104,,,,0,041,02420,,,,
射,0105,,,,0,041,02422,,,,
尚,0106,,,,0,042,02446,,,,
屈,0107,,,,0,044,02485,,,,
展,0108,,,,0,044,02496,,,,
岸,0109,,,,0,046,02564,,,,
崑,0110,,,,0,046,02614,,,,
崙,0111,,,,0,046,02623,,,,
崩,0112,,,,0,046,02640,,,,
嶺,0113,,,,0,046,02734,,,,
川,0114,,,,0,047,02762,,,,
市,0115,,,,0,050,02799,,,,
布,0116,,,,0,050,02800,,,,
帛,0117,,,,0,050,02819,,,,
席,0118,,,,0,050,02839,,,,
幼,0119,,,,0,052,02909,,,,
幽,0120,,,,0,052,02912,,,,
床,0121,,,,0,053,02924,,,,
序,0122,,,,0,053,02928,,,,
