,,nto_図書紀24,nto_図書紀24,nto_図書紀24,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
00020,且,0001,0,1,001
00069,丹,0002,0,1,003
00108,乞,0003,0,1,005
00136,井,0004,0,1,007
00182,仕,0005,0,1,009
00183,他,0006,0,1,009
00185,付,0007,0,1,009
00240,但,0008,0,1,009
09462,脩,0009,0,1,130
00301,依,0010,0,1,009
00316,侶,0011,0,1,009
00343,俟,0012,0,1,009
00351,俳,0013,0,1,009
00368,倍,0014,0,1,009
00387,倦,0015,0,1,009
00417,停,0016,0,1,009
00431,偶,0017,0,1,009
00432,偷,0018,0,1,009
00451,傔,0019,0,1,009
00475,傾,0020,0,1,009
00493,僕,0021,0,1,009
00529,儐,0022,0,1,009
00542,優,0023,0,1,009
00546,儲,0024,0,1,009
00560,元,0025,0,1,010
00591,兩,0026,0,1,011
00596,公,0027,0,1,012
00599,共,0028,0,1,012
00608,典,0029,0,1,012
00616,冀,0030,0,1,012
00629,再,0031,0,1,013
00646,冠,0032,0,1,014
00696,凝,0033,0,1,015
00746,刑,0034,0,1,018
00759,初,0035,0,1,018
00769,到,0036,0,1,018
00789,則,0037,0,1,018
00818,副,0038,0,1,018
00820,割,0039,0,1,018
00858,加,0040,0,1,019
04251,效,0041,0,1,066
00879,勅,0042,0,1,019
00887,動,0043,0,1,019
00890,務,0044,0,1,019
00911,勵,0045,0,1,019
00924,包,0046,0,1,020
00953,匡,0047,0,1,022
00997,卌,0048,0,1,024
01004,卒,0049,0,1,024
01007,協,0050,0,1,024
01040,卷,0051,0,1,026
01068,厚,0052,0,1,027
01079,厥,0053,0,1,027
01112,友,0054,0,1,029
01116,反,0055,0,1,029
01146,叩,0056,0,1,030
01157,史,0057,0,1,030
01163,司,0058,0,1,030
01178,吐,0059,0,1,030
01188,吟,0060,0,1,030
01219,告,0061,0,1,030
01256,咄,0062,0,1,030
01305,哉,0063,0,1,030
01312,咲,0064,0,1,030
01323,哭,0065,0,1,030
01326,哲,0066,0,1,030
01349,唯,0067,0,1,030
01407,喘,0068,0,1,030
01447,嗔,0069,0,1,030
01451,嗟,0070,0,1,030
01466,嘆,0071,0,1,030
01478,嘖,0072,0,1,030
01484,嘯,0073,0,1,030
01524,噫,0074,0,1,030
01581,嚴,0075,0,1,030
01611,因,0076,0,1,031
01719,垗,0077,0,1,032
01823,塞,0078,0,1,032
01859,墨,0079,0,1,032
01872,墾,0080,0,1,032
01909,壹,0081,0,1,033
01972,奇,0082,0,1,037
02024,奴,0083,0,1,038
02062,妾,0084,0,1,038
02068,姉,0085,0,1,038
02100,姻,0086,0,1,038
02108,姫,0087,0,1,038
02116,娘,0088,0,1,038
02149,婚,0089,0,1,038
02155,婦,0090,0,1,038
02203,嫌,0091,0,1,038
02264,孔,0092,0,1,039
02282,孫,0093,0,1,039
02306,宅,0094,0,1,040
02307,宇,0095,0,1,040
02325,定,0096,0,1,040
02347,宴,0097,0,1,040
02352,容,0098,0,1,040
02355,宿,0099,0,1,040
02383,察,0100,0,1,040
02387,寢,0101,0,1,040
02395,審,0102,0,1,040
02406,寵,0103,0,1,040
02420,封,0104,0,1,041
02422,射,0105,0,1,041
02446,尚,0106,0,1,042
02485,屈,0107,0,1,044
02496,展,0108,0,1,044
02564,岸,0109,0,1,046
02614,崑,0110,0,1,046
02623,崙,0111,0,1,046
02640,崩,0112,0,1,046
02734,嶺,0113,0,1,046
02762,川,0114,0,1,047
02799,市,0115,0,1,050
02800,布,0116,0,1,050
02819,帛,0117,0,1,050
02839,席,0118,0,1,050
02909,幼,0119,0,1,052
02912,幽,0120,0,1,052
02924,床,0121,0,1,053
02928,序,0122,0,1,053
02944,度,0123,0,1,053
02963,庸,0124,0,1,053
02989,廟,0125,0,1,053
05770,殫,0126,0,1,078
03084,彌,0127,0,1,057
03142,徑,0128,0,1,060
03143,徒,0129,0,1,060
03219,忽,0130,0,1,061
03239,思,0131,0,1,061
03243,急,0132,0,1,061
03244,性,0133,0,1,061
03291,恨,0134,0,1,061
03292,恩,0135,0,1,061
03297,恭,0136,0,1,061
03329,患,0137,0,1,061
03348,情,0138,0,1,061
03355,惑,0139,0,1,061
03391,愈,0140,0,1,061
03404,愚,0141,0,1,061
03409,感,0142,0,1,061
03439,慈,0143,0,1,061
03469,慰,0144,0,1,061
03585,懷,0145,0,1,061
03586,懸,0146,0,1,061
03589,懼,0147,0,1,061
03592,懾,0148,0,1,061
03612,戒,0149,0,1,062
03646,房,0150,0,1,063
03700,把,0151,0,1,064
03720,抱,0152,0,1,064
03747,拒,0153,0,1,064
03778,拾,0154,0,1,064
03804,挺,0155,0,1,064
03809,挾,0156,0,1,064
03851,掃,0157,0,1,064
03856,掉,0158,0,1,064
03858,掌,0159,0,1,064
03867,掛,0160,0,1,064
03872,採,0161,0,1,064
03880,推,0162,0,1,064
03881,掩,0163,0,1,064
03907,換,0164,0,1,064
03921,揮,0165,0,1,064
04072,撲,0166,0,1,064
04095,擐,0167,0,1,064
04122,擬,0168,0,1,064
04084,擅,0169,0,1,064
04130,擲,0170,0,1,064
04228,改,0171,0,1,066
04262,敏,0172,0,1,066
04277,敢,0173,0,1,066
04280,散,0174,0,1,066
04402,旅,0175,0,1,070
04406,旋,0176,0,1,070
04412,族,0177,0,1,070
04447,旦,0178,0,1,072
04461,旱,0179,0,1,072
04518,昵,0180,0,1,072
04539,晩,0181,0,1,072
04608,暴,0182,0,1,072
