カード番号,文字,部首番号,字体数,用例数1,用例数2,用例数3,用例数4,大字典,,,,,
0001,丹,003,0,,,,,00069,,,,,
0002,乞,005,0,,,,,00108,,,,,
0003,井,007,0,,,,,00136,,,,,
0004,仕,009,0,,,,,00182,,,,,
0005,他,009,0,,,,,00183,,,,,
0006,付,009,0,,,,,00185,,,,,
0007,伎,009,0,,,,,00216,,,,,
0008,伐,009,0,,,,,00218,,,,,
0009,但,009,0,,,,,00240,,,,,
0010,00278,009,0,,,,,00278,,,,,
0011,依,009,0,,,,,00301,,,,,
0012,侶,009,0,,,,,00316,,,,,
0013,俟,009,0,,,,,00343,,,,,
0014,俳,009,0,,,,,00351,,,,,
0015,倍,009,0,,,,,00368,,,,,
0016,倦,009,0,,,,,00387,,,,,
0017,停,009,0,,,,,00417,,,,,
0018,偶,009,0,,,,,00431,,,,,
0019,偸,009,0,,,,,00432,,,,,
0020,00451,009,0,,,,,00451,,,,,
0021,溥,009,0,,,,,06409,,,,,
0022,傾,009,0,,,,,00475,,,,,
0023,僕,009,0,,,,,00493,,,,,
0024,00529,009,0,,,,,00529,,,,,
0025,優,009,0,,,,,00542,,,,,
0026,儲,009,0,,,,,00546,,,,,
0027,元,010,0,,,,,00560,,,,,
0028,公,012,0,,,,,00596,,,,,
0029,典,012,0,,,,,00608,,,,,
0030,冀,012,0,,,,,00616,,,,,
0031,再,013,0,,,,,00629,,,,,
0032,冠,014,0,,,,,00646,,,,,
0033,凝,015,0,,,,,00696,,,,,
0034,刑,018,0,,,,,00746,,,,,
0035,初,018,0,,,,,00759,,,,,
0036,到,018,0,,,,,00769,,,,,
0037,則,018,0,,,,,00789,,,,,
0038,副,018,0,,,,,00818,,,,,
0039,割,018,0,,,,,00820,,,,,
0040,加,019,0,,,,,00858,,,,,
0041,效,066,0,,,,,04251,,,,,
0042,勅,019,0,,,,,00879,,,,,
0043,動,019,0,,,,,00887,,,,,
0044,務,019,0,,,,,00890,,,,,
0045,勵,019,0,,,,,00911,,,,,
0046,匡,022,0,,,,,00953,,,,,
0047,匹,023,0,,,,,00975,,,,,
0048,00997,024,0,,,,,00997,,,,,
0049,卒,024,0,,,,,01004,,,,,
0050,協,024,0,,,,,01007,,,,,
0051,卷,026,0,,,,,01040,,,,,
0052,厚,027,0,,,,,01068,,,,,
0053,厥,027,0,,,,,01079,,,,,
0054,友,029,0,,,,,01112,,,,,
0055,反,029,0,,,,,01116,,,,,
0056,口,030,0,,,,,01141,,,,,
0057,叩,030,0,,,,,01146,,,,,
0058,史,030,0,,,,,01157,,,,,
0059,司,030,0,,,,,01163,,,,,
0060,吟,030,0,,,,,01188,,,,,
0061,哉,030,0,,,,,01305,,,,,
0062,咲,030,0,,,,,01312,,,,,
0063,哭,030,0,,,,,01323,,,,,
0064,哲,030,0,,,,,01326,,,,,
0065,唯,030,0,,,,,01349,,,,,
0066,喘,030,0,,,,,01407,,,,,
0067,嗔,030,0,,,,,01447,,,,,
0068,嗟,030,0,,,,,01451,,,,,
0069,嘆,030,0,,,,,01466,,,,,
0070,嘖,030,0,,,,,01478,,,,,
0071,嘯,030,0,,,,,01484,,,,,
0072,噫,030,0,,,,,01524,,,,,
0073,嚴,030,0,,,,,01581,,,,,
0074,因,031,0,,,,,01611,,,,,
0075,堅,032,0,,,,,01767,,,,,
0076,01719,032,0,,,,,01719,,,,,
0077,墨,032,0,,,,,01859,,,,,
0078,墾,032,0,,,,,01872,,,,,
