統合ID,文字,兼右書紀,字体数,用例数,部首
00069,丹,0001,0,1,003
00108,乞,0002,0,1,005
00136,井,0003,0,1,007
00182,仕,0004,0,1,009
00183,他,0005,0,1,009
00185,付,0006,0,1,009
00216,伎,0007,0,1,009
00218,伐,0008,0,1,009
00240,但,0009,0,1,009
00278,佾,0010,0,1,009
00301,依,0011,0,1,009
00316,侶,0012,0,1,009
00343,俟,0013,0,1,009
00351,俳,0014,0,1,009
00368,倍,0015,0,1,009
00387,倦,0016,0,1,009
00417,停,0017,0,1,009
00431,偶,0018,0,1,009
00432,偷,0019,0,1,009
00451,傔,0020,0,1,009
06409,溥,0021,0,1,085
00475,傾,0022,0,1,009
00493,僕,0023,0,1,009
00529,儐,0024,0,1,009
00542,優,0025,0,1,009
00546,儲,0026,0,1,009
00560,元,0027,0,1,010
00596,公,0028,0,1,012
00608,典,0029,0,1,012
00616,冀,0030,0,1,012
00629,再,0031,0,1,013
00646,冠,0032,0,1,014
00696,凝,0033,0,1,015
00746,刑,0034,0,1,018
00759,初,0035,0,1,018
00769,到,0036,0,1,018
00789,則,0037,0,1,018
00818,副,0038,0,1,018
00820,割,0039,0,1,018
00858,加,0040,0,1,019
04251,效,0041,0,1,066
00879,勅,0042,0,1,019
00887,動,0043,0,1,019
00890,務,0044,0,1,019
00911,勵,0045,0,1,019
00953,匡,0046,0,1,022
00975,匹,0047,0,1,023
00997,卌,0048,0,1,024
01004,卒,0049,0,1,024
01007,協,0050,0,1,024
01040,卷,0051,0,1,026
01068,厚,0052,0,1,027
01079,厥,0053,0,1,027
01112,友,0054,0,1,029
01116,反,0055,0,1,029
01141,口,0056,0,1,030
01146,叩,0057,0,1,030
01157,史,0058,0,1,030
01163,司,0059,0,1,030
01188,吟,0060,0,1,030
01305,哉,0061,0,1,030
01312,咲,0062,0,1,030
01323,哭,0063,0,1,030
01326,哲,0064,0,1,030
01349,唯,0065,0,1,030
01407,喘,0066,0,1,030
01447,嗔,0067,0,1,030
01451,嗟,0068,0,1,030
01466,嘆,0069,0,1,030
01478,嘖,0070,0,1,030
01484,嘯,0071,0,1,030
01524,噫,0072,0,1,030
01581,嚴,0073,0,1,030
01611,因,0074,0,1,031
01767,堅,0075,0,1,032
01719,垗,0076,0,1,032
01859,墨,0077,0,1,032
01872,墾,0078,0,1,032
01809,塋,0079,0,1,032
01909,壹,0080,0,1,033
01972,奇,0081,0,1,037
02100,姻,0082,0,1,038
02024,奴,0083,0,1,038
02068,姉,0084,0,1,038
02062,妾,0085,0,1,038
02116,娘,0086,0,1,038
02149,婚,0087,0,1,038
02155,婦,0088,0,1,038
02175,媒,0089,0,1,038
02203,嫌,0090,0,1,038
02264,孔,0091,0,1,039
02307,宇,0092,0,1,040
02306,宅,0093,0,1,040
02325,定,0094,0,1,040
02332,室,0095,0,1,040
02347,宴,0096,0,1,040
02355,宿,0097,0,1,040
02383,察,0098,0,1,040
02387,寢,0099,0,1,040
02395,審,0100,0,1,040
02406,寵,0101,0,1,040
02352,容,0102,0,1,040
02420,封,0103,0,1,041
02422,射,0104,0,1,041
02446,尚,0105,0,1,042
02485,屈,0106,0,1,044
02496,展,0107,0,1,044
02515,屬,0108,0,1,044
02564,岸,0109,0,1,046
02614,崑,0110,0,1,046
02623,崙,0111,0,1,046
02734,嶺,0112,0,1,046
02762,川,0113,0,1,047
02799,市,0114,0,1,050
02800,布,0115,0,1,050
02819,帛,0116,0,1,050
02839,席,0117,0,1,050
02883,幣,0118,0,1,050
02909,幼,0119,0,1,052
02912,幽,0120,0,1,052
02924,床,0121,0,1,053
02928,序,0122,0,1,053
02963,庸,0123,0,1,053
02989,廟,0124,0,1,053
03027,弊,0125,0,1,055
03039,弑,0126,0,1,056
03079,彈,0127,0,1,057
03084,彌,0128,0,1,057
03106,彦,0129,0,1,059
03142,徑,0130,0,1,060
03143,徒,0131,0,1,060
03203,忠,0132,0,1,061
03219,忽,0133,0,1,061
03239,思,0134,0,1,061
03243,急,0135,0,1,061
03244,性,0136,0,1,061
03291,恨,0137,0,1,061
03297,恭,0138,0,1,061
03329,患,0139,0,1,061
03348,情,0140,0,1,061
03355,惑,0141,0,1,061
03366,惠,0142,0,1,061
03391,愈,0143,0,1,061
03404,愚,0144,0,1,061
03409,感,0145,0,1,061
03439,慈,0146,0,1,061
03469,慰,0147,0,1,061
03585,懷,0148,0,1,061
03589,懼,0149,0,1,061
03592,懾,0150,0,1,061
03612,戒,0151,0,1,062
03646,房,0152,0,1,063
03700,把,0153,0,1,064
03720,抱,0154,0,1,064
03747,拒,0155,0,1,064
03778,拾,0156,0,1,064
03804,挺,0157,0,1,064
03809,挾,0158,0,1,064
03818,捉,0159,0,1,064
03851,掃,0160,0,1,064
03856,掉,0161,0,1,064
03858,掌,0162,0,1,064
03872,採,0163,0,1,064
03880,推,0164,0,1,064
03881,掩,0165,0,1,064
03907,換,0166,0,1,064
03921,揮,0167,0,1,064
04072,撲,0168,0,1,064
04095,擐,0169,0,1,064
04122,擬,0170,0,1,064
04084,擅,0171,0,1,064
04130,擲,0172,0,1,064
04277,敢,0173,0,1,066
04280,散,0174,0,1,066
04296,敷,0175,0,1,066
04402,旅,0176,0,1,070
04406,旋,0177,0,1,070
04412,族,0178,0,1,070
04461,旱,0179,0,1,072
04499,星,0180,0,1,072
04539,晩,0181,0,1,072
04518,昵,0182,0,1,072
04608,暴,0183,0,1,072
04653,曳,0184,0,1,073
04660,曼,0185,0,1,073
04679,服,0186,0,1,074
04688,朕,0187,0,1,074
04699,期,0188,0,1,074
04712,末,0189,0,1,075
04738,材,0190,0,1,075
04747,杜,0191,0,1,075
04781,板,0192,0,1,075
04803,林,0193,0,1,075
04805,枚,0194,0,1,075
04813,枯,0195,0,1,075
04875,柵,0196,0,1,075
04930,桃,0197,0,1,075
M14784,桙,0198,0,1,075
05087,椒,0199,0,1,075
05210,榮,0200,0,1,075
05237,槍,0201,0,1,075
05272,槻,0202,0,1,075
05279,樂,0203,0,1,075
05361,橘,0204,0,1,075
05391,檀,0205,0,1,075
05428,檮,0206,0,1,075
05557,欠,0207,0,1,076
05561,欣,0208,0,1,076
05612,歎,0209,0,1,076
05707,殆,0210,0,1,078
05737,殘,0211,0,1,078
05845,毗,0212,0,1,081
05850,毛,0213,0,1,082
05957,永,0214,0,1,085
05963,汁,0215,0,1,085
06003,決,0216,0,1,085
06009,沃,0217,0,1,085
06087,泣,0218,0,1,085
06149,派,0219,0,1,085
06192,消,0220,0,1,085
06272,淨,0221,0,1,085
06291,淹,0222,0,1,085
06404,溝,0223,0,1,085
06408,溢,0224,0,1,085
06432,滅,0225,0,1,085
06445,滑,0226,0,1,085
06517,漸,0227,0,1,085
06541,潦,0228,0,1,085
06548,潛,0229,0,1,085
06553,潤,0230,0,1,085
06603,澤,0231,0,1,085
06681,瀆,0232,0,1,085
06776,火,0233,0,1,086
06784,灰,0234,0,1,086
06791,灼,0235,0,1,086
06895,煮,0236,0,1,086
06918,照,0237,0,1,086
06921,煩,0238,0,1,086
06949,熟,0239,0,1,086
06984,營,0240,0,1,086
07017,爛,0241,0,1,086
07072,牛,0242,0,1,093
07086,特,0243,0,1,093
07112,犯,0244,0,1,094
07122,狀,0245,0,1,094
07192,猪,0246,0,1,094
07200,猴,0247,0,1,094
07203,猶,0248,0,1,094
07244,獵,0249,0,1,094
07248,獸,0250,0,1,094
07346,瑞,0251,0,1,096
07456,甘,0252,0,1,099
07464,産,0253,0,1,100
07483,男,0254,0,1,102
07487,町,0255,0,1,102
07513,畜,0256,0,1,102
07557,疏,0257,0,1,103
07613,痛,0258,0,1,104
07674,癈,0259,0,1,104
07685,癡,0260,0,1,104
07706,登,0261,0,1,105
07739,皮,0262,0,1,107
07759,益,0263,0,1,108
07770,盛,0264,0,1,108
07771,盜,0265,0,1,108
07827,眞,0266,0,1,109
07839,眷,0267,0,1,109
07843,眼,0268,0,1,109
07860,睡,0269,0,1,109
07870,睹,0270,0,1,109
07907,瞻,0271,0,1,109
07937,矢,0272,0,1,111
07986,破,0273,0,1,112
08047,磐,0274,0,1,112
08165,禮,0275,0,1,113
08107,祇,0276,0,1,113
08123,祝,0277,0,1,113
08141,祿,0278,0,1,113
08167,禱,0279,0,1,113
08172,禹,0280,0,1,114
08176,禽,0281,0,1,114
08204,秦,0282,0,1,115
08235,稜,0283,0,1,115
08252,稷,0284,0,1,115
08256,稻,0285,0,1,115
08273,穗,0286,0,1,115
08293,究,0287,0,1,116
08300,穿,0288,0,1,116
08353,竊,0289,0,1,116
08365,竟,0290,0,1,117
11258,豎,0291,0,1,151
08408,符,0292,0,1,118
08437,答,0293,0,1,118
08483,箱,0294,0,1,118
08619,籠,0295,0,1,118
08664,粟,0296,0,1,119
08735,紀,0297,0,1,120
08759,級,0298,0,1,120
08779,細,0299,0,1,120
08870,綠,0300,0,1,120
08924,緣,0301,0,1,120
08972,縣,0302,0,1,120
09020,繞,0303,0,1,120
09132,罵,0304,0,1,122
09150,羊,0305,0,1,123
09177,義,0306,0,1,123
09191,羹,0307,0,1,123
09251,考,0308,0,1,125
09292,耶,0309,0,1,128
09463,脱,0310,0,1,130
09568,臂,0311,0,1,130
09657,舟,0312,0,1,137
09674,舸,0313,0,1,137
09694,艘,0314,0,1,137
09714,良,0315,0,1,138
09742,芝,0316,0,1,140
09788,若,0317,0,1,140
09810,茅,0318,0,1,140
09886,莫,0319,0,1,140
09910,菜,0320,0,1,140
09919,菩,0321,0,1,140
09954,萬,0322,0,1,140
09960,萼,0323,0,1,140
09961,落,0324,0,1,140
09972,著,0325,0,1,140
10050,蓮,0326,0,1,140
10043,蓐,0327,0,1,140
10093,蕃,0328,0,1,140
10163,薩,0329,0,1,140
10189,藍,0330,0,1,140
10201,藝,0331,0,1,140
10270,處,0332,0,1,141
10391,蜂,0333,0,1,142
10457,蝕,0334,0,1,142
10414,蜜,0335,0,1,142
10599,蠶,0336,0,1,142
10667,袍,0337,0,1,145
10698,裂,0338,0,1,145
10703,裏,0339,0,1,145
10705,裒,0340,0,1,145
10774,襃,0341,0,1,145
10822,要,0342,0,1,146
10834,覓,0343,0,1,147
10848,親,0344,0,1,147
10856,覺,0345,0,1,147
10887,觸,0346,0,1,148
10896,計,0347,0,1,149
10913,託,0348,0,1,149
10957,詐,0349,0,1,149
10975,試,0350,0,1,149
10986,話,0351,0,1,149
11020,誤,0352,0,1,149
11029,課,0353,0,1,149
11171,識,0354,0,1,149
11222,讓,0355,0,1,149
11311,貌,0356,0,1,153
11338,貧,0357,0,1,154
11359,費,0358,0,1,154
11445,赤,0359,0,1,155
11976,迹,0360,0,1,162
11716,躬,0361,0,1,158
11801,輔,0362,0,1,159
11914,辭,0363,0,1,160
11984,逃,0364,0,1,162
12000,通,0365,0,1,162
12027,逸,0366,0,1,162
12040,遇,0367,0,1,162
12042,遊,0368,0,1,162
12043,運,0369,0,1,162
12051,道,0370,0,1,162
12054,違,0371,0,1,162
12070,遠,0372,0,1,162
12093,遷,0373,0,1,162
12097,遺,0374,0,1,162
12103,避,0375,0,1,162
12134,那,0376,0,1,163
12212,鄙,0377,0,1,163
12234,鄰,0378,0,1,163
12266,酒,0379,0,1,164
12372,里,0380,0,1,166
12441,鉤,0381,0,1,167
12451,銀,0382,0,1,167
12482,鋌,0383,0,1,167
12494,鋪,0384,0,1,167
12573,鎖,0385,0,1,167
12654,鐵,0386,0,1,167
12680,鑪,0387,0,1,167
12716,開,0388,0,1,169
12767,,0389,0,1,169
