カード番号,文字,部首番号,字体数,用例数1,用例数2,用例数3,大字典
0001,丈,001,0,,,,00006
0002,且,001,0,,,,00020
0003,丹,003,0,,,,00069
0004,乞,005,0,,,,00108
0005,井,007,0,,,,00136
0006,仕,009,0,,,,00182
0007,他,009,0,,,,00183
0008,付,009,0,,,,00185
0009,伎,009,0,,,,00216
0010,伐,009,0,,,,00218
0011,但,009,0,,,,00240
0012,00278,009,0,,,,00278
0013,依,009,0,,,,00301
0014,侶,009,0,,,,00316
0015,俟,009,0,,,,00343
0016,俳,009,0,,,,00351
0017,倦,009,0,,,,00387
0018,停,009,0,,,,00417
0019,偶,009,0,,,,00431
0020,偸,009,0,,,,00432
0021,00451,009,0,,,,00451
0022,傾,009,0,,,,00475
0023,僕,009,0,,,,00493
0024,00529,009,0,,,,00529
0025,優,009,0,,,,00542
0026,儲,009,0,,,,00546
0027,元,010,0,,,,00560
0028,兩,011,0,,,,00591
0029,公,012,0,,,,00596
0030,典,012,0,,,,00608
0031,冀,012,0,,,,00616
0032,再,013,0,,,,00629
0033,冠,014,0,,,,00646
0034,凝,015,0,,,,00696
0035,刑,018,0,,,,00746
0036,初,018,0,,,,00759
0037,到,018,0,,,,00769
0038,則,018,0,,,,00789
0039,副,018,0,,,,00818
0040,割,018,0,,,,00820
0041,加,019,0,,,,00858
0042,效,066,0,,,,04251
0043,勅,019,0,,,,00879
0044,動,019,0,,,,00887
0045,務,019,0,,,,00890
0046,勵,019,0,,,,00911
0047,匡,022,0,,,,00953
0048,00997,024,0,,,,00997
0049,卒,024,0,,,,01004
0050,協,024,0,,,,01007
0051,卷,026,0,,,,01040
0052,厚,027,0,,,,01068
0053,厥,027,0,,,,01079
0054,友,029,0,,,,01112
0055,反,029,0,,,,01116
0056,口,030,0,,,,01141
0057,叩,030,0,,,,01146
0058,史,030,0,,,,01157
0059,司,030,0,,,,01163
0060,吟,030,0,,,,01188
0061,哉,030,0,,,,01305
0062,咲,030,0,,,,01312
0063,哭,030,0,,,,01323
0064,哲,030,0,,,,01326
0065,唯,030,0,,,,01349
0066,喘,030,0,,,,01407
0067,嗔,030,0,,,,01447
0068,嗟,030,0,,,,01451
0069,嘆,030,0,,,,01466
0070,嘖,030,0,,,,01478
0071,嘯,030,0,,,,01484
0072,噫,030,0,,,,01524
0073,嚴,030,0,,,,01581
0075,堅,032,0,,,,01767
0076,墨,032,0,,,,01859
0077,墾,032,0,,,,01872
0078,壹,033,0,,,,01909
0079,夷,037,0,,,,01961
0080,奇,037,0,,,,01972
0081,奴,038,0,,,,02024
0082,妾,038,0,,,,02062
0083,姉,038,0,,,,02068
0084,姻,038,0,,,,02100
0085,娘,038,0,,,,02116
0086,婚,038,0,,,,02149
0087,婦,038,0,,,,02155
0088,嫌,038,0,,,,02203
0089,孔,039,0,,,,02264
0090,宅,040,0,,,,02306
0091,宇,040,0,,,,02307
0092,定,040,0,,,,02325
0093,宴,040,0,,,,02347
0094,容,040,0,,,,02352
0095,宿,040,0,,,,02355
0096,察,040,0,,,,02383
0097,寢,040,0,,,,02387
0098,審,040,0,,,,02395
0099,寵,040,0,,,,02406
0100,封,041,0,,,,02420
0101,射,041,0,,,,02422
0102,導,041,0,,,,02436
0103,尚,042,0,,,,02446
0104,屈,044,0,,,,02485
0105,展,044,0,,,,02496
0106,屬,044,0,,,,02515
0107,岸,046,0,,,,02564
0108,崑,046,0,,,,02614
0109,崙,046,0,,,,02623
0110,嶺,046,0,,,,02734
0111,川,047,0,,,,02762
0112,市,050,0,,,,02799
0113,布,050,0,,,,02800
0114,帛,050,0,,,,02819
0115,席,050,0,,,,02839
0116,幼,052,0,,,,02909
0117,幽,052,0,,,,02912
0118,床,053,0,,,,02924
0119,序,053,0,,,,02928
0120,度,053,0,,,,02944
0121,庸,053,0,,,,02963
0122,廟,053,0,,,,02989
0123,廢,053,0,,,,02992
0124,殫,078,0,,,,05770
0125,彌,057,0,,,,03084
0126,彦,059,0,,,,03106
0127,徑,060,0,,,,03142
0128,徒,060,0,,,,03143
