カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号,
0001,丹,0,,,,00069,003,
0002,乙,0,,,,00104,005,
0003,乾,0,,,,00118,005,
0004,爭,0,,,,07028,006,
0005,儀,0,,,,00516,009,
0006,休,0,,,,00219,009,
0007,介,0,,,,00176,009,
0008,僕,0,,,,00493,009,
0009,俯,0,,,,00349,009,
0010,僉,0,,,,00483,009,
0011,假,0,,,,00405,009,
0012,備,0,,,,00455,009,
0013,仕,0,,,,00182,009,
0014,任,0,,,,00206,009,
0015,低,0,,,,00244,009,
0016,伴,0,,,,00230,009,
0017,伽,0,,,,00236,009,
0018,倍,0,,,,00368,009,
0019,信,0,,,,00345,009,
0020,佃,0,,,,00238,009,
0021,俾,0,,,,00360,009,
0022,倫,0,,,,00391,009,
0023,俄,0,,,,00325,009,
0024,倶,0,,,,00350,009,
0025,債,0,,,,00471,009,
0026,00264,0,,,,00264,009,
0027,停,0,,,,00417,009,
0028,冀,0,,,,00616,012,
0029,冒,0,,,,00636,013,
0030,周,0,,,,01235,030,
0031,凝,0,,,,00696,015,
0032,凶,0,,,,00718,017,
0033,切,0,,,,00735,018,
0034,削,0,,,,00791,018,
0035,助,0,,,,00863,019,
0036,功,0,,,,00857,019,
0037,勾,0,,,,00918,020,
0038,匍,0,,,,00930,020,
0039,匐,0,,,,00932,020,
0040,卒,0,,,,01004,024,
0041,雁,0,,,,12957,172,
0042,厄,0,,,,01058,027,
0043,厚,0,,,,01068,027,
0044,友,0,,,,01112,029,
0045,反,0,,,,01116,029,
0046,哭,0,,,,01323,030,
0047,咀,0,,,,01255,030,
0048,啓,0,,,,01373,030,
0049,嚢,0,,,,01595,030,
0050,呪,0,,,,01236,030,
0051,01532,0,,,,01532,030,
0052,嗟,0,,,,01451,030,
0053,吠,0,,,,01189,030,
0054,嚼,0,,,,01584,030,
0055,句,0,,,,01143,030,
0056,哀,0,,,,01295,030,
0057,墜,0,,,,01851,032,
0058,域,0,,,,01745,032,
0059,01779,0,,,,01779,032,
0060,境,0,,,,01839,032,
0061,壤,0,,,,01899,032,
0062,墮,0,,,,01863,032,
0063,垣,0,,,,01727,032,
0064,壷,0,,,,01908,033,
0065,壽,0,,,,01913,033,
0066,外,0,,,,01934,036,
0067,夷,0,,,,01961,037,
0068,奇,0,,,,01972,037,
0069,奏,0,,,,01981,037,
0070,夫,0,,,,01949,037,
0071,奄,0,,,,01968,037,
0072,奔,0,,,,01986,037,
0073,婆,0,,,,02142,038,
0074,娑,0,,,,02110,038,
0075,姥,0,,,,02090,038,
0076,姓,0,,,,02077,038,
0077,妊,0,,,,02035,038,
0078,妍,0,,,,02098,038,
0079,妙,0,,,,02045,038,
0080,好,0,,,,02029,038,
0081,02040,0,,,,02056,038,
0082,婦,0,,,,02155,038,
0083,嬰,0,,,,02248,038,
0084,姨,0,,,,02093,038,
0085,學,0,,,,02293,039,
0086,存,0,,,,02268,039,
0087,寛,0,,,,02397,040,
0088,察,0,,,,02383,040,
0089,審,0,,,,02395,040,
0090,寧,0,,,,02392,040,
0091,宇,0,,,,02307,040,
0092,宗,0,,,,02322,040,
0093,導,0,,,,02436,041,
0094,屈,0,,,,02485,044,
0095,屏,0,,,,02499,044,
0096,尻,0,,,,02472,044,
0097,峻,0,,,,02598,046,
0098,島,0,,,,02594,046,
0099,市,0,,,,02799,050,
0100,帆,0,,,,02801,050,
0101,希,0,,,,02806,050,
0102,并,0,,,,02902,051,
0103,幾,0,,,,02915,052,
0104,幽,0,,,,02912,052,
0105,廢,0,,,,02992,053,
0106,度,0,,,,02944,053,
0107,廻,0,,,,03008,054,
0108,弭,0,,,,03060,057,
0109,弱,0,,,,03064,057,
0110,形,0,,,,03101,059,
0111,徒,0,,,,03143,060,
0112,悉,0,,,,03312,061,
0113,怪,0,,,,03248,061,
0114,慰,0,,,,03469,061,
0115,慶,0,,,,03474,061,
0116,恩,0,,,,03292,061,
0117,悽,0,,,,03345,061,
0118,惟,0,,,,03365,061,
0119,恥,0,,,,03289,061,
0120,忘,0,,,,03196,061,
0121,恙,0,,,,03277,061,
0122,愍,0,,,,03402,061,
0123,恆,0,,,,03267,061,
0124,03188,0,,,,03188,061,
0125,戮,0,,,,03632,062,
0126,截,0,,,,03628,062,
0127,戻,0,,,,03645,063,
0128,拔,0,,,,03750,064,
0129,攀,0,,,,04146,064,
0130,捫,0,,,,03837,064,
0131,拭,0,,,,03765,064,
0132,扶,0,,,,03686,064,
0133,打,0,,,,03666,064,
0134,拾,0,,,,03778,064,
0135,握,0,,,,03911,064,
0136,捉,0,,,,03818,064,
0137,拜,0,,,,03761,064,
0138,推,0,,,,03880,064,
0139,換,0,,,,03907,064,
0140,招,0,,,,03758,064,
0141,支,0,,,,04216,065,
0142,改,0,,,,04228,066,
0143,敬,0,,,,04286,066,
0144,整,0,,,,04303,066,
0145,斥,0,,,,04363,069,
0146,斫,0,,,,04368,069,
0147,斬,0,,,,04369,069,
0148,泥,0,,,,06088,085,
0149,施,0,,,,04391,070,
0150,昵,0,,,,04518,072,
0151,暴,0,,,,04608,072,
0152,星,0,,,,04499,072,
0153,朋,0,,,,04676,074,
0154,股,0,,,,09364,130,
0155,服,0,,,,04679,074,
0156,權,0,,,,05529,075,
0157,槃,0,,,,05228,075,
0158,橘,0,,,,05361,075,
0159,條,0,,,,04984,075,
0160,楫,0,,,,05414,075,
0161,樂,0,,,,05279,075,
0162,抄,0,,,,03694,064,
0163,東,0,,,,04765,075,
0164,板,0,,,,04781,075,
0165,柱,0,,,,04871,075,
0166,株,0,,,,04908,075,
0167,柩,0,,,,04865,075,
0168,杖,0,,,,04743,075,
0169,款,0,,,,05591,076,
0170,欣,0,,,,05561,076,
0171,歩,0,,,,05645,077,
0172,殘,0,,,,05737,078,
0173,殯,0,,,,05777,078,
0174,殊,0,,,,05717,078,
0175,殆,0,,,,05707,078,
0176,氏,0,,,,05932,083,
0177,氣,0,,,,05947,084,
0178,源,0,,,,06396,085,
0179,渟,0,,,,06316,085,
0180,泣,0,,,,06087,085,
0181,流,0,,,,06151,085,
0182,酒,0,,,,12266,164,
0183,沸,0,,,,06050,085,
0184,渠,0,,,,06317,085,
0185,濃,0,,,,06611,085,
0186,洪,0,,,,06134,085,
0187,漂,0,,,,06480,085,
0188,瀛,0,,,,06704,085,
0189,烏,0,,,,06835,086,
0190,熱,0,,,,06957,086,
0191,焦,0,,,,06874,086,
0192,燒,0,,,,06978,086,
0193,烟,0,,,,06847,086,
0194,燃,0,,,,06969,086,
0195,態,0,,,,03442,061,
0196,燼,0,,,,06997,086,
0197,牆,0,,,,07047,090,
0198,牙,0,,,,07065,092,
0199,犢,0,,,,07106,093,
0200,獵,0,,,,07244,094,
0201,玄,0,,,,07256,095,
0202,瑜,0,,,,07345,096,
0203,珥,0,,,,07294,096,
0204,佩,0,,,,07299,096,
0205,瓶,0,,,,07426,098,
0206,甍,0,,,,07444,098,
0207,甜,0,,,,07459,099,
0208,畏,0,,,,07503,102,
0209,申,0,,,,07481,102,
0210,異,0,,,,07530,102,
0211,畔,0,,,,07507,102,
0212,疏,0,,,,07557,103,
0213,發,0,,,,07707,105,
0214,皮,0,,,,07739,107,
0215,直,0,,,,07799,109,
0216,看,0,,,,07817,109,
0217,睨,0,,,,07867,109,
0218,眼,0,,,,07843,109,
0219,罷,0,,,,09133,122,
0220,羅,0,,,,09144,122,
0221,矩,0,,,,07944,111,
0222,碎,0,,,,08016,112,
0223,破,0,,,,07986,112,
0224,祀,0,,,,08103,113,
0225,祚,0,,,,08119,113,
0226,祝,0,,,,08123,113,
0227,祈,0,,,,08108,113,
0228,禮,0,,,,08165,113,
0229,豎,0,,,,08373,117,
0230,竟,0,,,,08365,117,
0231,端,0,,,,08376,117,
0232,篤,0,,,,08522,118,
0233,箭,0,,,,08479,118,
0234,筒,0,,,,08435,118,
0235,粟,0,,,,08664,119,
0236,總,0,,,,08993,120,
0237,細,0,,,,08779,120,
0238,08762,0,,,,08762,120,
0239,紀,0,,,,08735,120,
0240,繋,0,,,,09030,120,
0241,縫,0,,,,08976,120,
0242,纏,0,,,,09064,120,
0243,紐,0,,,,08748,120,
0244,羂,0,,,,09142,122,
0245,義,0,,,,09177,123,
0246,羣,0,,,,09175,123,
0247,耀,0,,,,09249,124,
0248,聽,0,,,,09335,128,
0249,聲,0,,,,09328,128,
0250,膝,0,,,,09541,130,
0251,脱,0,,,,09463,130,
0252,肩,0,,,,09370,130,
0253,肯,0,,,,09377,130,
0254,臂,0,,,,09568,130,
0255,腋,0,,,,09483,130,
0256,臺,1,2,,,09617,133,
0257,09627,0,,,,09627,134,
0258,舍,0,,,,09638,135,
0259,苗,0,,,,09778,140,
0260,薄,0,,,,10139,140,
0261,薙,0,,,,10153,140,
0262,菟,0,,,,09911,140,
0263,茸,0,,,,09835,140,
0264,蒼,0,,,,10031,140,
0265,蛇,0,,,,10349,142,
0266,術,0,,,,10618,144,
0267,襤,0,,,,10798,145,
0268,褸,0,,,,10766,145,
0269,襁,0,,,,10773,145,
0270,裝,0,,,,10715,145,
0272,衣,0,,,,10637,145,
0273,裳,0,,,,10724,145,
0274,裔,0,,,,10708,145,
0275,覽,0,,,,10857,147,
0276,觀,0,,,,10859,147,
0277,解,0,,,,10875,148,
0278,識,0,,,,11171,149,
0279,詣,0,,,,10974,149,
0280,謎,0,,,,11109,149,
0281,謀,0,,,,11092,149,
0282,討,0,,,,10902,149,
0283,該,0,,,,10987,149,
0284,訶,0,,,,10936,149,
0285,11264,0,,,,11264,151,
0286,11306,0,,,,11306,153,
0287,赦,0,,,,11447,155,
0288,赭,0,,,,11453,155,
0289,11450,0,,,,11450,155,
