統合ID,文字,カード番号,字体数,用例数,部首
00069,丹,0001,0,1,003
00104,乙,0002,0,1,005
00118,乾,0003,0,1,005
07028,爭,0004,0,1,006
00516,儀,0005,0,1,009
00219,休,0006,0,1,009
00176,介,0007,0,1,009
00493,僕,0008,0,1,009
00349,俯,0009,0,1,009
00483,僉,0010,0,1,009
00405,假,0011,0,1,009
00455,備,0012,0,1,009
00182,仕,0013,0,1,009
00206,任,0014,0,1,009
00244,低,0015,0,1,009
00230,伴,0016,0,1,009
00236,伽,0017,0,1,009
00368,倍,0018,0,1,009
00345,信,0019,0,1,009
00238,佃,0020,0,1,009
00360,俾,0021,0,1,009
00391,倫,0022,0,1,009
00325,俄,0023,0,1,009
00350,倶,0024,0,1,009
00471,債,0025,0,1,009
00264,00264,0026,0,1,009
00417,停,0027,0,1,009
00616,冀,0028,0,1,012
00636,冒,0029,0,1,013
01235,周,0030,0,1,030
00696,凝,0031,0,1,015
00718,凶,0032,0,1,017
00735,切,0033,0,1,018
00791,削,0034,0,1,018
00863,助,0035,0,1,019
00857,功,0036,0,1,019
00918,勾,0037,0,1,020
00930,匍,0038,0,1,020
00932,匐,0039,0,1,020
01004,卒,0040,0,1,024
12957,雁,0041,0,1,172
01058,厄,0042,0,1,027
01068,厚,0043,0,1,027
01112,友,0044,0,1,029
01116,反,0045,0,1,029
01323,哭,0046,0,1,030
01255,咀,0047,0,1,030
01373,啓,0048,0,1,030
01595,嚢,0049,0,1,030
01236,呪,0050,0,1,030
01532,01532,0051,0,1,030
01451,嗟,0052,0,1,030
01189,吠,0053,0,1,030
01584,嚼,0054,0,1,030
01143,句,0055,0,1,030
01295,哀,0056,0,1,030
01851,墜,0057,0,1,032
01740,城,0058,0,1,032
01779,01779,0059,0,1,032
01839,境,0060,0,1,032
01899,壤,0061,0,1,032
01863,墮,0062,0,1,032
01727,垣,0063,0,1,032
01908,壷,0064,0,1,033
01913,壽,0065,0,1,033
01934,外,0066,0,1,036
01961,夷,0067,0,1,037
01972,奇,0068,0,1,037
01981,奏,0069,0,1,037
01949,夫,0070,0,1,037
01968,奄,0071,0,1,037
01986,奔,0072,0,1,037
02142,婆,0073,0,1,038
02110,娑,0074,0,1,038
02090,姥,0075,0,1,038
02077,姓,0076,0,1,038
02035,妊,0077,0,1,038
02098,妍,0078,0,1,038
02045,妙,0079,0,1,038
02029,好,0080,0,1,038
02040,02040,0081,0,1,038
02155,婦,0082,0,1,038
02248,嬰,0083,0,1,038
02093,姨,0084,0,1,038
02293,學,0085,0,1,039
02268,存,0086,0,1,039
02397,寛,0087,0,1,040
02383,察,0088,0,1,040
02395,審,0089,0,1,040
02392,寧,0090,0,1,040
02307,宇,0091,0,1,040
02322,宗,0092,0,1,040
02436,導,0093,0,1,041
02485,屈,0094,0,1,044
02499,屏,0095,0,1,044
02472,尻,0096,0,1,044
02598,峻,0097,0,1,046
02594,島,0098,0,1,046
02799,市,0099,0,1,050
02801,帆,0100,0,1,050
02806,希,0101,0,1,050
02902,并,0102,0,1,051
02915,幾,0103,0,1,052
02912,幽,0104,0,1,052
02992,廢,0105,0,1,053
02944,度,0106,0,1,053
03008,廻,0107,0,1,054
03060,弭,0108,0,1,057
03064,弱,0109,0,1,057
03101,形,0110,0,1,059
03143,徒,0111,0,1,060
03312,悉,0112,0,1,061
03248,怪,0113,0,1,061
03469,慰,0114,0,1,061
03474,慶,0115,0,1,061
03292,恩,0116,0,1,061
03345,悽,0117,0,1,061
03365,惟,0118,0,1,061
03289,恥,0119,0,1,061
03196,忘,0120,0,1,061
03277,恙,0121,0,1,061
03402,愍,0122,0,1,061
03267,恆,0123,0,1,061
03188,03188,0124,0,1,061
03632,戮,0125,0,1,062
03628,截,0126,0,1,062
03645,戻,0127,0,1,063
03750,拔,0128,0,1,064
04146,攀,0129,0,1,064
03837,捫,0130,0,1,064
03765,拭,0131,0,1,064
03686,扶,0132,0,1,064
03666,打,0133,0,1,064
03778,拾,0134,0,1,064
03911,握,0135,0,1,064
03818,捉,0136,0,1,064
03761,拜,0137,0,1,064
03880,推,0138,0,1,064
03907,換,0139,0,1,064
03758,招,0140,0,1,064
04216,支,0141,0,1,065
04228,改,0142,0,1,066
04286,敬,0143,0,1,066
04303,整,0144,0,1,066
04363,斥,0145,0,1,069
04368,斫,0146,0,1,069
04369,斬,0147,0,1,069
06088,泥,0148,0,1,085
04391,施,0149,0,1,070
04518,昵,0150,0,1,072
04608,暴,0151,0,1,072
04499,星,0152,0,1,072
04676,朋,0153,0,1,074
09364,股,0154,0,1,130
04679,服,0155,0,1,074
05529,權,0156,0,1,075
05228,槃,0157,0,1,075
05361,橘,0158,0,1,075
04984,條,0159,0,1,075
05150,楫,0160,0,1,075
05279,樂,0161,0,1,075
03694,抄,0162,0,1,064
04765,東,0163,0,1,075
04781,板,0164,0,1,075
04871,柱,0165,0,1,075
04908,株,0166,0,1,075
04865,柩,0167,0,1,075
04743,杖,0168,0,1,075
05591,款,0169,0,1,076
05561,欣,0170,0,1,076
05645,歩,0171,0,1,077
05737,殘,0172,0,1,078
05777,殯,0173,0,1,078
05717,殊,0174,0,1,078
05707,殆,0175,0,1,078
05932,氏,0176,0,1,083
05947,氣,0177,0,1,084
06396,源,0178,0,1,085
06316,渟,0179,0,1,085
06087,泣,0180,0,1,085
06151,流,0181,0,1,085
12266,酒,0182,0,1,164
06050,沸,0183,0,1,085
06317,渠,0184,0,1,085
06611,濃,0185,0,1,085
06134,洪,0186,0,1,085
06480,漂,0187,0,1,085
06704,瀛,0188,0,1,085
06835,烏,0189,0,1,086
06957,熱,0190,0,1,086
06874,焦,0191,0,1,086
06978,燒,0192,0,1,086
06847,烟,0193,0,1,086
06969,燃,0194,0,1,086
03442,態,0195,0,1,061
06997,燼,0196,0,1,086
07047,牆,0197,0,1,090
07065,牙,0198,0,1,092
07106,犢,0199,0,1,093
07244,獵,0200,0,1,094
07256,玄,0201,0,1,095
07345,瑜,0202,0,1,096
07294,珥,0203,0,1,096
00263,佩,0204,0,1,096
07426,瓶,0205,0,1,098
07444,甍,0206,0,1,098
07459,甜,0207,0,1,099
07503,畏,0208,0,1,102
07481,申,0209,0,1,102
07530,異,0210,0,1,102
07507,畔,0211,0,1,102
07557,疏,0212,0,1,103
07707,發,0213,0,1,105
07739,皮,0214,0,1,107
07799,直,0215,0,1,109
07817,看,0216,0,1,109
07867,睨,0217,0,1,109
07843,眼,0218,0,1,109
09133,罷,0219,0,1,122
09144,羅,0220,0,1,122
07944,矩,0221,0,1,111
08016,碎,0222,0,1,112
07986,破,0223,0,1,112
08103,祀,0224,0,1,113
08119,祚,0225,0,1,113
08123,祝,0226,0,1,113
08108,祈,0227,0,1,113
08165,禮,0228,0,1,113
11258,豎,0229,0,1,117
08365,竟,0230,0,1,117
08376,端,0231,0,1,117
08522,篤,0232,0,1,118
08479,箭,0233,0,1,118
08435,筒,0234,0,1,118
08664,粟,0235,0,1,119
08993,總,0236,0,1,120
08779,細,0237,0,1,120
08762,08762,0238,0,1,120
08735,紀,0239,0,1,120
09030,繋,0240,0,1,120
08976,縫,0241,0,1,120
09064,纏,0242,0,1,120
08748,紐,0243,0,1,120
09142,羂,0244,0,1,122
09177,義,0245,0,1,123
09175,羣,0246,0,1,123
09249,耀,0247,0,1,124
09335,聽,0248,0,1,128
09328,聲,0249,0,1,128
09541,膝,0250,0,1,130
09463,脱,0251,0,1,130
09370,肩,0252,0,1,130
09377,肯,0253,0,1,130
09568,臂,0254,0,1,130
09483,腋,0255,0,1,130
09617,臺,0256,1,2,133
09627,09627,0257,0,1,134
09638,舍,0258,0,1,135
09778,苗,0259,0,1,140
10139,薄,0260,0,1,140
10153,薙,0261,0,1,140
09911,菟,0262,0,1,140
09835,茸,0263,0,1,140
10031,蒼,0264,0,1,140
10349,蛇,0265,0,1,142
10618,術,0266,0,1,144
10798,襤,0267,0,1,145
10766,褸,0268,0,1,145
10773,襁,0269,0,1,145
10715,裝,0270,0,1,145
10637,衣,0272,0,1,145
10724,裳,0273,0,1,145
10708,裔,0274,0,1,145
10857,覽,0275,0,1,147
10859,觀,0276,0,1,147
10875,解,0277,0,1,148
11171,識,0278,0,1,149
10974,詣,0279,0,1,149
11109,謎,0280,0,1,149
11092,謀,0281,0,1,149
10902,討,0282,0,1,149
10987,該,0283,0,1,149
10936,訶,0284,0,1,149
11264,11264,0285,0,1,151
11306,11306,0286,0,1,153
11447,赦,0287,0,1,155
11453,赭,0288,0,1,155
11450,11450,0289,0,1,155
11467,超,0290,0,1,156
11618,蹈,0291,0,1,157
07557,疏,0292,0,1,103
11553,跳,0293,0,1,157
11716,躬,0294,0,1,158
11799,輒,0295,0,1,159
11856,轉,0296,0,1,159
11893,辛,0297,0,1,160
11896,辜,0298,0,1,160
12082,遭,0299,0,1,162
