カード番号,文字,部首,字体数,用例数1,用例数2,大字典
0001,丹,003,0,,,00069
0002,乙,005,0,,,00104
0003,仆,009,0,,,00173
0004,仕,009,0,,,00182
0005,任,009,0,,,00206
0006,低,009,0,,,00244
0007,伴,009,0,,,00230
0008,伺,009,0,,,00233
0009,借,009,0,,,00382
0010,伽,009,0,,,00236
0011,信,009,0,,,00345
0012,佃,009,0,,,00238
0013,佳,009,0,,,00267
0014,俾,009,0,,,00360
0015,倫,009,0,,,00391
0016,俄,009,0,,,00325
0017,倶,009,0,,,00350
0018,債,009,0,,,00471
0019,00264,009,0,,,00264
0020,停,009,0,,,00417
0021,傑,009,0,,,00450
0022,冀,012,0,,,00616
0023,冒,013,0,,,00636
0024,凝,015,0,,,00696
0025,刈,018,0,,,00736
0026,削,018,0,,,00791
0027,助,019,0,,,00863
0028,匐,020,0,,,00932
0029,匍,020,0,,,00930
0030,厄,027,0,,,01058
0031,厚,027,0,,,01068
0032,咸,030,0,,,01288
0033,周,030,0,,,01235
0034,吠,030,0,,,01189
0035,嗟,030,0,,,01451
0036,呪,030,0,,,01236
0037,啼,030,0,,,01387
0038,嚼,030,0,,,01584
0039,01532,030,0,,,01532
0040,塘,032,0,,,01819
0041,01779,032,0,,,01779
0042,城,032,0,,,01740
0043,墜,032,0,,,01851
0044,墮,032,0,,,01863
0045,境,032,0,,,01839
0046,垣,032,0,,,01727
0047,壤,032,0,,,01899
0048,壽,033,0,,,01913
0049,士,033,0,,,01903
0050,外,036,0,,,01934
0051,奘,037,0,,,01994
0052,奏,037,0,,,01981
0053,奔,037,0,,,01986
0054,奄,037,0,,,01968
0055,婦,038,0,,,02155
0056,媚,038,0,,,02177
0057,姨,038,0,,,02093
0058,姓,038,0,,,02077
0059,娑,038,0,,,02110
0060,婆,038,0,,,02142
0061,妙,038,0,,,02045
0062,妍,038,0,,,02098
0063,好,038,0,,,02029
0064,姥,038,0,,,02090
0065,妊,038,0,,,02035
0066,嬰,038,0,,,02248
0067,存,039,0,,,02268
0068,寧,040,0,,,02392
0069,宇,040,0,,,02307
0070,宗,040,0,,,02322
0071,察,040,0,,,02383
0072,寄,040,0,,,02358
0073,審,040,0,,,02395
0074,導,041,0,,,02436
0075,尚,042,0,,,02446
0076,尸,044,0,,,02469
0077,尺,044,0,,,02471
0078,尻,044,0,,,02472
0079,屏,044,0,,,02499
0081,屈,044,0,,,02485
0082,島,046,0,,,02594
0083,峻,046,0,,,02598
0084,巡,047,0,,,02767
0085,希,050,0,,,02806
0086,帆,050,0,,,02801
0087,并,051,0,,,02902
0088,幽,052,0,,,02912
0089,弭,057,0,,,03060
0090,弱,057,0,,,03064
0091,形,059,0,,,03101
0092,慶,061,0,,,03474
0093,03188,061,0,,,03188
0094,恰,061,0,,,03299
0095,悽,061,0,,,03345
0096,慰,061,0,,,03469
0097,恆,061,0,,,03267
0098,忘,061,0,,,03196
0099,忠,061,0,,,03203
0100,怙,061,0,,,03235
0101,慟,061,0,,,03455
0102,慷,061,0,,,03475
0103,憚,061,0,,,03511
0104,慨,061,0,,,03463
0105,愍,061,0,,,03402
0106,戰,062,0,,,03633
0107,戮,062,0,,,03632
0108,截,062,0,,,03628
0109,拜,064,0,,,03761
0110,拭,064,0,,,03765
0111,換,064,0,,,03907
0112,打,064,0,,,03666
0113,披,064,0,,,03715
0114,捫,064,0,,,03837
0115,捉,064,0,,,03818
0116,推,064,0,,,03880
0117,捨,064,0,,,03835
0118,改,066,0,,,04228
0119,敬,066,0,,,04286
0120,斬,069,0,,,04369
0121,施,070,0,,,04391
0122,星,072,0,,,04499
0123,服,074,0,,,04679
0124,株,075,0,,,04908
0125,04825,075,0,,,04825
0126,柩,075,0,,,04865
0127,柴,075,0,,,04884
0128,染,075,0,,,04848
0129,條,075,0,,,04984
0130,柱,075,0,,,04871
0131,東,075,0,,,04765
0132,杖,075,0,,,04743
0133,楯,075,0,,,05154
0134,橘,075,0,,,05361
0135,欣,076,0,,,05561
0136,殆,078,0,,,05707
0137,殘,078,0,,,05737
0138,殊,078,0,,,05717
0139,洪,085,0,,,06134
0140,瀛,085,0,,,06704
0141,漂,085,0,,,06480
0142,渡,085,0,,,06318
0143,河,085,0,,,06045
0144,渠,085,0,,,06317
0145,渟,085,0,,,06316
0146,沸,085,0,,,06050
0147,泥,085,0,,,06088
0148,洞,085,0,,,06125
0149,烏,086,0,,,06835
0150,燼,086,0,,,06997
0151,牙,092,0,,,07065
0152,特,093,0,,,07086
0153,犢,093,0,,,07106
0154,獵,094,0,,,07244
0155,玄,095,0,,,07256
0156,珥,096,0,,,07294
0157,佩,009,0,,,00263
0158,甍,098,0,,,07444
0159,瓶,098,0,,,07426
0160,甜,099,0,,,07459
0161,異,102,0,,,07530
0162,畔,102,0,,,07507
0163,申,102,0,,,07481
0164,皮,107,0,,,07739
0165,眼,109,0,,,07843
0166,盾,109,0,,,07806
0167,矩,111,0,,,07944
0168,碎,112,0,,,08016
0169,破,112,0,,,07986
0170,祚,113,0,,,08119
0171,祝,113,0,,,08123
0172,祀,113,0,,,08103
0173,祈,113,0,,,08108
0174,禮,113,0,,,08165
0175,穢,115,0,,,08279
0176,窟,116,0,,,08323
0177,豎,151,0,,,11258
0178,竟,117,0,,,08365
0179,箭,118,0,,,08479
0180,粟,119,0,,,08664
0181,細,120,0,,,08779
0182,紀,120,0,,,08735
0183,08744,120,0,,,08744
0184,羂,122,0,,,09142
0185,羣,123,0,,,09175
0186,脛,130,0,,,09449
0187,肩,130,0,,,09370
0188,脱,130,0,,,09463
0189,股,130,0,,,09364
0190,腋,130,0,,,09483
0191,臂,130,0,,,09568
0192,肯,130,0,,,09377
0193,臥,131,0,,,09599
0194,舂,134,0,,,09626
0195,09627,134,0,,,09627
0196,臾,134,0,,,09621
0197,薙,140,0,,,10153
0198,茸,140,0,,,09835
0199,薄,140,0,,,10139
0200,苗,140,0,,,09778
0201,菟,140,0,,,09911
0202,藍,140,0,,,10189
0203,篤,118,0,,,08522
0204,螢,142,0,,,10510
0205,蛇,142,0,,,10349
0206,血,143,0,,,10605
0207,術,144,0,,,10618
0208,襁,145,0,,,10773
0209,裳,145,0,,,10724
0210,襤,145,0,,,10798
0211,褸,145,0,,,10766
0212,觀,147,0,,,10859
0213,識,149,0,,,11171
0214,謀,149,0,,,11092
0215,詣,149,0,,,10974
0216,謎,149,0,,,11109
0217,該,149,0,,,10987
0218,負,154,1,2,,11332
0219,赭,155,0,,,11453
0220,11450,155,0,,,11450
0221,赦,155,0,,,11447
0222,赴,156,0,,,11457
0223,超,156,0,,,11467
0224,踞,157,0,,,11580
0225,跳,157,0,,,11553
0226,踰,157,0,,,11593
0227,躬,158,0,,,11716
0228,轉,159,0,,,11856
0229,辛,160,0,,,11893
0230,辜,160,0,,,11896
0231,退,162,0,,,11982
0232,逮,162,0,,,12019
0233,遨,162,0,,,12077
0234,逆,162,0,,,11986
0235,逶,162,0,,,12025
0236,逃,162,0,,,11984
0237,遭,162,0,,,12082
0238,過,162,0,,,12046
0239,遇,162,0,,,12040
0240,廻,054,0,,,03008
0241,追,162,0,,,11979
0242,違,162,0,,,12054
0243,選,162,0,,,12095
0244,迹,162,0,,,11976
0245,醤,164,0,,,12342
0246,釀,164,0,,,12360
0247,酌,164,0,,,12262
0248,醜,164,0,,,12327
0249,酒,164,0,,,12266
0250,酸,164,0,,,12302
0251,里,166,0,,,12372
0252,鋒,167,0,,,12485
0253,鍛,167,0,,,12543
0254,金,167,0,,,12380
0255,鏑,167,0,,,12601
0256,鍾,167,0,,,12563
0257,閑,169,0,,,12722
0258,闥,169,0,,,12800
0259,隅,170,0,,,12883
0260,陛,170,0,,,12847
0261,隆,170,0,,,12886
0262,陪,170,0,,,12859
0263,雀,172,0,,,12955
0264,隼,172,0,,,12951
0265,雌,172,0,,,12971
0266,難,172,0,,,13002
0267,面,176,0,,,13108
0268,鞆,177,0,,,13151
0269,靭,177,0,,,13124
0270,音,180,0,,,13281
0271,類,181,0,,,13398
0272,領,181,0,,,13327
0273,預,181,0,,,13313
0274,頸,181,0,,,13355
0275,頃,181,0,,,13297
0276,食,184,0,,,13503
0277,飮,184,0,,,13526
0278,飫,184,0,,,13521
0279,饉,184,0,,,13630
0280,餌,184,0,,,13552
0281,餓,184,0,,,13559
0282,飢,184,0,,,13508
0283,驗,187,0,,,13849
0284,騰,187,0,,,13820
0285,魔,194,0,,,14088
0286,鯔,195,0,,,14207
0287,鴿,196,0,,,14452
0288,鷲,196,0,,,14576
0289,麻,200,0,,,14681
0290,黨,203,0,,,14730
0291-0292,一,001,1,65,,00001
0293,世,001,1,8,,00025
0294,丈,001,1,2,,00006
0295,丘,001,1,5,,00026
0296,且,001,1,12,,00020
0297-0298,不,001,1,73,,00013
0299,七,001,1,3,,00004
0300,上,001,1,28,,00008
0301,下,001,1,16,,00009
0302,三,001,1,19,,00007
0303,中,002,1,36,,00051
0304,主,003,1,21,,00070
0305,乎,004,1,19,,00092
0306-0313,之,004,1,353,,00088
0314-0315,乃,004,1,62,,00078
0316,久,004,1,12,,00085
0317,乘,004,1,4,,00102
0318-0319,也,005,1,67,,00109
0320,乞,005,1,3,,00108
0321,乳,005,1,4,,00113
0322,事,006,1,23,,00128
0323,弔,057,1,5,,03043
0324,二,007,1,24,,00129
0325-0326,云,007,1,53,,00133
0327,五,007,1,14,,00135
0328,井,007,1,12,,00136
0329,于,007,1,20,,00132
0330,亡,008,1,3,,00150
0331,今,009,1,28,,00175
0332,作,009,1,25,,00256
0333,伊,009,1,5,,00213
0334-0336,以,009,1,136,,00194
0337,令,009,1,8,,00193
0338,代,009,1,10,,00192
0339,何,009,1,27,,00250
0340,供,009,1,4,,00299
0341,企,009,1,5,,00209
0342,仍,009,1,4,,00177
0343,便,009,1,8,,00321
0344,倍,009,1,2,,00368
0345,侍,009,1,6,,00288
0346,依,009,1,11,,00301
0347,但,009,1,3,,00240
0348,他,009,1,2,,00183
0349,俳,009,1,4,,00351
0350,伏,009,1,7,,00217
0351,僉,009,1,4,,00483
0352,倚,009,1,2,,00378
0353,住,009,1,8,,00245
0354,候,009,1,2,,00369
0355,人,009,1,36,,00168
0356,00260,009,2,2,1,00260
0357,俯,009,1,2,,00349
0358,傾,009,1,3,,00475
0359,倒,009,1,3,,00373
0360,徨,060,1,2,,03158
0361,彷,060,1,2,,03121
0362,使,009,1,21,,00279
0363,仰,009,1,4,,00199
0364,優,009,1,3,,00542
0365,傍,009,1,2,,00449
0366,似,009,1,2,,00235
0367,余,009,1,7,,00253
0368-0369,兄,010,1,55,,00561
0370,先,010,1,19,,00566
0371,内,011,1,12,,00585
0372,入,011,1,25,,00582
0373-0374,其,012,1,100,,00605
0375,八,012,1,38,,00594
0376,具,012,1,5,,00606
0377,共,012,1,6,,00599
0378,兼,012,1,4,,00613
0379-0380,出,017,1,71,,00723
0381,刀,018,1,4,,00729
0382-0383,則,018,1,72,,00789
0384,到,018,1,21,,00769
0385,別,018,1,8,,00763
0386,前,018,1,13,,00794
0387,利,018,1,12,,00767
0388,劍,018,1,5,,00843
0389,副,018,1,3,,00818
0390,制,018,1,2,,00776
0391,初,018,1,5,,00759
0393,00884,019,1,19,,00884
0394,加,019,1,4,,00858
0395,勿,020,1,10,,00919
0396,勾,020,1,2,,00918
0397,化,021,1,4,,00938
0398,十,024,1,18,,00985
0399,千,024,1,18,,00987
0400,卜,025,1,2,,01019
0401,占,025,1,2,,01022
0402,即,026,1,35,,01049
0403,危,026,1,2,,01035
0404,去,028,1,19,,01101
