統合ID,文字,兼方紀2,字体数,用例数,部首
00069,丹,0001,0,1,003
00104,乙,0002,0,1,005
00173,仆,0003,0,1,009
00182,仕,0004,0,1,009
00206,任,0005,0,1,009
00244,低,0006,0,1,009
00230,伴,0007,0,1,009
00233,伺,0008,0,1,009
00382,借,0009,0,1,009
00236,伽,0010,0,1,009
00345,信,0011,0,1,009
00238,佃,0012,0,1,009
00267,佳,0013,0,1,009
00360,俾,0014,0,1,009
00391,倫,0015,0,1,009
00325,俄,0016,0,1,009
00350,倶,0017,0,1,009
00471,債,0018,0,1,009
00264,佪,0019,0,1,009
00417,停,0020,0,1,009
00450,傑,0021,0,1,009
00616,冀,0022,0,1,012
00636,冒,0023,0,1,013
00696,凝,0024,0,1,015
00736,刈,0025,0,1,018
00791,削,0026,0,1,018
00863,助,0027,0,1,019
00932,匐,0028,0,1,020
00930,匍,0029,0,1,020
01058,厄,0030,0,1,027
01068,厚,0031,0,1,027
01288,咸,0032,0,1,030
01235,周,0033,0,1,030
01189,吠,0034,0,1,030
01451,嗟,0035,0,1,030
01236,呪,0036,0,1,030
01387,啼,0037,0,1,030
01584,嚼,0038,0,1,030
01532,噱,0039,0,1,030
01819,塘,0040,0,1,032
01779,堞,0041,0,1,032
01740,城,0042,0,1,032
01851,墜,0043,0,1,032
01863,墮,0044,0,1,032
01839,境,0045,0,1,032
01727,垣,0046,0,1,032
01899,壤,0047,0,1,032
01913,壽,0048,0,1,033
01903,士,0049,0,1,033
01934,外,0050,0,1,036
01994,奘,0051,0,1,037
01981,奏,0052,0,1,037
01986,奔,0053,0,1,037
01968,奄,0054,0,1,037
02155,婦,0055,0,1,038
02177,媚,0056,0,1,038
02093,姨,0057,0,1,038
02077,姓,0058,0,1,038
02110,娑,0059,0,1,038
02142,婆,0060,0,1,038
02045,妙,0061,0,1,038
02098,妍,0062,0,1,038
02029,好,0063,0,1,038
02090,姥,0064,0,1,038
02035,妊,0065,0,1,038
02248,嬰,0066,0,1,038
02268,存,0067,0,1,039
02392,寧,0068,0,1,040
02307,宇,0069,0,1,040
02322,宗,0070,0,1,040
02383,察,0071,0,1,040
02358,寄,0072,0,1,040
02395,審,0073,0,1,040
02436,導,0074,0,1,041
02446,尚,0075,0,1,042
02469,尸,0076,0,1,044
02471,尺,0077,0,1,044
02472,尻,0078,0,1,044
02499,屏,0079,0,1,044
02485,屈,0081,0,1,044
02594,島,0082,0,1,046
02598,峻,0083,0,1,046
02767,巡,0084,0,1,047
02806,希,0085,0,1,050
02801,帆,0086,0,1,050
02902,并,0087,0,1,051
02912,幽,0088,0,1,052
03060,弭,0089,0,1,057
03064,弱,0090,0,1,057
03101,形,0091,0,1,059
03474,慶,0092,0,1,061
03188,忒,0093,0,1,061
03299,恰,0094,0,1,061
03345,悽,0095,0,1,061
03469,慰,0096,0,1,061
03267,恆,0097,0,1,061
03196,忘,0098,0,1,061
03203,忠,0099,0,1,061
03235,怙,0100,0,1,061
03455,慟,0101,0,1,061
03475,慷,0102,0,1,061
03511,憚,0103,0,1,061
03463,慨,0104,0,1,061
03402,愍,0105,0,1,061
03633,戰,0106,0,1,062
03632,戮,0107,0,1,062
03628,截,0108,0,1,062
03761,拜,0109,0,1,064
03765,拭,0110,0,1,064
03907,換,0111,0,1,064
03666,打,0112,0,1,064
03715,披,0113,0,1,064
03837,捫,0114,0,1,064
03818,捉,0115,0,1,064
03880,推,0116,0,1,064
03835,捨,0117,0,1,064
04228,改,0118,0,1,066
04286,敬,0119,0,1,066
04369,斬,0120,0,1,069
04391,施,0121,0,1,070
04499,星,0122,0,1,072
04679,服,0123,0,1,074
04908,株,0124,0,1,075
04825,枻,0125,0,1,075
04865,柩,0126,0,1,075
04884,柴,0127,0,1,075
04848,染,0128,0,1,075
04984,條,0129,0,1,075
04871,柱,0130,0,1,075
04765,東,0131,0,1,075
04743,杖,0132,0,1,075
05154,楯,0133,0,1,075
05361,橘,0134,0,1,075
05561,欣,0135,0,1,076
05707,殆,0136,0,1,078
05737,殘,0137,0,1,078
05717,殊,0138,0,1,078
06134,洪,0139,0,1,085
06704,瀛,0140,0,1,085
06480,漂,0141,0,1,085
06318,渡,0142,0,1,085
06045,河,0143,0,1,085
06317,渠,0144,0,1,085
06316,渟,0145,0,1,085
06050,沸,0146,0,1,085
06088,泥,0147,0,1,085
06125,洞,0148,0,1,085
06835,烏,0149,0,1,086
06997,燼,0150,0,1,086
07065,牙,0151,0,1,092
07086,特,0152,0,1,093
07106,犢,0153,0,1,093
07244,獵,0154,0,1,094
07256,玄,0155,0,1,095
07294,珥,0156,0,1,096
00263,佩,0157,0,1,009
07444,甍,0158,0,1,098
07426,瓶,0159,0,1,098
07459,甜,0160,0,1,099
07530,異,0161,0,1,102
07507,畔,0162,0,1,102
07481,申,0163,0,1,102
07739,皮,0164,0,1,107
07843,眼,0165,0,1,109
07806,盾,0166,0,1,109
07944,矩,0167,0,1,111
08016,碎,0168,0,1,112
07986,破,0169,0,1,112
08119,祚,0170,0,1,113
08123,祝,0171,0,1,113
08103,祀,0172,0,1,113
08108,祈,0173,0,1,113
08165,禮,0174,0,1,113
08279,穢,0175,0,1,115
08323,窟,0176,0,1,116
11258,豎,0177,0,1,151
08365,竟,0178,0,1,117
08479,箭,0179,0,1,118
08664,粟,0180,0,1,119
08779,細,0181,0,1,120
08735,紀,0182,0,1,120
08744,紉,0183,0,1,120
09142,羂,0184,0,1,122
09175,羣,0185,0,1,123
09449,脛,0186,0,1,130
09370,肩,0187,0,1,130
09463,脱,0188,0,1,130
09364,股,0189,0,1,130
09483,腋,0190,0,1,130
09568,臂,0191,0,1,130
09377,肯,0192,0,1,130
09599,臥,0193,0,1,131
09626,舂,0194,0,1,134
09627,舃,0195,0,1,134
09621,臾,0196,0,1,134
10153,薙,0197,0,1,140
09835,茸,0198,0,1,140
10139,薄,0199,0,1,140
09778,苗,0200,0,1,140
09911,菟,0201,0,1,140
10189,藍,0202,0,1,140
08522,篤,0203,0,1,118
10510,螢,0204,0,1,142
10349,蛇,0205,0,1,142
10605,血,0206,0,1,143
10618,術,0207,0,1,144
10773,襁,0208,0,1,145
10724,裳,0209,0,1,145
10798,襤,0210,0,1,145
10766,褸,0211,0,1,145
10859,觀,0212,0,1,147
11171,識,0213,0,1,149
11092,謀,0214,0,1,149
10974,詣,0215,0,1,149
11109,謎,0216,0,1,149
10987,該,0217,0,1,149
11332,負,0218,1,2,154
11453,赭,0219,0,1,155
11450,赩,0220,0,1,155
11447,赦,0221,0,1,155
11457,赴,0222,0,1,156
11467,超,0223,0,1,156
11580,踞,0224,0,1,157
11553,跳,0225,0,1,157
11593,踰,0226,0,1,157
11716,躬,0227,0,1,158
11856,轉,0228,0,1,159
11893,辛,0229,0,1,160
11896,辜,0230,0,1,160
11982,退,0231,0,1,162
12019,逮,0232,0,1,162
12077,遨,0233,0,1,162
11986,逆,0234,0,1,162
12025,逶,0235,0,1,162
11984,逃,0236,0,1,162
12082,遭,0237,0,1,162
12046,過,0238,0,1,162
12040,遇,0239,0,1,162
03008,廻,0240,0,1,054
11979,追,0241,0,1,162
12054,違,0242,0,1,162
12095,選,0243,0,1,162
11976,迹,0244,0,1,162
12342,醬,0245,0,1,164
12360,釀,0246,0,1,164
12262,酌,0247,0,1,164
12327,醜,0248,0,1,164
12266,酒,0249,0,1,164
12302,酸,0250,0,1,164
12372,里,0251,0,1,166
12485,鋒,0252,0,1,167
12543,鍛,0253,0,1,167
12380,金,0254,0,1,167
12601,鏑,0255,0,1,167
12563,鍾,0256,0,1,167
12722,閑,0257,0,1,169
12800,闥,0258,0,1,169
12883,隅,0259,0,1,170
12847,陛,0260,0,1,170
12886,隆,0261,0,1,170
12859,陪,0262,0,1,170
12955,雀,0263,0,1,172
12951,隼,0264,0,1,172
12971,雌,0265,0,1,172
13002,難,0266,0,1,172
13108,面,0267,0,1,176
13151,鞆,0268,0,1,177
13124,靭,0269,0,1,177
13281,音,0270,0,1,180
13398,類,0271,0,1,181
13327,領,0272,0,1,181
13313,預,0273,0,1,181
13355,頸,0274,0,1,181
13297,頃,0275,0,1,181
13503,食,0276,0,1,184
13526,飮,0277,0,1,184
13521,飫,0278,0,1,184
13630,饉,0279,0,1,184
13552,餌,0280,0,1,184
13559,餓,0281,0,1,184
13508,飢,0282,0,1,184
13849,驗,0283,0,1,187
13820,騰,0284,0,1,187
14088,魔,0285,0,1,194
14207,鯔,0286,0,1,195
14452,鴿,0287,0,1,196
14576,鷲,0288,0,1,196
14681,麻,0289,0,1,200
14730,黨,0290,0,1,203
00001,一,0291,1,65,001
00025,世,0293,1,8,001
00006,丈,0294,1,2,001
00026,丘,0295,1,5,001
00020,且,0296,1,12,001
00013,不,0297,1,73,001
00004,七,0299,1,3,001
00008,上,0300,1,28,001
