カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,大字典,,,,
0001,丹,003,0,,,,00069,,,,
0002,乾,005,0,,,,00118,,,,
0003,乙,005,0,,,,00104,,,,
0004,假,009,0,,,,00405,,,,
0005,介,009,0,,,,00176,,,,
0006,佞,009,0,,,,00258,,,,
0007,僕,009,0,,,,00493,,,,
0008,備,009,0,,,,00455,,,,
0009,仆,009,0,,,,00173,,,,
0010,仕,009,0,,,,00182,,,,
0011,任,009,0,,,,00206,,,,
0012,低,009,0,,,,00244,,,,
0013,伴,009,0,,,,00230,,,,
0014,伺,009,0,,,,00233,,,,
0015,借,009,0,,,,00382,,,,
0016,伽,009,0,,,,00236,,,,
0017,倍,009,0,,,,00368,,,,
0018,信,009,0,,,,00345,,,,
0019,佃,009,0,,,,00238,,,,
0020,佳,009,0,,,,00267,,,,
0021,俾,009,0,,,,00360,,,,
0022,倫,009,0,,,,00391,,,,
0023,俄,009,0,,,,00325,,,,
0024,倶,009,0,,,,00350,,,,
0025,債,009,0,,,,00471,,,,
0026,00264,009,0,,,,00264,,,,
0027,停,009,0,,,,00417,,,,
0028,傑,009,0,,,,00450,,,,
0029,冀,012,0,,,,00616,,,,
0030,冒,013,0,,,,00636,,,,
0031,凝,015,0,,,,00696,,,,
0032,凶,017,0,,,,00718,,,,
0033,切,018,0,,,,00735,,,,
0034,刈,018,0,,,,00736,,,,
0035,削,018,0,,,,00791,,,,
0036,功,019,0,,,,00857,,,,
0037,助,019,0,,,,00863,,,,
0038,勾,020,0,,,,00918,,,,
0039,匐,020,0,,,,00932,,,,
0040,匍,020,0,,,,00930,,,,
0041,卒,024,0,,,,01004,,,,
0042,厄,027,0,,,,01058,,,,
0043,厚,027,0,,,,01068,,,,
0044,嘆,030,0,,,,01466,,,,
0045,嚢,030,0,,,,01595,,,,
0046,啓,030,0,,,,01373,,,,
0047,句,030,0,,,,01143,,,,
0048,吠,030,0,,,,01189,,,,
0049,呪,030,0,,,,01236,,,,
0050,咸,030,0,,,,01288,,,,
0051,周,030,0,,,,01235,,,,
0052,嗟,030,0,,,,01451,,,,
0053,啼,030,0,,,,01387,,,,
0054,嚼,030,0,,,,01584,,,,
0055,01532,030,0,,,,01532,,,,
0056,城,032,0,,,,01740,,,,
0057,墜,032,0,,,,01851,,,,
0058,墮,032,0,,,,01863,,,,
0059,境,032,0,,,,01839,,,,
0060,垣,032,0,,,,01727,,,,
0061,壤,032,0,,,,01899,,,,
0062,01779,032,0,,,,01779,,,,
0063,壷,033,0,,,,01908,,,,
0064,壽,033,0,,,,01913,,,,
0065,士,033,0,,,,01903,,,,
0066,外,036,0,,,,01934,,,,
0067,夷,037,0,,,,01961,,,,
0068,奘,037,0,,,,01994,,,,
0069,奏,037,0,,,,01981,,,,
0070,奔,037,0,,,,01986,,,,
0071,奄,037,0,,,,01968,,,,
0072,02040,038,0,,,,02040,,,,
0073,姓,038,0,,,,02077,,,,
0074,媚,038,0,,,,02177,,,,
0075,姨,038,0,,,,02093,,,,
0076,妙,038,0,,,,02045,,,,
0077,娑,038,0,,,,02110,,,,
0078,婆,038,0,,,,02142,,,,
0079,妍,038,0,,,,02098,,,,
0080,媛,038,0,,,,02178,,,,
0081,好,038,0,,,,02029,,,,
0082,姥,038,0,,,,02090,,,,
0083,嬰,038,0,,,,02248,,,,
0084,妊,038,0,,,,02035,,,,
0085,存,039,0,,,,02268,,,,
0086,學,039,0,,,,02293,,,,
0087,寛,040,0,,,,02397,,,,
0088,寧,040,0,,,,02392,,,,
0089,宇,040,0,,,,02307,,,,
0090,宗,040,0,,,,02322,,,,
0091,察,040,0,,,,02383,,,,
0092,寄,040,0,,,,02358,,,,
0093,審,040,0,,,,02395,,,,
0094,導,041,0,,,,02436,,,,
0095,尚,042,0,,,,02446,,,,
0096,尸,044,0,,,,02469,,,,
0097,尺,044,0,,,,02471,,,,
0098,尻,044,0,,,,02472,,,,
0099,屏,044,0,,,,02499,,,,
0100,屈,044,0,,,,02485,,,,
0101,峻,046,0,,,,02598,,,,
0102,島,046,0,,,,02594,,,,
0103,州,047,0,,,,02764,,,,
0104,巡,047,0,,,,02767,,,,
0105,希,050,0,,,,02806,,,,
0106,帚,050,0,,,,02818,,,,
0107,市,050,0,,,,02799,,,,
0108,帆,050,0,,,,02801,,,,
0109,并,051,0,,,,02902,,,,
0110,幾,052,0,,,,02915,,,,
0111,幽,052,0,,,,02912,,,,
0112,廢,053,0,,,,02992,,,,
0113,弱,057,0,,,,03064,,,,
0114,弭,057,0,,,,03060,,,,
0115,形,059,0,,,,03101,,,,
0116,徒,060,0,,,,03143,,,,
0117,恩,061,0,,,,03292,,,,
0118,恥,061,0,,,,03289,,,,
0119,忠,061,0,,,,03203,,,,
0120,恙,061,0,,,,03277,,,,
0121,怙,061,0,,,,03235,,,,
0122,悉,061,0,,,,03312,,,,
0123,忘,061,0,,,,03196,,,,
0124,悽,061,0,,,,03345,,,,
0125,恆,061,0,,,,03267,,,,
0126,慰,061,0,,,,03469,,,,
0127,恰,061,0,,,,03299,,,,
0128,愍,061,0,,,,03402,,,,
0129,惑,061,0,,,,03355,,,,
0130,慟,061,0,,,,03455,,,,
0131,慷,061,0,,,,03475,,,,
0132,憚,061,0,,,,03511,,,,
0133,慨,061,0,,,,03463,,,,
0134,戰,062,0,,,,03633,,,,
0135,戮,062,0,,,,03632,,,,
0136,截,062,0,,,,03628,,,,
0137,戻,063,0,,,,03645,,,,
0138,扶,064,0,,,,03686,,,,
0139,打,064,0,,,,03666,,,,
0140,推,064,0,,,,03880,,,,
0141,捨,064,0,,,,03835,,,,
0142,拜,064,0,,,,03761,,,,
0143,拭,064,0,,,,03765,,,,
0144,換,064,0,,,,03907,,,,
0145,捫,064,0,,,,03837,,,,
0146,捉,064,0,,,,03818,,,,
0147,斃,066,0,,,,04311,,,,
0148,改,066,0,,,,04228,,,,
0149,敬,066,0,,,,04286,,,,
0150,整,066,0,,,,04303,,,,
0151,斥,069,0,,,,04363,,,,
0152,斬,069,0,,,,04369,,,,
0153,施,070,0,,,,04391,,,,
0154,昵,072,0,,,,04518,,,,
0155,暴,072,0,,,,04608,,,,
0156,星,072,0,,,,04499,,,,
0157,晝,072,0,,,,04542,,,,
0158,服,074,0,,,,04679,,,,
0159,楫,075,0,,,,05150,,,,
0160,權,075,0,,,,05529,,,,
0161,14917,075,0,,,,14917,,,,
0162,梔,075,0,,,,04978,,,,
0163,板,075,0,,,,04781,,,,
0164,04825,075,0,,,,04825,,,,
0165,杖,075,0,,,,04743,,,,
0166,柱,075,0,,,,04871,,,,
0167,株,075,0,,,,04908,,,,
0168,東,075,0,,,,04765,,,,
0169,染,075,0,,,,04848,,,,
0170,柴,075,0,,,,04884,,,,
0171,柩,075,0,,,,04865,,,,
0172,楯,075,0,,,,05154,,,,
0173,橘,075,0,,,,05361,,,,
0174,條,075,0,,,,04984,,,,
0175,款,076,0,,,,05591,,,,
0176,欣,076,0,,,,05561,,,,
0177,止,077,0,,,,05641,,,,
0178,歩,077,0,,,,05645,,,,
0179,殆,078,0,,,,05707,,,,
0180,殊,078,0,,,,05717,,,,
0181,殘,078,0,,,,05737,,,,
0182,氏,083,0,,,,05932,,,,
0183,源,085,0,,,,06396,,,,
0184,淤,085,0,,,,06269,,,,
0185,流,085,0,,,,06151,,,,
0186,河,085,0,,,,06045,,,,
0187,洪,085,0,,,,06134,,,,
0188,洞,085,0,,,,06125,,,,
0189,泥,085,0,,,,06088,,,,
0190,渠,085,0,,,,06317,,,,
0191,洲,085,0,,,,06138,,,,
0192,漂,085,0,,,,06480,,,,
0193,沸,085,0,,,,06050,,,,
0194,渡,085,0,,,,06318,,,,
0195,渟,085,0,,,,06316,,,,
0196,瀛,085,0,,,,06704,,,,
0197,焦,086,0,,,,06874,,,,
0198,燒,086,0,,,,06978,,,,
0199,燃,086,0,,,,06969,,,,
0200,烏,086,0,,,,06835,,,,
0201,煙,086,0,,,,06901,,,,
0202,燼,086,0,,,,06997,,,,
0203,牆,090,0,,,,07047,,,,
0204,牙,092,0,,,,07065,,,,
0205,牽,093,0,,,,07087,,,,
0206,犢,093,0,,,,07106,,,,
0207,獵,094,0,,,,07244,,,,
0208,玄,095,0,,,,07256,,,,
0209,佩,009,0,,,,00263,,,,
0210,珥,096,0,,,,07294,,,,
0211,瓶,098,0,,,,07426,,,,
0212,甜,099,0,,,,07459,,,,
0213,申,102,0,,,,07481,,,,
0214,異,102,0,,,,07530,,,,
0215,畔,102,0,,,,07507,,,,
0216,發,105,0,,,,07707,,,,
0217,皮,107,0,,,,07739,,,,
0218,看,109,0,,,,07817,,,,
0219,睨,109,0,,,,07867,,,,
0220,直,109,0,,,,07799,,,,
0221,眼,109,0,,,,07843,,,,
0222,盾,109,0,,,,07806,,,,
